# Time, Target_Strain, Stress, Prediction_Strain
4.989005305061011697e+00,-1.035308017490005339e-02,-1.928210081593273173e-01,-8.982367813587188721e-03
7.653536879375875124e+00,5.202071246744044419e-02,1.280425164546606931e-01,5.120062083005905151e-02
9.573919995999199628e+00,2.509952521830854932e-02,-1.552026201265112142e-02,2.627631276845932007e-02
1.416292548509701987e+00,1.643782972869982373e-01,6.976581335024464314e-01,1.595157384872436523e-01
1.273455054210842086e+01,2.565098844156221691e-02,1.314441634959224482e-02,2.877848595380783081e-02
1.883976853370674220e+01,2.059839230114685060e-02,-5.194985041763615407e-04,1.756332069635391235e-02
1.466693605321064275e+01,3.602969628085034293e-02,5.883463089624065695e-02,3.446970134973526001e-02
9.461897647529506017e+00,2.750383611181572707e-02,-3.922169143260526361e-03,2.839922159910202026e-02
6.421291046209241848e+00,2.912441576202734472e-02,2.143916805912116086e-02,2.951230853796005249e-02
1.683136785757151443e+01,1.247764330461276217e-02,-5.356537568691201873e-02,1.093496382236480713e-02
1.535107253850770093e+01,2.905600617098008653e-02,2.275818694962019814e-02,2.626981586217880249e-02
1.742348598519703984e+01,1.089436269909727084e-02,-5.679376699832303088e-02,9.794645011425018311e-03
1.547909807961592321e+01,2.742099440034700963e-02,1.465669691000282340e-02,2.454101294279098511e-02
1.567913798759751920e+01,2.479276687392084622e-02,1.838193447535684628e-03,2.187225222587585449e-02
1.639928165633126511e+01,1.602155738519261963e-02,-3.887691204263963446e-02,1.382069289684295654e-02
1.667933752750550269e+01,1.351697649688732294e-02,-4.950207411297284643e-02,1.175535470247268677e-02
1.942788586317263366e+01,2.625623613797972711e-02,2.813616651854848258e-02,2.275884151458740234e-02
1.176635738747749471e+01,1.175783703784716305e-02,-6.096749252724945750e-02,1.560410112142562866e-02
9.697944738947789745e+00,2.251683591438469190e-02,-2.781848629151983596e-02,2.400522679090499878e-02
9.602915583116623799e-02,2.016001941340124226e-01,9.984637753651853798e-01,2.106513082981109619e-01
5.421091506301260132e+00,-1.480144317803966381e-03,-1.400468842792012003e-01,-2.682209014892578125e-05
8.533712474494898004e+00,4.620300744131800030e-02,9.113758384877999885e-02,4.539268463850021362e-02
1.361472613722744462e+01,3.607806657569906372e-02,6.365194570424091702e-02,3.694587945938110352e-02
3.716751490298059846e+00,4.786185364676953657e-03,-1.463557840188415282e-01,2.302147448062896729e-03
1.655531278455691080e+01,1.453763819465103690e-02,-4.527419709195348863e-02,1.258326321840286255e-02
1.688337823364673085e+01,1.217870865258458002e-02,-5.466025422186365085e-02,1.070412248373031616e-02
8.485702896579315535e+00,4.693374281161566408e-02,9.510258004768375184e-02,4.608381539583206177e-02
7.197445889177835454e+00,4.755768325331299895e-02,1.100545238298735323e-01,4.710616916418075562e-02
1.095819615923184642e+01,7.399058656217316621e-03,-9.119215467292544897e-02,1.091033965349197388e-02
1.757151551710342119e+01,1.112599410349812690e-02,-5.448887857548792568e-02,9.998507797718048096e-03
1.810362167233446584e+01,1.379943232120811603e-02,-3.748743108162812254e-02,1.211020350456237793e-02
1.168243062612522642e+00,1.788038475421405149e-01,7.875618819005605342e-01,1.752553284168243408e-01
3.096627775555111040e+00,3.829442276818481594e-02,1.451570251821293969e-02,3.360740840435028076e-02
7.665539273854770741e+00,5.206539970294921105e-02,1.281445678852012882e-01,5.123768001794815063e-02
9.757956711342268719e+00,2.130719802651581674e-02,-3.351609650553467185e-02,2.294436842203140259e-02
1.257851941388277695e+01,2.326477618605954367e-02,9.658132471011344122e-04,2.669814229011535645e-02
1.171034621324264791e+01,1.114926815384820191e-02,-6.449363129969377939e-02,1.497869938611984253e-02
6.321361092218443778e-01,1.991657561870713022e-01,9.347187083597513491e-01,2.005419731140136719e-01
1.160241466293258750e+00,1.792224877691020457e-01,7.902661090096286811e-01,1.757259070873260498e-01
9.709947133426684474e+00,2.227258324581160576e-02,-2.897233032450682866e-02,2.379088848829269409e-02
1.499100070414082886e+01,3.320581432877417472e-02,4.383283576426603989e-02,3.094270080327987671e-02
1.133827198439687933e+01,8.166731151876105432e-03,-8.306835383424293617e-02,1.185876876115798950e-02
2.592527207441488457e+00,7.495677442967058068e-02,2.013056099152009115e-01,6.902446597814559937e-02
1.030206526105220988e+01,1.217804797373528425e-02,-7.464596913064934502e-02,1.497410237789154053e-02
6.685343724744948979e+00,3.662797971348075166e-02,5.854679789168037995e-02,3.670639544725418091e-02
1.924393914782956738e+00,1.280748970709194301e-01,4.874953221863698172e-01,1.218774393200874329e-01
9.161927785557111292e-01,1.904075113946810116e-01,8.658542029519757932e-01,1.888169944286346436e-01
1.337467824764953050e+01,3.398942559959533538e-02,5.406629154932519193e-02,3.544962406158447266e-02
4.401877975595119147e-02,2.008104672742504759e-01,9.996770891241815171e-01,2.108494043350219727e-01
1.617923775755151183e+01,1.843649537155594986e-02,-2.806202730755219879e-02,1.591291278600692749e-02
1.157431907581516306e+01,9.833139689255088189e-03,-7.232821830711794187e-02,1.361574232578277588e-02
7.385483402680535825e+00,5.004605799228356577e-02,1.208109698934141107e-01,4.942692071199417114e-02
6.101227193438687024e+00,1.908694334486493727e-02,-2.965890321618507713e-02,1.987147331237792969e-02
1.549510127225445011e+01,2.721313576404671419e-02,1.363386781609457650e-02,2.432512491941452026e-02
1.881976454290858314e+01,2.039440089532779110e-02,-1.582749453963756174e-03,1.739192754030227661e-02
1.748358795759151985e+00,1.414344139098673570e-01,5.629720639175946895e-01,1.355314552783966064e-01
6.465299825965193037e+00,3.043900549651418208e-02,2.801254891246557008e-02,3.077376633882522583e-02
9.873979857971594498e+00,1.906057188295617877e-02,-4.397889731927329127e-02,2.097786962985992432e-02
9.181841776355270213e+00,3.362437526083561501e-02,2.619884234266831036e-02,3.385249525308609009e-02
2.932595051010202347e+00,4.951890747547241234e-02,7.074942704499981305e-02,4.436134546995162964e-02
1.756351392078415685e+01,1.110727632412211729e-02,-5.464343303334229240e-02,9.982854127883911133e-03
1.224645316663332650e+01,1.817031659724405168e-02,-2.567994126321609949e-02,2.198501676321029663e-02
1.738747880176035210e+01,1.087528310577601243e-02,-5.717308974301343882e-02,9.773209691047668457e-03
8.241654208841767471e+00,5.000837075046904445e-02,1.123307761523617970e-01,4.903700202703475952e-02
5.401087515503100178e+00,-1.993451968118786777e-03,-1.429478397014036783e-01,-5.314946174621582031e-04
1.425885464092818466e+01,3.785276610662846597e-02,6.961324796117893121e-02,3.726605325937271118e-02
5.169041222244448619e+00,-7.273465941105838883e-03,-1.736363990546814229e-01,-5.793236196041107178e-03
2.824573500700140016e+00,5.732376516491727303e-02,1.103655619315531272e-01,5.188771337270736694e-02
1.148239071814362910e+00,1.798445795521600443e-01,7.942973121120860958e-01,1.764271855354309082e-01
1.517103662132426400e+01,3.123387061122923081e-02,3.371539721148390095e-02,2.866517752408981323e-02
1.523104859371874298e+01,3.052736361849173186e-02,3.013845769549850298e-02,2.787555009126663208e-02
1.053411155431086144e+01,9.612838622702790659e-03,-8.500025435369044924e-02,1.274745166301727295e-02
1.710342213242648413e+01,1.124938912092593446e-02,-5.757138660764818394e-02,1.000914722681045532e-02
4.264860838167633617e+00,-1.059596539295770690e-02,-2.113831042808409777e-01,-1.093102991580963135e-02
1.542308690538107641e+01,2.814301957892789696e-02,1.822195522649858179e-02,2.529764175415039062e-02
1.346269580716143288e+01,3.483672186572600582e-02,5.801492807026860377e-02,3.607269376516342163e-02
1.591118428085617076e+01,2.175045446917472924e-02,-1.268448019219452563e-02,1.893667876720428467e-02
1.251450664332866580e+01,2.227454219227681387e-02,-4.142450389676617141e-03,2.581065893173217773e-02
3.296667683536707472e+00,2.581332652029924568e-02,-4.685162234597366887e-02,2.176931500434875488e-02
4.764960608121623586e+00,-1.267596825976902153e-02,-2.095753800180880644e-01,-1.161772757768630981e-02
1.281456650530106067e+01,2.684521547398882602e-02,1.917002294212250685e-02,2.978925406932830811e-02
7.897585567113422300e+00,5.220387443387242143e-02,1.265006235932507883e-01,5.125968903303146362e-02
3.440786417283456800e-01,2.028538255845443727e-01,9.803847878373497249e-01,2.079352438449859619e-01
1.195039410282056380e+01,1.399438745832876085e-02,-4.834617425973206095e-02,1.787608116865158081e-02
5.469101084216843489e+00,-2.156929543027374940e-04,-1.329463800015898978e-01,1.212947070598602295e-03
6.601416963392677806e-01,1.985212609622026558e-01,9.289350880664865029e-01,1.995735168457031250e-01
7.241454668933786643e+00,4.821964554239782652e-02,1.129880422921576838e-01,4.772736877202987671e-02
6.349276679335867257e+00,2.692966365144150442e-02,1.040169939270074208e-02,2.740552276372909546e-02
9.677940748149628902e+00,2.292635557455829920e-02,-2.588021431684198875e-02,2.436477690935134888e-02
1.591518507901580293e+01,2.169891848729094130e-02,-1.292739878143712128e-02,1.888828724622726440e-02
2.060421052210442028e+00,1.173937648223655483e-01,4.283150812616249858e-01,1.110791489481925964e-01
1.112622968193638684e+01,7.428040148328707293e-03,-8.911165305929449887e-02,1.102880388498306274e-02
1.231446673534706981e+01,1.919568521357478685e-02,-2.024027569619831629e-02,2.296223491430282593e-02
7.029412366473294149e+00,4.460058406686645549e-02,9.657610919330579524e-02,4.431212693452835083e-02
1.384677243048609796e+01,3.738658943235889653e-02,6.919525792399802699e-02,3.772797435522079468e-02
3.468702004400880501e+00,1.629712872813549041e-02,-9.263032726237956094e-02,1.286143809556961060e-02
7.261458659731945708e+00,4.850464486340916315e-02,1.142379775603514919e-01,4.799408465623855591e-02
1.755151152630526212e+01,1.108050928000986479e-02,-5.486896212969674669e-02,9.960331022739410400e-03
1.315063355071014151e+01,3.145289500208464650e-02,4.194358632167378975e-02,3.351356834173202515e-02
1.162232865373074553e+01,1.027021106083436663e-02,-6.968787592501532457e-02,1.407003402709960938e-02
1.080315503100620078e-01,2.017565204531138467e-01,9.980559987737676053e-01,2.105891704559326172e-01
9.385882482496498369e+00,2.915953184813480092e-02,4.142995809200561604e-03,2.986692637205123901e-02
7.921590356071214423e+00,5.214094807083513583e-02,1.259488759113692735e-01,5.118861049413681030e-02
6.809368467693538207e+00,3.977190286966592048e-02,7.375668876211786962e-02,3.971319645643234253e-02
1.109822409481896344e+01,7.388211745950556963e-03,-8.963020791246788244e-02,1.097551733255386353e-02
1.285057368873774664e+01,2.737330354052691650e-02,2.181946035474486775e-02,3.022994846105575562e-02
1.268254016603320622e+01,2.486224104719769734e-02,9.139213017752745652e-03,2.809990942478179932e-02
1.725945326065212981e+01,1.092806939471535621e-02,-5.792846525446157524e-02,9.789325296878814697e-03
1.841168313062612683e+01,1.637481558120446046e-02,-2.302961135371348750e-02,1.412954181432723999e-02
7.205447485497098903e+00,4.768159421153644884e-02,1.106066011818258310e-01,4.722260683774948120e-02
5.429093102620523581e+00,-1.272542224572903447e-03,-1.388767661329953496e-01,1.770183444023132324e-04
8.421690126025204393e+00,4.784732823920873068e-02,1.001147420741849148e-01,4.695280641317367554e-02
1.244258227645529180e+00,1.746743257414402895e-01,7.612233988415528785e-01,1.706637144088745117e-01
1.013803253650730163e+01,1.451612959964021510e-02,-6.453899790476629039e-02,1.701091974973678589e-02
1.554711164832966652e+01,2.653372035209289326e-02,1.030152059658108812e-02,2.362551540136337280e-02
1.724345006801360114e+01,1.094800474818513614e-02,-5.795688678796160481e-02,9.801663458347320557e-03
6.109228789757951361e+00,1.934392849598493003e-02,-2.833098971397341251e-02,2.011849731206893921e-02
1.695939339867973672e+01,1.179563280799028613e-02,-5.598281604870160993e-02,1.041257381439208984e-02
1.354671256851370309e+01,3.555869823374258054e-02,6.132024975837410685e-02,3.658827394247055054e-02
1.757551631526305158e+01,1.113561415428232504e-02,-5.441034564176178145e-02,1.000656187534332275e-02
1.300260401880376016e+01,2.952130711428585519e-02,3.249569220672239578e-02,3.198466449975967407e-02
3.340676463292658660e+00,2.326622646101153546e-02,-5.920097986819533586e-02,1.937320083379745483e-02
7.517509741948389390e+00,5.125232808047336386e-02,1.255635717775432925e-01,5.052756518125534058e-02
5.345076341268253373e+00,-3.385519226326794140e-03,-1.508755528271107926e-01,-1.904807984828948975e-03
4.304868819763952636e+00,-1.116783700247697686e-02,-2.132716529557561191e-01,-1.136175543069839478e-02
6.117230386077214810e+00,1.960079377176199289e-02,-2.700473862123245472e-02,2.036538720130920410e-02
5.969200854170833459e+00,1.484335333195929696e-02,-5.174071718720944790e-02,1.579009741544723511e-02
6.153237569513902550e+00,2.075478984814882466e-02,-2.105920982890518989e-02,2.147445827722549438e-02
1.763952908581716272e+01,1.131298184290813191e-02,-5.304140888313946256e-02,1.015263050794601440e-02
1.265453457891578282e+01,2.443434213947792699e-02,6.957963856127470301e-03,2.772805839776992798e-02
1.102220892978595757e+01,7.350333371606510013e-03,-9.069373709510203385e-02,1.089834421873092651e-02
1.210642523104620949e+01,1.612507771578525206e-02,-3.666641129920173575e-02,1.999676972627639771e-02
8.885782712542507511e+00,3.985628201084689959e-02,5.776350430428030258e-02,3.950015455484390259e-02
8.529711676335267612e+00,4.626533643102098692e-02,9.147443327795420909e-02,4.545152932405471802e-02
1.208251044208841884e+00,1.766643822187138613e-01,7.738434492326820013e-01,1.728655695915222168e-01
6.969400394078815175e+00,4.338626282819235680e-02,9.091363601540011774e-02,4.315873235464096069e-02
8.777761162232446068e+00,4.196329708527268831e-02,6.867455457505594607e-02,4.143767803907394409e-02
6.225251936387277141e+00,2.304898401852811807e-02,-9.300984136352450152e-03,2.367871254682540894e-02
1.230246434086817331e+01,1.901356797951486710e-02,-2.120335871153281732e-02,2.278968691825866699e-02
1.595119226245249067e+01,2.123728807254360307e-02,-1.509842166059837017e-02,1.845680177211761475e-02
1.149830391078215541e+01,9.206266324785328248e-03,-7.620868693942564609e-02,1.296055316925048828e-02
1.137027836967393490e+01,8.342863027918423491e-03,-8.184636624604042787e-02,1.204764842987060547e-02
4.320872012402480422e+00,-1.137600139173139402e-02,-2.139223887159805715e-01,-1.151457428932189941e-02
1.150230470894178758e+01,9.237203931031057191e-03,-7.601398119234248352e-02,1.299298554658889771e-02
1.320273392678535718e+00,1.702803440166166249e-01,7.337744732557603955e-01,1.658619344234466553e-01
1.025405568313662741e+01,1.281973195069879834e-02,-7.191727388557868361e-02,1.553277671337127686e-02
5.001097699539908126e-01,2.015296143161114661e-01,9.588332336662033217e-01,2.045169472694396973e-01
3.532714774954991199e+00,1.306854570136606331e-02,-1.079130527227010056e-01,9.870998561382293701e-03
