# Time, Target, Prediction
1.371828792119903007e+01,-4.687499999999999306e-02,-3.796727955341339111e-02
2.576105975995990249e+01,1.562499999999999827e-02,-4.082882776856422424e-03
1.715309588912386829e+01,0.000000000000000000e+00,2.310176379978656769e-02
2.489188579246673072e+01,0.000000000000000000e+00,-1.935576088726520538e-02
1.177050047597335869e+01,3.124999999999999653e-02,3.607743233442306519e-02
7.937757438593808779e+00,-4.687499999999999306e-02,-3.971981257200241089e-02
2.092300707343162358e+01,3.124999999999999653e-02,5.864841863512992859e-03
2.119527843674273626e+01,0.000000000000000000e+00,1.278251223266124725e-02
2.103819880406324572e+01,1.562499999999999827e-02,8.963396772742271423e-03
8.880235234670747602e+00,-6.249999999999999306e-02,-6.981857866048812866e-02
1.624203401958283166e+01,3.124999999999999653e-02,2.191790752112865448e-02
2.458819850261971141e+01,-3.124999999999999653e-02,-2.075442485511302948e-02
1.807462973417687735e+01,-3.124999999999999653e-02,-3.233181312680244446e-03
1.002168056547503916e+01,-1.562499999999999827e-02,-2.085764519870281219e-02
2.202256450218805028e+01,1.562499999999999827e-02,2.161544375121593475e-02
1.305855346394517191e+01,-3.124999999999999653e-02,-1.589656807482242584e-02
2.363524873103080992e+01,0.000000000000000000e+00,-8.541887626051902771e-03
2.094395102445555423e+01,1.562499999999999827e-02,6.443982943892478943e-03
2.414837553111714286e+01,0.000000000000000000e+00,-1.798719726502895355e-02
1.626297797060676231e+01,1.562499999999999827e-02,2.234043739736080170e-02
1.926843494725338113e+00,6.249999999999999306e-02,3.822089731693267822e-02
2.305929007787268148e+01,1.562499999999999827e-02,5.705295130610466003e-03
2.506990937617015192e+01,-3.124999999999999653e-02,-1.737389899790287018e-02
1.837831702402388956e+01,0.000000000000000000e+00,-1.296726800501346588e-02
1.829454121992815985e+01,-1.562499999999999827e-02,-1.039995439350605011e-02
1.880766802001449634e+01,-3.124999999999999653e-02,-2.359581179916858673e-02
1.538333202760161811e+01,0.000000000000000000e+00,-6.867373362183570862e-03
2.549926037216075514e+01,-3.124999999999999653e-02,-9.858625009655952454e-03
9.602801544996399485e+00,-7.812499999999998612e-02,-4.607637226581573486e-02
1.141445330856651275e+01,6.249999999999999306e-02,3.862120956182479858e-02
6.346017160774980681e+00,1.093749999999999861e-01,6.353805959224700928e-02
2.429498319299704168e+00,-1.093749999999999861e-01,-1.061222031712532043e-01
1.921607506498116891e+01,-1.562499999999999827e-02,-2.824086137115955353e-02
7.738789903866456044e+00,-3.124999999999999653e-02,-2.557900734245777130e-02
2.209586833077181112e+01,1.562499999999999827e-02,2.137031219899654388e-02
6.492624822654887717e-01,5.312500000000000000e-01,5.450432896614074707e-01
1.221032344747592724e+01,3.124999999999999653e-02,2.323639206588268280e-02
1.434660645662936718e+00,2.031249999999999722e-01,2.213894873857498169e-01
1.320516112111269713e+01,-1.562499999999999827e-02,-2.220509387552738190e-02
1.168672467187763075e+01,6.249999999999999306e-02,3.737799078226089478e-02
2.370855255961457431e+01,1.562499999999999827e-02,-1.019538752734661102e-02
2.858849315290310944e+00,-1.718749999999999722e-01,-1.825293898582458496e-01
2.223200401242737101e+01,1.562499999999999827e-02,2.048824541270732880e-02
2.181312499194873311e+01,3.124999999999999653e-02,2.138943783938884735e-02
2.408554368275772184e+00,-7.812499999999998612e-02,-1.012241467833518982e-01
1.200088393723660829e+01,4.687499999999999306e-02,3.049949370324611664e-02
1.532050017452982438e+01,1.562499999999999827e-02,-9.434700012207031250e-03
2.312212193094448054e+01,0.000000000000000000e+00,4.156218841671943665e-03
2.135235806942223036e+01,3.124999999999999653e-02,1.602078787982463837e-02
