# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.803921568627451025e-02
1.000000100000000922e-03,6.999815768802304383e+00,2.078431372549019787e-02
2.000000100000001810e-03,6.999263092738292613e+00,2.078431372549019787e-02
3.000000100000002699e-03,6.998342024172143461e+00,2.078431372549019787e-02
4.000000100000003153e-03,6.997052650370918947e+00,2.235294117647058931e-02
5.000000100000004041e-03,6.995395093494728656e+00,2.078431372549019787e-02
6.000000099999893907e-03,6.993369510582946091e+00,2.078431372549019787e-02
7.000000099999894795e-03,6.990976093536494851e+00,2.039215686274509914e-02
8.000000099999895684e-03,6.988215069096209042e+00,2.039215686274509914e-02
9.000000099999896572e-03,6.985086698817257300e+00,2.000000000000000042e-02
1.000000009999989746e-02,6.981591279039640163e+00,2.000000000000000042e-02
1.100000009999989835e-02,6.977729140854782131e+00,1.960784313725490516e-02
1.200000009999989924e-02,6.973500650068170437e+00,2.000000000000000042e-02
1.300000009999990012e-02,6.968906207158125810e+00,2.117647058823529660e-02
1.400000009999990101e-02,6.963946247230619058e+00,1.960784313725490516e-02
1.500000009999990190e-02,6.958621239970224082e+00,1.960784313725490516e-02
1.600000009999990452e-02,6.952931689587143360e+00,1.960784313725490516e-02
1.700000009999990541e-02,6.946878134760364532e+00,1.960784313725490516e-02
1.800000009999990630e-02,6.940461148576921424e+00,1.921568627450980643e-02
1.900000009999990719e-02,6.933681338467283517e+00,1.921568627450980643e-02
2.000000009999990808e-02,6.926539346136872943e+00,1.921568627450980643e-02
2.100000009999990896e-02,6.919035847493732128e+00,1.882352941176470770e-02
2.200000009999990985e-02,6.911171552572330512e+00,1.882352941176470770e-02
2.300000009999991074e-02,6.902947205453529023e+00,1.921568627450980643e-02
2.400000009999991163e-02,6.894363584180722704e+00,1.921568627450980643e-02
2.500000009999991252e-02,6.885421500672157968e+00,1.843137254901960898e-02
2.600000009999991341e-02,6.876121800629434233e+00,1.843137254901960898e-02
2.700000009999991429e-02,6.866465363442203262e+00,1.803921568627451025e-02
2.800000009999991518e-02,6.856453102089105300e+00,1.843137254901960898e-02
2.900000009999991607e-02,6.846085963034893140e+00,1.843137254901960898e-02
3.000000009999991696e-02,6.835364926123825846e+00,1.764705882352941152e-02
3.100000009999991785e-02,6.824291004469292155e+00,1.803921568627451025e-02
3.200000009999991873e-02,6.812865244339704418e+00,1.725490196078431279e-02
3.300000009999991962e-02,6.801088725040674632e+00,1.764705882352941152e-02
3.400000009999992051e-02,6.788962558793475210e+00,1.764705882352941152e-02
3.500000009999992140e-02,6.776487890609812936e+00,1.725490196078431279e-02
3.600000009999992229e-02,6.763665898162919632e+00,1.764705882352941152e-02
3.700000009999992318e-02,6.750497791654988866e+00,1.764705882352941152e-02
3.800000009999992406e-02,6.736984813680956918e+00,1.725490196078431279e-02
