# Time, Target, Prediction
1.222079542351149151e+01,3.508771929824561903e-02,2.341992221772670746e-02
1.859822851029877810e+01,-1.754385964912280951e-02,-2.576741017401218414e-02
8.471828190227673971e+00,-7.017543859649123805e-02,-7.301287353038787842e-02
7.257079030839619804e+00,0.000000000000000000e+00,2.066608332097530365e-02
1.976061779212699676e+01,-3.508771929824561903e-02,-3.507524728775024414e-02
6.796312108313116163e+00,5.263157894736842507e-02,5.780373513698577881e-02
3.131120679125025230e+00,-1.929824561403508665e-01,-1.837681233882904053e-01
1.507964474770297381e+00,2.807017543859649522e-01,2.881389260292053223e-01
7.885397561557578427e+00,-1.754385964912280951e-02,-3.650021553039550781e-02
2.438923096841596205e+01,0.000000000000000000e+00,-2.793894149363040924e-02
1.642005760380985180e+01,1.754385964912280951e-02,2.200151793658733368e-02
2.385516021730569491e+01,-1.754385964912280951e-02,-1.954650320112705231e-02
8.210028802428523065e+00,-5.263157894736842507e-02,-6.000365316867828369e-02
4.241150083393417702e+00,-1.052631578947368501e-01,-1.408930718898773193e-01
1.801179789105345153e+00,1.929824561403508665e-01,1.661574542522430420e-01
2.984513021957501788e+00,-1.754385964912280604e-01,-1.674417257308959961e-01
3.539527724091697802e+00,-1.929824561403508665e-01,-1.988826543092727661e-01
1.758244688563807756e+01,1.754385964912280951e-02,9.963950142264366150e-03
7.225663113728494347e-01,6.140350877192982670e-01,6.296049356460571289e-01
4.167846254809656870e+00,-1.578947368421052544e-01,-1.504980027675628662e-01
1.845162085313124933e+01,0.000000000000000000e+00,-2.115582861006259918e-02
1.022064810072598995e+01,-1.754385964912280951e-02,-1.561334915459156036e-02
4.283037985441281670e+00,-1.403508771929824761e-01,-1.351590156555175781e-01
4.094542426225894260e+00,-1.754385964912280604e-01,-1.594820171594619751e-01
8.168140909805433614e-01,5.789473684210527660e-01,5.885164737701416016e-01
6.283185308226784116e+00,7.017543859649123805e-02,7.701464742422103882e-02
2.169793326184070281e+01,0.000000000000000000e+00,1.756026409566402435e-02
2.459867047865528278e+01,-1.754385964912280951e-02,-2.882871963083744049e-02
2.571917185843563658e+01,0.000000000000000000e+00,-1.048839278519153595e-02
1.766622268973380372e+01,1.754385964912280951e-02,7.210088893771171570e-03
1.561371548938847198e+01,0.000000000000000000e+00,-3.880118951201438904e-03
2.018996878811760354e+01,-1.754385964912280951e-02,-2.516656555235385895e-02
1.476548547291922731e+01,-3.508771929824561903e-02,-3.981789201498031616e-02
7.958701399566113777e-01,6.140350877192982670e-01,5.976344347000122070e-01
2.312212193146807948e+01,-1.754385964912280951e-02,5.087759345769882202e-04
1.386489557889015067e+01,-5.263157894736842507e-02,-4.876048117876052856e-02
2.932153144397670275e+00,-1.578947368421052544e-01,-1.601620316505432129e-01
1.556135561182864180e+01,0.000000000000000000e+00,-6.195003166794776917e-03
8.660323749443058716e+00,-7.017543859649123805e-02,-7.845175266265869141e-02
1.470265361984743002e+01,-3.508771929824561903e-02,-4.180958867073059082e-02
2.327920156414756292e+01,-1.754385964912280951e-02,-4.024745896458625793e-03
1.909041135936117328e+01,-3.508771929824561903e-02,-3.636319935321807861e-02
1.754055898359021270e+01,1.754385964912280951e-02,1.128070615231990814e-02
1.349837643597134473e+01,-1.754385964912280951e-02,-3.910735994577407837e-02
6.031857895939600311e+00,7.017543859649123805e-02,7.408374547958374023e-02
2.277654673957320242e+01,1.754385964912280951e-02,9.609086439013481140e-03
2.488141381747836078e+01,-3.508771929824561903e-02,-2.761762775480747223e-02
1.905899544225004849e+00,1.052631578947368501e-01,1.248994991183280945e-01
1.324704902368416093e+01,-5.263157894736842507e-02,-2.870758064091205597e-02
4.701917005919921344e+00,-8.771929824561403022e-02,-7.178261131048202515e-02
1.235693110516705318e+01,1.754385964912280951e-02,1.732007972896099091e-02
1.860870048581073988e+01,0.000000000000000000e+00,-2.607600577175617218e-02
1.126784565192259002e+01,3.508771929824561903e-02,3.702239692211151123e-02
1.332035285226792354e+01,-3.508771929824561903e-02,-3.200285136699676514e-02
2.477669406235870042e+01,-1.754385964912280951e-02,-2.839090116322040558e-02
2.597049928014758979e+00,-1.052631578947368501e-01,-9.559527784585952759e-02
4.230678107881453265e+00,-1.578947368421052544e-01,-1.422998160123825073e-01
9.320058206696918646e+00,-8.771929824561403022e-02,-7.084173709154129028e-02
1.177050047649695763e+01,3.508771929824561903e-02,3.725618124008178711e-02
1.076519082734822241e+01,1.754385964912280951e-02,1.876976527273654938e-02
2.220058808641507042e+01,3.508771929824561903e-02,1.870067976415157318e-02
3.728023283307085656e+00,-1.754385964912280604e-01,-1.921650320291519165e-01
5.403539365221640800e+00,0.000000000000000000e+00,2.806334011256694794e-02
2.160368548223301133e+01,1.754385964912280951e-02,1.632050983607769012e-02
1.211607566839183470e+01,1.754385964912280951e-02,2.759659104049205780e-02
1.334129680329185419e+01,-1.754385964912280951e-02,-3.290767967700958252e-02
1.322610507266022672e+01,-1.754385964912280951e-02,-2.773169614374637604e-02
2.127905424136206491e+01,0.000000000000000000e+00,9.760191664099693298e-03
2.419026343368860665e+01,-1.754385964912280951e-02,-2.576260454952716827e-02
5.162683928446424986e+00,3.508771929824561903e-02,-2.359831705689430237e-03
7.979645341165271688e+00,-1.754385964912280951e-02,-4.402405023574829102e-02
9.204866476065291181e+00,-7.017543859649123805e-02,-7.493513077497482300e-02
1.541474795466111658e+01,-5.263157894736842507e-02,-1.282038353383541107e-02
2.527934888693306803e+01,-1.754385964912280951e-02,-2.148080058395862579e-02
2.185501289452019336e+01,1.754385964912280951e-02,1.891112886369228363e-02
2.045176817591675089e+01,-1.754385964912280951e-02,-1.684490777552127838e-02
1.720545576720730097e+01,0.000000000000000000e+00,1.994695328176021576e-02
2.481858196440656528e+01,0.000000000000000000e+00,-2.812693454325199127e-02
1.299572161139697712e+01,-1.754385964912280951e-02,-1.619928516447544098e-02
7.361798785959279279e+00,1.754385964912280951e-02,1.097229681909084320e-02
2.125811029033813426e+01,0.000000000000000000e+00,9.226342663168907166e-03
2.453583862558348372e+01,-5.263157894736842507e-02,-2.871903963387012482e-02
2.106961473112274419e+01,-1.754385964912280951e-02,3.921015188097953796e-03
8.450884239203741544e+00,-8.771929824561403022e-02,-7.219851016998291016e-02
6.366961112322512051e+00,7.017543859649123805e-02,7.605404406785964966e-02
2.483952591543049593e+01,-3.508771929824561903e-02,-2.797218598425388336e-02
1.326799297470808980e+01,-3.508771929824561903e-02,-2.966860868036746979e-02
1.266061839501406538e+01,1.754385964912280951e-02,1.833466812968254089e-03
1.823170936737996684e+01,0.000000000000000000e+00,-1.345143653452396393e-02
3.633775503699390619e+00,-1.929824561403508665e-01,-1.965033262968063354e-01
8.398524361643911362e+00,-7.017543859649123805e-02,-6.998457014560699463e-02
1.250353876233457484e+01,0.000000000000000000e+00,1.008885540068149567e-02
9.676105374103761037e+00,-7.017543859649123805e-02,-5.258822441101074219e-02
1.677610477121669419e+01,1.754385964912280951e-02,2.464895509183406830e-02
1.239881900721491625e+01,1.754385964912280951e-02,1.531482301652431488e-02
1.407433508912946962e+01,-5.263157894736842507e-02,-5.081692337989807129e-02
1.663996908956113430e+01,1.754385964912280951e-02,2.436125837266445160e-02
2.102772682907487933e+01,-1.754385964912280951e-02,2.634784206748008728e-03
2.003288915543811655e+01,-1.754385964912280951e-02,-2.945351786911487579e-02
2.560398012780401089e+01,-1.754385964912280951e-02,-1.362504251301288605e-02
2.406459972754501564e+01,-3.508771929824561903e-02,-2.377680130302906036e-02
1.536238807710128818e+01,-1.754385964912280951e-02,-1.520937122404575348e-02
3.529055748579730700e+00,-1.929824561403508665e-01,-1.990204453468322754e-01
7.016223603489174510e-01,6.315789473684210176e-01,6.387633681297302246e-01
1.710073601208764060e+01,0.000000000000000000e+00,2.183119021356105804e-02
6.618288524609695855e+00,1.052631578947368501e-01,6.785140931606292725e-02
