# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.019607843137254957e-02
2.000000100000001810e-03,6.999815768820727868e+00,8.823529411764705760e-03
4.000000100000003153e-03,6.999263092775136919e+00,7.843137254901960675e-03
6.000000100000004929e-03,6.998342024227405034e+00,7.647058823529412179e-03
8.000000100000006706e-03,6.997052650444593347e+00,6.862745098039216458e-03
1.000000010000000848e-02,6.995395093586809665e+00,6.470588235294118598e-03
1.200000010000001026e-02,6.993369510693423052e+00,6.862745098039216458e-03
1.400000010000001203e-02,6.990976093665357993e+00,6.470588235294118598e-03
1.600000009999979350e-02,6.988215069243446820e+00,6.470588235294118598e-03
1.800000009999979528e-02,6.985086698982853726e+00,6.078431372549019870e-03
2.000000009999979705e-02,6.981591279223582802e+00,5.686274509803922010e-03
2.200000009999979883e-02,6.977729141057050555e+00,6.274509803921569234e-03
2.400000009999980061e-02,6.973500650288747771e+00,6.078431372549019870e-03
2.600000009999980238e-02,6.968906207396988961e+00,6.274509803921569234e-03
2.800000009999980416e-02,6.963946247487747598e+00,5.686274509803922010e-03
3.000000009999980594e-02,6.958621240245592254e+00,5.490196078431372646e-03
3.200000009999980771e-02,6.952931689880725408e+00,5.490196078431372646e-03
3.400000009999980949e-02,6.946878135072133809e+00,5.686274509803922010e-03
3.600000009999981126e-02,6.940461148906847733e+00,5.490196078431372646e-03
3.800000009999981304e-02,6.933681338815333994e+00,5.490196078431372646e-03
4.000000009999981482e-02,6.926539346503016503e+00,4.901960784313726290e-03
4.200000009999981659e-02,6.919035847877934131e+00,5.294117647058824150e-03
4.400000009999981837e-02,6.911171552974552768e+00,5.490196078431372646e-03
4.600000009999982015e-02,6.902947205873733338e+00,5.098039215686274786e-03
4.800000009999982192e-02,6.894363584618872665e+00,5.294117647058824150e-03
5.000000009999982370e-02,6.885421501128210053e+00,4.901960784313726290e-03
5.200000009999982548e-02,6.876121801103343145e+00,5.098039215686274786e-03
5.400000009999982725e-02,6.866465363933929034e+00,4.901960784313726290e-03
5.600000009999982903e-02,6.856453102598597305e+00,4.901960784313726290e-03
5.800000009999983080e-02,6.846085963562106080e+00,4.705882352941176926e-03
6.000000009999983258e-02,6.835364926668709096e+00,4.509803921568627562e-03
6.200000009999983436e-02,6.824291005031792423e+00,4.705882352941176926e-03
6.400000009999982920e-02,6.812865244919770191e+00,4.901960784313726290e-03
6.600000009999983097e-02,6.801088725638250843e+00,4.509803921568627562e-03
6.800000009999983275e-02,6.788962559408505903e+00,4.313725490196078198e-03
7.000000009999983452e-02,6.776487891242239492e+00,4.705882352941176926e-03
7.200000009999983630e-02,6.763665898812682542e+00,4.509803921568627562e-03
