# Time, Target, Prediction
1.371828792119903007e+01,-1.923076923076923184e-02,-1.558072306215763092e-02
2.577153173547186782e+01,-1.923076923076923184e-02,-1.615579822100698948e-03
1.654572130942984032e+01,0.000000000000000000e+00,1.288791000843048096e-02
2.029468854271366141e+01,0.000000000000000000e+00,-4.033352714031934738e-03
1.177050047597335869e+01,0.000000000000000000e+00,1.836718060076236725e-02
7.937757438593808779e+00,0.000000000000000000e+00,-1.217245496809482574e-02
2.093347904894358535e+01,0.000000000000000000e+00,4.303616005927324295e-03
2.120575041225470159e+01,1.923076923076923184e-02,6.978027988225221634e-03
2.104867077957521104e+01,0.000000000000000000e+00,5.532756913453340530e-03
8.880235234670747602e+00,-1.923076923076923184e-02,-2.839699573814868927e-02
2.057743188153674296e+01,-1.923076923076923184e-02,-1.743842149153351784e-04
1.454557398664433876e+01,0.000000000000000000e+00,-1.365842949599027634e-02
1.808510170968883912e+01,0.000000000000000000e+00,-2.658970188349485397e-03
1.002168056547503916e+01,1.923076923076923184e-02,-4.689396824687719345e-03
2.596002729468725434e+01,-1.923076923076923184e-02,2.940431004390120506e-04
1.305855346394517191e+01,-1.923076923076923184e-02,-6.544777657836675644e-03
2.364572070654277525e+01,0.000000000000000000e+00,-5.865001585334539413e-03
2.141518992249402231e+01,1.923076923076923184e-02,8.442081511020660400e-03
1.799085393008114764e+01,-1.923076923076923184e-02,-1.291673281230032444e-03
2.142566189800598764e+01,0.000000000000000000e+00,8.500568568706512451e-03
1.926843494725338113e+00,5.769230769230768857e-02,5.471032112836837769e-02
2.306976205338464680e+01,0.000000000000000000e+00,8.998255943879485130e-04
2.366666465756670590e+01,0.000000000000000000e+00,-6.079088430851697922e-03
1.838878899953585488e+01,1.923076923076923184e-02,-6.588805001229047775e-03
1.830501319544012517e+01,0.000000000000000000e+00,-5.589004140347242355e-03
1.881813999552645811e+01,-1.923076923076923184e-02,-1.049363240599632263e-02
1.539380400311358343e+01,0.000000000000000000e+00,-1.086119213141500950e-03
1.637816970123838800e+01,0.000000000000000000e+00,1.210462674498558044e-02
9.602801544996399485e+00,0.000000000000000000e+00,-1.733624935150146484e-02
1.141445330856651275e+01,1.923076923076923184e-02,2.046978659927845001e-02
6.346017160774980681e+00,1.923076923076923184e-02,4.226188734173774719e-02
2.429498319299704168e+00,-1.923076923076923184e-02,-2.664769068360328674e-02
1.477595744790759369e+01,0.000000000000000000e+00,-1.089867576956748962e-02
7.738789903866456044e+00,-1.923076923076923184e-02,-5.204158369451761246e-03
1.750914305653071068e+01,0.000000000000000000e+00,6.029790733009576797e-03
6.492624822654887717e-01,3.653846153846153633e-01,3.398213386535644531e-01
1.221032344747592724e+01,3.846153846153846367e-02,1.162611320614814758e-02
1.434660645662936718e+00,1.730769230769230727e-01,1.577368676662445068e-01
1.320516112111269358e+01,-1.923076923076923184e-02,-9.259806014597415924e-03
1.168672467187763075e+01,3.846153846153846367e-02,1.916623674333095551e-02
2.371902453512653608e+01,0.000000000000000000e+00,-6.596693303436040878e-03
2.858849315290310944e+00,-9.615384615384614531e-02,-7.171308249235153198e-02
1.544616388067341184e+01,1.923076923076923184e-02,-1.952495658770203590e-04
2.356194490244704909e+01,7.692307692307692735e-02,-4.972254391759634018e-03
2.408554368275772184e+00,1.923076923076923184e-02,-2.383207902312278748e-02
1.200088393723660829e+01,3.846153846153846367e-02,1.531514991074800491e-02
1.533097215004178970e+01,1.923076923076923184e-02,-2.156387548893690109e-03
2.313259390645643876e+01,1.923076923076923184e-02,1.365285133942961693e-04
2.136283004493419213e+01,1.923076923076923184e-02,8.128158748149871826e-03
3.707079331759554730e+00,-7.692307692307692735e-02,-8.612615615129470825e-02
9.843656981771617964e+00,-5.769230769230768857e-02,-1.026597339659929276e-02
1.884955597389853799e-01,5.384615384615384359e-01,5.341641306877136230e-01
9.937904761379311225e+00,0.000000000000000000e+00,-7.324144709855318069e-03
1.211607566786823575e+01,1.923076923076923184e-02,1.337851863354444504e-02
2.474527813529920550e+01,-3.846153846153846367e-02,-9.692268446087837219e-03
1.489114917853921582e+01,-1.923076923076923184e-02,-9.272951632738113403e-03
1.312138531701696564e+01,1.923076923076923184e-02,-7.747773546725511551e-03
1.172861257863788254e+00,2.307692307692307543e-01,2.168572247028350830e-01
2.318495378401627249e+01,0.000000000000000000e+00,-5.040128016844391823e-04
1.487020523222766677e+00,1.346153846153846090e-01,1.460687667131423950e-01
1.209513171684430155e+01,1.923076923076923184e-02,1.374837849289178848e-02
1.562418746437683659e+01,-1.923076923076923184e-02,2.784094307571649551e-03
6.429792964870708616e+00,3.846153846153846367e-02,4.111280292272567749e-02
1.111076601871950054e+01,0.000000000000000000e+00,1.940782740712165833e-02
1.466076572198834693e+00,1.346153846153846090e-01,1.507246494293212891e-01
9.278170304125454848e+00,-5.769230769230768857e-02,-2.468846179544925690e-02
2.369808058410260543e+01,0.000000000000000000e+00,-6.392776500433683395e-03
1.976061779160339782e+01,0.000000000000000000e+00,-1.002275571227073669e-02
2.368760860859064010e+01,0.000000000000000000e+00,-6.289250683039426804e-03
2.205398042872394626e+01,3.846153846153846367e-02,9.341940283775329590e-03
9.466665863340843146e+00,-1.923076923076923184e-02,-2.080829255282878876e-02
1.162389282351822262e+00,2.499999999999999722e-01,2.192311137914657593e-01
2.398082392292568699e+01,0.000000000000000000e+00,-8.737388998270034790e-03
1.416858286821356394e+01,-1.923076923076923184e-02,-1.630119048058986664e-02
7.696902001818592076e+00,0.000000000000000000e+00,-3.631126601248979568e-03
1.009498439405879999e+01,-1.923076923076923184e-02,-2.396769355982542038e-03
4.984660344219403072e+00,0.000000000000000000e+00,-1.095128827728331089e-03
1.643052957879821818e+01,1.923076923076923184e-02,1.241324096918106079e-02
2.241002759613078865e+01,1.923076923076923184e-02,7.548969704657793045e-03
1.868200431387090177e+01,0.000000000000000000e+00,-9.491732344031333923e-03
6.565928646526265844e+00,1.923076923076923184e-02,3.841590508818626404e-02
6.398377038334809974e+00,3.846153846153846367e-02,4.159148409962654114e-02
3.728023282783486714e+00,-9.615384615384614531e-02,-8.539308607578277588e-02
