# Time, Target (V), Target (I), Prediction (V), Prediction (I)
1.495398103108741417e+01,-5.952380952380952744e-02,-4.255319148936170109e-02,-5.895115807652473450e-02,-1.995018124580383301e-02
1.872389221539516768e+01,-1.785714285714285754e-01,-2.340425531914893387e-01,-1.811694651842117310e-01,-2.263500392436981201e-01
1.501681288415921145e+01,-4.761904761904761640e-02,-1.063829787234042527e-02,-5.194260552525520325e-02,-1.028838753700256348e-02
4.682229690910227760e+01,0.000000000000000000e+00,3.191489361702127409e-02,-6.221342831850051880e-03,5.068901181221008301e-02
2.129999819133879768e+01,3.452380952380952328e-01,5.319148936170212671e-01,3.679005205631256104e-01,5.474380254745483398e-01
1.237787505514378417e+01,1.190476190476190410e-02,1.063829787234042527e-02,4.446249455213546753e-03,-1.258996129035949707e-02
7.376459550628833739e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-1.217617467045783997e-02,-2.124652266502380371e-02
1.460212265388535791e+01,-9.523809523809523281e-02,-6.382978723404254817e-02,-9.244109690189361572e-02,-7.067146897315979004e-02
2.471805099844449316e+01,4.880952380952380820e-01,1.489361702127659504e-01,4.577008187770843506e-01,1.196125745773315430e-01
2.922937804899943615e+01,9.523809523809523281e-02,6.382978723404254817e-02,9.267692267894744873e-02,7.603213191032409668e-02
3.072477615210817348e+01,1.190476190476190410e-02,-5.319148936170212116e-02,8.544873446226119995e-03,-4.989567399024963379e-02
2.122459996765264378e+01,2.857142857142856984e-01,5.106382978723403854e-01,3.266811072826385498e-01,5.046719312667846680e-01
1.203858304855608630e+01,2.380952380952380820e-02,2.127659574468085055e-02,3.327844664454460144e-02,3.098025918006896973e-02
1.207628216039916502e+01,0.000000000000000000e+00,1.063829787234042527e-02,3.053448721766471863e-02,2.648314833641052246e-02
1.742955604211617171e+01,3.571428571428571230e-02,4.255319148936170109e-02,5.198786780238151550e-02,3.452590107917785645e-02
2.016902483604647145e+01,-1.309523809523809590e-01,-6.382978723404254817e-02,-1.284452825784683228e-01,-3.973296284675598145e-02
7.891680745817560627e+00,-4.761904761904761640e-02,-8.510638297872340219e-02,-5.215682461857795715e-02,-7.710227370262145996e-02
3.206937780784461012e+01,-1.190476190476190549e-01,-1.170212765957446693e-01,-1.035845428705215454e-01,-1.323934048414230347e-01
4.101663368526833864e+01,-5.952380952380952744e-02,-3.191489361702127409e-02,-5.013509467244148254e-02,-1.498869061470031738e-02
4.257486364144887858e+01,3.571428571428571230e-02,8.510638297872340219e-02,3.329072520136833191e-02,6.211796402931213379e-02
9.236282401553991050e+00,-7.142857142857142461e-02,-7.446808510638297518e-02,-7.741250097751617432e-02,-6.427100300788879395e-02
1.095787517572119896e+01,2.380952380952380820e-02,1.063829787234042423e-01,4.385493323206901550e-02,8.562514185905456543e-02
6.660176425610361939e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-3.769535571336746216e-03,-2.546638250350952148e-03
1.222707860777147459e+01,1.190476190476190410e-02,0.000000000000000000e+00,1.831958815455436707e-02,7.499068975448608398e-03
3.566335980355133017e+01,1.190476190476190410e-02,1.063829787234042527e-02,1.124332472681999207e-02,1.308932900428771973e-03
2.309698918919216126e+01,1.000000000000000000e+00,9.148936170212764729e-01,9.740203022956848145e-01,9.025859832763671875e-01
3.518583772020568823e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-6.165284663438796997e-03,-3.218919038772583008e-03
7.489556886158066362e+00,-2.380952380952380820e-02,-6.382978723404254817e-02,-1.903535798192024231e-02,-3.237316012382507324e-02
5.956459671206247641e+00,-2.380952380952380820e-02,-1.063829787234042527e-02,-5.292076617479324341e-03,-3.494173288345336914e-03
2.304672370673472415e+01,1.000000000000000000e+00,9.042553191489360875e-01,9.732140302658081055e-01,9.120429754257202148e-01
1.417486605299714597e+01,-9.523809523809523281e-02,-1.170212765957446693e-01,-1.148685365915298462e-01,-1.159117519855499268e-01
4.331627950769606628e+01,2.380952380952380820e-02,4.255319148936170109e-02,2.596793696284294128e-02,3.648528456687927246e-02
3.057397970473586568e+01,2.380952380952380820e-02,-1.063829787234042527e-02,2.582902833819389343e-02,-3.127220273017883301e-02
3.998619129489088664e+01,-5.952380952380952744e-02,-7.446808510638297518e-02,-7.716073095798492432e-02,-6.891402602195739746e-02
1.479061821310074620e+01,-7.142857142857142461e-02,-3.191489361702127409e-02,-7.586194574832916260e-02,-4.444387555122375488e-02
1.234017594330070722e+01,1.190476190476190410e-02,-1.063829787234042527e-02,8.044939488172531128e-03,-7.501274347305297852e-03
4.165751858660065921e+01,-2.380952380952380820e-02,1.063829787234042527e-02,-7.617522031068801880e-03,3.305044770240783691e-02
7.187963991413446330e+00,-1.190476190476190410e-02,1.063829787234042527e-02,-5.052227526903152466e-03,-8.496791124343872070e-03
1.064371591036221965e+01,2.380952380952380820e-02,7.446808510638297518e-02,2.441869303584098816e-02,7.050046324729919434e-02
9.839468191043232892e+00,-3.571428571428571230e-02,-1.063829787234042527e-02,-4.022445157170295715e-02,-6.120890378952026367e-03
3.567592617416568856e+01,1.190476190476190410e-02,1.063829787234042527e-02,1.058856770396232605e-02,4.104971885681152344e-04
4.735008447490535843e+01,4.761904761904761640e-02,1.063829787234042423e-01,5.323628708720207214e-02,1.088108718395233154e-01
1.342088381613559633e+01,-8.333333333333334259e-02,-1.489361702127659504e-01,-9.598995745182037354e-02,-1.257857382297515869e-01
1.495398103108741550e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.619306117296218872e-03,-4.066258668899536133e-03
2.420282980325576361e+01,7.380952380952381375e-01,4.468085106382978511e-01,7.149525880813598633e-01,4.293309748172760010e-01
3.707079331235956232e+01,-7.142857142857142461e-02,-6.382978723404254817e-02,-7.132239639759063721e-02,-8.266451954841613770e-02
4.293928838926529323e+01,3.571428571428571230e-02,6.382978723404254817e-02,3.494591638445854187e-02,5.532568693161010742e-02
1.533097214951818943e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.701560527086257935e-03,-4.201799631118774414e-03
4.237380171161913012e+01,2.380952380952380820e-02,7.446808510638297518e-02,2.836714312434196472e-02,6.116393208503723145e-02
6.999468432198059809e+00,-1.190476190476190410e-02,1.063829787234042527e-02,-2.631802111864089966e-03,-2.943247556686401367e-03
4.694796061524586861e+01,0.000000000000000000e+00,4.255319148936170109e-02,8.675914257764816284e-03,6.644693017005920410e-02
2.323521926595011067e+01,9.880952380952380265e-01,8.723404255319149314e-01,9.707239270210266113e-01,8.710110187530517578e-01
3.606548366321082710e+01,0.000000000000000000e+00,-3.191489361702127409e-02,-1.227458193898200989e-02,-2.839466929435729980e-02
3.893061616328471786e+01,-2.380952380952380820e-02,-2.127659574468085055e-02,-3.165640309453010559e-02,-1.369580626487731934e-02
3.402973162368463989e+01,0.000000000000000000e+00,4.255319148936170109e-02,1.463727280497550964e-02,3.979998826980590820e-02
2.618831636032451726e+01,-1.428571428571428492e-01,-4.148936170212765839e-01,-1.451393961906433105e-01,-3.963165283203125000e-01
2.731928971561683994e+01,-2.023809523809523836e-01,-2.765957446808510189e-01,-1.923622190952301025e-01,-2.803026437759399414e-01
3.062424518719330280e+01,2.380952380952380820e-02,-4.255319148936170109e-02,2.011726424098014832e-02,-3.753566741943359375e-02
3.957150106461703132e+01,-7.142857142857142461e-02,-7.446808510638297518e-02,-6.224437430500984192e-02,-5.841684341430664062e-02
1.771858256624643246e+00,-2.380952380952380820e-02,-3.191489361702127409e-02,-6.304163485765457153e-03,-5.049675703048706055e-03
2.792247550510608178e+01,-1.071428571428571369e-01,-1.489361702127659504e-01,-9.371329843997955322e-02,-1.211434900760650635e-01
2.902831611916969035e+00,-1.190476190476190410e-02,-2.127659574468085055e-02,-6.991285830736160278e-03,-4.819720983505249023e-03
3.928247454048677412e+01,-4.761904761904761640e-02,-3.191489361702127409e-02,-4.649903252720832825e-02,-3.924429416656494141e-02
8.444601052849364464e+00,-7.142857142857142461e-02,-1.276595744680850963e-01,-8.460761606693267822e-02,-1.010526120662689209e-01
3.018442221569073425e+01,5.952380952380952744e-02,2.127659574468085055e-02,6.610704958438873291e-02,1.659873127937316895e-02
1.634884816928128259e+01,1.071428571428571369e-01,1.382978723404255095e-01,9.316836297512054443e-02,1.371773183345794678e-01
2.417769706202704683e+01,7.619047619047618625e-01,4.468085106382978511e-01,7.262746095657348633e-01,4.445459544658660889e-01
4.158212036291450175e+01,-2.380952380952380820e-02,2.127659574468085055e-02,-1.256688311696052551e-02,2.815942466259002686e-02
2.212937865188650122e+01,7.500000000000000000e-01,8.510638297872339386e-01,7.791849970817565918e-01,8.929761648178100586e-01
4.750088092227767511e+00,-1.190476190476190410e-02,0.000000000000000000e+00,-4.582542926073074341e-03,-1.470357179641723633e-03
5.051680986972386478e+01,-2.380952380952381098e-01,-2.978723404255319007e-01,-2.380720525979995728e-01,-2.633424699306488037e-01
1.515504296091716085e+01,-1.190476190476190410e-02,0.000000000000000000e+00,-3.576405718922615051e-02,1.110148429870605469e-02
1.004053012087297958e+01,-1.190476190476190410e-02,1.063829787234042527e-02,-2.419914677739143372e-02,1.535210013389587402e-02
4.703592520954638445e+01,1.190476190476190410e-02,8.510638297872340219e-02,1.895887777209281921e-02,7.689121365547180176e-02
1.854796302679413955e+01,-1.428571428571428492e-01,-2.127659574468084847e-01,-1.517883688211441040e-01,-2.016413509845733643e-01
3.641734204041288336e+01,-4.761904761904761640e-02,-6.382978723404254817e-02,-3.524651005864143372e-02,-5.324640870094299316e-02
1.614778623945153413e+01,7.142857142857142461e-02,1.276595744680850963e-01,7.872240245342254639e-02,1.294616162776947021e-01
3.097610356439535906e+01,0.000000000000000000e+00,-8.510638297872340219e-02,-2.041592076420783997e-02,-7.893884181976318359e-02
4.025008507779242706e+01,-7.142857142857142461e-02,-5.319148936170212116e-02,-7.872925698757171631e-02,-6.394219398498535156e-02
3.639220929918415948e+01,-2.380952380952380820e-02,-4.255319148936170109e-02,-3.360249474644660950e-02,-5.159373581409454346e-02
3.509787312590516706e+01,3.571428571428571230e-02,5.319148936170212116e-02,3.299234434962272644e-02,3.585585951805114746e-02
5.780530482605219511e-01,-2.380952380952380820e-02,0.000000000000000000e+00,-6.923932582139968872e-03,-4.143983125686645508e-03
1.987999831191621070e+01,-2.023809523809523836e-01,-1.808510638297872453e-01,-1.952144056558609009e-01,-1.416745483875274658e-01
3.080017437579433093e+01,0.000000000000000000e+00,-5.319148936170212116e-02,-1.931376755237579346e-04,-5.894380807876586914e-02
4.459804931036070030e+01,-5.952380952380952744e-02,-8.510638297872340219e-02,-7.256656885147094727e-02,-8.572633564472198486e-02
2.691716585595734657e+01,-2.261904761904761918e-01,-3.723404255319148759e-01,-2.212934195995330811e-01,-3.658749163150787354e-01
2.926707716084251487e+01,9.523809523809523281e-02,6.382978723404254817e-02,9.441448748111724854e-02,7.650551199913024902e-02
2.572336064759322838e+01,1.190476190476190410e-02,-2.765957446808510189e-01,-4.201997071504592896e-03,-3.070759475231170654e-01
3.891804979267035947e+01,-3.571428571428571230e-02,0.000000000000000000e+00,-3.137810900807380676e-02,-1.298230886459350586e-02
