# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-4.961886256933212280e-02,-3.238189220428466797e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.827843278646469116e-02,-7.475748658180236816e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454545581e-02,1.999805122613906860e-02,2.225628495216369629e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.762641340494155884e-02,-2.400946617126464844e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.404065757989883423e-02,4.047477245330810547e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.252175658941268921e-02,-2.732323110103607178e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.667905598878860474e-02,1.516044139862060547e-03
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-6.981186568737030029e-03,8.587062358856201172e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.244907826185226440e-02,4.646167159080505371e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.038588210940361023e-01,-7.746142148971557617e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.146603375673294067e-02,2.185221016407012939e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.590948671102523804e-02,-2.399420738220214844e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.331900298595428467e-03,-1.468807458877563477e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.703061074018478394e-02,-2.875408530235290527e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.161912828683853149e-02,2.054955065250396729e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.125805824995040894e-02,-5.511015653610229492e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.813942939043045044e-02,-5.181372165679931641e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.589945703744888306e-02,2.098217606544494629e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.608829528093338013e-02,-1.811453700065612793e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.215279847383499146e-02,2.227520942687988281e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909091161e-02,2.885749936103820801e-01,9.844754636287689209e-02
