# Time, Target (V), Target (I), Prediction (V), Prediction (I)
7.346300261154372890e+01,-4.494382022471910682e-02,-6.666666666666667962e-02,-4.348745569586753845e-02,-3.880910575389862061e-02
3.742265168956161858e+01,-1.685393258426966245e-01,-2.000000000000000111e-01,-1.716490387916564941e-01,-1.771987229585647583e-01
9.743963774374101661e+01,7.865168539325843866e-02,1.000000000000000056e-01,7.900512963533401489e-02,9.805525839328765869e-02
6.235433098845020794e+01,-4.494382022471910682e-02,-1.000000000000000056e-01,-4.013889655470848083e-02,-8.899103105068206787e-02
4.257486364144887858e+01,3.483146067415730518e-01,4.000000000000000222e-01,3.303873538970947266e-01,4.055216312408447266e-01
4.433415552745915988e+01,7.752808988764045006e-01,7.666666666666667185e-01,7.710715532302856445e-01,8.273231983184814453e-01
1.475291910125766748e+01,1.123595505617977670e-02,0.000000000000000000e+00,-1.855718716979026794e-02,-1.189821958541870117e-02
9.356919559451839064e+01,1.123595505617977670e-02,-6.666666666666667962e-02,-1.454960834234952927e-02,1.739783585071563721e-02
4.315291668970940009e+01,5.168539325842697041e-01,5.999999999999999778e-01,4.894967675209045410e-01,5.645319223403930664e-01
5.843362335677015551e+01,8.988764044943821363e-02,6.666666666666667962e-02,9.124953299760818481e-02,6.997127830982208252e-02
5.122052662412798441e+01,2.247191011235955341e-02,-2.333333333333333370e-01,5.327314510941505432e-02,-1.708091050386428833e-01
9.902300044115027333e+01,-5.617977528089888178e-02,-3.333333333333333981e-02,-3.585072979331016541e-02,-2.765662968158721924e-02
4.058937708438012493e+01,-1.011235955056179747e-01,-6.666666666666667962e-02,-9.442880004644393921e-02,-4.666437208652496338e-02
4.320318217216683365e+01,5.168539325842697041e-01,5.333333333333334370e-01,5.029849410057067871e-01,5.777592658996582031e-01
7.140211783078882490e+01,0.000000000000000000e+00,3.333333333333333981e-02,2.425682917237281799e-02,2.958698570728302002e-02
6.607397669030052612e+01,-6.741573033707864981e-02,-6.666666666666667962e-02,-7.310166209936141968e-02,-8.215062320232391357e-02
1.578336149163512125e+01,-3.370786516853932491e-02,-3.333333333333333981e-02,-4.060047492384910583e-02,-3.137709200382232666e-02
6.411362287446050345e+01,-1.011235955056179747e-01,-1.333333333333333592e-01,-1.036738976836204529e-01,-1.395533233880996704e-01
5.194937611976082081e+01,-8.988764044943821363e-02,-2.999999999999999889e-01,-8.067106455564498901e-02,-2.965626716613769531e-01
4.767681011087869791e+01,8.876404494382023058e-01,7.666666666666667185e-01,8.743219971656799316e-01,7.419210076332092285e-01
1.847256480310798210e+01,-6.741573033707864981e-02,-6.666666666666667962e-02,-6.259470432996749878e-02,-4.347400367259979248e-02
2.191575035144239791e+01,4.494382022471910682e-02,-1.000000000000000056e-01,3.156227245926856995e-02,4.746115207672119141e-02
1.332035285122072388e+01,-2.247191011235955341e-02,0.000000000000000000e+00,-2.362858504056930542e-05,4.101291298866271973e-03
9.841981465166104215e+01,1.123595505617977670e-02,0.000000000000000000e+00,2.187812700867652893e-02,3.454290330410003662e-02
3.981026210628986206e+01,-1.797752808988764273e-01,-1.666666666666666574e-01,-1.895370185375213623e-01,-1.603436022996902466e-01
9.849521287534719249e+01,-1.123595505617977670e-02,3.333333333333333981e-02,1.556593645364046097e-02,2.770914137363433838e-02
7.037167544041137646e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.342367760837078094e-03,-1.271142065525054932e-02
1.497911377231613272e+01,-1.123595505617977670e-02,-6.666666666666667962e-02,-2.311426028609275818e-02,-1.597677171230316162e-02
1.191291934241249528e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-3.121758811175823212e-03,-1.531198620796203613e-03
8.341556813811618554e+01,-1.123595505617977670e-02,3.333333333333333981e-02,-8.817846886813640594e-03,1.023976504802703857e-02
6.838618888334261214e+01,2.247191011235955341e-02,3.333333333333333981e-02,2.134001627564430237e-02,2.416731417179107666e-02
8.660742627416341577e+01,4.494382022471910682e-02,6.666666666666667962e-02,3.502130880951881409e-02,6.302042305469512939e-02
5.375893348822853568e+01,-2.471910112359550771e-01,-4.000000000000000222e-01,-2.387091368436813354e-01,-3.992279171943664551e-01
3.438159000088669615e+01,8.988764044943821363e-02,1.000000000000000056e-01,9.004650264978408813e-02,1.127401739358901978e-01
8.927149684440756516e+01,-6.741573033707864981e-02,-6.666666666666667962e-02,-5.594852194190025330e-02,-4.561088979244232178e-02
4.410796085640069464e+01,7.191011235955057090e-01,9.333333333333333481e-01,7.236673235893249512e-01,7.857049703598022461e-01
9.781662886217179675e+01,3.370786516853932491e-02,3.333333333333333981e-02,6.226531043648719788e-02,7.884199917316436768e-02
