# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-5.033562332391738892e-02,-3.448699787259101868e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.744058519601821899e-02,-8.942473679780960083e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454545581e-02,1.854678243398666382e-02,2.122272178530693054e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.672089964151382446e-02,-2.558620646595954895e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.326529055833816528e-02,4.056863114237785339e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.445516735315322876e-02,-2.804579213261604309e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.601002365350723267e-02,6.323568522930145264e-04
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-6.960205733776092529e-03,7.317852228879928589e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.204379647970199585e-02,3.597330302000045776e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.045281961560249329e-01,-8.013370633125305176e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.241862028837203979e-02,2.234015986323356628e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.565829783678054810e-02,-2.585195377469062805e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.771693170070648193e-03,-2.500373870134353638e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.563006550073623657e-02,-2.918221428990364075e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.090057939291000366e-02,1.945699378848075867e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-8.606530725955963135e-03,-3.260660916566848755e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.893498748540878296e-02,-7.295060902833938599e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.527612656354904175e-02,1.185487955808639526e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.684879094362258911e-02,-2.045570686459541321e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.310665160417556763e-02,2.277667447924613953e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909091161e-02,2.918133437633514404e-01,9.824936091899871826e-02
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.470886170864105225e-03,9.321283549070358276e-03
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.535374790430068970e-02,-2.394928410649299622e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.960887759923934937e-02,-1.115470007061958313e-02
