# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-5.665085464715957642e-02,-3.821902722120285034e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.791366726160049438e-02,-6.721124053001403809e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454545581e-02,2.041464298963546753e-02,2.422306686639785767e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-5.195073038339614868e-02,-2.732311189174652100e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.585798829793930054e-02,4.169603437185287476e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.268271893262863159e-02,-2.903553843498229980e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.938239485025405884e-02,2.350807189941406250e-04
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-9.780116379261016846e-03,6.849430501461029053e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.519425958395004272e-02,3.161191940307617188e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.025106534361839294e-01,-7.724363356828689575e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727272790e-02,8.841089904308319092e-03,2.074497938156127930e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-5.054194480180740356e-02,-2.761471271514892578e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.114715874195098877e-03,5.972608923912048340e-04
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.677352100610733032e-02,-2.898435294628143311e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727272790e-02,8.280210196971893311e-03,1.777285337448120117e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.572153717279434204e-02,-1.058215647935867310e-02
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-2.193031460046768188e-02,-8.384339511394500732e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.861069351434707642e-02,7.788762450218200684e-04
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-4.032490402460098267e-02,-2.149753272533416748e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,9.629212319850921631e-03,2.123839408159255981e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909091161e-02,3.035677969455718994e-01,1.071583107113838196e-01
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.516679465770721436e-03,6.765216588973999023e-03
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-5.023815482854843140e-02,-2.526286989450454712e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.839313656091690063e-02,-7.814131677150726318e-03
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.463256031274795532e-02,-5.058199167251586914e-03
2.725855225764744105e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-4.043472558259963989e-02,-2.338843047618865967e-02
2.383421626523456283e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.665117174386978149e-02,-1.232771575450897217e-02
3.395014460979369630e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.880917280912399292e-02,-1.525985449552536011e-02
1.805368578262934420e+01,-1.000000000000000056e-01,-9.090909090909091161e-02,-8.976773172616958618e-02,-5.721811950206756592e-02
1.986533754619945924e+01,5.555555555555555941e-02,4.545454545454545581e-02,4.117935150861740112e-02,4.117953032255172729e-02
1.479690139840792718e+01,1.000000000000000056e-01,6.818181818181819065e-02,1.042714342474937439e-01,7.220454514026641846e-02
1.088038255693265022e+01,5.555555555555555941e-02,-4.545454545454545581e-02,6.724586337804794312e-02,-6.446558237075805664e-02
2.766695930261411362e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.376992374658584595e-02,-3.144294023513793945e-02
1.618967414149940254e+01,1.111111111111111154e-02,0.000000000000000000e+00,-1.602180302143096924e-03,-1.457063108682632446e-02
3.054675256840475583e+01,0.000000000000000000e+00,-0.000000000000000000e+00,8.790574967861175537e-03,1.791421324014663696e-02
9.100146719898434711e+00,8.777777777777778789e-01,5.909090909090908283e-01,8.832288980484008789e-01,6.246555447578430176e-01
2.066120768510887373e+01,4.444444444444444614e-02,0.000000000000000000e+00,3.581865876913070679e-02,3.059197962284088135e-02
9.885544883295882101e+00,5.555555555555555802e-01,3.181818181818181768e-01,5.665364265441894531e-01,3.192403614521026611e-01
2.165604535874564363e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.586848288774490356e-02,-1.781977713108062744e-02
2.013760890951057547e+01,4.444444444444444614e-02,4.545454545454545581e-02,4.582002013921737671e-02,4.239207506179809570e-02
