# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-5.073346197605133057e-02,-3.279029577970504761e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.894255518913269043e-02,-7.225700654089450836e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454545581e-02,1.894634962081909180e-02,2.208114415407180786e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.816722869873046875e-02,-2.394925802946090698e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.312849044799804688e-02,4.018781334161758423e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.385535836219787598e-02,-2.814436703920364380e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.736715435981750488e-02,1.331395469605922699e-03
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-7.595613598823547363e-03,8.471286855638027191e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.311483979225158691e-02,4.482752643525600433e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.049592345952987671e-01,-7.850215584039688110e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.073184609413146973e-02,2.148634940385818481e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.647563397884368896e-02,-2.387962490320205688e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.817566394805908203e-03,-1.289450563490390778e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.676048994064331055e-02,-2.883196622133255005e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.119303703308105469e-02,2.079492062330245972e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.215742528438568115e-02,-5.854257382452487946e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.941323280334472656e-02,-5.268895067274570465e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.658476889133453369e-02,1.916355453431606293e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.697943687438964844e-02,-1.807545870542526245e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.137867569923400879e-02,2.187523990869522095e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909091161e-02,2.943224310874938965e-01,1.035967618227005005e-01
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.523196697235107422e-04,1.019462104886770248e-02
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.706682264804840088e-02,-2.243500202894210815e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.085188031196594238e-02,-1.078007463365793228e-02
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.721817255020141602e-02,-8.195080794394016266e-03
2.725855225764744105e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.823637962341308594e-02,-2.255827933549880981e-02
2.383421626523456283e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.521157801151275635e-02,-1.217945758253335953e-02
3.395014460979369630e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.818260133266448975e-02,-1.450359169393777847e-02
1.805368578262934420e+01,-1.000000000000000056e-01,-9.090909090909091161e-02,-8.898511528968811035e-02,-5.655371397733688354e-02
1.986533754619945924e+01,5.555555555555555941e-02,4.545454545454545581e-02,4.006400704383850098e-02,4.059883207082748413e-02
1.479690139840792718e+01,1.000000000000000056e-01,6.818181818181819065e-02,1.012483239173889160e-01,7.165478914976119995e-02
1.088038255693265022e+01,5.555555555555555941e-02,-4.545454545454545581e-02,5.844435095787048340e-02,-6.948118656873703003e-02
2.766695930261411362e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-4.963457584381103516e-02,-2.936767786741256714e-02
1.618967414149940254e+01,1.111111111111111154e-02,0.000000000000000000e+00,-6.267398595809936523e-03,-1.610543578863143921e-02
3.054675256840475583e+01,0.000000000000000000e+00,-0.000000000000000000e+00,1.175123453140258789e-02,2.103526145219802856e-02
9.100146719898434711e+00,8.777777777777778789e-01,5.909090909090908283e-01,8.761997222900390625e-01,6.120906472206115723e-01
2.066120768510887373e+01,4.444444444444444614e-02,0.000000000000000000e+00,3.296312689781188965e-02,2.962302416563034058e-02
9.885544883295882101e+00,5.555555555555555802e-01,3.181818181818181768e-01,5.590122938156127930e-01,3.156580626964569092e-01
2.165604535874564363e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.104039490222930908e-02,-1.223247591406106949e-02
2.013760890951057547e+01,4.444444444444444614e-02,4.545454545454545581e-02,4.339075088500976562e-02,4.102165251970291138e-02
3.215943679724752258e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.210511267185211182e-02,-7.313423790037631989e-03
1.130973355292325699e+01,-1.000000000000000056e-01,-1.363636363636363813e-01,-9.225139021873474121e-02,-1.679952889680862427e-01
3.068288825006031573e+01,1.111111111111111154e-02,4.545454545454545581e-02,1.224011182785034180e-02,2.107515186071395874e-02
3.026400922958167783e+01,1.111111111111111154e-02,2.272727272727272790e-02,8.499622344970703125e-03,1.928684860467910767e-02
1.085943860590871779e+01,6.666666666666666574e-02,-4.545454545454545581e-02,6.695821881294250488e-02,-6.357894092798233032e-02
