# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-5.073957145214080811e-02,-3.475076705217361450e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.917829155921936035e-02,-9.072370827198028564e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454545581e-02,1.958584785461425781e-02,2.037432044744491577e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.830011725425720215e-02,-2.555694431066513062e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.249313473701477051e-02,3.775877505540847778e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.421927452087402344e-02,-2.966352552175521851e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.763510704040527344e-02,-5.961731076240539551e-04
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-7.752180099487304688e-03,6.652094423770904541e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.333150267601013184e-02,2.607680857181549072e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.054799556732177734e-01,-7.996260374784469604e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.088833808898925781e-02,1.990381628274917603e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.640617966651916504e-02,-2.543660253286361694e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.563859224319458008e-03,-3.257147967815399170e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.870978534221649170e-02,-3.126128762960433960e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.115012168884277344e-02,1.888867467641830444e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.199048757553100586e-02,-7.707692682743072510e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.853233575820922852e-02,-6.607659161090850830e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.684311032295227051e-02,-1.125037670135498047e-06
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.641816973686218262e-02,-1.945621520280838013e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.157709956169128418e-02,2.031665295362472534e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909091161e-02,2.883874773979187012e-01,9.854442626237869263e-02
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.386803627014160156e-04,8.514143526554107666e-03
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.722817242145538330e-02,-2.403610199689865112e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.038881182670593262e-02,-1.258588582277297974e-02
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.682189106941223145e-02,-1.004833728075027466e-02
2.725855225764744105e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.751847147941589355e-02,-2.418071776628494263e-02
2.383421626523456283e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.599789738655090332e-02,-1.438405364751815796e-02
3.395014460979369630e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.829026222229003906e-02,-1.612841337919235229e-02
1.805368578262934420e+01,-1.000000000000000056e-01,-9.090909090909091161e-02,-9.017387032508850098e-02,-5.835362523794174194e-02
1.986533754619945924e+01,5.555555555555555941e-02,4.545454545454545581e-02,3.966090083122253418e-02,3.848407417535781860e-02
1.479690139840792718e+01,1.000000000000000056e-01,6.818181818181819065e-02,1.008567810058593750e-01,7.052912563085556030e-02
1.088038255693265022e+01,5.555555555555555941e-02,-4.545454545454545581e-02,5.935841053724288940e-02,-6.662020087242126465e-02
2.766695930261411362e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-4.906472563743591309e-02,-3.100550919771194458e-02
1.618967414149940254e+01,1.111111111111111154e-02,0.000000000000000000e+00,-6.848752498626708984e-03,-1.782497018575668335e-02
3.054675256840475583e+01,0.000000000000000000e+00,-0.000000000000000000e+00,1.172056794166564941e-02,1.910945028066635132e-02
9.100146719898434711e+00,8.777777777777778789e-01,5.909090909090908283e-01,8.806139230728149414e-01,6.153486967086791992e-01
2.066120768510887373e+01,4.444444444444444614e-02,0.000000000000000000e+00,3.214356303215026855e-02,2.693981677293777466e-02
