# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-5.009426176548004150e-02,-3.475210815668106079e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.700093388557434082e-02,-9.026533924043178558e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454545581e-02,1.885931193828582764e-02,2.106409519910812378e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.628014564514160156e-02,-2.550236135721206665e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.311902821063995361e-02,4.021876305341720581e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.539013326168060303e-02,-2.861247956752777100e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.572306454181671143e-02,6.610682466998696327e-04
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-6.665959954261779785e-03,7.348530460149049759e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.175059378147125244e-02,3.641926217824220657e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.053178012371063232e-01,-8.066783100366592407e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.256053149700164795e-02,2.208759635686874390e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.527540504932403564e-02,-2.584681659936904907e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.402762770652770996e-03,-2.510852646082639694e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.561421811580657959e-02,-2.936304360628128052e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.120406389236450195e-02,1.921864598989486694e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-8.244112133979797363e-03,-3.489203285425901413e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.848511397838592529e-02,-7.331974338740110397e-03
