# Time, Target (V), Target (I), Prediction (V), Prediction (I)
4.433834431766394601e+01,-5.555555555555555941e-02,-4.545454545454545581e-02,-4.902885854244232178e-02,-3.344441950321197510e-02
6.842388799518569442e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.782092802226543427e-02,-6.014093756675720215e-03
5.120796025351362601e+01,3.333333333333333287e-02,4.545454545454545581e-02,1.934297569096088409e-02,2.266632020473480225e-02
6.668554006019934377e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.766713082790374756e-02,-2.565820515155792236e-02
4.044276942721260326e+01,3.333333333333333287e-02,4.545454545454545581e-02,4.373107850551605225e-02,4.180745780467987061e-02
3.277728335245350877e+01,-1.111111111111111154e-02,-4.545454545454545581e-02,-2.491058222949504852e-02,-3.065218031406402588e-02
5.874778262212913660e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.695395819842815399e-02,8.352845907211303711e-04
5.929232534875136196e+01,1.111111111111111154e-02,0.000000000000000000e+00,-7.184101268649101257e-03,8.612766861915588379e-03
5.897816608339238087e+01,-1.111111111111111154e-02,4.545454545454545581e-02,-1.270474307239055634e-02,4.249826073646545410e-03
3.466223894460738819e+01,-1.111111111111111188e-01,-9.090909090909091161e-02,-1.017865687608718872e-01,-7.999666035175323486e-02
4.938583651443155276e+01,0.000000000000000000e+00,2.272727272727272790e-02,9.976672008633613586e-03,2.383597195148468018e-02
6.607816548050531935e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.552654922008514404e-02,-2.551509439945220947e-02
5.305102794361964413e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.313026115298271179e-03,-3.798767924308776855e-03
3.694512960621597131e+01,-4.444444444444444614e-02,-2.272727272727272790e-02,-5.643354356288909912e-02,-2.870409190654754639e-02
6.094689747964199000e+01,0.000000000000000000e+00,2.272727272727272790e-02,1.110638864338397980e-02,2.188499271869659424e-02
4.301887540315622971e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.162145845592021942e-02,-3.955885767936706543e-03
6.417226593732750928e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.846311800181865692e-02,-5.539789795875549316e-03
5.878967052417699790e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.617260091006755829e-02,1.466646790504455566e-03
6.519851953750017515e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.547079861164093018e-02,-1.887334883213043213e-02
4.942772441647941406e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.068486459553241730e-02,2.427242696285247803e-02
2.075545546471656877e+01,3.111111111111111716e-01,9.090909090909091161e-02,2.889763712882995605e-01,9.941038489341735840e-02
6.302034863101125239e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.797508448362350464e-04,1.005299389362335205e-02
6.704158722760618616e+01,-3.333333333333333287e-02,-4.545454545454545581e-02,-4.662679135799407959e-02,-2.377437055110931396e-02
5.365840252331366855e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.983620040118694305e-02,-1.335160434246063232e-02
5.349085091512220913e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.635880582034587860e-02,-1.079858839511871338e-02
5.451710451529488211e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.643371164798736572e-02,-2.453000843524932861e-02
4.766843253046912565e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.527306020259857178e-02,-1.310466229915618896e-02
6.790028921958739261e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.720833361148834229e-02,-1.401425898075103760e-02
3.610737156525868841e+01,-1.000000000000000056e-01,-9.090909090909091161e-02,-8.898220956325531006e-02,-5.824078619480133057e-02
3.973067509239891848e+01,5.555555555555555941e-02,4.545454545454545581e-02,3.839351236820220947e-02,4.161913692951202393e-02
2.959380279681585435e+01,1.000000000000000056e-01,6.818181818181819065e-02,1.027182489633560181e-01,8.232469856739044189e-02
2.176076511386530044e+01,5.555555555555555941e-02,-4.545454545454545581e-02,6.291384994983673096e-02,-6.768409907817840576e-02
