# Time, Target (V), Target (I), Prediction (V), Prediction (I)
1.495398103108741417e+01,-5.952380952380952744e-02,-4.255319148936170109e-02,-5.867816507816314697e-02,-2.497498691082000732e-02
1.872389221539516768e+01,-1.785714285714285754e-01,-2.340425531914893387e-01,-1.806113421916961670e-01,-2.406672239303588867e-01
1.501681288415921145e+01,-4.761904761904761640e-02,-1.063829787234042527e-02,-5.234889686107635498e-02,-1.481994986534118652e-02
4.682229690910227760e+01,0.000000000000000000e+00,3.191489361702127409e-02,-9.030230343341827393e-03,4.318550974130630493e-02
2.129999819133879768e+01,3.452380952380952328e-01,5.319148936170213782e-01,3.518679141998291016e-01,5.379941463470458984e-01
1.237787505514378417e+01,1.190476190476190410e-02,1.063829787234042527e-02,-1.661106944084167480e-03,-1.000611484050750732e-02
7.376459550628833739e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-1.314975321292877197e-02,-1.886928826570510864e-02
1.460212265388535791e+01,-9.523809523809523281e-02,-6.382978723404254817e-02,-8.862976729869842529e-02,-7.790710777044296265e-02
2.471805099844449316e+01,4.880952380952380820e-01,1.489361702127659504e-01,4.619925618171691895e-01,1.270393133163452148e-01
2.922937804899943615e+01,9.523809523809523281e-02,6.382978723404254817e-02,8.612709492444992065e-02,5.978477746248245239e-02
3.072477615210817348e+01,1.190476190476190410e-02,-5.319148936170212116e-02,-2.824708819389343262e-03,-5.371287465095520020e-02
2.122459996765264378e+01,2.857142857142856984e-01,5.106382978723403854e-01,3.117272257804870605e-01,4.967530965805053711e-01
1.203858304855608630e+01,2.380952380952380820e-02,2.127659574468085055e-02,2.367271482944488525e-02,3.678581863641738892e-02
1.207628216039916502e+01,0.000000000000000000e+00,1.063829787234042527e-02,2.127517014741897583e-02,3.197485953569412231e-02
1.742955604211617171e+01,3.571428571428571230e-02,4.255319148936170109e-02,4.621947556734085083e-02,3.529865294694900513e-02
2.016902483604647145e+01,-1.309523809523809590e-01,-6.382978723404254817e-02,-1.385555863380432129e-01,-5.549352616071701050e-02
7.891680745817560627e+00,-4.761904761904761640e-02,-8.510638297872340219e-02,-5.285757780075073242e-02,-7.396288961172103882e-02
3.206937780784461012e+01,-1.190476190476190549e-01,-1.170212765957446693e-01,-1.136856675148010254e-01,-1.404716372489929199e-01
4.101663368526833864e+01,-5.952380952380952744e-02,-3.191489361702127409e-02,-4.952467978000640869e-02,-2.382210642099380493e-02
4.257486364144887858e+01,3.571428571428571230e-02,8.510638297872340219e-02,2.770220488309860229e-02,5.822100490331649780e-02
9.236282401553991050e+00,-7.142857142857142461e-02,-7.446808510638297518e-02,-6.770863384008407593e-02,-7.005721330642700195e-02
1.095787517572119896e+01,2.380952380952380820e-02,1.063829787234042423e-01,3.501538187265396118e-02,9.398058801889419556e-02
6.660176425610361939e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-2.674132585525512695e-03,2.706609666347503662e-03
1.222707860777147459e+01,1.190476190476190410e-02,0.000000000000000000e+00,1.057393848896026611e-02,1.161829382181167603e-02
3.566335980355133017e+01,1.190476190476190410e-02,1.063829787234042527e-02,6.529398262500762939e-03,-4.820480942726135254e-03
2.309698918919216126e+01,1.000000000000000000e+00,9.148936170212764729e-01,9.745883941650390625e-01,8.948083519935607910e-01
3.518583772020568823e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-3.014869987964630127e-03,-6.410628557205200195e-04
7.489556886158066362e+00,-2.380952380952380820e-02,-6.382978723404254817e-02,-1.979487389326095581e-02,-2.869554609060287476e-02
5.956459671206247641e+00,-2.380952380952380820e-02,-1.063829787234042527e-02,-5.902595818042755127e-03,1.127459108829498291e-03
2.304672370673472415e+01,1.000000000000000000e+00,9.042553191489363096e-01,9.729394912719726562e-01,9.046662449836730957e-01
