# Time, Target (V), Target (I), Prediction (V), Prediction (I)
1.495398103108741417e+01,-5.952380952380952744e-02,-4.255319148936170109e-02,-5.667385458946228027e-02,-2.517144381999969482e-02
1.872389221539516768e+01,-1.785714285714285754e-01,-2.340425531914893387e-01,-1.768684089183807373e-01,-2.385585904121398926e-01
1.501681288415921145e+01,-4.761904761904761640e-02,-1.063829787234042527e-02,-5.031189322471618652e-02,-1.484678685665130615e-02
4.682229690910227760e+01,0.000000000000000000e+00,3.191489361702127409e-02,-6.899222731590270996e-03,4.116630554199218750e-02
2.129999819133879768e+01,3.452380952380952328e-01,5.319148936170213782e-01,3.604801893234252930e-01,5.453681945800781250e-01
1.237787505514378417e+01,1.190476190476190410e-02,1.063829787234042527e-02,-3.498479723930358887e-03,-1.028175652027130127e-02
7.376459550628833739e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-1.442085206508636475e-02,-2.169534564018249512e-02
1.460212265388535791e+01,-9.523809523809523281e-02,-6.382978723404254817e-02,-8.718357980251312256e-02,-7.927102595567703247e-02
2.471805099844449316e+01,4.880952380952380820e-01,1.489361702127659504e-01,4.673152267932891846e-01,1.313669830560684204e-01
2.922937804899943615e+01,9.523809523809523281e-02,6.382978723404254817e-02,9.224811196327209473e-02,6.729914247989654541e-02
3.072477615210817348e+01,1.190476190476190410e-02,-5.319148936170212116e-02,2.278290688991546631e-03,-4.927559196949005127e-02
2.122459996765264378e+01,2.857142857142856984e-01,5.106382978723403854e-01,3.201148211956024170e-01,5.040244460105895996e-01
1.203858304855608630e+01,2.380952380952380820e-02,2.127659574468085055e-02,2.139610052108764648e-02,3.568609058856964111e-02
1.207628216039916502e+01,0.000000000000000000e+00,1.063829787234042527e-02,1.902227103710174561e-02,3.095260262489318848e-02
1.742955604211617171e+01,3.571428571428571230e-02,4.255319148936170109e-02,4.817374050617218018e-02,3.803543746471405029e-02
2.016902483604647145e+01,-1.309523809523809590e-01,-6.382978723404254817e-02,-1.336682736873626709e-01,-5.067297816276550293e-02
7.891680745817560627e+00,-4.761904761904761640e-02,-8.510638297872340219e-02,-5.456404387950897217e-02,-7.802215218544006348e-02
3.206937780784461012e+01,-1.190476190476190549e-01,-1.170212765957446693e-01,-1.101175248622894287e-01,-1.357502490282058716e-01
4.101663368526833864e+01,-5.952380952380952744e-02,-3.191489361702127409e-02,-5.288328230381011963e-02,-2.950920164585113525e-02
4.257486364144887858e+01,3.571428571428571230e-02,8.510638297872340219e-02,3.586085140705108643e-02,6.455233693122863770e-02
9.236282401553991050e+00,-7.142857142857142461e-02,-7.446808510638297518e-02,-7.020221650600433350e-02,-7.259499281644821167e-02
1.095787517572119896e+01,2.380952380952380820e-02,1.063829787234042423e-01,3.360183537006378174e-02,9.254170954227447510e-02
6.660176425610361939e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-5.666941404342651367e-03,7.456541061401367188e-05
1.222707860777147459e+01,1.190476190476190410e-02,0.000000000000000000e+00,8.481487631797790527e-03,1.095072925090789795e-02
3.566335980355133017e+01,1.190476190476190410e-02,1.063829787234042527e-02,1.057709753513336182e-02,1.858428120613098145e-03
2.309698918919216126e+01,1.000000000000000000e+00,9.148936170212764729e-01,9.810594320297241211e-01,9.005578756332397461e-01
3.518583772020568823e+00,-1.190476190476190410e-02,-1.063829787234042527e-02,-4.886984825134277344e-03,-4.124775528907775879e-03
7.489556886158066362e+00,-2.380952380952380820e-02,-6.382978723404254817e-02,-2.141590416431427002e-02,-3.225724399089813232e-02
5.956459671206247641e+00,-2.380952380952380820e-02,-1.063829787234042527e-02,-9.343877434730529785e-03,-1.981705427169799805e-04
2.304672370673472415e+01,1.000000000000000000e+00,9.042553191489363096e-01,9.792802333831787109e-01,9.101731777191162109e-01
1.417486605299714597e+01,-9.523809523809523281e-02,-1.170212765957446693e-01,-1.080037057399749756e-01,-1.270298212766647339e-01
4.331627950769606628e+01,2.380952380952380820e-02,4.255319148936170109e-02,2.213674783706665039e-02,3.198389708995819092e-02
3.057397970473586568e+01,2.380952380952380820e-02,-1.063829787234042527e-02,2.013131976127624512e-02,-3.076399862766265869e-02
3.998619129489088664e+01,-5.952380952380952744e-02,-7.446808510638297518e-02,-7.756392657756805420e-02,-6.637960672378540039e-02
1.479061821310074620e+01,-7.142857142857142461e-02,-3.191489361702127409e-02,-7.205127179622650146e-02,-5.132724344730377197e-02
1.234017594330070722e+01,1.190476190476190410e-02,-1.063829787234042527e-02,-3.868788480758666992e-04,-4.894539713859558105e-03
