# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.331061748963626457e+01,-8.433734939759038318e-02,-1.694915254237288477e-02,-6.667149066925048828e-02,-2.919863164424896240e-02
3.252595594016632674e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-3.821701183915138245e-02,-2.086661756038665771e-02
2.760412744954231812e+01,-4.819277108433735191e-02,1.694915254237288477e-02,-5.071580782532691956e-02,-2.449513971805572510e-02
2.380280033869866685e+01,-4.819277108433735191e-02,0.000000000000000000e+00,-4.135831072926521301e-02,-7.588490843772888184e-03
2.099631090149178547e+01,1.204819277108433798e-02,0.000000000000000000e+00,1.618510857224464417e-02,6.251707673072814941e-03
1.505870078620707453e+01,9.638554216867470381e-02,8.474576271186441689e-02,1.055627018213272095e-01,6.203137338161468506e-02
2.481858196335936739e+01,1.204819277108433798e-02,1.694915254237288477e-02,1.001666113734245300e-02,2.435968816280364990e-02
3.330088212805181058e+01,-4.819277108433735191e-02,-1.694915254237288477e-02,-5.055263265967369080e-02,-2.391354739665985107e-02
2.788687078836539612e+01,-6.024096385542169335e-02,-3.389830508474576953e-02,-5.436258390545845032e-02,-2.420906722545623779e-02
2.405412775098585243e+01,-2.409638554216867595e-02,0.000000000000000000e+00,-2.659833058714866638e-02,3.105655312538146973e-03
2.393893602035422674e+01,-4.819277108433735191e-02,1.694915254237288477e-02,-3.334880992770195007e-02,-1.647368073463439941e-03
2.256710722828668025e+01,-7.228915662650602092e-02,-5.084745762711865430e-02,-7.527036964893341064e-02,-4.616768658161163330e-02
2.201209252615248246e+01,-3.614457831325301046e-02,-5.084745762711865430e-02,-5.347489193081855774e-02,-3.894098103046417236e-02
9.665633397544597827e+00,6.867469879518072196e-01,2.881355932203390480e-01,6.902852654457092285e-01,3.258777260780334473e-01
2.379232836318669797e+01,-6.024096385542169335e-02,0.000000000000000000e+00,-4.196956381201744080e-02,-8.055970072746276855e-03
2.318495378349267355e+01,-7.228915662650602092e-02,-1.694915254237288477e-02,-7.119257748126983643e-02,-3.392975032329559326e-02
1.140398133253094848e+01,-1.325301204819277212e-01,-2.372881355932203729e-01,-1.203256696462631226e-01,-2.013408392667770386e-01
1.041961563440614746e+01,3.132530120481928360e-01,5.084745762711865430e-02,2.931049168109893799e-01,2.666278928518295288e-02
1.096415836102837815e+01,2.409638554216867595e-02,-1.186440677966101864e-01,3.237597271800041199e-02,-1.301080435514450073e-01
3.215943679724752258e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-2.438529208302497864e-02,-1.249371469020843506e-02
2.989749008666286656e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-2.007346600294113159e-03,1.672096550464630127e-02
1.870294826437123703e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-4.268585518002510071e-02,-7.472619414329528809e-03
2.927964353145687326e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-2.428195253014564514e-02,4.396602511405944824e-03
2.221106006087983786e+01,-6.024096385542169335e-02,-5.084745762711865430e-02,-6.360988318920135498e-02,-4.342205822467803955e-02
1.193805208364121384e+01,-2.409638554216867734e-01,-2.033898305084746172e-01,-2.259044498205184937e-01,-2.262339442968368530e-01
2.049365607691741786e+01,3.614457831325301046e-02,3.389830508474576953e-02,4.263628646731376648e-02,3.046964108943939209e-02
2.058790385652511290e+01,2.409638554216867595e-02,3.389830508474576953e-02,3.900988027453422546e-02,2.653600275516510010e-02
2.038893632179775750e+01,3.614457831325301046e-02,5.084745762711865430e-02,4.573782905936241150e-02,3.432388603687286377e-02
2.244144352214308924e+01,-8.433734939759038318e-02,-8.474576271186441689e-02,-7.222248613834381104e-02,-4.601524770259857178e-02
1.090132650795658265e+01,6.024096385542169335e-02,-1.355932203389830781e-01,5.865488573908805847e-02,-1.159640997648239136e-01
2.552020432266108685e+01,2.409638554216867595e-02,0.000000000000000000e+00,2.250862494111061096e-02,2.594412863254547119e-02
9.142034621946297790e+00,8.915662650602410588e-01,5.593220338983052597e-01,9.000194072723388672e-01,5.643683671951293945e-01
3.163583802164921721e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.677580505609512329e-03,2.467498183250427246e-03
1.219985147144036475e+01,-2.289156626506024250e-01,-1.864406779661016977e-01,-2.413365989923477173e-01,-2.139264345169067383e-01
2.352005699987558529e+01,-3.614457831325301046e-02,-1.694915254237288477e-02,-5.704404786229133606e-02,-2.031995356082916260e-02
3.276681137694154700e+01,-6.024096385542169335e-02,-1.694915254237288477e-02,-4.489146545529365540e-02,-2.404414117336273193e-02
2.388657614279439656e+01,-2.409638554216867595e-02,0.000000000000000000e+00,-3.643680736422538757e-02,-3.898188471794128418e-03
