# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-5.931805074214935303e-02,-3.906824439764022827e-02
3.421194399759284721e+01,-3.529411764705882304e-02,1.562499999999999827e-02,-3.224886953830718994e-02,-3.570426255464553833e-03
2.560398012675681301e+01,2.352941176470588203e-02,0.000000000000000000e+00,1.983141154050827026e-02,2.074297890067100525e-02
3.334277003009967189e+01,-7.058823529411764608e-02,0.000000000000000000e+00,-4.908494651317596436e-02,-1.833625510334968567e-02
2.022138471360630163e+01,4.705882352941176405e-02,3.124999999999999653e-02,4.573732614517211914e-02,3.382598981261253357e-02
1.638864167622675438e+01,-3.529411764705882304e-02,-4.687499999999999306e-02,-2.886727452278137207e-02,-4.024024680256843567e-02
2.937389131106456830e+01,-1.176470588235294101e-02,3.124999999999999653e-02,-1.569470763206481934e-02,9.738516062498092651e-03
2.964616267437568098e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-5.924209952354431152e-03,1.447070762515068054e-02
2.948908304169619043e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.118795573711395264e-02,1.206199452280998230e-02
1.733111947230369410e+01,-1.176470588235294240e-01,-6.249999999999999306e-02,-1.085514128208160400e-01,-7.330794632434844971e-02
2.469291825721577638e+01,0.000000000000000000e+00,3.124999999999999653e-02,5.714297294616699219e-03,1.979681476950645447e-02
3.303908274025265968e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.784552752971649170e-02,-1.982532814145088196e-02
2.652551397180982207e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-9.160786867141723633e-03,-3.361824899911880493e-03
1.847256480310798565e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-6.019595265388488770e-02,-1.857425644993782043e-02
3.047344873982099500e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.768690586090087891e-03,1.721657440066337585e-02
2.150943770157811485e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-1.670880615711212158e-02,-1.691361889243125916e-02
3.208613296866375464e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.993583142757415771e-02,-6.638992577791213989e-03
2.939483526208849895e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.483568549156188965e-02,1.019762083888053894e-02
3.259925976875008757e+01,-3.529411764705882304e-02,0.000000000000000000e+00,-3.846403956413269043e-02,-1.689102128148078918e-02
2.471386220823970703e+01,1.176470588235294101e-02,1.562499999999999827e-02,6.466940045356750488e-03,2.012492343783378601e-02
