# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454546275e-02,-4.362868145108222961e-02,-3.650607913732528687e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.049286082386970520e-02,-5.301997065544128418e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454546275e-02,2.233314141631126404e-02,2.053155004978179932e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.668978229165077209e-02,-2.429907023906707764e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454546275e-02,4.861358925700187683e-02,4.612261056900024414e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454546275e-02,-1.742662861943244934e-02,-3.515641391277313232e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.718593016266822815e-02,1.304984092712402344e-03
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-8.205238729715347290e-03,8.248560130596160889e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454546275e-02,-1.329385116696357727e-02,4.369914531707763672e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909092549e-02,-9.169228374958038330e-02,-7.972724735736846924e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727273137e-02,1.101889833807945251e-02,2.393030375242233276e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.459299519658088684e-02,-2.507646381855010986e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.052693516016006470e-03,-4.091560840606689453e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-5.550799146294593811e-02,-2.753996104001998901e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727273137e-02,1.068312302231788635e-02,2.080692350864410400e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-7.355604320764541626e-03,-4.464201629161834717e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.670700684189796448e-02,-7.500238716602325439e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.647073403000831604e-02,1.874655485153198242e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.480533137917518616e-02,-2.036000788211822510e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.196197792887687683e-02,2.448099106550216675e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909092549e-02,2.947070896625518799e-01,1.001613810658454895e-01
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.001961857080459595e-03,9.781606495380401611e-03
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.597704485058784485e-02,-2.230013906955718994e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.675543561577796936e-02,-1.216648519039154053e-02
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.397627964615821838e-02,-9.744301438331604004e-03
2.725855225764744105e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.308159485459327698e-02,-2.530275285243988037e-02
2.383421626523456283e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.879858925938606262e-02,-1.420344412326812744e-02
3.395014460979369630e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.850816562771797180e-02,-1.319488883018493652e-02
1.805368578262934420e+01,-1.000000000000000056e-01,-9.090909090909092549e-02,-8.642761409282684326e-02,-5.844795703887939453e-02
1.986533754619945924e+01,5.555555555555555941e-02,4.545454545454546275e-02,3.963155671954154968e-02,4.045444726943969727e-02
1.479690139840792718e+01,1.000000000000000056e-01,6.818181818181819065e-02,1.044337302446365356e-01,7.267532497644424438e-02
1.088038255693265022e+01,5.555555555555555941e-02,-4.545454545454546275e-02,5.869445577263832092e-02,-6.044699251651763916e-02
2.766695930261411362e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-4.669121280312538147e-02,-3.319340199232101440e-02
1.618967414149940254e+01,1.111111111111111154e-02,0.000000000000000000e+00,5.001921206712722778e-03,-1.955538243055343628e-02
3.054675256840475583e+01,0.000000000000000000e+00,-0.000000000000000000e+00,1.146184280514717102e-02,2.112687379121780396e-02
9.100146719898434711e+00,8.777777777777778789e-01,5.909090909090910504e-01,8.807013034820556641e-01,6.160666346549987793e-01
2.066120768510887373e+01,4.444444444444444614e-02,0.000000000000000000e+00,4.129409417510032654e-02,2.417903393507003784e-02
9.885544883295882101e+00,5.555555555555555802e-01,3.181818181818182323e-01,5.635319948196411133e-01,3.327617645263671875e-01
2.165604535874564363e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.390186324715614319e-02,-1.085091382265090942e-02
