# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454546275e-02,-5.398677289485931396e-02,-3.865728527307510376e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.883593738079071045e-02,-8.114852011203765869e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454546275e-02,2.167457342147827148e-02,2.372881025075912476e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-5.011657625436782837e-02,-2.812377363443374634e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454546275e-02,4.638011753559112549e-02,4.146265238523483276e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454546275e-02,-2.319885790348052979e-02,-2.991737425327301025e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.732066273689270020e-02,7.922276854515075684e-04
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-7.692381739616394043e-03,7.413707673549652100e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454546275e-02,-1.308351755142211914e-02,3.766380250453948975e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909092549e-02,-1.015978902578353882e-01,-8.006506413221359253e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727273137e-02,9.940162301063537598e-03,2.085121721029281616e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.814543575048446655e-02,-2.793950587511062622e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.384743213653564453e-03,-2.816393971443176270e-04
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-5.695717036724090576e-02,-2.929607778787612915e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727273137e-02,9.971961379051208496e-03,1.774068921804428101e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.293670386075973511e-02,-1.037866622209548950e-02
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.812566816806793213e-02,-6.567515432834625244e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.653577387332916260e-02,1.350335776805877686e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.729347884654998779e-02,-2.078358083963394165e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.071497797966003418e-02,2.134355157613754272e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909092549e-02,2.955082356929779053e-01,9.823625534772872925e-02
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.248121261596679688e-03,8.485041558742523193e-03
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.885579645633697510e-02,-2.623901516199111938e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.894544064998626709e-02,-1.029438525438308716e-02
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.514600217342376709e-02,-7.544793188571929932e-03
2.725855225764744105e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.735655546188354492e-02,-2.307785302400588989e-02
2.383421626523456283e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.570708632469177246e-02,-1.339638978242874146e-02
3.395014460979369630e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.883400559425354004e-02,-1.647821813821792603e-02
1.805368578262934420e+01,-1.000000000000000056e-01,-9.090909090909092549e-02,-8.884590864181518555e-02,-5.750168114900588989e-02
1.986533754619945924e+01,5.555555555555555941e-02,4.545454545454546275e-02,4.156385362148284912e-02,4.091372340917587280e-02
1.479690139840792718e+01,1.000000000000000056e-01,6.818181818181819065e-02,1.025688350200653076e-01,7.242757827043533325e-02
1.088038255693265022e+01,5.555555555555555941e-02,-4.545454545454546275e-02,5.881878733634948730e-02,-7.105696946382522583e-02
2.766695930261411362e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-4.978610575199127197e-02,-3.073141723871231079e-02
1.618967414149940254e+01,1.111111111111111154e-02,0.000000000000000000e+00,-2.284593880176544189e-03,-1.673219352960586548e-02
3.054675256840475583e+01,0.000000000000000000e+00,-0.000000000000000000e+00,1.054511964321136475e-02,1.791559904813766479e-02
9.100146719898434711e+00,8.777777777777778789e-01,5.909090909090910504e-01,8.757045269012451172e-01,6.142774224281311035e-01
2.066120768510887373e+01,4.444444444444444614e-02,0.000000000000000000e+00,3.706395626068115234e-02,3.059165924787521362e-02
9.885544883295882101e+00,5.555555555555555802e-01,3.181818181818182323e-01,5.554816722869873047e-01,3.137629628181457520e-01
2.165604535874564363e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.301250398159027100e-02,-1.772392541170120239e-02
