# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454546275e-02,-5.257182195782661438e-02,-2.927828580141067505e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-2.909653261303901672e-02,-4.745252430438995361e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454546275e-02,2.036982402205467224e-02,2.002611011266708374e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.801726713776588440e-02,-2.325287461280822754e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454546275e-02,4.536018520593643188e-02,4.053030163049697876e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454546275e-02,-2.605115249752998352e-02,-3.322672843933105469e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.696411147713661194e-02,3.091849386692047119e-03
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-7.511500269174575806e-03,1.006901264190673828e-02
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454546275e-02,-1.282471790909767151e-02,6.225898861885070801e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909092549e-02,-1.040067821741104126e-01,-7.426119595766067505e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727273137e-02,9.726386517286300659e-03,2.639853954315185547e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.647493734955787659e-02,-2.366316318511962891e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.619503885507583618e-03,-2.022773027420043945e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-5.806041136384010315e-02,-3.009670972824096680e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727273137e-02,1.080941781401634216e-02,2.093665301799774170e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.225446537137031555e-02,-4.424765706062316895e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.928171887993812561e-02,-4.921421408653259277e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.619908586144447327e-02,3.679715096950531006e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.723489120602607727e-02,-1.797886192798614502e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,1.048624143004417419e-02,2.677851915359497070e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909092549e-02,2.887481451034545898e-01,1.002678945660591125e-01
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.171078532934188843e-03,1.062166690826416016e-02
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.688352718949317932e-02,-2.128673344850540161e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.103566005825996399e-02,-9.322017431259155273e-03
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.730843260884284973e-02,-7.264591753482818604e-03
