# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-5.555555555555555941e-02,-4.545454545454546275e-02,-5.127201974391937256e-02,-2.930064499378204346e-02
3.421194399759284721e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.027498722076416016e-02,-6.941013038158416748e-03
2.560398012675681301e+01,3.333333333333333287e-02,4.545454545454546275e-02,2.041487395763397217e-02,1.995424926280975342e-02
3.334277003009967189e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.950477182865142822e-02,-2.415226027369499207e-02
2.022138471360630163e+01,3.333333333333333287e-02,4.545454545454546275e-02,4.368254542350769043e-02,3.931533545255661011e-02
1.638864167622675438e+01,-1.111111111111111154e-02,-4.545454545454546275e-02,-2.668341994285583496e-02,-3.193007782101631165e-02
2.937389131106456830e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-1.802849769592285156e-02,1.360505819320678711e-03
2.964616267437568098e+01,1.111111111111111154e-02,0.000000000000000000e+00,-8.320420980453491211e-03,8.526489138603210449e-03
2.948908304169619043e+01,-1.111111111111111154e-02,4.545454545454546275e-02,-1.374641060829162598e-02,4.580780863761901855e-03
1.733111947230369410e+01,-1.111111111111111188e-01,-9.090909090909092549e-02,-1.041453033685684204e-01,-7.500388473272323608e-02
2.469291825721577638e+01,0.000000000000000000e+00,2.272727272727273137e-02,7.040590047836303711e-03,2.454398572444915771e-02
3.303908274025265968e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.817609488964080811e-02,-2.484195306897163391e-02
2.652551397180982207e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.633613586425781250e-03,-3.546081483364105225e-03
1.847256480310798565e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-5.967134237289428711e-02,-2.924120053648948669e-02
3.047344873982099500e+01,0.000000000000000000e+00,2.272727272727273137e-02,9.229913353919982910e-03,1.961882412433624268e-02
2.150943770157811485e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.356424391269683838e-02,-5.958452820777893066e-03
3.208613296866375464e+01,-2.222222222222222307e-02,-0.000000000000000000e+00,-1.938344538211822510e-02,-6.275556981563568115e-03
2.939483526208849895e+01,-1.111111111111111154e-02,-0.000000000000000000e+00,-1.723454892635345459e-02,1.964502036571502686e-03
3.259925976875008757e+01,-4.444444444444444614e-02,-0.000000000000000000e+00,-3.832492232322692871e-02,-1.955875381827354431e-02
2.471386220823970703e+01,1.111111111111111154e-02,0.000000000000000000e+00,7.828727364540100098e-03,2.495449036359786987e-02
1.037772773235828438e+01,3.111111111111111716e-01,9.090909090909092549e-02,2.866479456424713135e-01,9.994285553693771362e-02
3.151017431550562620e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.751963376998901367e-04,9.555548429489135742e-03
3.352079361380309308e+01,-3.333333333333333287e-02,-4.545454545454546275e-02,-4.812775552272796631e-02,-2.220906317234039307e-02
2.682920126165683428e+01,-2.222222222222222307e-02,0.000000000000000000e+00,-2.216818928718566895e-02,-1.113394647836685181e-02
2.674542545756110457e+01,-1.111111111111111154e-02,0.000000000000000000e+00,-1.846240460872650146e-02,-9.049467742443084717e-03
2.725855225764744105e+01,-3.333333333333333287e-02,-0.000000000000000000e+00,-3.926889598369598389e-02,-2.137678116559982300e-02
2.383421626523456283e+01,-4.444444444444444614e-02,0.000000000000000000e+00,-3.666730225086212158e-02,-1.309852302074432373e-02
3.395014460979369630e+01,-3.333333333333333287e-02,0.000000000000000000e+00,-3.903795778751373291e-02,-1.383843272924423218e-02
1.805368578262934420e+01,-1.000000000000000056e-01,-9.090909090909092549e-02,-9.084722399711608887e-02,-5.620211735367774963e-02
1.986533754619945924e+01,5.555555555555555941e-02,4.545454545454546275e-02,4.005229473114013672e-02,4.160794615745544434e-02
1.479690139840792718e+01,1.000000000000000056e-01,6.818181818181819065e-02,9.921929240226745605e-02,7.043641060590744019e-02
1.088038255693265022e+01,5.555555555555555941e-02,-4.545454545454546275e-02,6.307786703109741211e-02,-7.023400068283081055e-02
2.766695930261411362e+01,-4.444444444444444614e-02,-2.272727272727273137e-02,-5.022388696670532227e-02,-2.861605584621429443e-02
1.618967414149940254e+01,1.111111111111111154e-02,0.000000000000000000e+00,-2.368763089179992676e-03,-1.618134602904319763e-02
3.054675256840475583e+01,0.000000000000000000e+00,-0.000000000000000000e+00,9.798109531402587891e-03,1.981017738580703735e-02
