# Time, Target (V), Target (I), Prediction (V), Prediction (I)
8.990190977022791685e+00,8.876404494382023058e-01,6.851851851851850084e-01,8.731474876403808594e-01,6.855182051658630371e-01
1.430471854934552667e+01,9.550561797752809001e-01,7.037037037037036091e-01,9.522893428802490234e-01,7.012625336647033691e-01
4.434881629317591667e+00,6.404494382022472010e-01,6.296296296296296502e-01,6.393856406211853027e-01,6.262134313583374023e-01
1.185427627954548591e+01,9.662921348314607028e-01,7.777777777777776791e-01,9.677447676658630371e-01,7.598137259483337402e-01
3.785619147575700616e+00,5.730337078651686067e-01,5.740740740740739589e-01,5.657634139060974121e-01,5.906025767326354980e-01
5.880014249968896323e+00,7.528089887640450062e-01,6.111111111111110494e-01,7.633379697799682617e-01,6.045174598693847656e-01
1.473930553309211255e+01,8.988764044943821085e-01,6.296296296296296502e-01,8.886452317237854004e-01,6.077718734741210938e-01
1.178097245096172507e+01,9.775280898876405056e-01,7.777777777777776791e-01,9.694347977638244629e-01,7.694246768951416016e-01
1.383871563906303770e+01,9.775280898876405056e-01,7.777777777777776791e-01,9.804118871688842773e-01,7.867380380630493164e-01
1.430995453710150933e+01,9.438202247191012084e-01,7.222222222222220989e-01,9.514953494071960449e-01,6.998273134231567383e-01
1.530479221073827567e+01,8.876404494382023058e-01,6.481481481481481399e-01,8.858369588851928711e-01,6.501408219337463379e-01
4.235914094590238044e+00,6.067415730337079038e-01,5.925925925925925597e-01,6.044868826866149902e-01,5.956151485443115234e-01
1.156106096521044080e+01,9.550561797752809001e-01,7.777777777777776791e-01,9.587143659591674805e-01,7.733466029167175293e-01
5.681046715241542699e+00,7.752808988764045006e-01,6.481481481481481399e-01,7.852065563201904297e-01,6.564292907714843750e-01
8.555603993276204022e+00,8.089887640449437978e-01,5.740740740740739589e-01,8.103670477867126465e-01,5.744873881340026855e-01
1.013687229558306591e+01,8.764044943820226141e-01,6.296296296296296502e-01,8.979436755180358887e-01,6.483013033866882324e-01
3.827507049623564583e+00,5.730337078651686067e-01,5.925925925925925597e-01,5.664688348770141602e-01,5.858249068260192871e-01
3.366740127097061830e+00,5.617977528089888040e-01,6.481481481481481399e-01,5.571087002754211426e-01,6.885578632354736328e-01
2.827433388230814248e+00,3.483146067415730518e-01,6.111111111111110494e-01,3.498898744583129883e-01,5.839228034019470215e-01
1.358215223901987301e+01,9.438202247191012084e-01,7.592592592592591894e-01,9.510399699211120605e-01,7.595444917678833008e-01
5.801474433629151939e+00,7.528089887640450062e-01,6.296296296296296502e-01,7.721773386001586914e-01,6.241167783737182617e-01
