# Time, Strain, Stress
9.419999999999999485e-01,-8.000000000000000167e-02,9.803921568627451929e-05
9.439999999999999503e-01,-8.000000000000000167e-02,1.960784313725490386e-04
9.459999999999999520e-01,-8.000000000000000167e-02,1.960784313725490386e-04
9.479999999999999538e-01,0.000000000000000000e+00,-9.803921568627451929e-05
9.499999999999999556e-01,8.000000000000000167e-02,0.000000000000000000e+00
9.519999999999999574e-01,0.000000000000000000e+00,9.803921568627451929e-05
9.539999999999999591e-01,-1.600000000000000033e-01,-1.960784313725490386e-04
9.559999999999999609e-01,-8.000000000000000167e-02,-2.941176470588235579e-04
9.579999999999999627e-01,8.000000000000000167e-02,3.921568627450980771e-04
9.599999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.619999999999999662e-01,8.000000000000000167e-02,4.901960784313725422e-04
9.639999999999999680e-01,8.000000000000000167e-02,2.941176470588235579e-04
9.659999999999999698e-01,1.600000000000000033e-01,2.941176470588235579e-04
9.679999999999999716e-01,2.399999999999999911e-01,5.882352941176471157e-04
9.699999999999999734e-01,1.600000000000000033e-01,5.882352941176471157e-04
9.719999999999999751e-01,3.200000000000000067e-01,9.803921568627450844e-04
9.739999999999999769e-01,2.399999999999999911e-01,5.882352941176471157e-04
9.759999999999999787e-01,4.799999999999999822e-01,8.823529411764706194e-04
9.779999999999999805e-01,4.799999999999999822e-01,8.823529411764706194e-04
9.799999999999999822e-01,4.799999999999999822e-01,7.843137254901961543e-04
9.819999999999999840e-01,6.400000000000000133e-01,1.176470588235294231e-03
9.839999999999999858e-01,6.400000000000000133e-01,1.274509803921568696e-03
9.859999999999999876e-01,7.199999999999999734e-01,1.176470588235294231e-03
9.879999999999999893e-01,8.000000000000000444e-01,1.176470588235294231e-03
9.899999999999999911e-01,8.000000000000000444e-01,1.078431372549019550e-03
9.919999999999999929e-01,8.000000000000000444e-01,1.274509803921568696e-03
9.939999999999999947e-01,8.000000000000000444e-01,1.176470588235294231e-03
9.959999999999999964e-01,1.040000000000000036e+00,1.470588235294117627e-03
9.979999999999999982e-01,9.599999999999999645e-01,1.372549019607843162e-03
1.000000000000000000e+00,1.040000000000000036e+00,1.470588235294117627e-03
1.002000000000000002e+00,1.120000000000000107e+00,1.470588235294117627e-03
1.004000000000000004e+00,1.040000000000000036e+00,1.666666666666666990e-03
1.006000000000000005e+00,1.199999999999999956e+00,2.156862745098039099e-03
1.008000000000000007e+00,1.199999999999999956e+00,1.764705882352941239e-03
1.010000000000000009e+00,1.280000000000000027e+00,1.862745098039215704e-03
1.012000000000000011e+00,1.199999999999999956e+00,1.764705882352941239e-03
1.014000000000000012e+00,1.280000000000000027e+00,1.862745098039215704e-03
1.016000000000000014e+00,1.360000000000000098e+00,2.058823529411764851e-03
1.018000000000000016e+00,1.439999999999999947e+00,1.960784313725490169e-03
1.020000000000000018e+00,1.520000000000000018e+00,2.156862745098039099e-03
1.022000000000000020e+00,1.439999999999999947e+00,2.254901960784313781e-03
1.024000000000000021e+00,1.439999999999999947e+00,2.058823529411764851e-03
1.026000000000000023e+00,1.600000000000000089e+00,2.450980392156863145e-03
1.028000000000000025e+00,1.520000000000000018e+00,2.156862745098039099e-03
1.030000000000000027e+00,1.679999999999999938e+00,2.352941176470588463e-03
1.032000000000000028e+00,1.760000000000000009e+00,1.960784313725490169e-03
1.034000000000000030e+00,1.760000000000000009e+00,2.352941176470588463e-03
1.036000000000000032e+00,1.840000000000000080e+00,2.254901960784313781e-03
1.038000000000000034e+00,1.679999999999999938e+00,2.549019607843137393e-03
