# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-5.809953808784484863e-02,-3.836289048194885254e-02
3.421194399759284721e+01,-3.529411764705882304e-02,1.562499999999999827e-02,-3.568637371063232422e-02,-6.939336657524108887e-03
2.560398012675681301e+01,2.352941176470588203e-02,0.000000000000000000e+00,1.819306612014770508e-02,1.945347338914871216e-02
3.334277003009967189e+01,-7.058823529411764608e-02,0.000000000000000000e+00,-5.001981556415557861e-02,-2.066776901483535767e-02
2.022138471360630163e+01,4.705882352941176405e-02,3.124999999999999653e-02,4.491588473320007324e-02,3.479882329702377319e-02
1.638864167622675438e+01,-3.529411764705882304e-02,-4.687499999999999306e-02,-2.385857701301574707e-02,-3.654089570045471191e-02
2.937389131106456830e+01,-1.176470588235294101e-02,3.124999999999999653e-02,-1.971694827079772949e-02,6.348151713609695435e-03
2.964616267437568098e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-9.401977062225341797e-03,1.167949661612510681e-02
2.948908304169619043e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.508578658103942871e-02,8.866775780916213989e-03
1.733111947230369410e+01,-1.176470588235294240e-01,-6.249999999999999306e-02,-1.092903912067413330e-01,-7.460063695907592773e-02
2.469291825721577638e+01,0.000000000000000000e+00,3.124999999999999653e-02,2.789616584777832031e-03,1.778343319892883301e-02
3.303908274025265968e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.745043814182281494e-02,-2.125430852174758911e-02
2.652551397180982207e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-6.986647844314575195e-03,-2.985313534736633301e-03
1.847256480310798565e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-6.611540913581848145e-02,-2.255770564079284668e-02
3.047344873982099500e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.350862026214599609e-03,1.661311835050582886e-02
2.150943770157811485e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-1.608902215957641602e-02,-1.578579843044281006e-02
3.208613296866375464e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.851820945739746094e-02,-6.722658872604370117e-03
2.939483526208849895e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.884824037551879883e-02,6.835136562585830688e-03
3.259925976875008757e+01,-3.529411764705882304e-02,0.000000000000000000e+00,-3.669780492782592773e-02,-1.706308126449584961e-02
2.471386220823970703e+01,1.176470588235294101e-02,1.562499999999999827e-02,3.548830747604370117e-03,1.811003684997558594e-02
1.037772773235828438e+01,3.058823529411764941e-01,6.249999999999999306e-02,3.080069124698638916e-01,3.644172847270965576e-02
3.151017431550562620e+01,1.176470588235294101e-02,1.562499999999999827e-02,-9.112060070037841797e-04,5.576439201831817627e-03
3.352079361380309308e+01,-5.882352941176471200e-02,-3.124999999999999653e-02,-4.952281713485717773e-02,-1.908916980028152466e-02
2.682920126165683428e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-2.243843674659729004e-02,-1.306192949414253235e-02
2.674542545756110457e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-1.817518472671508789e-02,-1.042862981557846069e-02
2.725855225764744105e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.080602526664733887e-02,-2.265050448477268219e-02
2.383421626523456283e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-4.017636179924011230e-02,-7.189132273197174072e-03
3.395014460979369630e+01,-5.882352941176471200e-02,-3.124999999999999653e-02,-4.284796118736267090e-02,-1.239354908466339111e-02
1.805368578262934420e+01,-9.411764705882352811e-02,-7.812499999999998612e-02,-9.865012764930725098e-02,-4.962030053138732910e-02
1.986533754619945924e+01,5.882352941176471200e-02,6.249999999999999306e-02,3.974142670631408691e-02,3.728637099266052246e-02
1.479690139840792718e+01,1.058823529411764691e-01,1.093749999999999861e-01,1.078449189662933350e-01,6.733271479606628418e-02
1.088038255693265022e+01,8.235294117647060097e-02,-1.093749999999999861e-01,6.659856438636779785e-02,-1.062774956226348877e-01
2.766695930261411362e+01,-5.882352941176471200e-02,-1.562499999999999827e-02,-5.313575267791748047e-02,-2.723112516105175018e-02
1.618967414149940254e+01,0.000000000000000000e+00,-3.124999999999999653e-02,-1.754194498062133789e-03,-2.360990643501281738e-02
3.054675256840475583e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.809191942214965820e-03,1.640181243419647217e-02
9.100146719898434711e+00,8.941176470588235725e-01,5.312500000000000000e-01,8.957066535949707031e-01,5.461181402206420898e-01
2.066120768510887373e+01,2.352941176470588203e-02,3.124999999999999653e-02,3.540149331092834473e-02,2.227612584829330444e-02
9.885544883295882101e+00,5.647058823529411686e-01,2.031249999999999722e-01,5.647403001785278320e-01,2.187552154064178467e-01
2.165604535874564363e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-2.644020318984985352e-02,-2.205381542444229126e-02
2.013760890951057547e+01,4.705882352941176405e-02,6.249999999999999306e-02,4.477730393409729004e-02,3.607209771871566772e-02
3.215943679724752258e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-2.117043733596801758e-02,-8.374437689781188965e-03
1.130973355292325699e+01,-9.411764705882352811e-02,-1.718749999999999722e-01,-9.106579422950744629e-02,-1.805243939161300659e-01
3.068288825006031573e+01,0.000000000000000000e+00,1.562499999999999827e-02,8.241325616836547852e-03,1.577053219079971313e-02
3.026400922958167783e+01,0.000000000000000000e+00,3.124999999999999653e-02,5.157291889190673828e-03,1.669842004776000977e-02
1.085943860590871779e+01,8.235294117647060097e-02,-7.812499999999998612e-02,7.558777928352355957e-02,-1.015116572380065918e-01
2.045176817486955656e+01,5.882352941176471200e-02,4.687499999999999306e-02,4.198154807090759277e-02,2.934791892766952515e-02
2.377138441216277087e+01,-3.529411764705882304e-02,1.562499999999999827e-02,-4.368543624877929688e-02,-9.669110178947448730e-03
3.157300616857742526e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.438217401504516602e-03,4.384122788906097412e-03
2.980324230705517152e+01,-1.176470588235294101e-02,3.124999999999999653e-02,-4.512816667556762695e-03,1.381176710128784180e-02
1.215796356939249989e+01,-2.352941176470588480e-01,-1.874999999999999722e-01,-2.356387078762054443e-01,-2.037432342767715454e-01
1.829454121940456446e+01,-9.411764705882352811e-02,-1.562499999999999827e-02,-8.137008547782897949e-02,-3.443908691406250000e-02
8.639379797371931957e+00,9.764705882352940902e-01,7.812500000000000000e-01,9.583364725112915039e-01,7.768635749816894531e-01
1.838878899901225594e+01,-8.235294117647060097e-02,-1.562499999999999827e-02,-7.349160313606262207e-02,-2.817398309707641602e-02
2.056695990550117870e+01,2.352941176470588203e-02,0.000000000000000000e+00,3.879231214523315430e-02,2.567599713802337646e-02
3.219085272378341500e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-2.231681346893310547e-02,-9.074561297893524170e-03
2.460914245312004667e+01,0.000000000000000000e+00,3.124999999999999653e-02,-4.261434078216552734e-04,1.633188128471374512e-02
2.157226955464991391e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.054876089096069336e-02,-1.853233575820922852e-02
9.623745495496734748e+00,6.823529411764706065e-01,3.124999999999999445e-01,6.920787096023559570e-01,3.240708708763122559e-01
3.162536604613725189e+01,0.000000000000000000e+00,-1.562499999999999827e-02,-3.796011209487915039e-03,3.352418541908264160e-03
9.937904760855712283e+00,5.529411764705882693e-01,2.031249999999999722e-01,5.380805134773254395e-01,1.982114017009735107e-01
2.054601595447724804e+01,4.705882352941176405e-02,0.000000000000000000e+00,3.945258259773254395e-02,2.638520300388336182e-02
2.449395072248842098e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-5.299687385559082031e-03,1.395513117313385010e-02
1.488067720250365511e+01,9.411764705882352811e-02,4.687499999999999306e-02,1.081511676311492920e-01,6.482020020484924316e-02
1.956165025635244703e+01,3.529411764705882304e-02,6.249999999999999306e-02,2.609440684318542480e-02,3.304943442344665527e-02
9.916960809831779855e+00,5.529411764705882693e-01,2.031249999999999722e-01,5.487824678421020508e-01,2.064055502414703369e-01
1.772905454175840134e+01,-1.176470588235294240e-01,-7.812499999999998612e-02,-1.125136315822601318e-01,-6.598320603370666504e-02
3.213849284622358482e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-2.040895819664001465e-02,-7.904775440692901611e-03
2.820103005372437721e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-6.126147508621215820e-02,-2.732883766293525696e-02
3.354173756482702373e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.937034845352172852e-02,-1.885049790143966675e-02
3.049439269084492565e+01,1.176470588235294101e-02,0.000000000000000000e+00,7.498055696487426758e-03,1.656216382980346680e-02
1.791755010097378786e+01,-1.058823529411764691e-01,-4.687499999999999306e-02,-1.060073077678680420e-01,-5.723723769187927246e-02
9.613273519984767645e+00,6.941176470588235059e-01,3.437499999999999445e-01,6.969236135482788086e-01,3.283688127994537354e-01
3.242123618504666638e+01,-3.529411764705882304e-02,-1.562499999999999827e-02,-3.067529201507568359e-02,-1.391532272100448608e-02
2.260899513033454511e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-7.342344522476196289e-02,-4.228674620389938354e-02
1.614778623945153768e+01,0.000000000000000000e+00,-4.687499999999999306e-02,2.803295850753784180e-03,-2.087268233299255371e-02
1.854586863169174649e+01,-4.705882352941176405e-02,-4.687499999999999306e-02,-5.944356322288513184e-02,-1.765301823616027832e-02
1.343554458185234779e+01,-7.058823529411764608e-02,-3.124999999999999653e-02,-7.014802098274230957e-02,-2.934166789054870605e-02
2.487094184091919757e+01,0.000000000000000000e+00,1.562499999999999827e-02,8.653968572616577148e-03,2.010175585746765137e-02
3.085043985825177160e+01,1.176470588235294101e-02,0.000000000000000000e+00,8.029192686080932617e-03,1.457776874303817749e-02
2.756223954749445326e+01,-4.705882352941176405e-02,-1.562499999999999827e-02,-5.023106932640075684e-02,-2.624136768281459808e-02
1.501681288415921145e+01,1.058823529411764691e-01,7.812499999999998612e-02,1.050845086574554443e-01,5.847826600074768066e-02
