# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-5.857681483030319214e-02,-3.847731277346611023e-02
3.421194399759284721e+01,-3.529411764705882304e-02,1.562499999999999827e-02,-3.473985940217971802e-02,-5.761612206697463989e-03
2.560398012675681301e+01,2.352941176470588203e-02,0.000000000000000000e+00,1.952406018972396851e-02,2.058691158890724182e-02
3.334277003009967189e+01,-7.058823529411764608e-02,0.000000000000000000e+00,-4.937878996133804321e-02,-1.949354633688926697e-02
2.022138471360630163e+01,4.705882352941176405e-02,3.124999999999999653e-02,4.563192278146743774e-02,3.521556779742240906e-02
1.638864167622675438e+01,-3.529411764705882304e-02,-4.687499999999999306e-02,-2.597438544034957886e-02,-3.873432800173759460e-02
2.937389131106456830e+01,-1.176470588235294101e-02,3.124999999999999653e-02,-1.811569184064865112e-02,8.131723850965499878e-03
2.964616267437568098e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-7.680870592594146729e-03,1.367582008242607117e-02
2.948908304169619043e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.334077864885330200e-02,1.084088161587715149e-02
1.733111947230369410e+01,-1.176470588235294240e-01,-6.249999999999999306e-02,-1.082466915249824524e-01,-7.467355579137802124e-02
2.469291825721577638e+01,0.000000000000000000e+00,3.124999999999999653e-02,3.480128943920135498e-03,1.846082881093025208e-02
3.303908274025265968e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.786460846662521362e-02,-2.087571099400520325e-02
2.652551397180982207e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-7.628895342350006104e-03,-2.641197293996810913e-03
1.847256480310798565e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-6.216757744550704956e-02,-2.019220963120460510e-02
3.047344873982099500e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.129274308681488037e-03,1.684264466166496277e-02
2.150943770157811485e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-1.694463938474655151e-02,-1.622088626027107239e-02
3.208613296866375464e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.792294532060623169e-02,-5.456414073705673218e-03
2.939483526208849895e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.721113175153732300e-02,8.664090186357498169e-03
3.259925976875008757e+01,-3.529411764705882304e-02,0.000000000000000000e+00,-3.756736963987350464e-02,-1.708027347922325134e-02
2.471386220823970703e+01,1.176470588235294101e-02,1.562499999999999827e-02,4.253245890140533447e-03,1.880141720175743103e-02
1.037772773235828438e+01,3.058823529411764941e-01,6.249999999999999306e-02,3.055464029312133789e-01,3.457376733422279358e-02
3.151017431550562620e+01,1.176470588235294101e-02,1.562499999999999827e-02,-2.201423048973083496e-04,6.947707384824752808e-03
3.352079361380309308e+01,-5.882352941176471200e-02,-3.124999999999999653e-02,-4.837969690561294556e-02,-1.757796481251716614e-02
2.682920126165683428e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-2.192375808954238892e-02,-1.183214411139488220e-02
2.674542545756110457e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-1.797286421060562134e-02,-9.408105164766311646e-03
2.725855225764744105e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.059264808893203735e-02,-2.193417027592658997e-02
2.383421626523456283e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-3.846938163042068481e-02,-6.080027669668197632e-03
3.395014460979369630e+01,-5.882352941176471200e-02,-3.124999999999999653e-02,-4.147420078516006470e-02,-1.084880158305168152e-02
1.805368578262934420e+01,-9.411764705882352811e-02,-7.812499999999998612e-02,-9.809737652540206909e-02,-5.031241849064826965e-02
1.986533754619945924e+01,5.882352941176471200e-02,6.249999999999999306e-02,4.118732362985610962e-02,3.803466632962226868e-02
1.479690139840792718e+01,1.058823529411764691e-01,1.093749999999999861e-01,1.078679487109184265e-01,6.712761521339416504e-02
1.088038255693265022e+01,8.235294117647060097e-02,-1.093749999999999861e-01,6.388271600008010864e-02,-1.080522984266281128e-01
2.766695930261411362e+01,-5.882352941176471200e-02,-1.562499999999999827e-02,-5.369573086500167847e-02,-2.701183781027793884e-02
1.618967414149940254e+01,0.000000000000000000e+00,-3.124999999999999653e-02,-3.011234104633331299e-03,-2.541010454297065735e-02
3.054675256840475583e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.479421794414520264e-03,1.654788479208946228e-02
9.100146719898434711e+00,8.941176470588235725e-01,5.312500000000000000e-01,8.953071236610412598e-01,5.458105802536010742e-01
2.066120768510887373e+01,2.352941176470588203e-02,3.124999999999999653e-02,3.479383140802383423e-02,2.177606150507926941e-02
9.885544883295882101e+00,5.647058823529411686e-01,2.031249999999999722e-01,5.630916357040405273e-01,2.167340964078903198e-01
