# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.216917215883197301e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-5.936804786324501038e-02,-3.700883686542510986e-02
3.421194399759284721e+01,-3.529411764705882304e-02,1.562499999999999827e-02,-3.384669497609138489e-02,-5.791917443275451660e-03
2.560398012675681301e+01,2.352941176470588203e-02,0.000000000000000000e+00,1.833583042025566101e-02,2.004082500934600830e-02
3.334277003009967189e+01,-7.058823529411764608e-02,0.000000000000000000e+00,-5.070904269814491272e-02,-2.049650251865386963e-02
2.022138471360630163e+01,4.705882352941176405e-02,3.124999999999999653e-02,4.453307017683982849e-02,3.533078730106353760e-02
1.638864167622675438e+01,-3.529411764705882304e-02,-4.687499999999999306e-02,-2.795955911278724670e-02,-3.857472538948059082e-02
2.937389131106456830e+01,-1.176470588235294101e-02,3.124999999999999653e-02,-2.240248396992683411e-02,5.073770880699157715e-03
2.964616267437568098e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.217726245522499084e-02,1.072536408901214600e-02
2.948908304169619043e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.795013621449470520e-02,7.631525397300720215e-03
1.733111947230369410e+01,-1.176470588235294240e-01,-6.249999999999999306e-02,-1.064701378345489502e-01,-6.988403946161270142e-02
2.469291825721577638e+01,0.000000000000000000e+00,3.124999999999999653e-02,4.428934305906295776e-03,1.984177529811859131e-02
3.303908274025265968e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.971292987465858459e-02,-2.229197323322296143e-02
2.652551397180982207e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-9.288404136896133423e-03,-3.248140215873718262e-03
1.847256480310798565e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-6.495764851570129395e-02,-2.005863189697265625e-02
3.047344873982099500e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.875364273786544800e-03,1.803986728191375732e-02
2.150943770157811485e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-1.798430457711219788e-02,-1.522551476955413818e-02
3.208613296866375464e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-2.015822008252143860e-02,-7.921710610389709473e-03
2.939483526208849895e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-2.158290520310401917e-02,5.555287003517150879e-03
3.259925976875008757e+01,-3.529411764705882304e-02,0.000000000000000000e+00,-3.966844454407691956e-02,-1.892499625682830811e-02
2.471386220823970703e+01,1.176470588235294101e-02,1.562499999999999827e-02,5.219262093305587769e-03,2.017597854137420654e-02
1.037772773235828438e+01,3.058823529411764941e-01,6.249999999999999306e-02,3.099717795848846436e-01,3.556452691555023193e-02
3.151017431550562620e+01,1.176470588235294101e-02,1.562499999999999827e-02,-2.906806766986846924e-04,6.031200289726257324e-03
3.352079361380309308e+01,-5.882352941176471200e-02,-3.124999999999999653e-02,-4.911709204316139221e-02,-1.818896830081939697e-02
2.682920126165683428e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-2.379849925637245178e-02,-1.232816278934478760e-02
2.674542545756110457e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-1.973578706383705139e-02,-9.909525513648986816e-03
2.725855225764744105e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-4.325409606099128723e-02,-2.247391641139984131e-02
2.383421626523456283e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-4.009172692894935608e-02,-5.717501044273376465e-03
