# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.217964413434393833e+01,-4.705882352941176405e-02,-3.921568627450981032e-02,-5.214913934469223022e-02,-3.994832932949066162e-02
3.422241597310481609e+01,-3.529411764705882304e-02,0.000000000000000000e+00,-3.047776967287063599e-02,-9.261801838874816895e-03
2.561445210226878189e+01,3.529411764705882304e-02,0.000000000000000000e+00,2.090197056531906128e-02,1.673098653554916382e-02
3.335324200561164076e+01,-4.705882352941176405e-02,-1.960784313725490516e-02,-4.811935871839523315e-02,-2.388248592615127563e-02
2.023185668911826696e+01,3.529411764705882304e-02,3.921568627450981032e-02,4.834549874067306519e-02,2.873327583074569702e-02
1.639911365173872326e+01,-2.352941176470588203e-02,-3.921568627450981032e-02,-2.458680421113967896e-02,-3.333891183137893677e-02
2.938436328657653362e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.457813382148742676e-02,-2.827443182468414307e-03
2.965663464988764630e+01,1.176470588235294101e-02,0.000000000000000000e+00,-3.530420362949371338e-03,4.629153758287429810e-03
2.949955501720815931e+01,-1.176470588235294101e-02,5.882352941176471200e-02,-8.214533329010009766e-03,1.534622162580490112e-03
1.734159144781565942e+01,-1.176470588235294240e-01,-7.843137254901962063e-02,-1.050135269761085510e-01,-8.377199620008468628e-02
2.470339023272774170e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.050470024347305298e-02,1.041089743375778198e-02
3.304955471576462855e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-4.689421504735946655e-02,-2.415032684803009033e-02
2.653598594732178384e+01,0.000000000000000000e+00,-1.960784313725490516e-02,-6.278254091739654541e-03,-2.471305429935455322e-03
1.848303677861995098e+01,-3.529411764705882304e-02,-5.882352941176471200e-02,-5.597833544015884399e-02,-4.128661006689071655e-02
3.048392071533296033e+01,1.176470588235294101e-02,1.960784313725490516e-02,8.784510195255279541e-03,1.254078745841979980e-02
2.151990967709008729e+01,0.000000000000000000e+00,-3.921568627450981032e-02,-1.358144730329513550e-02,-1.543085277080535889e-02
3.209660494417572352e+01,-1.176470588235294101e-02,1.960784313725490516e-02,-1.991625875234603882e-02,-8.599460124969482422e-03
2.940530723760046428e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.329526305198669434e-02,-1.941680908203125000e-03
3.260973174426205645e+01,-4.705882352941176405e-02,-1.960784313725490516e-02,-3.785408288240432739e-02,-1.955885440111160278e-02
2.472433418375167591e+01,2.352941176470588203e-02,0.000000000000000000e+00,1.125768572092056274e-02,1.092775166034698486e-02
1.038819970787024971e+01,3.058823529411764941e-01,1.960784313725490169e-01,3.002468049526214600e-01,1.780540347099304199e-01
3.152064629101759152e+01,1.176470588235294101e-02,0.000000000000000000e+00,4.713609814643859863e-04,5.227126181125640869e-03
3.353126558931506196e+01,-3.529411764705882304e-02,-1.960784313725490516e-02,-4.687527567148208618e-02,-2.242490649223327637e-02
2.683967323716880315e+01,-2.352941176470588203e-02,-1.960784313725490516e-02,-1.863887161016464233e-02,-1.056355983018875122e-02
2.675589743307307344e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-1.523447781801223755e-02,-8.363336324691772461e-03
2.726902423315940638e+01,-4.705882352941176405e-02,-1.960784313725490516e-02,-3.477183729410171509e-02,-2.070359885692596436e-02
2.384468824074653170e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-3.472375124692916870e-02,-2.141544967889785767e-02
3.396061658530566518e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-3.856121748685836792e-02,-1.545179635286331177e-02
1.806415775814131308e+01,-1.058823529411764691e-01,-7.843137254901962063e-02,-9.307532757520675659e-02,-6.953451782464981079e-02
1.987580952171142457e+01,4.705882352941176405e-02,1.960784313725490516e-02,4.592814296483993530e-02,2.848239988088607788e-02
1.480737337391989072e+01,9.411764705882352811e-02,5.882352941176471200e-02,1.051457449793815613e-01,6.153630465269088745e-02
1.089085453244461732e+01,7.058823529411764608e-02,-1.960784313725490516e-02,6.106943637132644653e-02,5.594477057456970215e-03
2.767743127812607540e+01,-5.882352941176471200e-02,-3.921568627450981032e-02,-4.623059183359146118e-02,-2.755661308765411377e-02
1.620014611701136786e+01,-1.176470588235294101e-02,-1.960784313725490516e-02,-1.084007322788238525e-03,-1.734463125467300415e-02
3.055722454391672471e+01,1.176470588235294101e-02,1.960784313725490516e-02,1.025674492120742798e-02,1.347808539867401123e-02
9.110618695410400036e+00,8.941176470588235725e-01,6.470588235294119084e-01,8.861798048019409180e-01,6.449804902076721191e-01
2.067167966062083906e+01,4.705882352941176405e-02,1.960784313725490516e-02,3.586655110120773315e-02,1.886265724897384644e-02
9.896016858807849204e+00,5.529411764705882693e-01,3.529411764705882582e-01,5.577824115753173828e-01,3.727405369281768799e-01
2.166651733425760895e+01,0.000000000000000000e+00,1.960784313725490516e-02,-2.297017723321914673e-02,-2.160470932722091675e-02
2.014808088502254080e+01,3.529411764705882304e-02,3.921568627450981032e-02,4.890648275613784790e-02,2.943155914545059204e-02
3.216990877275948435e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-2.270507067441940308e-02,-1.038164645433425903e-02
1.132020552843522054e+01,-1.058823529411764691e-01,-1.176470588235294240e-01,-9.739712625741958618e-02,-1.035229936242103577e-01
3.069336022557228105e+01,1.176470588235294101e-02,1.960784313725490516e-02,1.197621971368789673e-02,1.448220759630203247e-02
3.027448120509364315e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.926446497440338135e-03,8.649595081806182861e-03
1.086991058142068489e+01,7.058823529411764608e-02,0.000000000000000000e+00,7.002540677785873413e-02,1.190432906150817871e-02
2.046224015038151833e+01,5.882352941176471200e-02,0.000000000000000000e+00,4.361022263765335083e-02,2.471953630447387695e-02
2.378185638767473264e+01,-4.705882352941176405e-02,-3.921568627450981032e-02,-3.841053694486618042e-02,-2.406513690948486328e-02
3.158347814408938703e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.457221806049346924e-03,3.850631415843963623e-03
2.981371428256713685e+01,0.000000000000000000e+00,-1.960784313725490516e-02,-3.390006721019744873e-03,4.557613283395767212e-03
1.216843554490446522e+01,-2.352941176470588480e-01,-2.156862745098039047e-01,-2.366219162940979004e-01,-1.882631182670593262e-01
1.830501319491652978e+01,-9.411764705882352811e-02,-7.843137254901962063e-02,-7.312241941690444946e-02,-5.411460995674133301e-02
8.649851772883897283e+00,9.882352941176471006e-01,7.058823529411765163e-01,9.857826232910156250e-01,7.484855651855468750e-01
1.839926097452422127e+01,-4.705882352941176405e-02,-3.921568627450981032e-02,-6.417386978864669800e-02,-4.738621413707733154e-02
2.057743188101314757e+01,4.705882352941176405e-02,3.921568627450981032e-02,3.970458358526229858e-02,2.172137051820755005e-02
3.220132469929538388e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-2.389154583215713501e-02,-1.113224029541015625e-02
2.461961442863201199e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.264606654644012451e-03,8.176848292350769043e-03
2.158274153016187924e+01,-1.176470588235294101e-02,-1.960784313725490516e-02,-1.762754470109939575e-02,-1.810435950756072998e-02
9.634217471008700073e+00,6.941176470588235059e-01,4.901960784313726394e-01,6.862187385559082031e-01,4.742644131183624268e-01
3.163583802164921721e+01,1.176470588235294101e-02,-1.960784313725490516e-02,-3.140471875667572021e-03,2.663128077983856201e-03
9.948376736367677609e+00,5.294117647058823595e-01,3.529411764705882582e-01,5.307937860488891602e-01,3.518460690975189209e-01
2.055648792998921337e+01,4.705882352941176405e-02,3.921568627450981032e-02,4.048227518796920776e-02,2.230936288833618164e-02
2.450442269800038630e+01,1.176470588235294101e-02,0.000000000000000000e+00,2.241291105747222900e-03,4.690095782279968262e-03
1.489114917801561866e+01,1.058823529411764691e-01,5.882352941176471200e-02,1.058321520686149597e-01,6.150273978710174561e-02
1.957212223186441236e+01,4.705882352941176405e-02,1.960784313725490516e-02,3.383436053991317749e-02,2.135390043258666992e-02
9.927432785343746957e+00,5.411764705882353699e-01,3.529411764705882582e-01,5.416252613067626953e-01,3.602159023284912109e-01
1.773952651727036667e+01,-1.058823529411764691e-01,-7.843137254901962063e-02,-1.084859445691108704e-01,-8.280099928379058838e-02
3.214896482173554659e+01,0.000000000000000000e+00,-1.960784313725490516e-02,-2.191057056188583374e-02,-9.876482188701629639e-03
2.821150202923634254e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-5.311986058950424194e-02,-3.112642467021942139e-02
3.355220954033899261e+01,-3.529411764705882304e-02,-1.960784313725490516e-02,-4.663776606321334839e-02,-2.219376713037490845e-02
3.050486466635689098e+01,1.176470588235294101e-02,1.960784313725490516e-02,9.243100881576538086e-03,1.283624768257141113e-02
1.792802207648575319e+01,-9.411764705882352811e-02,-9.803921568627450844e-02,-1.014369949698448181e-01,-7.636583596467971802e-02
9.623745495496734748e+00,6.823529411764706065e-01,4.705882352941176960e-01,6.910548806190490723e-01,4.781686961650848389e-01
3.243170816055863526e+01,-2.352941176470588203e-02,1.960784313725490516e-02,-3.221345692873001099e-02,-1.625693589448928833e-02
2.261946710584651399e+01,-7.058823529411764608e-02,-5.882352941176471200e-02,-6.731841713190078735e-02,-4.828130453824996948e-02
