# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.001194520336698446e+01,-3.448275862068965469e-02,-7.317073170731708265e-02,-5.392573773860931396e-02,-5.977882444858551025e-02
3.205471704212785511e+01,-4.597701149425287293e-02,-3.658536585365854132e-02,-3.248871117830276489e-02,-2.237762510776519775e-02
2.344675317129182446e+01,4.597701149425287293e-02,0.000000000000000000e+00,1.983298361301422119e-02,2.011010050773620605e-02
3.118554307463468334e+01,-5.747126436781609116e-02,-4.878048780487805047e-02,-5.098784714937210083e-02,-4.261685162782669067e-02
1.806415775814131308e+01,4.597701149425287293e-02,1.219512195121951262e-02,4.752681404352188110e-02,3.989158570766448975e-02
1.423141472076176406e+01,-2.298850574712643646e-02,-4.878048780487805047e-02,-3.177531063556671143e-02,-5.983275175094604492e-02
2.721666435559957975e+01,-3.448275862068965469e-02,-3.658536585365854132e-02,-2.199111133813858032e-02,-1.407991349697113037e-02
2.748893571891069243e+01,-1.149425287356321823e-02,-1.219512195121951262e-02,-1.006297022104263306e-02,-2.097457647323608398e-03
2.733185608623120189e+01,-1.149425287356321823e-02,-2.439024390243902524e-02,-1.694128662347793579e-02,-8.998841047286987305e-03
1.517389251683870199e+01,-1.149425287356321823e-01,-9.756097560975610095e-02,-1.025018766522407532e-01,-1.192072629928588867e-01
2.253569130175078428e+01,0.000000000000000000e+00,2.439024390243902524e-02,1.083610951900482178e-02,1.250181347131729126e-02
3.088185578478766757e+01,-3.448275862068965469e-02,-6.097560975609755962e-02,-5.011907964944839478e-02,-4.228395968675613403e-02
2.436828701634482996e+01,-1.149425287356321823e-02,1.219512195121951262e-02,-4.138369113206863403e-03,-4.151783883571624756e-03
1.631533784764299355e+01,-5.747126436781609116e-02,-7.317073170731708265e-02,-5.957619100809097290e-02,-6.667944788932800293e-02
2.831622178435600645e+01,0.000000000000000000e+00,1.219512195121951262e-02,1.236044615507125854e-02,2.041842788457870483e-02
1.935221074611312631e+01,-1.149425287356321823e-02,-3.658536585365854132e-02,-1.467449218034744263e-02,-2.270846813917160034e-02
2.992890601319876609e+01,-2.298850574712643646e-02,2.439024390243902524e-02,-1.842478662729263306e-02,-1.044417917728424072e-02
2.723760830662350685e+01,-1.149425287356321823e-02,-3.658536585365854132e-02,-2.107898145914077759e-02,-1.316066086292266846e-02
3.044203281328509902e+01,-3.448275862068965469e-02,-3.658536585365854132e-02,-3.945157676935195923e-02,-3.165677934885025024e-02
2.255663525277471493e+01,1.149425287356321823e-02,2.439024390243902524e-02,1.153915189206600189e-02,1.318699121475219727e-02
8.220500776893292283e+00,2.988505747126436463e-01,2.195121951219512202e-01,2.931980788707733154e-01,1.941243708133697510e-01
2.935294736004063409e+01,1.149425287356321823e-02,1.219512195121951262e-02,-1.804307103157043457e-04,7.114075124263763428e-03
3.136356665833810453e+01,-5.747126436781609116e-02,-3.658536585365854132e-02,-4.927004128694534302e-02,-4.046729952096939087e-02
2.467197430619184217e+01,-1.149425287356321823e-02,-3.658536585365854132e-02,-1.892277598381042480e-02,-1.844104379415512085e-02
2.458819850209611246e+01,0.000000000000000000e+00,1.219512195121951262e-02,-1.464899629354476929e-02,-1.432307809591293335e-02
2.510132530218244540e+01,-4.597701149425287293e-02,-2.439024390243902524e-02,-3.998746722936630249e-02,-3.842455893754959106e-02
2.167698930976957072e+01,-3.448275862068965469e-02,-3.658536585365854132e-02,-3.959313780069351196e-02,-3.849833458662033081e-02
3.179291765432870775e+01,-5.747126436781609116e-02,-2.439024390243902524e-02,-4.019860178232192993e-02,-3.041148930788040161e-02
1.589645882716435388e+01,-1.034482758620689502e-01,-7.317073170731708265e-02,-8.975731581449508667e-02,-9.917080402374267578e-02
1.770811059073446714e+01,5.747126436781609116e-02,0.000000000000000000e+00,4.400279372930526733e-02,3.714647889137268066e-02
1.263967444294293507e+01,1.034482758620689502e-01,1.585365853658536606e-01,1.024624034762382507e-01,7.059776782989501953e-02
8.723155601467658116e+00,3.448275862068965469e-02,0.000000000000000000e+00,5.801009386777877808e-02,-3.206562995910644531e-02
2.550973234714912152e+01,-4.597701149425287293e-02,-7.317073170731708265e-02,-5.324924737215042114e-02,-5.009588226675987244e-02
1.403244718603441044e+01,0.000000000000000000e+00,-3.658536585365854132e-02,-7.977005094289779663e-03,-3.763124346733093262e-02
2.838952561293976373e+01,2.298850574712643646e-02,1.219512195121951262e-02,1.252730935811996460e-02,2.055627107620239258e-02
6.942919764433443497e+00,8.850574712643677344e-01,8.048780487804879646e-01,8.813095688819885254e-01,8.028166294097900391e-01
1.850398072964388163e+01,4.597701149425287293e-02,-2.439024390243902524e-02,3.573032468557357788e-02,2.735781669616699219e-02
7.728317927830891776e+00,5.517241379310344751e-01,4.512195121951219079e-01,5.510434508323669434e-01,4.512446224689483643e-01
1.949881840328065152e+01,-2.298850574712643646e-02,2.439024390243902524e-02,-2.417984604835510254e-02,-3.186803311109542847e-02
1.798038195404558337e+01,4.597701149425287293e-02,4.878048780487805047e-02,4.784017056226730347e-02,4.038375616073608398e-02
3.000220984178252692e+01,-2.298850574712643646e-02,2.439024390243902524e-02,-2.145967632532119751e-02,-1.344393193721771240e-02
9.152506597458264892e+00,-1.034482758620689502e-01,-2.073170731707317527e-01,-9.615407139062881470e-02,-1.746735274791717529e-01
2.852566129459532362e+01,1.149425287356321823e-02,4.878048780487805047e-02,1.214709132909774780e-02,2.008508145809173584e-02
2.810678227411668573e+01,0.000000000000000000e+00,2.439024390243902524e-02,1.017429679632186890e-02,1.824767887592315674e-02
8.702211650443727464e+00,6.896551724137930939e-02,-1.219512195121951262e-02,6.678008288145065308e-02,-2.378746867179870605e-02
1.829454121940456446e+01,3.448275862068965469e-02,3.658536585365854132e-02,4.330583661794662476e-02,3.523078560829162598e-02
2.161415745669777877e+01,-4.597701149425287293e-02,-2.439024390243902524e-02,-4.394509643316268921e-02,-4.298689961433410645e-02
2.941577921311243315e+01,1.149425287356321823e-02,0.000000000000000000e+00,-1.646377146244049072e-03,5.694746971130371094e-03
2.764601535159018297e+01,1.149425287356321823e-02,-1.219512195121951262e-02,-3.508992493152618408e-03,4.475064575672149658e-03
