# Time, Target (V), Target (I), Prediction (V), Prediction (I)
5.877040208923497744e+01,1.162790697674418762e-02,-2.439024390243902524e-02,1.611799001693725586e-02,8.415639400482177734e-03
2.993812135164929344e+01,-4.651162790697675048e-02,0.000000000000000000e+00,-5.873724818229675293e-02,-2.806240320205688477e-02
7.795171019499281329e+01,-6.976744186046511531e-02,-1.463414634146341653e-01,-7.214348018169403076e-02,-1.212123632431030273e-01
4.988346479076016493e+01,4.651162790697675048e-02,2.439024390243902524e-02,3.884474933147430420e-02,2.419716119766235352e-02
3.405989091315910144e+01,-2.093023255813953598e-01,-2.439024390243902385e-01,-2.165827155113220215e-01,-2.220726013183593750e-01
3.546732442196732649e+01,-3.488372093023255766e-02,0.000000000000000000e+00,-5.731236934661865234e-02,9.068280458450317383e-03
1.180233528100613505e+01,-4.651162790697675048e-02,-2.439024390243902524e-02,-4.689091444015502930e-02,-5.420377850532531738e-02
7.485535647561472672e+01,0.000000000000000000e+00,2.439024390243902524e-02,-1.461300253868103027e-02,-2.161607146263122559e-02
3.452233335176751439e+01,-2.325581395348837455e-01,-2.195121951219512202e-01,-2.356854379177093506e-01,-2.192108035087585449e-01
4.674689868541612725e+01,-9.302325581395350096e-02,-1.219512195121951192e-01,-8.508297801017761230e-02,-1.298605799674987793e-01
4.097642129930239463e+01,-5.813953488372093636e-02,-2.926829268292683306e-01,-7.231372594833374023e-02,-2.782621085643768311e-01
7.921840035292022719e+01,-8.139534883720930813e-02,-9.756097560975610095e-02,-8.671824634075164795e-02,-1.012873947620391846e-01
3.247150166750409994e+01,4.651162790697675048e-02,2.439024390243902524e-02,5.317781865596771240e-02,4.216086864471435547e-02
3.456254573773346550e+01,-2.325581395348837455e-01,-2.195121951219512202e-01,-2.340565919876098633e-01,-2.155095934867858887e-01
5.712169426463105992e+01,1.162790697674418762e-02,2.439024390243902524e-02,1.421675086021423340e-02,2.290809154510498047e-02
5.285918135224042658e+01,-6.976744186046511531e-02,-7.317073170731708265e-02,-5.800181627273559570e-02,-7.009494304656982422e-02
1.262668919330809558e+01,6.976744186046511531e-02,7.317073170731708265e-02,8.312599360942840576e-02,6.593410670757293701e-02
5.129089829956839708e+01,0.000000000000000000e+00,-2.439024390243902524e-02,-1.043555140495300293e-02,-3.400373458862304688e-02
4.155950089580865381e+01,-2.093023255813953598e-01,-3.170731707317073211e-01,-2.029189765453338623e-01,-3.521739244461059570e-01
3.814144808870295833e+01,9.883720930232557933e-01,9.512195121951220189e-01,9.897691011428833008e-01,9.227113723754882812e-01
1.477805184248638604e+01,-2.325581395348837524e-02,-7.317073170731708265e-02,-3.179074823856353760e-02,-9.076777100563049316e-02
1.753260028115391833e+01,0.000000000000000000e+00,-2.439024390243902524e-02,7.918596267700195312e-03,1.433140039443969727e-02
1.065628228097657804e+01,-2.209302325581395388e-01,-3.170731707317073211e-01,-2.251774668693542480e-01,-3.125783801078796387e-01
7.873585172132882803e+01,-1.046511627906976799e-01,-1.219512195121951192e-01,-1.056950092315673828e-01,-1.343754529953002930e-01
3.184820968503188965e+01,9.302325581395350096e-02,1.463414634146341653e-01,1.040632128715515137e-01,1.190734505653381348e-01
7.879617030027776536e+01,-1.162790697674418727e-01,-1.463414634146341653e-01,-1.047098934650421143e-01,-1.315721571445465088e-01
5.629734035232909051e+00,6.860465116279069742e-01,7.317073170731707155e-01,7.033746242523193359e-01,7.628383636474609375e-01
1.198329101785290618e+01,-2.325581395348837524e-02,-4.878048780487805047e-02,-1.380562782287597656e-02,-1.869878172874450684e-02
9.530335473929996581e+00,-5.813953488372093636e-02,-2.926829268292683306e-01,-7.096529006958007812e-02,-2.713612914085388184e-01
6.673245451049294275e+01,-9.302325581395350096e-02,-4.878048780487805047e-02,-1.070429980754852295e-01,-5.036556720733642578e-02
5.470895110667409256e+01,-5.813953488372093636e-02,-7.317073170731708265e-02,-5.826696753501892090e-02,-5.533850193023681641e-02
6.928594101933073546e+01,9.767441860465116976e-01,9.268292682926829729e-01,9.610362052917480469e-01,9.406689405441284180e-01
4.300714679058282996e+01,-1.046511627906976799e-01,-9.756097560975610095e-02,-9.709754586219787598e-02,-1.107935309410095215e-01
2.750527200070935763e+01,1.162790697674418762e-02,-1.219512195121951192e-01,-8.006602525711059570e-03,-2.779316902160644531e-02
7.141719747552605213e+01,3.604651162790697971e-01,9.756097560975610095e-02,3.713384568691253662e-01,1.294441521167755127e-01
3.528636868512055713e+01,-1.162790697674418727e-01,-2.439024390243902524e-02,-1.139156520366668701e-01,-5.653533339500427246e-02
7.825330308973744309e+01,-9.302325581395350096e-02,-1.707317073170731836e-01,-9.542532265186309814e-02,-1.377779692411422729e-01
1.150074238626151413e+01,-1.046511627906976799e-01,-1.219512195121951192e-01,-1.049303412437438965e-01,-1.231685876846313477e-01
1.702994545657955072e+01,-4.651162790697675048e-02,-2.439024390243902524e-02,-3.457018733024597168e-02,-3.007858991622924805e-02
1.574314910566917014e+01,-1.046511627906976799e-01,-1.707317073170731836e-01,-1.114710271358489990e-01,-1.445990204811096191e-01
2.857090022880701596e+01,-8.139534883720930813e-02,-9.756097560975610095e-02,-8.796557784080505371e-02,-9.470695257186889648e-02
5.350257952769561598e+01,-4.651162790697675048e-02,-2.439024390243902524e-02,-6.431418657302856445e-02,-7.055604457855224609e-02
4.280608486075308861e+01,-1.395348837209302306e-01,-1.463414634146341653e-01,-1.382547914981842041e-01,-1.595477461814880371e-01
2.392636964973986480e+00,-1.744186046511627952e-01,-1.951219512195122019e-01,-1.852858662605285645e-01,-1.925204396247863770e-01
5.235652652766606252e+01,-5.813953488372093636e-02,-7.317073170731708265e-02,-4.771971702575683594e-02,-6.438437104225158691e-02
7.214102042291314376e+01,1.162790697674418762e-02,-2.195121951219512202e-01,2.567124366760253906e-02,-1.902436017990112305e-01
4.899879229950928305e+01,1.162790697674418762e-02,2.439024390243902524e-02,1.632332801818847656e-02,1.899191737174987793e-02
2.452955543922910486e+00,-1.976744186046511809e-01,-1.951219512195122019e-01,-1.952297389507293701e-01,-2.009469270706176758e-01
1.922152049172379051e+01,2.325581395348837524e-02,0.000000000000000000e+00,2.293002605438232422e-02,4.068434238433837891e-03
1.119914949151689498e+01,-1.627906976744186163e-01,-2.195121951219512202e-01,-1.606957018375396729e-01,-1.981358826160430908e-01
5.631744654531207317e+01,-3.488372093023255766e-02,-2.439024390243902524e-02,-1.716512441635131836e-02,-7.880747318267822266e-03
7.827340928272040799e+01,-1.046511627906976799e-01,-1.219512195121951192e-01,-9.652902185916900635e-02,-1.383692026138305664e-01
7.177910894921959084e+01,1.744186046511627952e-01,-7.317073170731708265e-02,1.883600652217864990e-01,-4.816216230392456055e-02
5.113004875570460683e+01,1.162790697674418762e-02,-4.878048780487805047e-02,-3.498405218124389648e-03,-2.739924192428588867e-02
5.442746440491244897e+01,-4.651162790697675048e-02,-4.878048780487805047e-02,-6.160455942153930664e-02,-6.053093075752258301e-02
