# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.331061748963626457e+01,-8.433734939759038318e-02,-1.694915254237288477e-02,-6.853210926055908203e-02,-2.564209699630737305e-02
3.252595594016632674e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-3.970594704151153564e-02,-1.890105754137039185e-02
2.760412744954231812e+01,-4.819277108433735191e-02,1.694915254237288477e-02,-5.337312817573547363e-02,-2.409067004919052124e-02
2.380280033869866685e+01,-4.819277108433735191e-02,0.000000000000000000e+00,-4.533576965332031250e-02,-6.482191383838653564e-03
2.099631090149178547e+01,1.204819277108433798e-02,0.000000000000000000e+00,2.324128150939941406e-02,8.890524506568908691e-03
1.505870078620707453e+01,9.638554216867470381e-02,8.474576271186441689e-02,1.112893819808959961e-01,5.958722531795501709e-02
2.481858196335936739e+01,1.204819277108433798e-02,1.694915254237288477e-02,1.116636395454406738e-02,2.581156790256500244e-02
3.330088212805181058e+01,-4.819277108433735191e-02,-1.694915254237288477e-02,-5.288377404212951660e-02,-2.127134799957275391e-02
2.788687078836539612e+01,-6.024096385542169335e-02,-3.389830508474576953e-02,-5.896162986755371094e-02,-2.432936802506446838e-02
2.405412775098585243e+01,-2.409638554216867595e-02,0.000000000000000000e+00,-3.031012415885925293e-02,3.773823380470275879e-03
2.393893602035422674e+01,-4.819277108433735191e-02,1.694915254237288477e-02,-3.732138872146606445e-02,-8.672997355461120605e-04
2.256710722828668025e+01,-7.228915662650602092e-02,-5.084745762711865430e-02,-7.368963956832885742e-02,-4.065843299031257629e-02
2.201209252615248246e+01,-3.614457831325301046e-02,-5.084745762711865430e-02,-5.036175251007080078e-02,-3.468512743711471558e-02
9.665633397544597827e+00,6.867469879518072196e-01,2.881355932203390480e-01,6.932768225669860840e-01,3.423547148704528809e-01
2.379232836318669797e+01,-6.024096385542169335e-02,0.000000000000000000e+00,-4.593428969383239746e-02,-6.916083395481109619e-03
2.318495378349267355e+01,-7.228915662650602092e-02,-1.694915254237288477e-02,-7.228580117225646973e-02,-2.969948388636112213e-02
1.140398133253094848e+01,-1.325301204819277212e-01,-2.372881355932203729e-01,-1.122792065143585205e-01,-2.027556300163269043e-01
1.041961563440614746e+01,3.132530120481928360e-01,5.084745762711865430e-02,3.039100766181945801e-01,2.769054472446441650e-02
1.096415836102837815e+01,2.409638554216867595e-02,-1.186440677966101864e-01,4.505651444196701050e-02,-1.301217377185821533e-01
3.215943679724752258e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-2.441158890724182129e-02,-1.174484193325042725e-02
2.989749008666286656e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-1.435980200767517090e-03,1.720597594976425171e-02
1.870294826437123703e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-4.683187603950500488e-02,-5.576021969318389893e-03
2.927964353145687326e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-2.750967442989349365e-02,5.347222089767456055e-03
2.221106006087983786e+01,-6.024096385542169335e-02,-5.084745762711865430e-02,-6.114108860492706299e-02,-3.864256665110588074e-02
1.193805208364121384e+01,-2.409638554216867734e-01,-2.033898305084746172e-01,-2.217826247215270996e-01,-2.236631363630294800e-01
2.049365607691741786e+01,3.614457831325301046e-02,3.389830508474576953e-02,4.770381748676300049e-02,3.135153651237487793e-02
2.058790385652511290e+01,2.409638554216867595e-02,3.389830508474576953e-02,4.473352432250976562e-02,2.783486247062683105e-02
