# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.331061748963626457e+01,-8.433734939759038318e-02,-1.694915254237288477e-02,-6.754019111394882202e-02,-2.983062341809272766e-02
3.252595594016632674e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-3.886213153600692749e-02,-2.280394360423088074e-02
2.760412744954231812e+01,-4.819277108433735191e-02,1.694915254237288477e-02,-5.296055227518081665e-02,-2.705397084355354309e-02
2.380280033869866685e+01,-4.819277108433735191e-02,0.000000000000000000e+00,-4.127944260835647583e-02,-8.106660097837448120e-03
2.099631090149178547e+01,1.204819277108433798e-02,0.000000000000000000e+00,1.395755354315042496e-02,3.935199230909347534e-03
1.505870078620707453e+01,9.638554216867470381e-02,8.474576271186441689e-02,1.084346547722816467e-01,6.326003372669219971e-02
2.481858196335936739e+01,1.204819277108433798e-02,1.694915254237288477e-02,9.417110122740268707e-03,2.249305322766304016e-02
3.330088212805181058e+01,-4.819277108433735191e-02,-1.694915254237288477e-02,-5.146739631891250610e-02,-2.586304023861885071e-02
2.788687078836539612e+01,-6.024096385542169335e-02,-3.389830508474576953e-02,-5.678599327802658081e-02,-2.722795680165290833e-02
2.405412775098585243e+01,-2.409638554216867595e-02,0.000000000000000000e+00,-2.650815993547439575e-02,2.221118658781051636e-03
2.393893602035422674e+01,-4.819277108433735191e-02,1.694915254237288477e-02,-3.321469575166702271e-02,-2.334404736757278442e-03
2.256710722828668025e+01,-7.228915662650602092e-02,-5.084745762711865430e-02,-7.635553926229476929e-02,-4.701406136155128479e-02
2.201209252615248246e+01,-3.614457831325301046e-02,-5.084745762711865430e-02,-5.384718626737594604e-02,-3.925732150673866272e-02
9.665633397544597827e+00,6.867469879518072196e-01,2.881355932203390480e-01,6.890034675598144531e-01,3.288106024265289307e-01
2.379232836318669797e+01,-6.024096385542169335e-02,0.000000000000000000e+00,-4.190000146627426147e-02,-8.564610034227371216e-03
2.318495378349267355e+01,-7.228915662650602092e-02,-1.694915254237288477e-02,-7.230897992849349976e-02,-3.469282761216163635e-02
1.140398133253094848e+01,-1.325301204819277212e-01,-2.372881355932203729e-01,-1.212967559695243835e-01,-2.007440924644470215e-01
1.041961563440614746e+01,3.132530120481928360e-01,5.084745762711865430e-02,2.947642505168914795e-01,2.595515176653862000e-02
1.096415836102837815e+01,2.409638554216867595e-02,-1.186440677966101864e-01,3.276103734970092773e-02,-1.302047222852706909e-01
3.215943679724752258e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-2.497885376214981079e-02,-1.450194045901298523e-02
2.989749008666286656e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-1.668727956712245941e-03,1.525218412280082703e-02
1.870294826437123703e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-3.903206437826156616e-02,-4.359621554613113403e-03
2.927964353145687326e+01,-3.614457831325301046e-02,0.000000000000000000e+00,-2.532774955034255981e-02,2.206843346357345581e-03
2.221106006087983786e+01,-6.024096385542169335e-02,-5.084745762711865430e-02,-6.415861099958419800e-02,-4.389232024550437927e-02
1.193805208364121384e+01,-2.409638554216867734e-01,-2.033898305084746172e-01,-2.253275215625762939e-01,-2.234761267900466919e-01
2.049365607691741786e+01,3.614457831325301046e-02,3.389830508474576953e-02,4.172564297914505005e-02,2.837457880377769470e-02
2.058790385652511290e+01,2.409638554216867595e-02,3.389830508474576953e-02,3.746052831411361694e-02,2.403940632939338684e-02
2.038893632179775750e+01,3.614457831325301046e-02,5.084745762711865430e-02,4.574768990278244019e-02,3.292174264788627625e-02
2.244144352214308924e+01,-8.433734939759038318e-02,-8.474576271186441689e-02,-7.311361283063888550e-02,-4.673808440566062927e-02
1.090132650795658265e+01,6.024096385542169335e-02,-1.355932203389830781e-01,5.938963964581489563e-02,-1.160831898450851440e-01
2.552020432266108685e+01,2.409638554216867595e-02,0.000000000000000000e+00,2.242007106542587280e-02,2.461667731404304504e-02
9.142034621946297790e+00,8.915662650602410588e-01,5.593220338983052597e-01,8.997976183891296387e-01,5.667007565498352051e-01
3.163583802164921721e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.876813851296901703e-03,-8.529052138328552246e-05
1.219985147144036475e+01,-2.289156626506024250e-01,-1.864406779661016977e-01,-2.412008196115493774e-01,-2.112321704626083374e-01
2.352005699987558529e+01,-3.614457831325301046e-02,-1.694915254237288477e-02,-5.743109434843063354e-02,-2.078191563487052917e-02
3.276681137694154700e+01,-6.024096385542169335e-02,-1.694915254237288477e-02,-4.578986018896102905e-02,-2.606902644038200378e-02
2.388657614279439656e+01,-2.409638554216867595e-02,0.000000000000000000e+00,-3.630945831537246704e-02,-4.510525614023208618e-03
2.946813909067226334e+01,-2.409638554216867595e-02,1.694915254237288477e-02,-1.697688549757003784e-02,7.378045469522476196e-03
1.524719634542246283e+01,9.638554216867470381e-02,6.779661016949153907e-02,9.692659229040145874e-02,4.984915629029273987e-02
3.209660494417572352e+01,-1.204819277108433798e-02,-1.694915254237288477e-02,-2.242191880941390991e-02,-1.281489059329032898e-02
3.079807998069193786e+01,0.000000000000000000e+00,3.389830508474576953e-02,1.037169340997934341e-02,1.563412323594093323e-02
3.446327140988002924e+01,-1.204819277108433798e-02,-1.694915254237288477e-02,-2.894503623247146606e-02,-6.037574261426925659e-03
3.056769651942869004e+01,2.409638554216867595e-02,0.000000000000000000e+00,9.942972101271152496e-03,1.734751090407371521e-02
1.135162145497112007e+01,-9.638554216867470381e-02,-2.203389830508474811e-01,-1.060707718133926392e-01,-1.948829442262649536e-01
8.681267699419795036e+00,9.879518072289157349e-01,8.305084745762714160e-01,9.898981451988220215e-01,8.195043206214904785e-01
2.831622178435600645e+01,-4.819277108433735191e-02,-6.779661016949153907e-02,-5.759774893522262573e-02,-2.414729073643684387e-02
1.902757950524217989e+01,-2.409638554216867595e-02,0.000000000000000000e+00,-1.351236458867788315e-02,1.168617978692054749e-02
2.435781504083286464e+01,-1.204819277108433798e-02,-1.694915254237288477e-02,-1.012415345758199692e-02,1.242057606577873230e-02
2.111150263212341116e+01,1.204819277108433798e-02,0.000000000000000000e+00,6.331183947622776031e-03,-1.824814826250076294e-03
3.449468733641592877e+01,-1.204819277108433798e-02,0.000000000000000000e+00,-2.807173877954483032e-02,-5.442898720502853394e-03
2.066120768510887373e+01,2.409638554216867595e-02,3.389830508474576953e-02,3.378362208604812622e-02,2.055110409855842590e-02
2.658834582488161757e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.521239336580038071e-02,-8.619006723165512085e-03
2.003288915439091511e+01,6.024096385542169335e-02,1.694915254237288477e-02,5.118564516305923462e-02,4.417840763926506042e-02
2.165604535874564363e+01,-2.409638554216867595e-02,-1.694915254237288477e-02,-3.139051049947738647e-02,-2.694095298647880554e-02
1.721592774167206485e+01,-1.084337349397590383e-01,-1.016949152542373086e-01,-1.044032946228981018e-01,-7.721101492643356323e-02
3.275633940142957812e+01,-4.819277108433735191e-02,0.000000000000000000e+00,-4.553968459367752075e-02,-2.597065642476081848e-02
1.661902513749000576e+01,-6.024096385542169335e-02,-6.779661016949153907e-02,-5.556067079305648804e-02,-5.768198892474174500e-02
2.114291855865931069e+01,-1.204819277108433798e-02,-1.694915254237288477e-02,4.203923977911472321e-03,-3.384690731763839722e-03
2.874557278034660968e+01,-4.819277108433735191e-02,-1.694915254237288477e-02,-4.847487062215805054e-02,-1.473757252097129822e-02
2.078687139125246830e+01,2.409638554216867595e-02,1.694915254237288477e-02,2.686066180467605591e-02,1.440643891692161560e-02
2.810678227411668573e+01,-6.024096385542169335e-02,-3.389830508474576953e-02,-5.814596265554428101e-02,-2.629797533154487610e-02
1.415811089217800323e+01,4.819277108433735191e-02,1.694915254237288477e-02,5.446066707372665405e-02,5.135915055871009827e-02
1.843067690106012080e+01,-7.228915662650602092e-02,-5.084745762711865430e-02,-6.457800418138504028e-02,-2.333283796906471252e-02
2.943672316413636381e+01,-2.409638554216867595e-02,-1.694915254237288477e-02,-1.831563562154769897e-02,6.582658737897872925e-03
1.238834703065575127e+01,-2.289156626506024250e-01,-2.372881355932203729e-01,-2.383054941892623901e-01,-1.937253624200820923e-01
2.725855225764744105e+01,-3.614457831325301046e-02,-3.389830508474576953e-02,-4.506222158670425415e-02,-2.486638352274894714e-02
2.968805057642354583e+01,-2.409638554216867595e-02,1.694915254237288477e-02,-8.393294177949428558e-03,1.211560145020484924e-02
1.226268332451216025e+01,-2.289156626506024250e-01,-2.033898305084746172e-01,-2.415493279695510864e-01,-2.061664462089538574e-01
1.287005790420618823e+01,-1.686746987951807664e-01,-1.525423728813559421e-01,-1.821804940700531006e-01,-1.229510903358459473e-01
3.339512990765950207e+01,-4.819277108433735191e-02,-3.389830508474576953e-02,-5.106004327535629272e-02,-2.489997074007987976e-02
3.074572010313211123e+01,1.204819277108433798e-02,1.694915254237288477e-02,1.044289115816354752e-02,1.612677052617073059e-02
3.397108856081763406e+01,-3.614457831325301046e-02,-1.694915254237288477e-02,-4.182706028223037720e-02,-1.558485254645347595e-02
3.171961382574494692e+01,1.204819277108433798e-02,0.000000000000000000e+00,-7.754570804536342621e-03,-2.328138798475265503e-03
1.532050017400622544e+01,9.638554216867470381e-02,5.084745762711865430e-02,9.100977331399917603e-02,4.397610947489738464e-02
2.161415745669777877e+01,-2.409638554216867595e-02,-1.694915254237288477e-02,-2.853504568338394165e-02,-2.522102370858192444e-02
9.927432785343746957e+00,5.662650602409639022e-01,2.033898305084746172e-01,5.594676733016967773e-01,2.184192538261413574e-01
1.522625239439853040e+01,1.084337349397590383e-01,5.084745762711865430e-02,9.848985821008682251e-02,5.147786065936088562e-02
3.100751949093125859e+01,0.000000000000000000e+00,5.084745762711865430e-02,9.057589806616306305e-03,1.306015625596046448e-02
2.199114857512855536e+01,-6.024096385542169335e-02,-5.084745762711865430e-02,-5.264883488416671753e-02,-3.866523131728172302e-02
1.731017552127975989e+01,-1.084337349397590383e-01,-8.474576271186441689e-02,-1.080903783440589905e-01,-7.715686410665512085e-02
8.639379797371931957e+00,1.000000000000000000e+00,8.474576271186442522e-01,9.914492368698120117e-01,8.473223447799682617e-01
2.930058748248080747e+01,-3.614457831325301046e-02,-1.694915254237288477e-02,-2.436838299036026001e-02,2.825330942869186401e-03
2.679778533512093830e+01,-1.204819277108433798e-02,-1.694915254237288477e-02,-2.656505256891250610e-02,-1.582926139235496521e-02
2.846282944152352812e+01,-6.024096385542169335e-02,0.000000000000000000e+00,-5.578856915235519409e-02,-2.170667424798011780e-02
1.858775653373960779e+01,-3.614457831325301046e-02,-1.694915254237288477e-02,-4.983287304639816284e-02,-1.207758858799934387e-02
1.477595744738399475e+01,1.084337349397590383e-01,6.779661016949153907e-02,1.112217828631401062e-01,7.446941733360290527e-02
2.330014551412430279e+01,-6.024096385542169335e-02,-1.694915254237288477e-02,-6.797979027032852173e-02,-3.025636449456214905e-02
3.186622148291247214e+01,-1.204819277108433798e-02,-1.694915254237288477e-02,-1.320304628461599350e-02,-6.391089409589767456e-03
2.293362637120549152e+01,-6.024096385542169335e-02,-8.474576271186441689e-02,-7.805930823087692261e-02,-4.232900217175483704e-02
2.414837553059354391e+01,-1.204819277108433798e-02,1.694915254237288477e-02,-2.118658274412155151e-02,5.681004375219345093e-03
2.620088273093887210e+01,0.000000000000000000e+00,3.389830508474576953e-02,5.809568800032138824e-03,7.094521075487136841e-03
