# Time, Target (V), Target (I), Prediction (V), Prediction (I)
1.907993938280201363e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.397211849689483643e-02,1.349196210503578186e-02
1.862964443578747264e+01,-5.882352941176471200e-02,0.000000000000000000e+00,-4.811166226863861084e-02,-7.458090782165527344e-03
3.124837492770647884e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.866557359695434570e-03,1.172840222716331482e-02
3.337418595663557142e+01,-3.529411764705882304e-02,-3.124999999999999653e-02,-5.196288228034973145e-02,-2.240189537405967712e-02
2.758318349851838391e+01,-4.705882352941176405e-02,-4.687499999999999306e-02,-5.287446081638336182e-02,-2.627767622470855713e-02
1.179144442647369040e+01,-2.000000000000000111e-01,-2.031249999999999722e-01,-2.014454305171966553e-01,-2.128287851810455322e-01
2.371902453460294069e+01,-7.058823529411764608e-02,0.000000000000000000e+00,-4.717294871807098389e-02,-1.123195514082908630e-02
2.272418686096617080e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-7.646231353282928467e-02,-3.978791832923889160e-02
1.951976235430458217e+01,2.352941176470588203e-02,4.687499999999999306e-02,2.091377973556518555e-02,3.261760622262954712e-02
1.194852405915318094e+01,-2.352941176470588480e-01,-2.031249999999999722e-01,-2.240424156188964844e-01,-2.141417264938354492e-01
2.985560218461500170e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-4.435375332832336426e-03,1.451629400253295898e-02
1.322610507161302884e+01,-1.058823529411764691e-01,-3.124999999999999653e-02,-1.090715825557708740e-01,-5.823193117976188660e-02
8.513716091228339167e+00,9.647058823529411908e-01,8.593750000000000000e-01,9.672903418540954590e-01,8.751378059387207031e-01
1.402197521052244333e+01,4.705882352941176405e-02,3.124999999999999653e-02,3.692035377025604248e-02,3.966494649648666382e-02
1.849350875413191631e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-5.922658741474151611e-02,-1.517484709620475769e-02
2.866179697625088352e+01,-4.705882352941176405e-02,-1.562499999999999827e-02,-5.098703503608703613e-02,-1.571644097566604614e-02
2.727949620867137170e+01,-5.882352941176471200e-02,-7.812499999999998612e-02,-4.318634420633316040e-02,-2.250562980771064758e-02
2.668259360448931261e+01,-1.176470588235294101e-02,-1.562499999999999827e-02,-1.737965643405914307e-02,-8.333507925271987915e-03
3.113318319707484960e+01,0.000000000000000000e+00,9.374999999999998612e-02,7.552772760391235352e-03,1.350869983434677124e-02
2.875604475585857500e+01,-4.705882352941176405e-02,-1.562499999999999827e-02,-4.804940521717071533e-02,-1.327013224363327026e-02
2.246238747316702344e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-7.332509756088256836e-02,-4.184481129050254822e-02
3.157300616857742526e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.313731074333190918e-03,5.370423197746276855e-03
1.083849465488478536e+01,7.058823529411764608e-02,-1.093749999999999861e-01,8.475242555141448975e-02,-9.506863355636596680e-02
3.269350754835777906e+01,-4.705882352941176405e-02,-4.687499999999999306e-02,-4.295318573713302612e-02,-2.177786454558372498e-02
2.466150233067987685e+01,0.000000000000000000e+00,1.562499999999999827e-02,4.144400358200073242e-03,2.047475427389144897e-02
2.771931918017394025e+01,-4.705882352941176405e-02,-4.687499999999999306e-02,-5.594235658645629883e-02,-2.699932456016540527e-02
2.026327261565416649e+01,5.882352941176471200e-02,4.687499999999999306e-02,4.716035723686218262e-02,3.730576485395431519e-02
1.673421686812163145e+01,-7.058823529411764608e-02,-4.687499999999999306e-02,-6.330031156539916992e-02,-5.491128936409950256e-02
1.084896663039675246e+01,8.235294117647060097e-02,-9.374999999999998612e-02,8.031541109085083008e-02,-9.743401408195495605e-02
3.110176727053895718e+01,1.176470588235294101e-02,4.687499999999999306e-02,7.934540510177612305e-03,1.394980028271675110e-02
2.675589743307307344e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-2.070401608943939209e-02,-1.038368418812751770e-02
9.613273519984767645e+00,6.941176470588235059e-01,3.437499999999999445e-01,6.985447406768798828e-01,3.348243236541748047e-01
1.178097245096172507e+01,-2.000000000000000111e-01,-2.343749999999999445e-01,-1.996276080608367920e-01,-2.125264704227447510e-01
1.781283034585412750e+01,-1.058823529411764691e-01,-6.249999999999999306e-02,-1.102905124425888062e-01,-5.951056256890296936e-02
1.071283094874119435e+01,1.294117647058823650e-01,-6.249999999999999306e-02,1.403214335441589355e-01,-6.442154198884963989e-02
3.258878779323812580e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-3.944900631904602051e-02,-2.003879845142364502e-02
1.067094304669332949e+01,1.647058823529412019e-01,-4.687499999999999306e-02,1.597651243209838867e-01,-5.327188968658447266e-02
2.652551397180982207e+01,-1.176470588235294101e-02,-3.124999999999999653e-02,-1.040223240852355957e-02,-3.827687352895736694e-03
1.349837643492414507e+01,-5.882352941176471200e-02,-1.562499999999999827e-02,-5.580186843872070312e-02,-1.896902732551097870e-02
1.361356816555577076e+01,-3.529411764705882304e-02,-1.562499999999999827e-02,-3.361240029335021973e-02,-3.784678876399993896e-03
1.905899543177807942e+01,-1.176470588235294101e-02,1.562499999999999827e-02,-1.557116210460662842e-02,1.257305219769477844e-02
1.769763861522250181e+01,-9.411764705882352811e-02,-7.812499999999998612e-02,-1.139630973339080811e-01,-6.485801190137863159e-02
3.047344873982099500e+01,1.176470588235294101e-02,1.562499999999999827e-02,8.546978235244750977e-03,1.863944157958030701e-02
1.304808148790960765e+01,-1.411764705882352922e-01,-9.374999999999998612e-02,-1.428184807300567627e-01,-8.554592728614807129e-02
3.114365517258681848e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.418051362037658691e-03,1.335741952061653137e-02
1.831548517042849511e+01,-5.882352941176471200e-02,-3.124999999999999653e-02,-7.448010146617889404e-02,-2.661849930882453918e-02
2.160368548118581344e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-2.452382445335388184e-02,-1.842792704701423645e-02
2.542595654305339181e+01,2.352941176470588203e-02,4.687499999999999306e-02,1.912157237529754639e-02,2.226208895444869995e-02
1.581268302306862594e+01,4.705882352941176405e-02,-4.687499999999999306e-02,3.688958287239074707e-02,2.304974943399429321e-03
3.057816849494065536e+01,2.352941176470588203e-02,1.562499999999999827e-02,9.385690093040466309e-03,1.842499151825904846e-02
2.925869958043294261e+01,-2.352941176470588203e-02,-1.562499999999999827e-02,-2.798275649547576904e-02,1.171261072158813477e-03
2.582389161250810261e+01,1.176470588235294101e-02,0.000000000000000000e+00,1.376821100711822510e-02,1.501423865556716919e-02
1.066047107118136594e+01,1.764705882352941291e-01,-4.687499999999999306e-02,1.646944582462310791e-01,-5.041168630123138428e-02
1.968731396249603804e+01,2.352941176470588203e-02,4.687499999999999306e-02,3.299896419048309326e-02,3.842688351869583130e-02
1.159247689174633678e+01,-1.529411764705882470e-01,-2.343749999999999445e-01,-1.611029207706451416e-01,-2.029798030853271484e-01
3.389778473223387323e+01,-5.882352941176471200e-02,-1.562499999999999827e-02,-4.303440451622009277e-02,-1.324470341205596924e-02
1.547757980668571420e+01,7.058823529411764608e-02,1.562499999999999827e-02,7.273593544960021973e-02,2.887036651372909546e-02
3.171961382574494692e+01,1.176470588235294101e-02,0.000000000000000000e+00,-5.706757307052612305e-03,1.903567463159561157e-03
2.177123708937726931e+01,-3.529411764705882304e-02,-1.562499999999999827e-02,-3.648686408996582031e-02,-2.557120844721794128e-02
1.190663615710531609e+01,-2.000000000000000111e-01,-2.187499999999999722e-01,-2.189111709594726562e-01,-2.144028842449188232e-01
1.562418746385323942e+01,5.882352941176471200e-02,0.000000000000000000e+00,5.767004191875457764e-02,1.716157793998718262e-02
3.409675226696121797e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-3.738240897655487061e-02,-8.920658379793167114e-03
2.398082392240208804e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-3.261177241802215576e-02,-1.035861670970916748e-03
2.575058778392433823e+01,3.529411764705882304e-02,1.562499999999999827e-02,1.530635356903076172e-02,1.661951094865798950e-02
1.857728455822764602e+01,-3.529411764705882304e-02,0.000000000000000000e+00,-5.231454968452453613e-02,-1.031538471579551697e-02
1.126784565087539214e+01,-7.058823529411764608e-02,-1.562499999999999722e-01,-7.278373837471008301e-02,-1.705254912376403809e-01
2.082875929330032960e+01,1.176470588235294101e-02,1.562499999999999827e-02,2.248488366603851318e-02,1.323444396257400513e-02
1.384395162681902391e+01,0.000000000000000000e+00,1.562499999999999827e-02,8.232407271862030029e-03,2.297222614288330078e-02
2.959380279681585435e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-1.385161280632019043e-02,9.695116430521011353e-03
1.941504259918492181e+01,0.000000000000000000e+00,3.124999999999999653e-02,1.263011991977691650e-02,2.828093618154525757e-02
2.356194490192345015e+01,-4.705882352941176405e-02,-3.124999999999999653e-02,-5.499991774559020996e-02,-1.713338494300842285e-02
2.008524903195074529e+01,5.882352941176471200e-02,1.562499999999999827e-02,4.834860563278198242e-02,4.158643633127212524e-02
1.235693110411985352e+01,-2.470588235294117752e-01,-1.874999999999999722e-01,-2.363563477993011475e-01,-1.874409019947052002e-01
2.963569069886371921e+01,-2.352941176470588203e-02,4.687499999999999306e-02,-1.221783459186553955e-02,1.058867946267127991e-02
