# Time, Target (V), Target (I), Prediction (V), Prediction (I)
2.067167966062083906e+01,2.352941176470588203e-02,4.687499999999999306e-02,3.458025306463241577e-02,2.241440676152706146e-02
2.704911274740812388e+01,-2.352941176470588203e-02,0.000000000000000000e+00,-3.294153511524200439e-02,-1.705986447632312775e-02
1.692271242733702152e+01,-8.235294117647060097e-02,-7.812499999999998612e-02,-8.527249097824096680e-02,-6.903380900621414185e-02
1.570796326794896558e+01,3.529411764705882304e-02,1.562499999999999827e-02,5.047763884067535400e-02,9.817341342568397522e-03
2.821150202923634254e+01,-7.058823529411764608e-02,-1.562499999999999827e-02,-6.003637611865997314e-02,-2.544988878071308136e-02
1.524719634542246283e+01,9.411764705882352811e-02,6.249999999999999306e-02,9.205819666385650635e-02,4.481121897697448730e-02
1.158200491623437145e+01,-1.529411764705882470e-01,-2.187499999999999722e-01,-1.584576964378356934e-01,-2.005241662263870239e-01
9.958848711879644711e+00,5.294117647058823595e-01,1.562499999999999722e-01,5.294553637504577637e-01,1.905911266803741455e-01
1.633628179866692420e+01,-1.176470588235294101e-02,-4.687499999999999306e-02,-2.237437665462493896e-02,-3.734064847230911255e-02
3.285058718103726960e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-4.651935398578643799e-02,-2.110774256289005280e-02
2.487094184091919757e+01,0.000000000000000000e+00,1.562499999999999827e-02,1.086154580116271973e-02,2.310707233846187592e-02
3.231651642992700602e+01,-1.176470588235294101e-02,0.000000000000000000e+00,-2.979868650436401367e-02,-1.286031492054462433e-02
1.666091303953787062e+01,-7.058823529411764608e-02,-6.249999999999999306e-02,-5.979599058628082275e-02,-5.744906514883041382e-02
1.269203432050276525e+01,-2.000000000000000111e-01,-1.562499999999999722e-01,-2.053385972976684570e-01,-1.464812755584716797e-01
1.025206402621469159e+01,3.647058823529412130e-01,9.374999999999998612e-02,3.750791549682617188e-01,8.179764449596405029e-02
1.143539725906684801e+01,-1.176470588235294240e-01,-1.874999999999999722e-01,-1.228214800357818604e-01,-1.891782432794570923e-01
1.199041196120104402e+01,-2.235294117647058931e-01,-1.874999999999999722e-01,-2.230069786310195923e-01,-2.089066654443740845e-01
2.603333112274742334e+01,1.176470588235294101e-02,1.562499999999999827e-02,1.043045520782470703e-02,1.239441893994808197e-02
9.173450548482195543e+00,8.705882352941176627e-01,4.999999999999999445e-01,8.732451200485229492e-01,5.120920538902282715e-01
1.261873049191900442e+01,-2.117647058823529382e-01,-1.718749999999999722e-01,-2.146492898464202881e-01,-1.570945829153060913e-01
2.690250509024059511e+01,-2.352941176470588203e-02,-3.124999999999999653e-02,-2.605727314949035645e-02,-1.305617578327655792e-02
1.867153233783533750e+01,-4.705882352941176405e-02,0.000000000000000000e+00,-4.386101663112640381e-02,-7.860729470849037170e-03
1.273392222255062833e+01,-2.000000000000000111e-01,-1.406249999999999722e-01,-1.993943452835083008e-01,-1.401225030422210693e-01
1.254542666333524004e+01,-2.117647058823529382e-01,-1.718749999999999722e-01,-2.224220186471939087e-01,-1.669356077909469604e-01
9.267698328089890580e+00,8.470588235294117530e-01,4.687499999999998890e-01,8.426202535629272461e-01,4.719263613224029541e-01
1.473406954533613167e+01,9.411764705882352811e-02,7.812499999999998612e-02,1.060344576835632324e-01,6.810867786407470703e-02
3.014881749895004859e+01,0.000000000000000000e+00,4.687499999999999306e-02,2.799689769744873047e-03,1.778942905366420746e-02
3.306002669127659033e+01,-4.705882352941176405e-02,-1.562499999999999827e-02,-4.883530735969543457e-02,-2.102172560989856720e-02
3.418052807105694768e+01,-2.352941176470588203e-02,3.124999999999999653e-02,-3.431475162506103516e-02,-5.744988098740577698e-03
2.611710692684314949e+01,1.176470588235294101e-02,1.562499999999999827e-02,7.811248302459716797e-03,1.018731854856014252e-02
