# Time, Target, Prediction
1.822488236737381229e+01,-1.687231894865691287e-03,-1.368027925491333008e-02
2.206362914182585300e+01,3.646945335043969005e-02,2.738475799560546875e-02
5.153242600617609526e+00,-3.300138144948411290e-02,1.823484897613525391e-03
1.071497394368455147e+01,2.771905596707183519e-02,2.847847342491149902e-02
1.697846799858856315e+01,4.696090742378700167e-02,5.350494384765625000e-02
2.911791550869350598e+00,-2.365622805707073562e-01,-2.018101513385772705e-01
1.605151277474407223e+01,2.638763560597378113e-02,1.367765665054321289e-02
1.052644067781787562e+01,1.145328386714388781e-02,2.319544553756713867e-03
1.578442398143294945e+01,1.172718106134201625e-02,9.421125054359436035e-03
1.780591955433675366e+01,2.029870913638379473e-02,1.769906282424926758e-02
2.508539843321182516e+00,-1.199739988331849638e-01,-1.141081452369689941e-01
1.239606223099574578e+01,3.850441655322814349e-02,2.244159579277038574e-02
1.595724614181073697e+01,2.151308334408532849e-02,1.185160875320434570e-02
5.074687073173161700e+00,-4.943671397039612475e-02,-1.933601498603820801e-02
2.309008803376664432e+01,1.402790749470696034e-02,2.272707223892211914e-02
2.457740602004820119e+01,-3.224167735398633661e-02,-4.004871845245361328e-02
1.227037338708462855e+01,4.606595340864074600e-02,2.827191352844238281e-02
2.327338426447035502e+01,6.646961642466520798e-03,1.659929752349853516e-02
1.794731950373675744e+01,1.307339590031083958e-02,5.649924278259277344e-03
2.213694763410733657e+01,3.644801788899658390e-02,2.623516321182250977e-02
5.483175815884292703e+00,2.853465318032711445e-02,6.130170822143554688e-02
2.262399190426291895e+01,2.947731143035791854e-02,2.499765157699584961e-02
1.818298608607010536e+01,5.421462154100205192e-04,-1.131451129913330078e-02
7.939345307314043865e+00,-4.054529628028140376e-02,-5.395916104316711426e-02
2.533677611867786794e+01,-2.416930327190985536e-02,-1.892271637916564941e-02
1.759643814781822613e+01,3.005753414475564878e-02,3.517228364944458008e-02
1.810443055862565842e+01,4.739948600935223362e-03,-6.294578313827514648e-03
2.363473969071481662e+01,-8.155074767108815709e-03,-4.890799522399902344e-03
2.144565899259619002e+01,2.574176438813247439e-02,3.470906615257263184e-02
1.154242549943274021e+01,6.613769144219154572e-02,7.879358530044555664e-02
1.041646293939564671e+01,1.226540170205940843e-03,-1.188626885414123535e-02
2.068105185880355990e+01,-6.449106608956732718e-03,-8.676052093505859375e-03
2.407988767956669562e+01,-2.348236538151040817e-02,-3.316554427146911621e-02
1.131199595461855223e+00,5.633694492883281058e-01,5.349721312522888184e-01
2.547293903291491191e+01,-2.035152128650533077e-02,-1.664200425148010254e-02
1.466369845655882109e+01,-5.036539162915056045e-02,-5.412715673446655273e-02
2.208457728247770646e+01,3.649220089316459331e-02,2.703362703323364258e-02
1.870145256720346438e+01,-2.478950382456584708e-02,-2.536991238594055176e-02
2.046633341712206899e+01,-1.624894062569881559e-02,-2.464050054550170898e-02
2.477117632107783862e+01,-3.261870383149030606e-02,-3.535789251327514648e-02
1.134865519840310100e+01,6.297521667701626302e-02,8.253246545791625977e-02
1.163145509720311566e+01,6.630786887307109356e-02,7.426562905311584473e-02
6.137805211254694804e+00,9.758088064007383600e-02,7.891923189163208008e-02
2.454598380907041744e+01,-3.201413914251705073e-02,-4.052081704139709473e-02
7.478486212973280089e+00,1.470138418792449157e-02,3.542754054069519043e-02
1.109727751058086653e+01,5.325971374442368955e-02,7.218977808952331543e-02
1.022792967352897087e+01,-1.701462000017561066e-02,-3.209617733955383301e-02
1.538640930904774429e+01,-1.297781247651737940e-02,3.319978713989257812e-05
2.522679838025563726e+01,-2.681558665013692583e-02,-2.134215831756591797e-02
2.436792461352967010e+01,-2.986344342750225922e-02,-4.107806086540222168e-02
2.160277004748508745e+01,3.021277712467885374e-02,3.508076071739196777e-02
1.051596660749194889e+01,1.049872193781604436e-02,9.121894836425781250e-04
2.352476195229259304e+01,-3.733338252226263421e-03,2.609074115753173828e-03
1.758072704232933248e+01,3.072845740179849794e-02,3.636646270751953125e-02
1.054215178330676395e+01,1.287642878437044412e-02,4.447013139724731445e-03
4.844257526002779812e+00,-9.991393528354303166e-02,-9.281703829765319824e-02
2.238308828676660767e+01,3.434644242436291073e-02,2.433991432189941406e-02
2.599664254921123074e+01,-2.116321740145362101e-03,-7.736474275588989258e-03
8.693478370780747255e+00,-9.686383178353569212e-02,-1.025182604789733887e-01
1.259506956718834836e+01,2.502922336195729028e-02,1.642096042633056641e-02
1.929323754061830698e+01,-4.073951434920442677e-02,-2.701330184936523438e-02
1.164716620269200398e+01,6.625493172336886782e-02,7.332220673561096191e-02
