# Time, Target, Prediction
1.822488236737381229e+01,-1.687231894865691287e-03,-1.762608066201210022e-03
2.206362914182585300e+01,3.646945335043969005e-02,3.649874031543731689e-02
5.153242600617609526e+00,-3.300138144948411290e-02,-3.302098810672760010e-02
1.071497394368455147e+01,2.771905596707183519e-02,2.785390056669712067e-02
1.697846799858856315e+01,4.696090742378700167e-02,4.698784649372100830e-02
2.911791550869350598e+00,-2.365622805707073562e-01,-2.365020662546157837e-01
1.605151277474407223e+01,2.638763560597378113e-02,2.645748667418956757e-02
1.052644067781787562e+01,1.145328386714388781e-02,1.155812479555606842e-02
1.578442398143294945e+01,1.172718106134201625e-02,1.188168488442897797e-02
1.780591955433675366e+01,2.029870913638379473e-02,2.024935744702816010e-02
2.508539843321182516e+00,-1.199739988331849638e-01,-1.199180334806442261e-01
1.239606223099574578e+01,3.850441655322814349e-02,3.853918612003326416e-02
1.595724614181073697e+01,2.151308334408532849e-02,2.161684818565845490e-02
5.074687073173161700e+00,-4.943671397039612475e-02,-4.945489019155502319e-02
2.309008803376664432e+01,1.402790749470696034e-02,1.392336376011371613e-02
2.457740602004820119e+01,-3.224167735398633661e-02,-3.229404985904693604e-02
1.227037338708462855e+01,4.606595340864074600e-02,4.608700424432754517e-02
2.327338426447035502e+01,6.646961642466520798e-03,6.560312584042549133e-03
1.794731950373675744e+01,1.307339590031083958e-02,1.302598230540752411e-02
2.213694763410733657e+01,3.644801788899658390e-02,3.647749125957489014e-02
5.483175815884292703e+00,2.853465318032711445e-02,2.855479903519153595e-02
2.262399190426291895e+01,2.947731143035791854e-02,2.943317778408527374e-02
1.818298608607010536e+01,5.421462154100205192e-04,4.717987030744552612e-04
7.939345307314043865e+00,-4.054529628028140376e-02,-4.056060314178466797e-02
2.533677611867786794e+01,-2.416930327190985536e-02,-2.403987757861614227e-02
1.759643814781822613e+01,3.005753414475564878e-02,2.999555505812168121e-02
1.810443055862565842e+01,4.739948600935223362e-03,4.679353907704353333e-03
2.363473969071481662e+01,-8.155074767108815709e-03,-8.174879476428031921e-03
2.144565899259619002e+01,2.574176438813247439e-02,2.574625797569751740e-02
1.154242549943274021e+01,6.613769144219154572e-02,6.596750020980834961e-02
1.041646293939564671e+01,1.226540170205940843e-03,1.294897869229316711e-03
2.068105185880355990e+01,-6.449106608956732718e-03,-6.338505074381828308e-03
2.407988767956669562e+01,-2.348236538151040817e-02,-2.349109761416912079e-02
1.131199595461855223e+00,5.633694492883281058e-01,5.634022951126098633e-01
2.547293903291491191e+01,-2.035152128650533077e-02,-2.020956389605998993e-02
1.466369845655882109e+01,-5.036539162915056045e-02,-5.032861977815628052e-02
2.208457728247770646e+01,3.649220089316459331e-02,3.652189671993255615e-02
1.870145256720346438e+01,-2.478950382456584708e-02,-2.483009360730648041e-02
2.046633341712206899e+01,-1.624894062569881559e-02,-1.614576391875743866e-02
2.477117632107783862e+01,-3.261870383149030606e-02,-3.265003859996795654e-02
1.134865519840310100e+01,6.297521667701626302e-02,6.286504864692687988e-02
1.163145509720311566e+01,6.630786887307109356e-02,6.613156199455261230e-02
6.137805211254694804e+00,9.758088064007383600e-02,9.752723574638366699e-02
2.454598380907041744e+01,-3.201413914251705073e-02,-3.206695616245269775e-02
7.478486212973280089e+00,1.470138418792449157e-02,1.462230272591114044e-02
1.109727751058086653e+01,5.325971374442368955e-02,5.328065156936645508e-02
1.022792967352897087e+01,-1.701462000017561066e-02,-1.701379381120204926e-02
1.538640930904774429e+01,-1.297781247651737940e-02,-1.284922845661640167e-02
2.522679838025563726e+01,-2.681558665013692583e-02,-2.671180479228496552e-02
2.436792461352967010e+01,-2.986344342750225922e-02,-2.990637533366680145e-02
2.160277004748508745e+01,3.021277712467885374e-02,3.021450527012348175e-02
1.051596660749194889e+01,1.049872193781604436e-02,1.060055382549762726e-02
2.352476195229259304e+01,-3.733338252226263421e-03,-3.772569820284843445e-03
1.758072704232933248e+01,3.072845740179849794e-02,3.066609613597393036e-02
1.054215178330676395e+01,1.287642878437044412e-02,1.298559643328189850e-02
4.844257526002779812e+00,-9.991393528354303166e-02,-9.990771114826202393e-02
2.238308828676660767e+01,3.434644242436291073e-02,3.435282409191131592e-02
2.599664254921123074e+01,-2.116321740145362101e-03,-2.091510221362113953e-03
8.693478370780747255e+00,-9.686383178353569212e-02,-9.692887961864471436e-02
1.259506956718834836e+01,2.502922336195729028e-02,2.502919919788837433e-02
1.929323754061830698e+01,-4.073951434920442677e-02,-4.070740938186645508e-02
1.164716620269200398e+01,6.625493172336886782e-02,6.607905775308609009e-02
2.446219124646301069e+01,-3.118269505393115107e-02,-3.123323433101177216e-02
2.317388059637405462e+01,1.070239819904184042e-02,1.060314662754535675e-02
2.472928003977413169e+01,-3.268685554049710618e-02,-3.272546827793121338e-02
1.841341563324048636e+01,-1.147003111793917264e-02,-1.155504025518894196e-02
2.487591702669329941e+00,-1.123950288382053880e-01,-1.123375445604324341e-01
1.895806729254485568e+00,1.519085649203054389e-01,1.519714742898941040e-01
6.326338477121370651e+00,1.021501768554003708e-01,1.021212935447692871e-01
2.460882823102597783e+01,-3.242289868714035017e-02,-3.247405588626861572e-02
6.745301290158429275e+00,8.930751379552592795e-02,8.933460712432861328e-02
2.105288135773014435e+00,4.864030496515664437e-02,4.869739711284637451e-02
2.188033291112213874e+01,3.528385938764411200e-02,3.530304133892059326e-02
7.881737920521447727e+00,-3.407588183248660280e-02,-3.408704698085784912e-02
2.117857019928506901e+01,1.596723932404945853e-02,1.600533910095691681e-02
2.325767315898146492e+01,7.292800003146269160e-03,7.203834131360054016e-03
