# Time, Target, Prediction
1.424735416098391561e+01,-8.982616772269727545e-02,-8.952819555997848511e-02
2.000547432271955728e+01,-4.880194616338276448e-02,-4.999852180480957031e-02
-5.360105489346458363e+00,-6.944153005082534926e-06,1.576453447341918945e-03
2.982491525337378491e+00,-3.926604390125297828e-01,-3.901081979274749756e-01
1.237773260778734929e+01,2.440684991696501216e-02,2.660028636455535889e-02
-8.722282064002468971e+00,-1.664719497173621394e-07,1.052632927894592285e-03
1.098729977200670938e+01,6.262488020121981247e-02,6.336451321840286255e-02
2.699691626534535871e+00,-3.425365836761047889e-01,-3.399759232997894287e-01
1.058666658203601862e+01,2.941093504028597164e-02,2.971974760293960571e-02
1.361890994142204292e+01,-8.198651111811489089e-02,-8.071154356002807617e-02
-9.327159625330768478e+00,-7.562457607958741529e-08,1.071825623512268066e-03
5.504123956329386225e+00,9.917231854485257514e-02,1.004187092185020447e-01
1.084589982260528807e+01,5.297656613289894456e-02,5.355579406023025513e-02
-5.477938780514309158e+00,2.006247897737437676e-05,1.544989645481109619e-03
2.154516266064614172e+01,3.324602505933931668e-02,3.250857442617416382e-02
2.377613964009078273e+01,-3.462703937283057726e-02,-3.445117920637130737e-02
5.315590690460824774e+00,6.385783371932396424e-02,6.527306884527206421e-02
2.182010700670446113e+01,3.817489574506387207e-02,3.776130825281143188e-02
1.383100986552417666e+01,-8.943919235938023460e-02,-8.849442005157470703e-02
2.011545206114288575e+01,-4.321310120904404972e-02,-4.448357969522476196e-02
-4.865205666441485555e+00,-3.884956479008294357e-04,1.505702733993530273e-03
2.084601846638356193e+01,1.005333304290482966e-03,-3.005787730216979980e-04
1.418450973902772816e+01,-9.097177377276392807e-02,-9.058237820863723755e-02
-1.180951429260016061e+00,6.755343282588998077e-01,6.785794496536254883e-01
2.491519478804667287e+01,-4.807278647996233306e-02,-4.886483401060104370e-02
1.330468783164111102e+01,-6.276464034182134555e-02,-6.107701361179351807e-02
1.406667644785988003e+01,-9.198234423588959319e-02,-9.141390770673751831e-02
2.236214014607657319e+01,3.263956435236424480e-02,3.280241042375564575e-02
1.907851909886580088e+01,-6.515730936668100159e-02,-6.517447531223297119e-02
4.223668858972073892e+00,-2.406512549663642198e-01,-2.384061813354492188e-01
2.534725018899544491e+00,-2.964013929182320872e-01,-2.938600182533264160e-01
1.793160839816538399e+01,-5.256890897056139614e-03,-4.075273871421813965e-03
2.302986212936106014e+01,3.875593177740320819e-03,4.344515502452850342e-03
-1.139316999714042211e+01,7.742536938655416508e-10,1.092337071895599365e-03
2.511943915940428340e+01,-4.246669049055610407e-02,-4.340890794992446899e-02
8.905578294708011100e+00,-1.424334552464700532e-01,-1.419439911842346191e-01
2.003689653369765367e+01,-4.726144515094198723e-02,-4.848112165927886963e-02
1.496220946073554359e+01,-5.198102299688139860e-02,-5.242901295423507690e-02
1.760953073563992888e+01,1.685450077721550172e-02,1.807166635990142822e-02
2.406679509163815212e+01,-4.515236910874310949e-02,-4.519244283437728882e-02
3.933013407424708063e+00,-3.170113795385334776e-01,-3.146507740020751953e-01
4.357213255628971993e+00,-2.016241156245249799e-01,-1.994570493698120117e-01
-3.883261573376061815e+00,-5.344961083496015293e-03,-2.329900860786437988e-03
2.372900632362364348e+01,-3.256396619112808533e-02,-3.235603123903274536e-02
-1.872240070778075527e+00,2.348850634197870990e-01,2.303706109523773193e-01
3.555946875687586939e+00,-3.862309861334906058e-01,-3.837647140026092529e-01
2.251925120096704092e+00,-1.897931406950031097e-01,-1.873706877231597900e-01
9.989644573452240550e+00,-4.326425583489021398e-02,-4.327441006898880005e-02
2.475022818041168549e+01,-5.094213916091877570e-02,-5.159517377614974976e-02
2.346191753030985083e+01,-1.949933758881414875e-02,-1.913478225469589233e-02
1.931418568120150070e+01,-6.710552473700868992e-02,-6.746952235698699951e-02
2.683980521045489009e+00,-3.386739024058797454e-01,-3.361138403415679932e-01
2.219717353844158581e+01,3.639150102206122755e-02,3.640126436948776245e-02
1.328112117340753962e+01,-6.097891554270408465e-02,-5.926517397165298462e-02
2.723258284768105941e+00,-3.481187311043793531e-01,-3.455576598644256592e-01
-5.823583101273339224e+00,4.441769106734377664e-05,1.420803368091583252e-03
2.048466304013548367e+01,-2.148195529771081830e-02,-2.286197990179061890e-02
2.590499443385662204e+01,-7.413067129719428522e-03,-8.672319352626800537e-03
-4.975183404864821912e-02,9.851065513313349564e-01,9.864863753318786621e-01
5.802634960621275262e+00,1.368252946001319303e-01,1.378384530544281006e-01
1.584988692086668571e+01,1.954355635706937419e-02,1.917342096567153931e-02
4.380779913862541619e+00,-1.945843628932454328e-01,-1.924324035644531250e-01
2.360331747971127214e+01,-2.667288541273760832e-02,-2.638519555330276489e-02
2.167085150455851661e+01,3.614105643831282827e-02,3.554954379796981812e-02
2.400395066968196289e+01,-4.323018563750521959e-02,-4.322130233049392700e-02
1.453015405978675822e+01,-7.979171128770623511e-02,-7.985930889844894409e-02
-9.358581836308863089e+00,-7.139306340820393080e-08,1.072645187377929688e-03
-1.024625929644000522e+01,-6.812559819560745092e-09,1.092307269573211670e-03
-3.600461674573220527e+00,-8.554508086554049248e-03,-5.218483507633209229e-03
2.382327295655792199e+01,-3.660038323679476457e-02,-3.645760565996170044e-02
-2.972017455011349618e+00,-1.039015421693185656e-02,-7.902875542640686035e-03
-9.932037186659071537e+00,-1.892160732875001332e-08,1.087121665477752686e-03
1.973052997666124142e+01,-5.997420681923287117e-02,-6.090373545885086060e-02
-1.267362509449773356e+00,6.193484301173670659e-01,6.215435266494750977e-01
1.867788590889510658e+01,-5.209846018719269806e-02,-5.157523602247238159e-02
2.179654034847089150e+01,3.795712366481469174e-02,3.751536458730697632e-02
1.804944168933323212e+01,-1.359387098000044806e-02,-1.247221231460571289e-02
1.427092081921748878e+01,-8.929025482485766774e-02,-8.902571350336074829e-02
2.602282772502447017e+01,-1.581705252324163390e-03,-2.825863659381866455e-03
2.032755198524501594e+01,-3.113776648596594879e-02,-3.249625116586685181e-02
7.593700986372600159e-01,6.796029889202716001e-01,6.802682280540466309e-01
5.708368327686983434e-01,7.783777841059441593e-01,7.789227962493896484e-01
-1.171524765966587900e+01,5.280445446778953005e-10,1.087531447410583496e-03
7.130223374445725959e+00,4.959210263446042766e-02,5.041956156492233276e-02
-1.224942524629346963e+01,1.657564366255311583e-10,1.075766980648040771e-03
1.945558563060291846e+01,-6.615436835950311290e-02,-6.672373414039611816e-02
-7.300427017243735328e+00,3.990722376140610467e-06,1.062691211700439453e-03
2.287275107447059241e+01,1.203907357406708463e-02,1.248665899038314819e-02
1.037456665793388488e+01,5.597331178445591297e-03,5.729921162128448486e-03
4.058702251337082068e+00,-2.858243046783622288e-01,-2.835055887699127197e-01
-1.017555932173929456e+01,-8.867556371563609682e-09,1.091383397579193115e-03
1.645476448219498877e+01,4.808769640812505380e-02,4.833973944187164307e-02
5.276312926738207842e+00,5.547540669433303345e-02,5.692618340253829956e-02
-2.744206425420170792e+00,-7.047203784130441065e-04,3.328099846839904785e-04
-8.518037692644860215e+00,-1.780853087730618529e-07,1.046873629093170166e-03
1.938488565590221313e+01,-6.682670057038457567e-02,-6.729418039321899414e-02
2.325767315895224385e+01,-8.516031535806656283e-03,-8.074216544628143311e-03
9.133389324299191259e+00,-1.329825785383728642e-01,-1.326512098312377930e-01
