# Time, Strain, Stress
-2.500000000000000000e+00,1.136889422832601980e-25,1.136889422832601980e-29
-2.498499699939987995e+00,1.777728194413047165e-12,4.383339241418410648e-18
-2.496999399879975989e+00,3.611209161773156476e-12,1.899927457655903522e-17
-2.495499099819963984e+00,5.501593293844625211e-12,4.446511364736604371e-17
-2.493998799759951979e+00,7.450048305515103520e-12,8.078085645383943610e-17
-2.492498499699939973e+00,9.457759390927251546e-12,1.279465029959792124e-16
-2.490998199639927968e+00,1.152592937866441777e-11,1.859620532737885281e-16
-2.489497899579915963e+00,1.365577888591243640e-11,2.548275072872673831e-16
-2.487997599519903957e+00,1.584854647150651652e-11,3.345428650364094666e-16
-2.486497299459891952e+00,1.810548878778355002e-11,4.251081265212210894e-16
-2.484996999399879947e+00,2.042788073114369458e-11,5.265232917416959407e-16
-2.483496699339867941e+00,2.281701559123456206e-11,6.387883606978434868e-16
-2.481996399279855936e+00,2.527420519865658887e-11,7.619033333896574168e-16
-2.480496099219843931e+00,2.780078007110095398e-11,8.958682098171345753e-16
-2.478995799159831925e+00,3.039808955781302171e-11,1.040682989980284429e-15
-2.477495499099819920e+00,3.306750198228537884e-11,1.196347673879097510e-15
-2.475995199039807915e+00,3.581040478306781774e-11,1.362862261513580131e-15
-2.474494898979795909e+00,3.862820465259553362e-11,1.540226752883732292e-15
-2.472994598919783904e+00,4.152232767391972424e-11,1.728441147989547681e-15
-2.471494298859771899e+00,4.449421945522590486e-11,1.927505446831029454e-15
-2.469993998799759893e+00,4.754534526202996517e-11,2.137419649408180766e-15
-2.468493698739747888e+00,5.067719014692786550e-11,2.358183755720998462e-15
-2.466993398679735883e+00,5.389125907677987760e-11,2.589797765769485697e-15
-2.465493098619723877e+00,5.718907705720018760e-11,2.832261679553639317e-15
-2.463992798559711872e+00,6.057218925423049184e-11,3.085575497073459320e-15
-2.462492498499699867e+00,6.404216111306119767e-11,3.349739218328948863e-15
-2.460992198439687861e+00,6.760057847366820351e-11,3.624752843320104789e-15
-2.459491898379675856e+00,7.124904768322426252e-11,3.910616372046930255e-15
-2.457991598319663851e+00,7.498919570514951146e-11,4.207329804509418949e-15
-2.456491298259651845e+00,7.882267022465594289e-11,4.514893140707577183e-15
-2.454990998199639840e+00,8.275113975062873380e-11,4.833306380641401801e-15
-2.453490698139627835e+00,8.677629371370870851e-11,5.162569524310892802e-15
-2.451990398079615829e+00,9.089984256040843182e-11,5.502682571716053343e-15
-2.450490098019603824e+00,9.512351784311364723e-11,5.853645522856878690e-15
-2.448989797959591819e+00,9.944907230579436199e-11,6.215458377733371999e-15
-2.447489497899579813e+00,1.038782799652770613e-10,6.588121136345536425e-15
-2.445989197839567808e+00,1.084129361878947535e-10,6.971633798693364079e-15
-2.444488897779555803e+00,1.130548577613523442e-10,7.365996364776861273e-15
-2.442988597719543797e+00,1.178058829616154460e-10,7.771208834596023272e-15
-2.441488297659531792e+00,1.226678716146594763e-10,8.187271208150854811e-15
-2.439987997599519787e+00,1.276427051528794584e-10,8.614183485441354312e-15
-2.438487697539507781e+00,1.327322866659827872e-10,9.051945666467520197e-15
-2.436987397479495776e+00,1.379385409461545441e-10,9.500557751229352466e-15
-2.435487097419483771e+00,1.432634145273184103e-10,9.960019739726854273e-15
-2.433986797359471765e+00,1.487088757182780451e-10,1.043033163196002089e-14
-2.432486497299459760e+00,1.542769146295331447e-10,1.091149342792885389e-14
