# Time, Target, Prediction
1.424735416098391561e+01,-6.912465175608489831e-02,-6.933575123548507690e-02
2.000547432271955728e+01,-3.067391969230785082e-02,-3.136608004570007324e-02
-5.360105489346458363e+00,-3.035598967470845666e-05,7.951748557388782501e-05
2.982491525337378491e+00,-3.345891695880143790e-01,-3.350473046302795410e-01
1.237773260778734929e+01,2.871337889236469376e-02,2.956131659448146820e-02
-8.722282064002468971e+00,-2.184349171982402794e-07,1.065779943019151688e-04
1.098729977200670938e+01,8.510091623057676469e-02,8.491846174001693726e-02
2.699691626534535871e+00,-2.994426501997710655e-01,-2.997784614562988281e-01
1.058666658203601862e+01,5.891907090055951979e-02,5.841238424181938171e-02
1.361890994142204292e+01,-6.906577584807974124e-02,-6.874596327543258667e-02
-9.327159625330768478e+00,-1.797027243273772903e-07,1.171280164271593094e-04
5.504123956329386225e+00,1.398067096548283872e-01,1.395854353904724121e-01
1.084589982260528807e+01,7.805115690056196875e-02,7.772959023714065552e-02
-5.477938780514309158e+00,3.575925542826267558e-06,1.170088071376085281e-04
2.154516266064614172e+01,4.511996598436891770e-02,4.483659937977790833e-02
2.377613964009078273e+01,-2.967086516103165789e-02,-2.953031100332736969e-02
5.315590690460824774e+00,1.126651239938384064e-01,1.122268214821815491e-01
2.182010700670446113e+01,4.753912294836320357e-02,4.739676788449287415e-02
1.383100986552417666e+01,-7.375696867249759148e-02,-7.365254312753677368e-02
2.011545206114288575e+01,-2.477060748985530914e-02,-2.551201544702053070e-02
-4.865205666441485555e+00,-4.849446643522499815e-04,-3.632705193012952805e-04
2.084601846638356193e+01,1.823018290217808327e-02,1.748129166662693024e-02
1.418450973902772816e+01,-7.095676908463166566e-02,-7.113119214773178101e-02
-1.180951429260016061e+00,7.342510506546302551e-01,7.375333309173583984e-01
2.491519478804667287e+01,-3.566885662752981856e-02,-3.587898239493370056e-02
1.330468783164111102e+01,-5.368922065172599539e-02,-5.307583138346672058e-02
1.406667644785988003e+01,-7.333729038070826989e-02,-7.343261688947677612e-02
2.236214014607657319e+01,3.770661029707859935e-02,3.768331184983253479e-02
1.907851909886580088e+01,-5.355867434968440005e-02,-5.385670438408851624e-02
4.223668858972073892e+00,-1.579864007057573405e-01,-1.590389609336853027e-01
2.534725018899544491e+00,-2.629887081073059574e-01,-2.632209360599517822e-01
