# Time, Strain, Stress
-2.500000000000000000e+00,1.136889422832601980e-25,1.136889422832601980e-29
-2.498499699939987995e+00,1.777728194413047165e-12,1.629993166596281892e-17
-2.496999399879975989e+00,3.611209161773156476e-12,5.735240358848480577e-17
-2.495499099819963984e+00,5.501593293844625211e-12,1.215564787801571566e-16
-2.493998799759951979e+00,7.450048305515103520e-12,2.016049760640833608e-16
-2.492498499699939973e+00,9.457759390927251546e-12,2.950941118934623803e-16
-2.490998199639927968e+00,1.152592937866441777e-11,3.978510105407267898e-16
-2.489497899579915963e+00,1.365577888591243640e-11,5.087312951835932243e-16
-2.487997599519903957e+00,1.584854647150651652e-11,6.261590360621066230e-16
-2.486497299459891952e+00,1.810548878778355002e-11,7.495418122524033009e-16
-2.484996999399879947e+00,2.042788073114369458e-11,8.782480507294744490e-16
-2.483496699339867941e+00,2.281701559123456206e-11,1.011858996949290307e-15
-2.481996399279855936e+00,2.527420519865658887e-11,1.150053904887436558e-15
-2.480496099219843931e+00,2.780078007110095398e-11,1.292562068639122510e-15
-2.478995799159831925e+00,3.039808955781302171e-11,1.439233063235343556e-15
-2.477495499099819920e+00,3.306750198228537884e-11,1.589939544200235301e-15
-2.475995199039807915e+00,3.581040478306781774e-11,1.744630988767127483e-15
-2.474494898979795909e+00,3.862820465259553362e-11,1.903277131944253566e-15
-2.472994598919783904e+00,4.152232767391972424e-11,2.065873909602260934e-15
-2.471494298859771899e+00,4.449421945522590486e-11,2.232446144061669795e-15
-2.469993998799759893e+00,4.754534526202996517e-11,2.403012160808572151e-15
-2.468493698739747888e+00,5.067719014692786550e-11,2.577628290506454174e-15
-2.466993398679735883e+00,5.389125907677987760e-11,2.756327341521100578e-15
-2.465493098619723877e+00,5.718907705720018760e-11,2.939180666825016732e-15
-2.463992798559711872e+00,6.057218925423049184e-11,3.126233505572840496e-15
-2.462492498499699867e+00,6.404216111306119767e-11,3.317558772880830528e-15
-2.460992198439687861e+00,6.760057847366820351e-11,3.513225916152672946e-15
-2.459491898379675856e+00,7.124904768322426252e-11,3.713295340640304061e-15
-2.457991598319663851e+00,7.498919570514951146e-11,3.917857362928981187e-15
-2.456491298259651845e+00,7.882267022465594289e-11,4.126961911752917525e-15
-2.454990998199639840e+00,8.275113975062873380e-11,4.340704826994661254e-15
-2.453490698139627835e+00,8.677629371370870851e-11,4.559151212343187979e-15
-2.451990398079615829e+00,9.089984256040843182e-11,4.782383309171388804e-15
-2.450490098019603824e+00,9.512351784311364723e-11,5.010490986235521555e-15
-2.448989797959591819e+00,9.944907230579436199e-11,5.243536188162720764e-15
-2.447489497899579813e+00,1.038782799652770613e-10,5.482408464889126544e-15
-2.445989197839567808e+00,1.084129361878947535e-10,5.729014156945060830e-15
-2.444488897779555803e+00,1.130548577613523442e-10,5.981100740057171872e-15
-2.442988597719543797e+00,1.178058829616154460e-10,6.238668214225458093e-15
-2.441488297659531792e+00,1.226678716146594763e-10,6.501716579449921072e-15
-2.439987997599519787e+00,1.276427051528794584e-10,6.770245835730560018e-15
-2.438487697539507781e+00,1.327322866659827872e-10,7.044255983067374932e-15
-2.436987397479495776e+00,1.379385409461545441e-10,7.323747021460365814e-15
-2.435487097419483771e+00,1.432634145273184103e-10,7.608718950909533453e-15
-2.433986797359471765e+00,1.487088757182780451e-10,7.899171771414876271e-15
-2.432486497299459760e+00,1.542769146295331447e-10,8.195105482976395846e-15
-2.430986197239447755e+00,1.599695431935621946e-10,8.496520085594092178e-15
-2.429485897179435749e+00,1.657887951783573938e-10,8.803415579267963689e-15
-2.427985597119423744e+00,1.717367261939909691e-10,9.115791963998010379e-15
-2.426485297059411739e+00,1.778154136919838816e-10,9.434421655085654984e-15
-2.424984996999399733e+00,1.840269569572521892e-10,9.765749898586611126e-15
-2.423484696939387728e+00,1.903734770923966898e-10,1.010359989954609846e-14
-2.421984396879375723e+00,1.968571169940966598e-10,1.044797165796411857e-14
-2.420484096819363717e+00,2.034800413213594313e-10,1.079886517384067145e-14
-2.418983796759351712e+00,2.102444364553791518e-10,1.115628044717575552e-14
-2.417483496699339707e+00,2.171525104507576080e-10,1.152021747796937236e-14
-2.415983196639327701e+00,2.242064929778112471e-10,1.189067626622152040e-14
-2.414482896579315696e+00,2.314086352557204558e-10,1.226765681193220279e-14
-2.412982596519303691e+00,2.387612099762284046e-10,1.265115911510141480e-14
-2.411482296459291685e+00,2.462665112176378644e-10,1.304118317572915957e-14
-2.409981996399279680e+00,2.539268543488004305e-10,1.343772899381543712e-14
-2.408481696339267675e+00,2.617445759228366350e-10,1.384079656936024586e-14
-2.406981396279255669e+00,2.697220335602688200e-10,1.425038590236358738e-14
-2.405481096219243664e+00,2.778616058212946795e-10,1.466649699282546008e-14
-2.403980796159231659e+00,2.861656920668726154e-10,1.441470385471672460e-14
-2.402480496099219653e+00,2.946367123083338401e-10,1.495523138000221867e-14
-2.400980196039207648e+00,3.032771070451793407e-10,1.549575890528770958e-14
-2.399479895979195643e+00,3.120893370907670749e-10,1.603628643057320680e-14
-2.397979595919183637e+00,3.210758833855346399e-10,1.657681395585869771e-14
-2.396479295859171632e+00,3.302392467974490330e-10,1.711734148114418863e-14
-2.394978995799159627e+00,3.395819479093193353e-10,1.765786900642968585e-14
-2.393478695739148066e+00,3.491065267926356063e-10,1.819839653171501583e-14
-2.391978395679135616e+00,3.588155427676056496e-10,1.873892405700067083e-14
-2.390478095619124055e+00,3.687115741489446256e-10,1.927945158228600397e-14
-2.388977795559111605e+00,3.787972179771964495e-10,1.981997910757165581e-14
-2.387477495499100044e+00,3.890750897350335366e-10,2.036050663285698895e-14
-2.385977195439088039e+00,3.995478230483399402e-10,2.090103415814248302e-14
-2.384476895379076034e+00,4.102180693715137964e-10,2.144156168342797709e-14
