# Time, Target, Prediction
1.424735416098391561e+01,-6.826786855501910944e-02,-6.860595941543579102e-02
2.000547432271955728e+01,-3.862993661538944440e-02,-3.737949952483177185e-02
-5.360105489346458363e+00,-1.598862015926114288e-07,-4.232190549373626709e-04
2.982491525337378491e+00,-2.765964663453635564e-01,-2.772295773029327393e-01
1.237773260778734929e+01,4.729777460910742498e-02,4.505728930234909058e-02
-8.722282064002468971e+00,-1.860388836109098225e-07,-5.146227777004241943e-04
1.098729977200670938e+01,6.527733424755971514e-02,6.449652463197708130e-02
2.699691626534535871e+00,-2.073266011056502933e-01,-2.079370766878128052e-01
1.058666658203601862e+01,3.130686268583747489e-02,3.097394481301307678e-02
1.361890994142204292e+01,-5.336702979105369810e-02,-5.503598973155021667e-02
-9.327159625330768478e+00,-8.917170719231964654e-08,-5.060099065303802490e-04
5.504123956329386225e+00,8.394711289415564270e-02,8.327768743038177490e-02
1.084589982260528807e+01,5.493041550495099401e-02,5.437539890408515930e-02
-5.477938780514309158e+00,2.609981447252856672e-05,-3.928802907466888428e-04
2.154516266064614172e+01,3.603558804337750332e-02,3.654221072793006897e-02
2.377613964009078273e+01,-1.818328858830755082e-02,-1.865512505173683167e-02
5.315590690460824774e+00,4.788859701840048055e-02,4.729833081364631653e-02
2.182010700670446113e+01,4.231714174900808034e-02,4.265295341610908508e-02
1.383100986552417666e+01,-6.262199314540281558e-02,-6.379622220993041992e-02
2.011545206114288575e+01,-3.423929753684615274e-02,-3.292715176939964294e-02
-4.865205666441485555e+00,-3.282050819127918496e-04,-7.851831614971160889e-04
2.084601846638356193e+01,4.089014172187318413e-03,5.079168826341629028e-03
1.418450973902772816e+01,-6.850960755206658703e-02,-6.894898414611816406e-02
-1.180951429260016061e+00,6.257540779953540966e-01,6.264790296554565430e-01
2.491519478804667287e+01,-3.765337648083037780e-02,-3.710542991757392883e-02
1.330468783164111102e+01,-3.290037923891432625e-02,-3.514921665191650391e-02
1.406667644785988003e+01,-6.791557622643781822e-02,-6.857137382030487061e-02
2.236214014607657319e+01,4.098328225806520397e-02,4.088696464896202087e-02
1.907851909886580088e+01,-4.556952806948476320e-02,-4.528256878256797791e-02
4.223668858972073892e+00,-2.205523074962063568e-01,-2.211031913757324219e-01
2.534725018899544491e+00,-1.519888120297598344e-01,-1.525893062353134155e-01
1.793160839816538399e+01,1.428748551226215191e-02,1.388022676110267639e-02
2.302986212936106014e+01,1.770394861797910946e-02,1.716109737753868103e-02
-1.139316999714042211e+01,1.005248562202162427e-09,-4.653893411159515381e-04
2.511943915940428340e+01,-3.384224349985787139e-02,-3.313007578253746033e-02
8.905578294708011100e+00,-1.095444149780238213e-01,-1.108921766281127930e-01
2.003689653369765367e+01,-3.743591470607025157e-02,-3.616422042250633240e-02
1.496220946073554359e+01,-4.129443471809626093e-02,-4.090907797217369080e-02
1.760953073563992888e+01,3.352825902296242833e-02,3.319990262389183044e-02
2.406679509163815212e+01,-2.921626758371503180e-02,-2.950451150536537170e-02
3.933013407424708063e+00,-2.767198043059649892e-01,-2.773785889148712158e-01
4.357213255628971993e+00,-1.895641484787132236e-01,-1.900762170553207397e-01
-3.883261573376061815e+00,-4.815656378182701924e-03,-5.084242671728134155e-03
2.372900632362364348e+01,-1.612111699704681794e-02,-1.661531999707221985e-02
-1.872240070778075527e+00,2.080763917099738847e-01,2.060515731573104858e-01
3.555946875687586939e+00,-3.160534909964548556e-01,-3.166978657245635986e-01
2.251925120096704092e+00,-3.392790272724484357e-02,-3.447512164711952209e-02
9.989644573452240550e+00,-3.526093909973904844e-02,-3.585437312722206116e-02
2.475022818041168549e+01,-3.912980794488598452e-02,-3.874858096241950989e-02
2.346191753030985083e+01,-3.502739943658119900e-03,-4.081029444932937622e-03
1.931418568120150070e+01,-4.947431508932435829e-02,-4.904655739665031433e-02
2.683980521045489009e+00,-2.025172517063634492e-01,-2.031261771917343140e-01
2.219717353844158581e+01,4.331977924132851543e-02,4.336580261588096619e-02
1.328112117340753962e+01,-3.109502632216007076e-02,-3.337481990456581116e-02
2.723258284768105941e+00,-2.143545881087085547e-01,-2.149676829576492310e-01
-5.823583101273339224e+00,4.726472758761619380e-05,-3.629587590694427490e-04
2.048466304013548367e+01,-1.605608199001047273e-02,-1.479337736964225769e-02
2.590499443385662204e+01,-4.677757811028754840e-03,-3.990162163972854614e-03
-4.975183404864821912e-02,9.988442581781799001e-01,9.981936216354370117e-01
5.802634960621275262e+00,1.262620486435359624e-01,1.253225803375244141e-01
1.584988692086668571e+01,2.257467936924582863e-02,2.344928681850433350e-02
4.380779913862541619e+00,-1.838502687319980011e-01,-1.843570470809936523e-01
2.360331747971127214e+01,-1.034730051188384459e-02,-1.089043542742729187e-02
2.167085150455851661e+01,3.946159664737795836e-02,3.989293798804283142e-02
2.400395066968196289e+01,-2.711113741312957612e-02,-2.744539454579353333e-02
1.453015405978675822e+01,-6.256642183396295132e-02,-6.254900991916656494e-02
-9.358581836308863089e+00,-8.487355615501183388e-08,-5.054287612438201904e-04
-1.024625929644000522e+01,-1.201623756769401731e-08,-4.855506122112274170e-04
-3.600461674573220527e+00,-7.830022223593418804e-03,-8.060391992330551147e-03
2.382327295655792199e+01,-2.017930372005374839e-02,-2.062653377652168274e-02
-2.972017455011349618e+00,-1.062492154257673078e-02,-1.135274395346641541e-02
-9.932037186659071537e+00,-2.274109301657808068e-08,-4.927776753902435303e-04
1.973052997666124142e+01,-4.670940847354659170e-02,-4.575536772608757019e-02
-1.267362509449773356e+00,5.707658907715460472e-01,5.713055133819580078e-01
1.867788590889510658e+01,-3.056486471606566918e-02,-3.041222319006919861e-02
2.179654034847089150e+01,4.195682484908064280e-02,4.230848327279090881e-02
1.804944168933323212e+01,6.739131817068724079e-03,6.362136453390121460e-03
1.427092081921748878e+01,-6.807752109954064157e-02,-6.838077306747436523e-02
2.602282772502447017e+01,6.011765808112887449e-04,1.304645091295242310e-03
2.032755198524501594e+01,-2.431469806054982821e-02,-2.298746630549430847e-02
7.593700986372600159e-01,7.812902596946380562e-01,7.807025909423828125e-01
5.708368327686983434e-01,8.608896496762153960e-01,8.603981137275695801e-01
-1.171524765966587900e+01,7.321051243473132049e-10,-4.625283181667327881e-04
7.130223374445725959e+00,8.157298101240575972e-02,7.940736413002014160e-02
-1.224942524629346963e+01,2.790867396124377277e-10,-4.610083997249603271e-04
1.945558563060291846e+01,-4.990951851513221460e-02,-4.932872578501701355e-02
-7.300427017243735328e+00,5.536164280078035085e-06,-4.798434674739837646e-04
2.287275107447059241e+01,2.472789129805187322e-02,2.425282821059226990e-02
1.037456665793388488e+01,8.681262707204180987e-03,8.336927741765975952e-03
4.058702251337082068e+00,-2.546690354258647759e-01,-2.552823126316070557e-01
-1.017555932173929456e+01,-1.403239367228614170e-08,-4.872046411037445068e-04
1.645476448219498877e+01,5.270709128813985678e-02,5.286284908652305603e-02
