# Time, Strain, Stress
-2.500000000000000000e+00,1.136889422832601980e-25,5.684447114163009900e-29
-2.498499699939987995e+00,1.777728194413047165e-12,2.721450762794799230e-17
-2.496999399879975989e+00,3.611209161773156476e-12,9.979170019073836276e-17
-2.495499099819963984e+00,5.501593293844625211e-12,2.194943047137507340e-16
-2.493998799759951979e+00,7.450048305515103520e-12,3.863223211969858949e-16
-2.492498499699939973e+00,9.457759390927251546e-12,6.002757496404406900e-16
-2.490998199639927968e+00,1.152592937866441777e-11,8.613545900441178803e-16
-2.489497899579915963e+00,1.365577888591243640e-11,1.169558842408016283e-15
-2.487997599519903957e+00,1.584854647150651652e-11,1.524888506732135897e-15
-2.486497299459891952e+00,1.810548878778355002e-11,1.927343583016477117e-15
-2.484996999399879947e+00,2.042788073114369458e-11,2.376924071261039944e-15
-2.483496699339867941e+00,2.281701559123456206e-11,2.873629971465823589e-15
-2.481996399279855936e+00,2.527420519865658887e-11,3.417461283630829234e-15
-2.480496099219843931e+00,2.780078007110095398e-11,4.008418007756056091e-15
-2.478995799159831925e+00,3.039808955781302171e-11,4.645383462190055298e-15
-2.477495499099819920e+00,3.306750198228537884e-11,5.323075276423298120e-15
-2.475995199039807915e+00,3.581040478306781774e-11,6.040813429099913467e-15
-2.474494898979795909e+00,3.862820465259553362e-11,6.798597920219899762e-15
-2.472994598919783904e+00,4.152232767391972424e-11,7.596428749783258583e-15
-2.471494298859771899e+00,4.449421945522590486e-11,8.434305917789988352e-15
-2.469993998799759893e+00,4.754534526202996517e-11,9.312229424240090646e-15
-2.468493698739747888e+00,5.067719014692786550e-11,1.023019926913356389e-14
-2.466993398679735883e+00,5.389125907677987760e-11,1.118821545247040808e-14
-2.465493098619723877e+00,5.718907705720018760e-11,1.218627797425062637e-14
-2.463992798559711872e+00,6.057218925423049184e-11,1.322438683447421561e-14
-2.462492498499699867e+00,6.404216111306119767e-11,1.430254203314117580e-14
-2.460992198439687861e+00,6.760057847366820351e-11,1.542074357025151010e-14
-2.459491898379675856e+00,7.124904768322426252e-11,1.657879092550819324e-14
-2.457991598319663851e+00,7.498919570514951146e-11,1.777561537885830523e-14
-2.456491298259651845e+00,7.882267022465594289e-11,1.901105947717398570e-14
-2.454990998199639840e+00,8.275113975062873380e-11,2.028512322045523780e-14
-2.453490698139627835e+00,8.677629371370870851e-11,2.159780660870205838e-14
-2.451990398079615829e+00,9.089984256040843182e-11,2.294910964191445059e-14
-2.450490098019603824e+00,9.512351784311364723e-11,2.433903232009240813e-14
-2.448989797959591819e+00,9.944907230579436199e-11,2.576757464323593730e-14
-2.447489497899579813e+00,1.038782799652770613e-10,2.723473661134503495e-14
