# Time, Target, Prediction
1.424735416098391561e+01,-8.044224826715069832e-02,-8.015552908182144165e-02
2.000547432271955728e+01,-4.308529971432661920e-02,-4.221503064036369324e-02
-5.360105489346458363e+00,-3.854511294490328314e-07,-6.849416531622409821e-04
2.982491525337378491e+00,-2.700580845310244227e-01,-2.712330520153045654e-01
1.237773260778734929e+01,2.274813938681754383e-02,2.317809127271175385e-02
-8.722282064002468971e+00,-1.071503591463292779e-07,-8.600153960287570953e-04
1.098729977200670938e+01,3.758705923361078949e-02,3.706814721226692200e-02
2.699691626534535871e+00,-1.971252234261746394e-01,-1.983438879251480103e-01
1.058666658203601862e+01,4.592580091102050135e-03,4.096468444913625717e-03
1.361890994142204292e+01,-6.878262453911326846e-02,-6.836580485105514526e-02
-9.327159625330768478e+00,-1.141492516790029675e-07,-8.526691235601902008e-04
5.504123956329386225e+00,3.296340587800337257e-02,3.152548149228096008e-02
1.084589982260528807e+01,2.752930088324046995e-02,2.701467834413051605e-02
-5.477938780514309158e+00,2.549072419534679259e-05,-6.593265570700168610e-04
2.154516266064614172e+01,2.918858875447507065e-02,3.009692393243312836e-02
2.377613964009078273e+01,-2.218790578673448394e-02,-2.128236927092075348e-02
5.315590690460824774e+00,-2.435339943940897087e-04,-1.771221403032541275e-03
2.182010700670446113e+01,3.509376427374045343e-02,3.595815971493721008e-02
1.383100986552417666e+01,-7.673016839594838656e-02,-7.633400708436965942e-02
2.011545206114288575e+01,-3.870887620716709915e-02,-3.783985599875450134e-02
-4.865205666441485555e+00,-3.691015926818301432e-04,-1.045445445924997330e-03
2.084601846638356193e+01,-1.350623709794492294e-03,-4.415311850607395172e-04
1.418450973902772816e+01,-8.091675207676748971e-02,-8.061429113149642944e-02
-1.180951429260016061e+00,6.495256888731946177e-01,6.500611901283264160e-01
2.491519478804667287e+01,-3.910891575665818853e-02,-3.826956078410148621e-02
1.330468783164111102e+01,-5.055666981482564298e-02,-5.016426369547843933e-02
1.406667644785988003e+01,-8.081700342067622833e-02,-8.048105984926223755e-02
2.236214014607657319e+01,3.363697485809849508e-02,3.456870093941688538e-02
1.907851909886580088e+01,-5.174627378724823423e-02,-5.097166821360588074e-02
4.223668858972073892e+00,-2.429586626574440078e-01,-2.445283085107803345e-01
2.534725018899544491e+00,-1.403413800413410850e-01,-1.415882855653762817e-01
1.793160839816538399e+01,3.057260998672539209e-03,3.756870981305837631e-03
2.302986212936106014e+01,1.145274396794299966e-02,1.239821873605251312e-02
-1.139316999714042211e+01,8.582334201600671797e-10,-8.111395873129367828e-04
2.511943915940428340e+01,-3.519725721087593739e-02,-3.436456248164176941e-02
8.905578294708011100e+00,-1.365986937785829136e-01,-1.368169039487838745e-01
2.003689653369765367e+01,-4.189098833168488495e-02,-4.102035984396934509e-02
1.496220946073554359e+01,-5.236770172116513022e-02,-5.207250639796257019e-02
1.760953073563992888e+01,2.105136723758260775e-02,2.161877416074275970e-02
2.406679509163815212e+01,-3.233079726319413455e-02,-3.137358650565147400e-02
3.933013407424708063e+00,-2.912356224357377510e-01,-2.926766276359558105e-01
4.357213255628971993e+00,-2.156051284073587926e-01,-2.172022312879562378e-01
-3.883261573376061815e+00,-5.186217099672953829e-03,-5.496526602655649185e-03
2.372900632362364348e+01,-2.027599805954586817e-02,-1.937879063189029694e-02
-1.872240070778075527e+00,2.281142209515644725e-01,2.252655178308486938e-01
3.555946875687586939e+00,-3.209663484708164538e-01,-3.222205936908721924e-01
2.251925120096704092e+00,-2.101266574198405040e-02,-2.229569293558597565e-02
9.989644573452240550e+00,-6.033552810099504504e-02,-6.098754331469535828e-02
2.475022818041168549e+01,-4.075788430605143536e-02,-3.988705202937126160e-02
2.346191753030985083e+01,-8.508691110526935344e-03,-7.632310036569833755e-03
1.931418568120150070e+01,-5.490696126290488949e-02,-5.414373800158500671e-02
2.683980521045489009e+00,-1.921559402101527536e-01,-1.933780163526535034e-01
2.219717353844158581e+01,3.591347332891473704e-02,3.680746629834175110e-02
1.328112117340753962e+01,-4.893082671215753798e-02,-4.854105040431022644e-02
2.723258284768105941e+00,-2.044018884843459283e-01,-2.056153565645217896e-01
-5.823583101273339224e+00,4.781323316334003292e-05,-6.461986340582370758e-04
2.048466304013548367e+01,-2.085998941361658782e-02,-2.000387944281101227e-02
2.590499443385662204e+01,-6.692847920885661162e-03,-5.860040429979562759e-03
-4.975183404864821912e-02,9.980938818361105858e-01,9.956906437873840332e-01
5.802634960621275262e+00,7.210103891154200084e-02,7.088436931371688843e-02
1.584988692086668571e+01,9.954614628053996481e-03,1.031019352376461029e-02
4.380779913862541619e+00,-2.105282200143444304e-01,-2.121283859014511108e-01
2.360331747971127214e+01,-1.490472778909126411e-02,-1.402376033365726471e-02
2.167085150455851661e+01,3.242076824155894210e-02,3.330478444695472717e-02
2.400395066968196289e+01,-3.041041486963697721e-02,-2.946224249899387360e-02
1.453015405978675822e+01,-7.395670638155879550e-02,-7.370097190141677856e-02
-9.358581836308863089e+00,-1.145128305118691236e-07,-8.519091643393039703e-04
-1.024625929644000522e+01,-1.542575919464257083e-08,-8.325525559484958649e-04
-3.600461674573220527e+00,-8.284721737700669747e-03,-8.515531197190284729e-03
2.382327295655792199e+01,-2.403462571401210335e-02,-2.312029339373111725e-02
-2.972017455011349618e+00,-9.828796441741059417e-03,-1.086770929396152496e-02
-9.932037186659071537e+00,-3.707663373189989518e-08,-8.397200144827365875e-04
1.973052997666124142e+01,-5.132837227992882723e-02,-5.049024149775505066e-02
-1.267362509449773356e+00,5.956148042609568094e-01,5.961849689483642578e-01
1.867788590889510658e+01,-3.836698433483674842e-02,-3.750593587756156921e-02
2.179654034847089150e+01,3.475860467188805064e-02,3.562510386109352112e-02
1.804944168933323212e+01,-3.974985061285729419e-03,-3.217289689928293228e-03
1.427092081921748878e+01,-8.017081282363656969e-02,-7.988924533128738403e-02
2.602282772502447017e+01,-1.614903031606766681e-03,-8.232095278799533844e-04
2.032755198524501594e+01,-2.892734203881747873e-02,-2.807022072374820709e-02
7.593700986372600159e-01,7.824260740285016169e-01,7.806424498558044434e-01
5.708368327686983434e-01,8.602668746866212190e-01,8.583292365074157715e-01
-1.171524765966587900e+01,5.343454855180516045e-10,-8.076229132711887360e-04
7.130223374445725959e+00,3.233656772348734998e-02,3.200088813900947571e-02
-1.224942524629346963e+01,1.645513769954336817e-10,-8.047469891607761383e-04
1.945558563060291846e+01,-5.499031618253918952e-02,-5.421001836657524109e-02
-7.300427017243735328e+00,5.734994346846170423e-06,-8.142092265188694000e-04
2.287275107447059241e+01,1.810696420103081322e-02,1.907972060143947601e-02
1.037456665793388488e+01,-1.740024878947890943e-02,-1.791662164032459259e-02
4.058702251337082068e+00,-2.725748410715370107e-01,-2.740822434425354004e-01
-1.017555932173929456e+01,-1.963533955077670440e-08,-8.341022767126560211e-04
1.645476448219498877e+01,3.893505264912545255e-02,3.934954479336738586e-02
5.276312926738207842e+00,-7.869105269527427657e-03,-9.410390630364418030e-03
-2.744206425420170792e+00,-2.059340139037859566e-04,-2.158547285944223404e-03
-8.518037692644860215e+00,-1.047870967326991841e-07,-8.601644076406955719e-04
1.938488565590221313e+01,-5.511930645279090879e-02,-5.434955283999443054e-02
2.325767315895224385e+01,1.030403611396505086e-03,1.928662415593862534e-03
9.133389324299191259e+00,-1.313353643872214038e-01,-1.317458897829055786e-01
-9.688515051578864279e-01,7.712567796844675971e-01,7.711797356605529785e-01
-1.027768150741809983e+01,-1.367819320685156564e-08,-8.318820036947727203e-04
5.394146217906047314e-01,8.718553752311948291e-01,8.698906302452087402e-01
-1.100039235991425102e+01,-1.096639096226902254e-09,-8.169808425009250641e-04
-9.138626359462226345e-01,7.995160695933883899e-01,7.991915345191955566e-01
2.242498456803276241e+01,3.237562027157982192e-02,3.332159295678138733e-02
1.537069820345074556e+00,3.647801279477322356e-01,3.632257282733917236e-01
1.631336453279355503e+00,3.102351016796034422e-01,3.087117671966552734e-01
7.075234505234062610e+00,3.927057363782879285e-02,3.888349607586860657e-02
-1.012057045252763210e+01,-2.317515308386979763e-08,-8.353688754141330719e-04
9.306211484678707180e+00,-1.226908073071571043e-01,-1.232493296265602112e-01
2.178082924298184153e+01,3.451682836642263469e-02,3.538489714264869690e-02
-9.578537313155518262e+00,-7.050784262722517872e-08,-8.475133217871189117e-04
5.496268403584863016e+00,3.170106164607809640e-02,3.025831840932369232e-02
2.294345104917130485e+01,1.518738499714827710e-02,1.614958606660366058e-02
1.992691879527432519e+01,-4.585925081689173899e-02,-4.499281570315361023e-02
-5.202994434455991524e+00,-6.135690392617790018e-05,-7.463642396032810211e-04
1.262125474286757409e+01,3.783378922011724349e-03,4.212101455777883530e-03
-8.117404502674183120e-02,9.993172872324744826e-01,9.969013333320617676e-01
1.017817783932080111e+01,-3.918950724615369308e-02,-3.976577892899513245e-02
1.981694105685099672e+01,-4.919410185546223280e-02,-4.834040626883506775e-02
1.833224158813607474e+01,-2.064184826540065021e-02,-1.978115178644657135e-02
3.665924614110898094e-01,9.276300047555383621e-01,9.255420565605163574e-01
-9.523548443943854025e+00,-7.657176320437813759e-08,-8.487352170050144196e-04
5.079924108125111193e-01,8.830157303681254177e-01,8.810253739356994629e-01
1.463227624546555994e+01,-6.999108947201863884e-02,-6.972923129796981812e-02
1.679255325020949385e+01,4.379029488618935151e-02,4.431750252842903137e-02
1.632122008553809067e+01,3.458604058077630744e-02,3.498711064457893372e-02
1.251913255718877060e+01,1.199245898013394547e-02,1.243010722100734711e-02
2.014687427212097859e+01,-3.736255430829116264e-02,-3.649514541029930115e-02
1.497792056622459000e+01,-5.137773627123094072e-02,-5.108186230063438416e-02
-8.305937768542728250e+00,1.928570174309168944e-07,-8.584209717810153961e-04
-2.092195547624730700e+00,1.310452814766591423e-01,1.272211819887161255e-01
2.471880596943359265e+01,-4.091040852067080735e-02,-4.003178700804710388e-02
-9.287881861608152434e+00,-1.136947781379202592e-07,-8.532651700079441071e-04
-1.393051353362147804e+00,5.149644238904952376e-01,5.153064131736755371e-01
-7.999571211506316892e+00,6.690136502299398374e-07,-8.521773852407932281e-04
2.017044093035455177e+01,-3.632710263152532509e-02,-3.546078130602836609e-02
-1.178594763436658965e+01,4.701688330831070770e-10,-8.069374598562717438e-04
1.387814318199131769e+01,-7.795795524359674933e-02,-7.757148891687393188e-02
1.184355502115975867e+01,5.171736464837699970e-02,5.179386213421821594e-02
2.118380723439807056e+01,1.554756035184611147e-02,1.650091074407100677e-02
1.141935517295549474e+01,5.513316615813056848e-02,5.478223040699958801e-02
2.279419554702536033e+01,2.117846894081933801e-02,2.215880714356899261e-02
7.169501138168342891e+00,2.724680043240357633e-02,2.694681845605373383e-02
4.388635466607065716e+00,-2.088214757303448466e-01,-2.104225903749465942e-01
2.385469516753601837e+01,-2.522673695006463421e-02,-2.430615760385990143e-02
2.297487326014940123e+01,1.384864863705757669e-02,1.480515860021114349e-02
-1.112608120382662591e+01,-1.863684824241194506e-10,-8.149691857397556305e-04
4.247235517205644406e+00,-2.383251505614170651e-01,-2.399011701345443726e-01
-3.199828484602527112e+00,-1.174744625229087909e-02,-1.225748099386692047e-02
2.581858335366685075e+00,-1.575896825435544324e-01,-1.588307768106460571e-01
6.226834808825537415e+00,9.546518464217751410e-02,9.457363933324813843e-02
-3.946105995332249261e+00,-4.592857338208033297e-03,-4.935631994158029556e-03
-6.986204907462800762e+00,1.163828826450325680e-05,-7.845112122595310211e-04
1.660401998434093329e+01,4.219036250940762234e-02,4.264875128865242004e-02
1.855219706498273169e+01,-3.243626056627638143e-02,-3.155980631709098816e-02
-3.042717429712058941e+00,-1.100809200474577726e-02,-1.184382475912570953e-02
-6.687693903170910836e+00,1.908439093582193835e-05,-7.490613497793674469e-04
-8.140971160907737314e+00,4.492490504765456307e-07,-8.557536639273166656e-04
5.763357196898658330e+00,6.798225830270430980e-02,6.673222035169601440e-02
6.753156842708604835e+00,7.369543998599945023e-02,7.304158061742782593e-02
4.577168732475627166e+00,-1.661370115357579669e-01,-1.677496880292892456e-01
1.347750999202062161e+01,-6.144040779407947822e-02,-6.102974340319633484e-02
1.026458891951055641e+01,-2.950636147960341779e-02,-3.005211986601352692e-02
-3.443350619682752800e+00,-1.005310154533014394e-02,-1.032165624201297760e-02
-1.033267037662976406e+01,-1.080261836956369577e-08,-8.306005038321018219e-04
1.073592208418196137e+01,1.844302709176092597e-02,1.793817244470119476e-02
-8.038848975228933824e+00,6.079679280762186303e-07,-8.532651700079441071e-04
-1.204518087493586087e+01,2.742292958005745609e-10,-8.053281344473361969e-04
-3.828272704164398021e+00,-5.739901487413196987e-03,-6.024564150720834732e-03
9.392622564868460699e+00,-1.170187709926789610e-01,-1.176385134458541870e-01
2.342263976658723124e+01,-6.688788447754965248e-03,-5.810717586427927017e-03
1.139578851472192689e+01,5.472351678169448674e-02,5.435461178421974182e-02
-3.129128509901816457e+00,-1.167889349488937349e-02,-1.231564022600650787e-02
2.503302807921450768e+00,-1.284011755218571749e-01,-1.296511739492416382e-01
7.106656716212155445e+00,3.533727944545282662e-02,3.497980907559394836e-02
2.268421780860203185e+01,2.512006850756133211e-02,2.610193751752376556e-02
1.906280799337675447e+01,-5.140405963055454802e-02,-5.062685534358024597e-02
2.163942929358042022e+01,3.169456820353507009e-02,3.258422389626502991e-02
1.738957525879327193e+01,3.120997282614827381e-02,3.174887970089912415e-02
2.563005008779830618e+01,-1.826446365103688574e-02,-1.737430132925510406e-02
1.135651075099930729e+01,5.389760127993402372e-02,5.350090935826301575e-02
7.892211990664494081e+00,-7.118257667680343015e-02,-7.131122052669525146e-02
2.364259524343388819e+01,-1.662138485723116746e-02,-1.573644019663333893e-02
-3.561183910850609369e-01,9.832418430642306806e-01,9.810005426406860352e-01
2.349333974128794367e+01,-9.953754005627406948e-03,-9.077662602066993713e-03
9.824677965817251390e+00,-7.819680068933909656e-02,-7.890124619007110596e-02
1.328897672615206460e+01,-4.947620573824098450e-02,-4.908546432852745056e-02
-9.688515051578844961e+00,-5.907745210351475699e-08,-8.451887406408786774e-04
2.556720566584211696e+01,-2.075729790670940642e-02,-1.986713148653507233e-02
