# Time, Target, Prediction
1.424735416098391561e+01,-6.116460381077802599e-02,-6.194858253002166748e-02
2.000547432271955728e+01,-3.674479503903094885e-02,-3.822532296180725098e-02
-5.360105489346458363e+00,1.319708043093407297e-05,-2.769958227872848511e-04
2.982491525337378491e+00,-1.589446703587199805e-01,-1.582470983266830444e-01
1.237773260778734929e+01,4.675166263823335444e-02,4.757978022098541260e-02
-8.722282064002468971e+00,3.017697306138004641e-06,-3.921370953321456909e-04
1.098729977200670938e+01,5.393121966595688932e-02,4.966223239898681641e-02
2.699691626534535871e+00,-7.922134835215727255e-02,-7.850696146488189697e-02
1.058666658203601862e+01,2.174266947459345747e-02,1.647392101585865021e-02
1.361890994142204292e+01,-4.427730317013450767e-02,-4.346117377281188965e-02
-9.327159625330768478e+00,1.182259434249514424e-06,-3.862809389829635620e-04
5.504123956329386225e+00,6.949365222865824809e-02,6.896831095218658447e-02
1.084589982260528807e+01,4.390764169065353162e-02,3.920765221118927002e-02
-5.477938780514309158e+00,3.239902405015824687e-05,-2.521853893995285034e-04
2.154516266064614172e+01,3.043479945945570808e-02,2.916728146374225616e-02
2.377613964009078273e+01,-1.376138265391113960e-02,-1.237998716533184052e-02
5.315590690460824774e+00,3.746030447501931537e-02,3.701980412006378174e-02
2.182010700670446113e+01,3.701676952761108474e-02,3.619362413883209229e-02
1.383100986552417666e+01,-5.367383595695442156e-02,-5.333182960748672485e-02
2.011545206114288575e+01,-3.313485222444911144e-02,-3.478433191776275635e-02
-4.865205666441485555e+00,-2.852897370314196046e-04,-5.935560911893844604e-04
2.084601846638356193e+01,3.881072738764328742e-04,-1.619784161448478699e-03
1.418450973902772816e+01,-6.101125801115307723e-02,-6.160788238048553467e-02
-1.180951429260016061e+00,5.997492492037393985e-01,6.000214815139770508e-01
2.491519478804667287e+01,-3.454369300661681158e-02,-3.435117006301879883e-02
1.330468783164111102e+01,-2.469446581529077464e-02,-2.331949956715106964e-02
1.406667644785988003e+01,-5.977854650411477955e-02,-6.004178524017333984e-02
2.236214014607657319e+01,3.780946028318340341e-02,3.796912729740142822e-02
1.907851909886580088e+01,-3.927005773142289158e-02,-3.878158330917358398e-02
4.223668858972073892e+00,-1.791059788758892768e-01,-1.788777410984039307e-01
2.534725018899544491e+00,-1.995098542269773539e-02,-1.928371004760265350e-02
1.793160839816538399e+01,1.652203893740553792e-02,1.824127696454524994e-02
2.302986212936106014e+01,1.860454673252674024e-02,1.965728588402271271e-02
-1.139316999714042211e+01,-1.265157006208095712e-08,-3.701131790876388550e-04
2.511943915940428340e+01,-3.173325979456342177e-02,-3.178514540195465088e-02
8.905578294708011100e+00,-9.612147397386450187e-02,-9.827408194541931152e-02
2.003689653369765367e+01,-3.577208634204639970e-02,-3.730331361293792725e-02
1.496220946073554359e+01,-4.048067247850254541e-02,-4.342548549175262451e-02
1.760953073563992888e+01,3.317223855628592677e-02,3.439527004957199097e-02
2.406679509163815212e+01,-2.429598631367631614e-02,-2.302712015807628632e-02
3.933013407424708063e+00,-2.160553218276951015e-01,-2.157139182090759277e-01
4.357213255628971993e+00,-1.565347774502153788e-01,-1.563669592142105103e-01
-3.883261573376061815e+00,-4.550564635793170713e-03,-4.567844793200492859e-03
2.372900632362364348e+01,-1.183456664644065397e-02,-1.044995896518230438e-02
-1.872240070778075527e+00,1.956578523836103312e-01,1.942682415246963501e-01
3.555946875687586939e+00,-2.303696770069473543e-01,-2.297830283641815186e-01
2.251925120096704092e+00,1.006793238766723608e-01,1.012313812971115112e-01
9.989644573452240550e+00,-3.779553470868577542e-02,-4.321527481079101562e-02
2.475022818041168549e+01,-3.533392313012071601e-02,-3.488682210445404053e-02
2.346191753030985083e+01,-2.388111536175230678e-04,1.110466197133064270e-03
1.931418568120150070e+01,-4.375017947469627549e-02,-4.380214959383010864e-02
2.683980521045489009e+00,-7.396469414485760951e-02,-7.325299084186553955e-02
2.219717353844158581e+01,3.931865465228877310e-02,3.918670117855072021e-02
1.328112117340753962e+01,-2.300945104338326941e-02,-2.160079963505268097e-02
2.723258284768105941e+00,-8.694815126385438409e-02,-8.623053133487701416e-02
-5.823583101273339224e+00,4.441372711068549355e-05,-2.322923392057418823e-04
2.048466304013548367e+01,-1.756715405837220439e-02,-1.957826130092144012e-02
2.590499443385662204e+01,-6.833633864343278790e-03,-7.767928764224052429e-03
-4.975183404864821912e-02,9.994975247979771549e-01,9.983406066894531250e-01
5.802634960621275262e+00,1.086022945863419492e-01,1.080912798643112183e-01
1.584988692086668571e+01,1.616889977771251291e-02,1.269062049686908722e-02
4.380779913862541619e+00,-1.522661867201000885e-01,-1.521110981702804565e-01
2.360331747971127214e+01,-6.489990101306533643e-03,-5.111558362841606140e-03
2.167085150455851661e+01,3.392417793620875616e-02,3.285065293312072754e-02
2.400395066968196289e+01,-2.224837077272841246e-02,-2.094015292823314667e-02
1.453015405978675822e+01,-5.761310592548572751e-02,-5.930596590042114258e-02
-9.358581836308863089e+00,1.086912012333228561e-06,-3.858190029859542847e-04
-1.024625929644000522e+01,-2.699949095993569574e-08,-3.735702484846115112e-04
-3.600461674573220527e+00,-7.479302606532034839e-03,-7.426140829920768738e-03
2.382327295655792199e+01,-1.563706768600114927e-02,-1.426189951598644257e-02
-2.972017455011349618e+00,-1.070977988089318565e-02,-1.092669181525707245e-02
-9.932037186659071537e+00,-3.093042819222465497e-08,-3.774743527173995972e-04
1.973052997666124142e+01,-4.300727667969376361e-02,-4.397700726985931396e-02
-1.267362509449773356e+00,5.459985996935697861e-01,5.462396144866943359e-01
1.867788590889510658e+01,-2.442933053761698128e-02,-2.311663143336772919e-02
2.179654034847089150e+01,3.660774696320148736e-02,3.574374318122863770e-02
1.804944168933323212e+01,9.834536841557592335e-03,1.163160242140293121e-02
1.427092081921748878e+01,-6.113062851750704352e-02,-6.198793649673461914e-02
2.602282772502447017e+01,-2.095433834093486398e-03,-3.150938078761100769e-03
2.032755198524501594e+01,-2.473208220390355275e-02,-2.663214318454265594e-02
7.593700986372600159e-01,8.443838512339657543e-01,8.437883853912353516e-01
5.708368327686983434e-01,9.085411415425246329e-01,9.078093171119689941e-01
-1.171524765966587900e+01,-8.622359398984786145e-09,-3.733616322278976440e-04
