# Time, Strain, Stress
-2.500000000000000000e+00,1.136889422832601980e-25,5.684447114163009900e-29
-2.498499699939987995e+00,1.777728194413047165e-12,3.662314671765352467e-17
-2.496999399879975989e+00,3.611209161773156476e-12,1.303421754418008269e-16
-2.495499099819963984e+00,5.501593293844625211e-12,2.830910351767315083e-16
-2.493998799759951979e+00,7.450048305515103520e-12,4.948697259224459631e-16
-2.492498499699939973e+00,9.457759390927251546e-12,7.656782476789437971e-16
-2.490998199639927968e+00,1.152592937866441777e-11,1.095516600446224419e-15
-2.489497899579915963e+00,1.365577888591243640e-11,1.484384784224289011e-15
-2.487997599519903957e+00,1.584854647150651652e-11,1.932282799013136785e-15
-2.486497299459891952e+00,1.810548878778355002e-11,2.439210644812768135e-15
-2.484996999399879947e+00,2.042788073114369458e-11,2.996560784700484286e-15
-2.483496699339867941e+00,2.281701559123456206e-11,3.591784918474224741e-15
-2.481996399279855936e+00,2.527420519865658887e-11,4.224776309994989022e-15
-2.480496099219843931e+00,2.780078007110095398e-11,4.895534959262776341e-15
-2.478995799159831925e+00,3.039808955781302171e-11,5.604060866277588274e-15
-2.477495499099819920e+00,3.306750198228537884e-11,6.350354031039424034e-15
-2.475995199039807915e+00,3.581040478306781774e-11,7.134414453548282831e-15
-2.474494898979795909e+00,3.862820465259553362e-11,7.956242133804166242e-15
-2.472994598919783904e+00,4.152232767391972424e-11,8.815597495215248949e-15
-2.471494298859771899e+00,4.449421945522590486e-11,9.705015950966450864e-15
-2.469993998799759893e+00,4.754534526202996517e-11,1.062095663676033240e-14
-2.468493698739747888e+00,5.067719014692786550e-11,1.156341955259689514e-14
-2.466993398679735883e+00,5.389125907677987760e-11,1.253240469847613907e-14
-2.465493098619723877e+00,5.718907705720018760e-11,1.352791207439806578e-14
-2.463992798559711872e+00,6.057218925423049184e-11,1.454994168036267053e-14
-2.462492498499699867e+00,6.404216111306119767e-11,1.559849351636995964e-14
-2.460992198439687861e+00,6.760057847366820351e-11,1.667356758241992995e-14
-2.459491898379675856e+00,7.124904768322426252e-11,1.777487683509981260e-14
-2.457991598319663851e+00,7.498919570514951146e-11,1.890078584621907721e-14
-2.456491298259651845e+00,7.882267022465594289e-11,2.005103602167907154e-14
-2.454990998199639840e+00,8.275113975062873380e-11,2.122562736147979559e-14
-2.453490698139627835e+00,8.677629371370870851e-11,2.242455986562124936e-14
-2.451990398079615829e+00,9.089984256040843182e-11,2.364783353410342969e-14
-2.450490098019603824e+00,9.512351784311364723e-11,2.489544836692634289e-14
-2.448989797959591819e+00,9.944907230579436199e-11,2.616740436408998265e-14
-2.447489497899579813e+00,1.038782799652770613e-10,2.746436844240514825e-14
-2.445989197839567808e+00,1.084129361878947535e-10,2.878770266677161660e-14
-2.444488897779555803e+00,1.130548577613523442e-10,3.013744723686466007e-14
-2.442988597719543797e+00,1.178058829616154460e-10,3.151360215268427865e-14
-2.441488297659531792e+00,1.226678716146594763e-10,3.291616741423046604e-14
-2.439987997599519787e+00,1.276427051528794584e-10,3.434514302150322854e-14
-2.438487697539507781e+00,1.327322866659827872e-10,3.580052897450256616e-14
-2.436987397479495776e+00,1.379385409461545441e-10,3.728233487203139022e-14
-2.435487097419483771e+00,1.432634145273184103e-10,3.879186510596323927e-14
-2.433986797359471765e+00,1.487088757182780451e-10,4.033003876428791608e-14
-2.432486497299459760e+00,1.542769146295331447e-10,4.189685584700542063e-14
-2.430986197239447755e+00,1.599695431935621946e-10,4.349231635411575293e-14
-2.429485897179435749e+00,1.657887951783573938e-10,4.511642028561890666e-14
-2.427985597119423744e+00,1.717367261939909691e-10,4.676916764151489445e-14
-2.426485297059411739e+00,1.778154136919838816e-10,4.845055842180370999e-14
-2.424984996999399733e+00,1.840269569572521892e-10,5.016073881773290258e-14
-2.423484696939387728e+00,1.903734770923966898e-10,5.190117964415904574e-14
-2.421984396879375723e+00,1.968571169940966598e-10,5.367226172213228143e-14
-2.420484096819363717e+00,2.034800413213594313e-10,5.547398505165262857e-14
