# Time, Target, Prediction
1.424735416098391561e+01,-8.133333014497674818e-02,-8.203963190317153931e-02
2.000547432271955728e+01,-3.878133208048901992e-02,-3.843102604150772095e-02
-5.360105489346458363e+00,-6.138421480178334694e-06,-6.700530648231506348e-04
2.982491525337378491e+00,-4.907119091833869184e-01,-4.922114312648773193e-01
1.237773260778734929e+01,3.792494265617176591e-02,3.717047721147537231e-02
-8.722282064002468971e+00,-1.759044057131792404e-07,-7.237866520881652832e-04
1.098729977200670938e+01,8.706564861960665314e-02,8.600563555955886841e-02
2.699691626534535871e+00,-4.522398773933868354e-01,-4.533428549766540527e-01
1.058666658203601862e+01,5.309391869342370424e-02,5.200571566820144653e-02
1.361890994142204292e+01,-7.575678216839251689e-02,-7.634975761175155640e-02
-9.327159625330768478e+00,-7.816439759738084708e-08,-7.127895951271057129e-04
5.504123956329386225e+00,1.218806167423954617e-01,1.198420599102973938e-01
1.084589982260528807e+01,7.741811428438441500e-02,7.638365775346755981e-02
-5.477938780514309158e+00,2.236626098558946874e-05,-6.380155682563781738e-04
2.154516266064614172e+01,4.803150554775379583e-02,4.869397729635238647e-02
2.377613964009078273e+01,-2.979098460746750637e-02,-2.861297875642776489e-02
5.315590690460824774e+00,8.334542064676046802e-02,8.069502562284469604e-02
2.182010700670446113e+01,5.231418662585591434e-02,5.302379280328750610e-02
1.383100986552417666e+01,-8.286655412839820378e-02,-8.343502134084701538e-02
2.011545206114288575e+01,-3.256722881282436005e-02,-3.215680271387100220e-02
-4.865205666441485555e+00,-4.016121260388532126e-04,-1.080550253391265869e-03
2.084601846638356193e+01,1.513647545647651797e-02,1.582416146993637085e-02
1.418450973902772816e+01,-8.285841243080711849e-02,-8.354460448026657104e-02
-1.180951429260016061e+00,6.976071975476049181e-01,6.996349096298217773e-01
2.491519478804667287e+01,-4.179993901634702219e-02,-3.941243141889572144e-02
1.330468783164111102e+01,-5.613014592952902254e-02,-5.690448731184005737e-02
1.406667644785988003e+01,-8.450232065691432037e-02,-8.514215797185897827e-02
2.236214014607657319e+01,4.432279714796915487e-02,4.501622170209884644e-02
1.907851909886580088e+01,-5.905557000669628409e-02,-5.925746262073516846e-02
4.223668858972073892e+00,-2.659580663555737856e-01,-2.690931260585784912e-01
2.534725018899544491e+00,-4.111366690998974338e-01,-4.121176302433013916e-01
1.793160839816538399e+01,3.887434701759667245e-03,3.077521920204162598e-03
2.302986212936106014e+01,1.167873577531762345e-02,1.241160184144973755e-02
-1.139316999714042211e+01,8.270054264742890831e-10,-7.002428174018859863e-04
2.511943915940428340e+01,-3.535213652532242373e-02,-3.300429135560989380e-02
8.905578294708011100e+00,-1.383278911675699385e-01,-1.380420923233032227e-01
2.003689653369765367e+01,-3.706234963614321587e-02,-3.669545799493789673e-02
1.496220946073554359e+01,-3.804880999101149797e-02,-3.857781738042831421e-02
1.760953073563992888e+01,2.829329251489196007e-02,2.749627828598022461e-02
2.406679509163815212e+01,-4.064366768746462133e-02,-3.963052481412887573e-02
3.933013407424708063e+00,-3.597716890775960463e-01,-3.628042936325073242e-01
4.357213255628971993e+00,-2.194191098498742276e-01,-2.224916517734527588e-01
-3.883261573376061815e+00,-5.545775226117697666e-03,-6.040997803211212158e-03
2.372900632362364348e+01,-2.762603838016691044e-02,-2.641753107309341431e-02
-1.872240070778075527e+00,2.458781765934196784e-01,2.435113489627838135e-01
3.555946875687586939e+00,-4.524193184497095066e-01,-4.545907378196716309e-01
2.251925120096704092e+00,-3.096443862288740245e-01,-3.103828728199005127e-01
9.989644573452240550e+00,-2.477890194393097059e-02,-2.576748281717300415e-02
2.475022818041168549e+01,-4.526923342306117537e-02,-4.310352355241775513e-02
2.346191753030985083e+01,-1.374207924525735341e-02,-1.253355294466018677e-02
1.931418568120150070e+01,-6.040806757922529552e-02,-6.040037423372268677e-02
2.683980521045489009e+00,-4.489166315886916059e-01,-4.500047266483306885e-01
2.219717353844158581e+01,4.895079851907289947e-02,4.968193918466567993e-02
1.328112117340753962e+01,-5.426921215051096203e-02,-5.505894869565963745e-02
2.723258284768105941e+00,-4.569901297732290035e-01,-4.581174552440643311e-01
-5.823583101273339224e+00,4.748490239650395814e-05,-6.093159317970275879e-04
2.048466304013548367e+01,-8.844551249862558570e-03,-8.236430585384368896e-03
2.590499443385662204e+01,2.946254495651802301e-03,3.657050430774688721e-03
-4.975183404864821912e-02,9.713994921596288412e-01,9.686526656150817871e-01
5.802634960621275262e+00,1.619180495812250764e-01,1.610141992568969727e-01
1.584988692086668571e+01,3.855925571641967420e-02,3.784375637769699097e-02
4.380779913862541619e+00,-2.110975417593773940e-01,-2.141594886779785156e-01
2.360331747971127214e+01,-2.139915966299066330e-02,-2.014794200658798218e-02
2.167085150455851661e+01,5.069139069463655251e-02,5.137280374765396118e-02
2.400395066968196289e+01,-3.869511229389682033e-02,-3.766845911741256714e-02
1.453015405978675822e+01,-6.931103505212053706e-02,-7.002017647027969360e-02
-9.358581836308863089e+00,-7.365293913445947406e-08,-7.120594382286071777e-04
-1.024625929644000522e+01,-7.083928055792299317e-09,-6.965771317481994629e-04
-3.600461674573220527e+00,-8.850791761064806876e-03,-9.304709732532501221e-03
2.382327295655792199e+01,-3.185282089555368373e-02,-3.070939332246780396e-02
-2.972017455011349618e+00,-1.047166625272208905e-02,-1.166706532239913940e-02
-9.932037186659071537e+00,-1.939853147888767574e-08,-7.010176777839660645e-04
1.973052997666124142e+01,-5.146381374850276386e-02,-5.124092847108840942e-02
-1.267362509449773356e+00,6.408407047103255039e-01,6.428408026695251465e-01
1.867788590889510658e+01,-4.606842607822366625e-02,-4.670822620391845703e-02
2.179654034847089150e+01,5.217033007911256459e-02,5.287548154592514038e-02
1.804944168933323212e+01,-5.183518218585632907e-03,-6.018526852130889893e-03
1.427092081921748878e+01,-8.064835972578583700e-02,-8.136077970266342163e-02
2.602282772502447017e+01,9.136632748584436192e-03,1.009150594472885132e-02
2.032755198524501594e+01,-1.931237811474847271e-02,-1.878147572278976440e-02
7.593700986372600159e-01,6.098709474682028064e-01,6.081758141517639160e-01
5.708368327686983434e-01,7.216918828331789770e-01,7.196537256240844727e-01
-1.171524765966587900e+01,5.440336894138322415e-10,-7.094070315361022949e-04
