# Time, Target, Prediction
1.424735416098391561e+01,-6.855081338812717140e-02,-6.827005743980407715e-02
2.000547432271955728e+01,-4.016846848546008764e-02,-3.968342021107673645e-02
-5.360105489346458363e+00,1.609907055059583839e-05,-1.519359648227691650e-04
2.982491525337378491e+00,-2.883088376271092934e-01,-2.884925305843353271e-01
1.237773260778734929e+01,5.044269325397492815e-02,5.116161331534385681e-02
-8.722282064002468971e+00,-7.620303918605578306e-08,-3.035254776477813721e-04
1.098729977200670938e+01,6.187634639331687780e-02,6.172597035765647888e-02
2.699691626534535871e+00,-2.131676921226786092e-01,-2.133756279945373535e-01
1.058666658203601862e+01,2.628722103138047064e-02,2.627785131335258484e-02
1.361890994142204292e+01,-5.113835316163835298e-02,-5.098316445946693420e-02
-9.327159625330768478e+00,-1.454094510294374622e-07,-2.771653234958648682e-04
5.504123956329386225e+00,6.464250741380132836e-02,6.374174356460571289e-02
1.084589982260528807e+01,5.087994959879316853e-02,5.082003399729728699e-02
-5.477938780514309158e+00,3.472820355185569945e-05,-1.396723091602325439e-04
2.154516266064614172e+01,3.474606138802366351e-02,3.537848219275474548e-02
2.377613964009078273e+01,-1.640513887634757403e-02,-1.582457497715950012e-02
5.315590690460824774e+00,2.603127666634583517e-02,2.517725899815559387e-02
2.182010700670446113e+01,4.169795908152566788e-02,4.224641248583793640e-02
1.383100986552417666e+01,-6.119583550156184465e-02,-6.100429967045783997e-02
2.011545206114288575e+01,-3.600243879906800393e-02,-3.549377992749214172e-02
-4.865205666441485555e+00,-2.823785026685294804e-04,-4.557408392429351807e-04
2.084601846638356193e+01,1.782866174402026813e-03,2.135064452886581421e-03
1.418450973902772816e+01,-6.853639567210555172e-02,-6.825569272041320801e-02
-1.180951429260016061e+00,6.067111532269214846e-01,6.073186993598937988e-01
2.491519478804667287e+01,-3.820631813589225184e-02,-3.776806965470314026e-02
1.330468783164111102e+01,-2.973313354803399158e-02,-2.946126833558082581e-02
1.406667644785988003e+01,-6.745488454046302818e-02,-6.719215214252471924e-02
2.236214014607657319e+01,4.175493046210422554e-02,4.210865125060081482e-02
1.907851909886580088e+01,-4.450779222898246928e-02,-4.379585757851600647e-02
4.223668858972073892e+00,-2.485221443630725724e-01,-2.490833997726440430e-01
2.534725018899544491e+00,-1.543747213493808501e-01,-1.546396911144256592e-01
1.793160839816538399e+01,1.692994448970632990e-02,1.761924847960472107e-02
2.302986212936106014e+01,1.962971173371953759e-02,2.037568017840385437e-02
-1.139316999714042211e+01,-4.900303655933332671e-08,-2.661980688571929932e-04
2.511943915940428340e+01,-3.481780171866707269e-02,-3.431664779782295227e-02
8.905578294708011100e+00,-1.109877552475769663e-01,-1.107328832149505615e-01
2.003689653369765367e+01,-3.904188407342391864e-02,-3.854951635003089905e-02
1.496220946073554359e+01,-4.390728564138413753e-02,-4.404835775494575500e-02
1.760953073563992888e+01,3.578849895286886906e-02,3.634887561202049255e-02
2.406679509163815212e+01,-2.788956391674309379e-02,-2.754299715161323547e-02
3.933013407424708063e+00,-3.029780646333724015e-01,-3.034625351428985596e-01
4.357213255628971993e+00,-2.178136860873943481e-01,-2.184302210807800293e-01
-3.883261573376061815e+00,-4.561358336707711791e-03,-4.672709852457046509e-03
2.372900632362364348e+01,-1.428774291401414126e-02,-1.366751268506050110e-02
-1.872240070778075527e+00,1.954679306589909848e-01,1.933112740516662598e-01
3.555946875687586939e+00,-3.379528731636873284e-01,-3.382255434989929199e-01
2.251925120096704092e+00,-3.063941835051659304e-02,-3.104447200894355774e-02
9.989644573452240550e+00,-4.099857048921308478e-02,-4.145272448658943176e-02
2.475022818041168549e+01,-3.931027744845590893e-02,-3.895628824830055237e-02
2.346191753030985083e+01,-1.465881146002829660e-03,-6.726421415805816650e-04
1.931418568120150070e+01,-4.910944121323663342e-02,-4.852715507149696350e-02
2.683980521045489009e+00,-2.080280356759525162e-01,-2.082397341728210449e-01
2.219717353844158581e+01,4.368370659010897133e-02,4.404931887984275818e-02
1.328112117340753962e+01,-2.787390600350721573e-02,-2.758443728089332581e-02
2.723258284768105941e+00,-2.206911331846884428e-01,-2.208941280841827393e-01
-5.823583101273339224e+00,4.654793882530820483e-05,-1.605786383152008057e-04
2.048466304013548367e+01,-1.831299402863743181e-02,-1.784737780690193176e-02
2.590499443385662204e+01,-6.527335903861329093e-03,-6.571922451257705688e-03
-4.975183404864821912e-02,9.997870567536741859e-01,9.989855289459228516e-01
5.802634960621275262e+00,1.113937715131729234e-01,1.104468256235122681e-01
1.584988692086668571e+01,1.974815816264737303e-02,1.966218277812004089e-02
4.380779913862541619e+00,-2.121160872293714750e-01,-2.127452492713928223e-01
2.360331747971127214e+01,-8.394264464114238600e-03,-7.678467780351638794e-03
2.167085150455851661e+01,3.846741715376068849e-02,3.907978162169456482e-02
2.400395066968196289e+01,-2.567211466463290015e-02,-2.528110519051551819e-02
1.453015405978675822e+01,-6.391990244988259018e-02,-6.373448669910430908e-02
-9.358581836308863089e+00,-1.490045893070157419e-07,-2.760030329227447510e-04
-1.024625929644000522e+01,-1.080063938526687776e-07,-2.538748085498809814e-04
-3.600461674573220527e+00,-7.511114217387115412e-03,-7.495421916246414185e-03
2.382327295655792199e+01,-1.846182079131528445e-02,-1.792174950242042542e-02
-2.972017455011349618e+00,-1.091503169275146248e-02,-1.119703426957130432e-02
-9.932037186659071537e+00,-1.241716972207058374e-07,-2.588219940662384033e-04
1.973052997666124142e+01,-4.756630732039859866e-02,-4.712024703621864319e-02
-1.267362509449773356e+00,5.516315865565352139e-01,5.520094037055969238e-01
1.867788590889510658e+01,-2.849689243359840654e-02,-2.766526117920875549e-02
2.179654034847089150e+01,4.127723080782945420e-02,4.183780774474143982e-02
1.804944168933323212e+01,9.423291347847962546e-03,1.015641912817955017e-02
1.427092081921748878e+01,-6.845614474240335756e-02,-6.817722320556640625e-02
2.602282772502447017e+01,-1.245839994863520012e-03,-1.319322735071182251e-03
2.032755198524501594e+01,-2.641353400393018150e-02,-2.590045705437660217e-02
7.593700986372600159e-01,7.952792616120444302e-01,7.941668629646301270e-01
5.708368327686983434e-01,8.729322108147967718e-01,8.718491196632385254e-01
-1.171524765966587900e+01,-3.243360060709540262e-08,-2.778954803943634033e-04
7.130223374445725959e+00,8.314006980872389041e-02,8.300691843032836914e-02
-1.224942524629346963e+01,-4.952584881432293111e-09,-3.046877682209014893e-04
1.945558563060291846e+01,-4.997150884044975622e-02,-4.945953562855720520e-02
-7.300427017243735328e+00,4.385926308908499528e-06,-3.351755440235137939e-04
2.287275107447059241e+01,2.647668772330101852e-02,2.711633965373039246e-02
