# Time, Target, Prediction
1.424735416098391561e+01,-6.845567118133359663e-02,-6.821330636739730835e-02
2.000547432271955728e+01,-3.965014263223511082e-02,-3.905338793992996216e-02
-5.360105489346458363e+00,1.128480579595966196e-05,-3.526732325553894043e-04
2.982491525337378491e+00,-2.903552440117499467e-01,-2.909238934516906738e-01
1.237773260778734929e+01,4.931153663424695660e-02,4.922772198915481567e-02
-8.722282064002468971e+00,-1.987173282470638313e-07,-5.211755633354187012e-04
1.098729977200670938e+01,6.282084689731427807e-02,6.311672180891036987e-02
2.699691626534535871e+00,-2.168651700199964449e-01,-2.176133394241333008e-01
1.058666658203601862e+01,2.773505455547643772e-02,2.830090373754501343e-02
1.361890994142204292e+01,-5.188414186076407975e-02,-5.185288935899734497e-02
-9.327159625330768478e+00,-1.007293416707650280e-07,-4.956945776939392090e-04
5.504123956329386225e+00,6.724964040064917992e-02,6.638408452272415161e-02
1.084589982260528807e+01,5.202843878313187509e-02,5.244890600442886353e-02
-5.477938780514309158e+00,3.136888529022828666e-05,-3.315582871437072754e-04
2.154516266064614172e+01,3.517720072682289228e-02,3.580241650342941284e-02
2.377613964009078273e+01,-1.702032608154735449e-02,-1.648505777120590210e-02
5.315590690460824774e+00,2.916412305435494429e-02,2.828402072191238403e-02
2.182010700670446113e+01,4.189784954893382984e-02,4.252926260232925415e-02
1.383100986552417666e+01,-6.167041337342192564e-02,-6.154879182577133179e-02
2.011545206114288575e+01,-3.540665954005248889e-02,-3.477927297353744507e-02
-4.865205666441485555e+00,-3.008773376066073424e-04,-7.043555378913879395e-04
2.084601846638356193e+01,2.566939692274350978e-03,3.140352666378021240e-03
1.418450973902772816e+01,-6.852527884636171185e-02,-6.830205768346786499e-02
-1.180951429260016061e+00,6.155750882941650737e-01,6.157493591308593750e-01
2.491519478804667287e+01,-3.801562709355259251e-02,-3.731404989957809448e-02
1.330468783164111102e+01,-3.080559894536032475e-02,-3.094030171632766724e-02
1.406667644785988003e+01,-6.760584434498105588e-02,-6.741426140069961548e-02
2.236214014607657319e+01,4.147894141821877045e-02,4.198006540536880493e-02
1.907851909886580088e+01,-4.487991288711302984e-02,-4.453647881746292114e-02
4.223668858972073892e+00,-2.449617174015563392e-01,-2.456068992614746094e-01
2.534725018899544491e+00,-1.589861051044771934e-01,-1.598637700080871582e-01
1.793160839816538399e+01,1.601527192178945139e-02,1.628164201974868774e-02
2.302986212936106014e+01,1.896009678155998954e-02,1.943191140890121460e-02
-1.139316999714042211e+01,1.968640249877664345e-10,-4.587098956108093262e-04
2.511943915940428340e+01,-3.448155647080711206e-02,-3.368403762578964233e-02
8.905578294708011100e+00,-1.109570403463351757e-01,-1.109191849827766418e-01
2.003689653369765367e+01,-3.850020018356510587e-02,-3.789360076189041138e-02
1.496220946073554359e+01,-4.302588384795508203e-02,-4.246195405721664429e-02
1.760953073563992888e+01,3.500075363499056263e-02,3.526363521814346313e-02
2.406679509163815212e+01,-2.834751074137236218e-02,-2.787175029516220093e-02
3.933013407424708063e+00,-3.002399372879069883e-01,-3.008794188499450684e-01
4.357213255628971993e+00,-2.140108300591885837e-01,-2.146097421646118164e-01
-3.883261573376061815e+00,-4.688277933981487011e-03,-4.988558590412139893e-03
2.372900632362364348e+01,-1.492224660007056974e-02,-1.437971740961074829e-02
-1.872240070778075527e+00,2.020595588946674515e-01,1.996662318706512451e-01
3.555946875687586939e+00,-3.368166945048685079e-01,-3.372733592987060547e-01
2.251925120096704092e+00,-3.664515305795605637e-02,-3.764704614877700806e-02
