# Time, Target, Prediction
1.867526739138864755e+01,-2.369368646818869467e-02,-2.014347538352012634e-02
2.226787351318141717e+01,3.571257445375551620e-02,2.470952644944190979e-02
1.004463344282525838e+01,-3.488927325957425635e-02,-4.690169915556907654e-02
2.152945155520360387e+01,2.825928515016572912e-02,2.624214068055152893e-02
7.703678724980698611e+00,-1.302758250649166914e-02,-1.930057629942893982e-02
4.865205666654632388e+00,-9.523823530489186617e-02,-7.698619365692138672e-02
1.003415937249933165e+01,-3.589731865410751566e-02,-4.766690358519554138e-02
2.092195547629987118e+01,4.764941362041191265e-03,6.971601396799087524e-03
5.917849734410239648e+00,8.344835394583331734e-02,7.796937227249145508e-02
9.023411586047430433e+00,-9.983646612168518841e-02,-8.581912517547607422e-02
1.248509182876611945e+01,3.266804947993542235e-02,2.197665348649024963e-02
2.199554768470733279e+01,3.623557994062600457e-02,2.546650543808937073e-02
4.608590946025629131e-01,8.705129194236185253e-01,8.820791244506835938e-01
9.311448520010408458e+00,-9.123018369143098827e-02,-7.678070664405822754e-02
7.478486212973280089e+00,1.470138418792449157e-02,1.784542575478553772e-02
1.660140146921140758e+00,2.763326828824516634e-01,2.880678772926330566e-01
1.456943182362548228e+01,-5.326048340475810633e-02,-5.249353870749473572e-02
1.390956539309211770e+01,-5.437780459026034935e-02,-5.497520789504051208e-02
5.058975967684271602e+00,-5.278381839706212247e-02,-2.575587853789329529e-02
1.088779610406233722e+01,4.069530764393389233e-02,4.003373160958290100e-02
1.832962309655121469e-01,9.582387958532735395e-01,9.852910041809082031e-01
3.514050594610121259e+00,-3.009410617011897826e-01,-3.096552491188049316e-01
1.252175107490686123e+01,3.016859006166544913e-02,2.084708586335182190e-02
8.562552491706666657e+00,-9.175043971111951357e-02,-9.645235538482666016e-02
1.976457070528499926e+01,-3.915286571818725470e-02,-3.726178035140037537e-02
8.248330381928873578e+00,-7.090766667328238237e-02,-8.661627769470214844e-02
1.164716620269200398e+01,6.625493172336886782e-02,5.731323733925819397e-02
2.948450797010093716e+00,-2.442653760983370947e-01,-2.370379567146301270e-01
4.912338983121300906e+00,-8.475883597750387410e-02,-6.376755237579345703e-02
7.436589931669574938e+00,1.984949050322724201e-02,2.450448647141456604e-02
1.319732861092911769e+01,-1.906757588783973903e-02,-7.283058017492294312e-03
5.608864659795409047e+00,4.786013111901571415e-02,6.098658218979835510e-02
1.471606880818845298e+01,-4.850014046311720145e-02,-4.453441128134727478e-02
1.859147482878123725e+01,-2.001569897324513223e-02,-1.874175295233726501e-02
3.864931950528657012e+00,-2.822628645825820404e-01,-3.080105781555175781e-01
