# Time, Target, Prediction
1.867526739138864755e+01,-2.369368646818869467e-02,-1.872098445892333984e-02
2.226787351318141717e+01,3.571257445375551620e-02,2.493856847286224365e-02
1.004463344282525838e+01,-3.488927325957425635e-02,-4.445466399192810059e-02
2.152945155520360387e+01,2.825928515016572912e-02,2.669379115104675293e-02
7.703678724980698611e+00,-1.302758250649166914e-02,-1.806482672691345215e-02
4.865205666654632388e+00,-9.523823530489186617e-02,-7.470631599426269531e-02
1.003415937249933165e+01,-3.589731865410751566e-02,-4.522958397865295410e-02
2.092195547629987118e+01,4.764941362041191265e-03,7.940217852592468262e-03
5.917849734410239648e+00,8.344835394583331734e-02,7.995858788490295410e-02
9.023411586047430433e+00,-9.983646612168518841e-02,-8.353942632675170898e-02
1.248509182876611945e+01,3.266804947993542235e-02,2.340725064277648926e-02
2.199554768470733279e+01,3.623557994062600457e-02,2.573116123676300049e-02
4.608590946025629131e-01,8.705129194236185253e-01,8.803225755691528320e-01
9.311448520010408458e+00,-9.123018369143098827e-02,-7.463264465332031250e-02
7.478486212973280089e+00,1.470138418792449157e-02,1.904103159904479980e-02
1.660140146921140758e+00,2.763326828824516634e-01,2.870544791221618652e-01
1.456943182362548228e+01,-5.326048340475810633e-02,-5.031844973564147949e-02
1.390956539309211770e+01,-5.437780459026034935e-02,-5.387249588966369629e-02
5.058975967684271602e+00,-5.278381839706212247e-02,-2.353984117507934570e-02
1.088779610406233722e+01,4.069530764393389233e-02,4.258358478546142578e-02
1.832962309655121469e-01,9.582387958532735395e-01,9.828673601150512695e-01
3.514050594610121259e+00,-3.009410617011897826e-01,-3.087473809719085693e-01
1.252175107490686123e+01,3.016859006166544913e-02,2.226775884628295898e-02
8.562552491706666657e+00,-9.175043971111951357e-02,-9.416911005973815918e-02
1.976457070528499926e+01,-3.915286571818725470e-02,-3.627619147300720215e-02
8.248330381928873578e+00,-7.090766667328238237e-02,-8.470317721366882324e-02
