# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,3.500000000000000073e-03
2.000400179995999277e-03,6.999953923503720254e+00,3.486095800430606163e-03
4.000800259991998085e-03,6.999815695115944258e+00,3.472255814671202073e-03
6.001200339987997762e-03,6.999585318112191423e+00,3.458479352265948163e-03
8.001600419983996570e-03,6.999262797951557147e+00,3.444765729331894163e-03
1.000200049997999538e-02,6.998848142276560935e+00,3.431114268511092132e-03
1.200240057997599592e-02,6.998341360912925246e+00,3.417524298923065897e-03
1.400280065997199473e-02,6.997742465869308148e+00,3.403995156117617903e-03
1.600320073996799528e-02,6.997051471336955153e+00,3.390526182027977804e-03
1.800360081996399408e-02,6.996268393689301313e+00,3.377116724924313172e-03
2.000400089995999289e-02,6.995393251481514696e+00,3.363766139367543352e-03
2.200440097995599170e-02,6.994426065449965257e+00,3.350473786163520647e-03
2.400480105995199398e-02,6.993366858511643080e+00,3.337239032317515942e-03
2.600520113994799279e-02,6.992215655763518001e+00,3.324061250989054743e-03
2.800560121994399160e-02,6.990972484481819293e+00,3.310939821447064606e-03
3.000600129993999041e-02,6.989637374121276281e+00,3.297874129025355188e-03
3.200640137993598922e-02,6.988210356314279892e+00,3.284863565078417931e-03
3.400680145993199149e-02,6.986691464870003365e+00,3.271907526937538856e-03
3.600720153992798683e-02,6.985080735773430582e+00,3.259005417867233152e-03
3.800760161992398911e-02,6.983378207184353315e+00,3.246156647021991148e-03
4.000800169991998445e-02,6.981583919436296526e+00,3.233360629403326993e-03
4.200840177991598673e-02,6.979697915035369959e+00,3.220616785817152165e-03
4.400880185991198207e-02,6.977720238659075314e+00,3.207924542831437804e-03
4.600920193990798435e-02,6.975650937155052134e+00,3.195283332734193214e-03
4.800960201990398662e-02,6.973490059539742880e+00,3.182692593491725369e-03
5.001000209989998196e-02,6.971237656997022469e+00,3.170151768707225870e-03
5.201040217989598424e-02,6.968893782876749654e+00,3.157660307579617225e-03
5.401080225989197958e-02,6.966458492693264226e+00,3.145217664862731775e-03
5.601120233988798186e-02,6.963931844123818493e+00,3.132823300824744313e-03
5.801160241988397720e-02,6.961313897006950135e+00,3.120476681207913494e-03
6.001200249987997948e-02,6.958604713340799108e+00,3.108177277188608600e-03
6.201240257987597482e-02,6.955804357281359707e+00,3.095924565337615161e-03
6.401280265987197016e-02,6.952912895140665128e+00,3.083718027580716406e-03
6.601320273986796550e-02,6.949930395384922299e+00,3.071557151159564399e-03
6.801360281986397471e-02,6.946856928632580086e+00,3.059441428592822240e-03
7.001400289985997005e-02,6.943692567652337111e+00,3.047370357637576004e-03
7.201440297985596539e-02,6.940437387361092725e+00,3.035343441251027279e-03
7.401480305985196073e-02,6.937091464821832254e+00,3.023360187552451978e-03
7.601520313984796995e-02,6.933654879241451852e+00,3.011420109785422402e-03
7.801560321984396529e-02,6.930127711968531834e+00,2.999522726280299048e-03
8.001600329983996063e-02,6.926510046491038963e+00,2.987667560416982625e-03
8.201640337983596984e-02,6.922801968433970110e+00,2.975854140587933655e-03
8.401680345983196518e-02,6.919003565556946178e+00,2.964082000161441435e-03
8.601720353982796052e-02,6.915114927751726981e+00,2.952350677445151044e-03
8.801760361982395586e-02,6.911136147039693256e+00,2.940659715649852294e-03
9.001800369981996508e-02,6.907067317569232756e+00,2.929008662853516739e-03
9.201840377981596042e-02,6.902908535613102359e+00,2.917397071965580155e-03
9.401880385981195576e-02,6.898659899565707576e+00,2.905824500691477855e-03
9.601920393980796498e-02,6.894321509940333215e+00,2.894290511497428931e-03
9.801960401980396032e-02,6.889893469366302980e+00,2.882794671575460328e-03
1.000200040997999557e-01,6.885375882586095564e+00,2.871336552808672043e-03
1.020204041797959510e-01,6.880768856452387894e+00,2.859915731736743447e-03
1.040208042597919602e-01,6.876072499925043324e+00,2.848531789521685509e-03
1.060212043397879556e-01,6.871286924068046531e+00,2.837184311913812460e-03
1.080216044197839509e-01,6.866412242046365577e+00,2.825872889217968462e-03
1.100220044997799462e-01,6.861448569122774011e+00,2.814597116259965476e-03
1.120224045797759554e-01,6.856396022654590361e+00,2.803356592353270938e-03
1.140228046597719508e-01,6.851254722090383886e+00,2.792150921265904029e-03
1.160232047397679461e-01,6.846024788966601271e+00,2.780979711187583914e-03
1.180236048197639553e-01,6.840706346904144475e+00,2.769842574697073574e-03
1.200240048997599507e-01,6.835299521604890849e+00,2.758739128729769969e-03
1.220244049797559460e-01,6.829804440848149305e+00,2.747668994545500194e-03
1.240248050597519414e-01,6.824221234487061416e+00,2.736631797696556598e-03
1.260252051397479645e-01,6.818550034444945673e+00,2.725627167995914486e-03
1.280256052197439598e-01,6.812790974711579572e+00,2.714654739485704380e-03
1.300260052997399551e-01,6.806944191339427519e+00,2.703714150405874678e-03
1.320264053797359505e-01,6.801009822439809227e+00,2.692805043163073314e-03
1.340268054597319458e-01,6.794988008179009498e+00,2.681927064299734122e-03
1.360272055397279689e-01,6.788878890774331154e+00,2.671079864463386539e-03
1.380276056197239642e-01,6.782682614490093798e+00,2.660263098376153094e-03
1.400280056997199596e-01,6.776399325633566839e+00,2.649476424804467645e-03
1.420284057797159549e-01,6.770029172550851904e+00,2.638719506528987898e-03
1.440288058597119503e-01,6.763572305622712832e+00,2.627992010314715663e-03
1.460292059397079456e-01,6.757028877260330191e+00,2.617293606881311401e-03
1.480296060197039409e-01,6.750399041901022912e+00,2.606623970873616063e-03
1.500300060996999640e-01,6.743682956003892670e+00,2.595982780832360726e-03
1.520304061796959594e-01,6.736880778045425622e+00,2.585369719165076137e-03
1.540308062596919547e-01,6.729992668515031085e+00,2.574784472117197867e-03
1.560312063396879501e-01,6.723018789910522486e+00,2.564226729743357934e-03
1.580316064196839454e-01,6.715959306733549461e+00,2.553696185878876358e-03
1.600320064996799407e-01,6.708814385484960674e+00,2.543192538111430090e-03
1.620324065796759361e-01,6.701584194660131999e+00,2.532715487752920571e-03
1.640328066596719592e-01,6.694268904744212101e+00,2.522264739811518660e-03
1.660332067396679545e-01,6.686868688207334266e+00,2.511840002963899084e-03
1.680336068196639498e-01,6.679383719499765171e+00,2.501440989527660072e-03
1.700340068996599452e-01,6.671814175046996809e+00,2.491067415433913419e-03
1.720344069796559405e-01,6.664160233244777132e+00,2.480719000200071016e-03
1.740348070596519359e-01,6.656422074454103388e+00,2.470395466902796169e-03
1.760352071396479312e-01,6.648599880996147071e+00,2.460096542151137509e-03
1.780356072196439543e-01,6.640693837147122025e+00,2.449821956059841568e-03
1.800360072996399496e-01,6.632704129133104587e+00,2.439571442222831458e-03
1.820364073796359450e-01,6.624630945124803105e+00,2.429344737686869871e-03
1.840368074596319403e-01,6.616474475232263508e+00,2.419141582925381662e-03
1.860372075396279357e-01,6.608234911499523356e+00,2.408961721812454687e-03
1.880376076196239310e-01,6.599912447899215273e+00,2.398804901597005861e-03
1.900380076996199263e-01,6.591507280327117968e+00,2.388670872877115495e-03
1.920384077796159494e-01,6.583019606596642426e+00,2.378559389574526860e-03
1.940388078596119448e-01,6.574449626433286120e+00,2.368470208909317486e-03
1.960392079396079401e-01,6.565797541469007292e+00,2.358403091374716622e-03
1.980396080196039355e-01,6.557063555236563701e+00,2.348357800712103094e-03
2.000400080995999308e-01,6.548247873163798971e+00,2.338334103886154959e-03
2.020404081795959261e-01,6.539350702567867657e+00,2.328331771060163091e-03
2.040408082595919215e-01,6.530372252649409681e+00,2.318350575571492649e-03
2.060412083395879168e-01,6.521312734486676810e+00,2.308390293907210643e-03
2.080416084195839399e-01,6.512172361029605838e+00,2.298450705679877006e-03
2.100420084995799352e-01,6.502951347093835821e+00,2.288531593603466627e-03
2.120424085795759306e-01,6.493649909354673788e+00,2.278632743469468334e-03
2.140428086595719259e-01,6.484268266341017828e+00,2.268753944123117448e-03
2.160432087395679213e-01,6.474806638429213557e+00,2.258894987439791398e-03
2.180436088195639166e-01,6.465265247836874174e+00,2.249055668301556694e-03
2.200440088995599119e-01,6.455644318616639232e+00,2.239235784573844704e-03
2.220444089795559350e-01,6.445944076649885446e+00,2.229435137082298735e-03
2.240448090595519304e-01,6.436164749640389537e+00,2.219653529589754246e-03
2.260452091395479257e-01,6.426306567107939571e+00,2.209890768773362189e-03
2.280456092195439211e-01,6.416369760381890330e+00,2.200146664201865863e-03
2.300460092995399164e-01,6.406354562594674285e+00,2.190421028313005707e-03
2.320464093795359117e-01,6.396261208675268151e+00,2.180713676391084991e-03
2.340468094595319071e-01,6.386089935342591062e+00,2.171024426544653461e-03
2.360472095395279302e-01,6.375840981098872540e+00,2.161353099684352325e-03
2.380476096195239255e-01,6.365514586222965399e+00,2.151699519500874583e-03
2.400480096995199208e-01,6.355110992763603583e+00,2.142063512443085401e-03
2.420484097795159162e-01,6.344630444532613822e+00,2.132444907696262170e-03
2.440488098595119115e-01,6.334073187098085533e+00,2.122843537160469009e-03
2.460492099395079069e-01,6.323439467777484779e+00,2.113259235429079588e-03
2.480496100195039022e-01,6.312729535630717592e+00,2.103691839767419212e-03
2.500500100994998975e-01,6.301943641453155109e+00,2.094141190091537881e-03
2.520504101794959206e-01,6.291082037768603641e+00,2.084607128947131224e-03
2.540508102594918882e-01,6.280144978822228552e+00,2.075089501488562495e-03
2.560512103394879113e-01,6.269132720573429296e+00,2.065588155458042419e-03
2.580516104194839344e-01,6.258045520688670038e+00,2.056102941164916157e-03
2.600520104994799020e-01,6.246883638534265870e+00,2.046633711465085589e-03
2.620524105794759251e-01,6.235647335169106853e+00,2.037180321740557788e-03
2.640528106594718927e-01,6.224336873337366072e+00,2.027742629879110154e-03
2.660532107394679158e-01,6.212952517461123314e+00,2.018320496254094772e-03
2.680536108194638834e-01,6.201494533632970096e+00,2.008913783704346402e-03
2.700540108994599064e-01,6.189963189608564953e+00,1.999522357514226661e-03
2.720544109794559295e-01,6.178358754799130992e+00,1.990146085393777915e-03
2.740548110594518971e-01,6.166681500263918814e+00,1.980784837459012484e-03
2.760552111394479202e-01,6.154931698702618803e+00,1.971438486212300726e-03
2.780556112194438878e-01,6.143109624447737893e+00,1.962106906522897033e-03
2.800560112994399109e-01,6.131215553456914158e+00,1.952789975607565568e-03
2.820564113794358785e-01,6.119249763305202983e+00,1.943487573011333947e-03
2.840568114594319016e-01,6.107212533177316161e+00,1.934199580588356632e-03
2.860572115394279247e-01,6.095104143859806811e+00,1.924925882482898462e-03
2.880576116194238923e-01,6.082924877733221436e+00,1.915666365110421827e-03
2.900580116994199154e-01,6.070675018764204900e+00,1.906420917138801135e-03
2.920584117794158829e-01,6.058354852497562781e+00,1.897189429469624657e-03
2.940588118594119060e-01,6.045964666048276648e+00,1.887971795219642313e-03
2.960592119394078736e-01,6.033504748093483805e+00,1.878767909702291298e-03
2.980596120194038967e-01,6.020975388864404643e+00,1.869577670409346398e-03
3.000600120993999198e-01,6.008376880138240672e+00,1.860400976992679801e-03
3.020604121793958874e-01,5.995709515230017495e+00,1.851237731246123484e-03
3.040608122593919105e-01,5.982973588984394020e+00,1.842087837087438493e-03
3.060612123393878781e-01,5.970169397767426389e+00,1.832951200540392867e-03
3.080616124193839012e-01,5.957297239458293703e+00,1.823827729716945593e-03
3.100620124993798687e-01,5.944357413440981119e+00,1.814717334799527924e-03
3.120624125793758918e-01,5.931350220595919431e+00,1.805619928023442441e-03
3.140628126593719149e-01,5.918275963291588226e+00,1.796535423659343864e-03
3.160632127393678825e-01,5.905134945376078193e+00,1.787463737995846928e-03
3.180636128193639056e-01,5.891927472168609015e+00,1.778404789322213415e-03
3.200640128993598732e-01,5.878653850451014407e+00,1.769358497911153669e-03
3.220644129793558963e-01,5.865314388459180073e+00,1.760324786001723953e-03
3.240648130593518639e-01,5.851909395874455022e+00,1.751303577782318361e-03
3.260652131393478870e-01,5.838439183814998046e+00,1.742294799373766967e-03
3.280656132193439101e-01,5.824904064827123307e+00,1.733298378812527657e-03
3.300660132993398777e-01,5.811304352876572210e+00,1.724314246033971636e-03
3.320664133793359007e-01,5.797640363339765734e+00,1.715342332855774969e-03
3.340668134593318683e-01,5.783912412995016794e+00,1.706382572961392518e-03
3.360672135393278914e-01,5.770120820013698193e+00,1.697434901883634450e-03
3.380676136193238590e-01,5.756265903951383045e+00,1.688499256988340753e-03
3.400680136993198821e-01,5.742347985738939009e+00,1.679575577458139023e-03
3.420684137793159052e-01,5.728367387673591438e+00,1.670663804276304593e-03
3.440688138593118728e-01,5.714324433409946558e+00,1.661763880210700896e-03
3.460692139393078959e-01,5.700219447950979124e+00,1.652875749797828040e-03
3.480696140193038635e-01,5.686052757638988098e+00,1.643999359326946390e-03
3.500700140992998866e-01,5.671824690146510584e+00,1.635134656824297535e-03
3.520704141792958541e-01,5.657535574467201123e+00,1.626281592037418476e-03
3.540708142592918772e-01,5.643185740906679015e+00,1.617440116419529769e-03
3.560712143392879003e-01,5.628775521073340116e+00,1.608610183114033820e-03
3.580716144192838679e-01,5.614305247869133986e+00,1.599791746939081914e-03
3.600720144992798910e-01,5.599775255480299307e+00,1.590984764372235360e-03
3.620724145792758586e-01,5.585185879368078865e+00,1.582189193535213801e-03
3.640728146592718817e-01,5.570537456259391007e+00,1.573404994178729177e-03
3.660732147392678493e-01,5.555830324137468246e+00,1.564632127667402953e-03
3.680736148192638724e-01,5.541064822232462994e+00,1.555870556964767488e-03
3.700740148992598955e-01,5.526241291012028434e+00,1.547120246618351527e-03
3.720744149792558630e-01,5.511360072171852309e+00,1.538381162744856343e-03
3.740748150592518861e-01,5.496421508626172958e+00,1.529653273015399743e-03
3.760752151392478537e-01,5.481425944498248271e+00,1.520936546640852451e-03
3.780756152192438768e-01,5.466373725110805992e+00,1.512230954357257975e-03
3.800760152992398444e-01,5.451265196976460281e+00,1.503536468411330968e-03
3.820764153792358675e-01,5.436100707788085629e+00,1.494853062546024980e-03
3.840768154592318906e-01,5.420880606409175684e+00,1.486180711986201039e-03
3.860772155392278582e-01,5.405605242864162108e+00,1.477519393424356949e-03
3.880776156192238813e-01,5.390274968328701455e+00,1.468869085006446360e-03
3.900780156992198489e-01,5.374890135119941625e+00,1.460229766317771563e-03
3.920784157792158720e-01,5.359451096686748350e+00,1.451601418368956512e-03
3.940788158592118395e-01,5.343958207599907695e+00,1.442984023581995318e-03
3.960792159392078626e-01,5.328411823542299253e+00,1.434377565776371634e-03
3.980796160192038302e-01,5.312812301299037365e+00,1.425782030155273465e-03
4.000800160991998533e-01,5.297159998747584808e+00,1.417197403291853720e-03
