# Time, Target, Prediction
1.822488236737381229e+01,2.765433722875134618e-03,2.864221809431910515e-03
2.206362914182585300e+01,1.839956105423275548e-02,1.824415847659111023e-02
5.153242600617609526e+00,-7.758254561360033129e-03,-8.907371200621128082e-03
1.071497394368455147e+01,1.117956847429373013e-02,1.027659233659505844e-02
1.697846799858856315e+01,2.451473648799593411e-02,2.419769577682018280e-02
2.911791550869350598e+00,-4.978963643140445899e-02,-4.968458786606788635e-02
1.605151277474407223e+01,1.040090517207315109e-02,9.749234654009342194e-03
1.052644067781787562e+01,2.585694727747688861e-03,1.650742487981915474e-03
1.578442398143294945e+01,2.418639629262193339e-03,1.738162012770771980e-03
1.780591955433675366e+01,1.367266629851825871e-02,1.374536287039518356e-02
2.508539843321182516e+00,2.121267611047526064e-02,2.152267470955848694e-02
1.239606223099574578e+01,2.486478711795631763e-02,2.518480271100997925e-02
1.595724614181073697e+01,7.694993489116549144e-03,7.030562497675418854e-03
5.074687073173161700e+00,-1.553223146666350349e-02,-1.668825000524520874e-02
2.309008803376664432e+01,9.680344214674627482e-03,9.684826247394084930e-03
2.457740602004820119e+01,-1.591235098256226638e-02,-1.596694067120552063e-02
1.227037338708462855e+01,2.826755746121122070e-02,2.851137518882751465e-02
2.327338426447035502e+01,6.076132735116125672e-03,6.104825995862483978e-03
1.794731950373675744e+01,1.012241767280475796e-02,1.028269063681364059e-02
2.213694763410733657e+01,1.864018468245745921e-02,1.849605888128280640e-02
5.483175815884292703e+00,2.242962192751174824e-02,2.143168449401855469e-02
2.262399190426291895e+01,1.662134684272203664e-02,1.654509454965591431e-02
1.818298608607010536e+01,3.911423879016379460e-03,4.011967219412326813e-03
7.939345307314043865e+00,-5.528991748145344748e-03,-5.035706795752048492e-03
2.533677611867786794e+01,-1.394192079472787033e-02,-1.404379401355981827e-02
1.759643814781822613e+01,1.818045063147126841e-02,1.819195225834846497e-02
1.810443055862565842e+01,6.045438910244988091e-03,6.147135049104690552e-03
2.363473969071481662e+01,-1.538118511413689169e-03,-1.496248645707964897e-03
2.144565899259619002e+01,1.100341808713244107e-02,1.071809139102697372e-02
1.154242549943274021e+01,3.462981825211456505e-02,3.424387425184249878e-02
1.041646293939564671e+01,-2.662165181043386203e-03,-3.602930111810564995e-03
2.068105185880355990e+01,-6.250866495876345949e-03,-6.551443599164485931e-03
2.407988767956669562e+01,-1.007555844122147957e-02,-1.007345784455537796e-02
1.131199595461855223e+00,3.594013692447265984e-01,3.597269952297210693e-01
2.547293903291491191e+01,-1.227154794070535460e-02,-1.239491347223520279e-02
1.466369845655882109e+01,-2.699304606919783120e-02,-2.732812799513339996e-02
2.208457728247770646e+01,1.848310705857468192e-02,1.833106577396392822e-02
1.870145256720346438e+01,-9.703476971507349336e-03,-9.646031074225902557e-03
2.046633341712206899e+01,-1.103970208765161012e-02,-1.133731845766305923e-02
2.477117632107783862e+01,-1.670023362002301739e-02,-1.676740124821662903e-02
1.134865519840310100e+01,3.188437131721588019e-02,3.132697194814682007e-02
1.163145509720311566e+01,3.524737941319509155e-02,3.494509309530258179e-02
6.137805211254694804e+00,6.001679483935105919e-02,5.956017971038818359e-02
2.454598380907041744e+01,-1.570062423348298625e-02,-1.575254835188388824e-02
7.478486212973280089e+00,2.409815559552826517e-02,2.463028579950332642e-02
1.109727751058086653e+01,2.560347879726470460e-02,2.486354857683181763e-02
1.022792967352897087e+01,-1.175996949826113754e-02,-1.268934551626443863e-02
1.538640930904774429e+01,-1.019189913739559743e-02,-1.086047571152448654e-02
2.522679838025563726e+01,-1.503361082317488870e-02,-1.512377429753541946e-02
2.436792461352967010e+01,-1.407738204130966342e-02,-1.411116216331720352e-02
2.160277004748508745e+01,1.370908619422142073e-02,1.345608290284872055e-02
1.051596660749194889e+01,2.091138431597916025e-03,1.155219273641705513e-03
2.352476195229259304e+01,7.899468598266416643e-04,8.330543059855699539e-04
1.758072704232933248e+01,1.847972725973235156e-02,1.848518848419189453e-02
1.054215178330676395e+01,3.324897424698279851e-03,2.391479210928082466e-03
4.844257526002779812e+00,-3.869786959006815685e-02,-3.981173038482666016e-02
2.238308828676660767e+01,1.838868388367657231e-02,1.827760413289070129e-02
2.599664254921123074e+01,-3.496995169238464526e-03,-3.734779311344027519e-03
8.693478370780747255e+00,-4.052201461358693330e-02,-4.043088108301162720e-02
1.259506956718834836e+01,1.851182433558417814e-02,1.892371475696563721e-02
1.929323754061830698e+01,-1.980628453496510039e-02,-1.983488351106643677e-02
1.164716620269200398e+01,3.531393093735391703e-02,3.502652794122695923e-02
2.446219124646301069e+01,-1.502486487952757119e-02,-1.506888028234243393e-02
2.317388059637405462e+01,8.073440542605616124e-03,8.090167306363582611e-03
2.472928003977413169e+01,-1.660626366723349373e-02,-1.667118258774280548e-02
1.841341563324048636e+01,-2.371201940306076790e-03,-2.285963622853159904e-03
2.487591702669329941e+00,2.555554341082138733e-02,2.587375603616237640e-02
1.895806729254485568e+00,1.668288649397226542e-01,1.672797948122024536e-01
6.326338477121370651e+00,6.363618019809098858e-02,6.333435326814651489e-02
2.460882823102597783e+01,-1.610094460229635066e-02,-1.615795493125915527e-02
6.745301290158429275e+00,5.992637199833170808e-02,5.999618023633956909e-02
2.105288135773014435e+00,1.135779738678247969e-01,1.139938533306121826e-01
2.188033291112213874e+01,1.717089946060930059e-02,1.698144897818565369e-02
7.881737920521447727e+00,-1.926000405966801603e-03,-1.418837113305926323e-03
2.117857019928506901e+01,5.466397575735889962e-03,5.153463222086429596e-03
2.325767315898146492e+01,6.396851648950177723e-03,6.423850543797016144e-03
2.075960738624801039e+01,-4.403575226373957624e-03,-4.706059582531452179e-03
1.824059347286270238e+01,2.335089614544280743e-03,2.433121437206864357e-03
2.607519807665567768e+01,-2.003122275623951155e-03,-2.242092741653323174e-03
2.227834758350734390e+01,1.869407121137325878e-02,1.856931298971176147e-02
9.232892992565959744e+00,-4.496956712005031193e-02,-4.530588537454605103e-02
9.107204148654842513e+00,-4.564889083823961413e-02,-4.586946219205856323e-02
9.164811537803632113e-01,4.046222921297545905e-01,4.048710167407989502e-01
1.348012850972913235e+01,-1.394873612105428963e-02,-1.354829315096139908e-02
5.603627626988640920e-01,4.628270277236467001e-01,4.628702700138092041e-01
2.169703668041842803e+01,1.508710219219282743e-02,1.485614012926816940e-02
3.859694915365694090e+00,-1.075568283531312813e-01,-1.080710515379905701e-01
2.397514697630742830e+01,-8.268569448716433720e-03,-8.253765292465686798e-03
1.564302403203294212e+01,-2.073554257737739593e-03,-2.759306458756327629e-03
1.143244776101051308e+01,3.330475334337255205e-02,3.281908482313156128e-02
1.942940045721154529e+00,1.546600394760128394e-01,1.551036536693572998e-01
1.969648924816647551e+01,-2.109667694463293955e-02,-2.124687284231185913e-02
1.224418821126981172e+01,2.890642355293656859e-02,2.913268655538558960e-02
6.897175309884362449e+00,5.499757154160746231e-02,5.520436912775039673e-02
