# Time, Target, Prediction
1.867526739138864755e+01,-1.739843478496014631e-02,-7.884576916694641113e-03
2.226787351318141717e+01,2.094400465831247268e-02,1.287172734737396240e-02
1.004463344282525838e+01,-9.541952657893110895e-03,-1.169364899396896362e-02
2.152945155520360387e+01,1.926543729855328957e-02,1.242122799158096313e-02
7.703678724980698611e+00,-8.967180520492133711e-03,-1.272389292716979980e-02
4.865205666654632388e+00,-9.969630639876554679e-03,9.304881095886230469e-03
1.003415937249933165e+01,-1.014933980984609324e-02,-1.227733492851257324e-02
2.092195547629987118e+01,6.410445693274422103e-03,4.710286855697631836e-03
5.917849734410239648e+00,7.474081308021059133e-02,8.951602131128311157e-02
9.023411586047430433e+00,-5.341368347244188769e-02,-5.258427560329437256e-02
1.248509182876611945e+01,1.581501317157395226e-02,1.637360453605651855e-02
2.199554768470733279e+01,2.233691874477200870e-02,1.307296752929687500e-02
4.608590946025629131e-01,5.818844471332610402e-01,5.914124846458435059e-01
9.311448520010408458e+00,-4.608071031775023280e-02,-4.424486309289932251e-02
7.478486212973280089e+00,8.214481779941091785e-03,8.864775300025939941e-03
1.660140146921140758e+00,1.545221540351049971e-01,1.694941967725753784e-01
1.456943182362548228e+01,-2.931145711335708323e-02,-2.377454191446304321e-02
1.390956539309211770e+01,-3.385098592633382919e-02,-2.787771075963973999e-02
5.058975967684271602e+00,1.231278372396314540e-02,3.490578383207321167e-02
1.088779610406233722e+01,3.257248441861106125e-02,3.473533689975738525e-02
1.832962309655121469e-01,7.793179513649592938e-01,8.028004169464111328e-01
3.514050594610121259e+00,-1.352397235822956345e-01,-1.304372847080230713e-01
1.252175107490686123e+01,1.418366948197161310e-02,1.521274447441101074e-02
8.562552491706666657e+00,-5.237868303642912587e-02,-5.750466883182525635e-02
1.976457070528499926e+01,-2.227054563927776190e-02,-1.427858322858810425e-02
8.248330381928873578e+00,-4.209117778903775919e-02,-5.029085278511047363e-02
1.164716620269200398e+01,4.149992055029090576e-02,4.072645306587219238e-02
2.948450797010093716e+00,-1.150344792700087604e-01,-1.055619567632675171e-01
4.912338983121300906e+00,-4.395867379188855145e-03,1.586356386542320251e-02
7.436589931669574938e+00,1.149559344114810255e-02,1.297421753406524658e-02
1.319732861092911769e+01,-1.574087514710986388e-02,-7.573895156383514404e-03
5.608864659795409047e+00,6.087011835020458839e-02,8.112592250108718872e-02
1.471606880818845298e+01,-2.571981322988955640e-02,-2.004530280828475952e-02
1.859147482878123725e+01,-1.540285656249366572e-02,-6.942272186279296875e-03
3.864931950528657012e+00,-1.190882431588228957e-01,-1.175225973129272461e-01
1.176761801144015784e+01,3.975170808638808090e-02,3.804598748683929443e-02
2.875132304728607924e+00,-1.077057816452037797e-01,-9.800021350383758545e-02
2.248259195486290807e+01,1.830827069195773912e-02,1.256379485130310059e-02
1.384148393597359572e+01,-3.310907149990518356e-02,-2.680334448814392090e-02
5.367961042299101315e+00,4.291201316228901441e-02,6.615886837244033813e-02
1.925134125931460005e+01,-2.519013236506424322e-02,-1.256855577230453491e-02
6.294916266143591344e+00,7.697171856626511266e-02,8.723431825637817383e-02
2.518490209895193033e+01,-1.520567010428607903e-02,-5.847394466400146484e-03
2.222074019671474687e+01,2.134797293909789645e-02,1.291593164205551147e-02
4.184391095469413457e+00,-9.049895877028327207e-02,-8.743052184581756592e-02
2.380756185109260414e+01,-1.159612158145478973e-02,-2.951338887214660645e-03
1.993739286566278324e+01,-1.935965713410201308e-02,-1.350520551204681396e-02
2.374471742913704730e+01,-1.030370505316560194e-02,-1.927651464939117432e-03
2.535248722416675804e+01,-1.237253861174896635e-02,-5.220025777816772461e-03
9.740885405729586832e-01,3.719388386240851108e-01,3.558947443962097168e-01
6.336812549803492178e-01,4.994070677485287768e-01,4.917792677879333496e-01
