# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,3.500000000000000073e-03
2.000400179995999277e-03,6.999953923503721143e+00,3.493006082795955310e-03
4.000800259991998085e-03,6.999815695115944258e+00,3.485993949023367868e-03
6.001200339987997762e-03,6.999585318112191423e+00,3.478963581113117542e-03
8.001600419983996570e-03,6.999262797951558035e+00,3.471914962660030239e-03
1.000200049997999538e-02,6.998848142276561823e+00,3.464848078420341374e-03
1.200240057997599592e-02,6.998341360912925246e+00,3.457762914309133687e-03
1.400280065997199473e-02,6.997742465869308148e+00,3.450659457397759443e-03
1.600320073996799528e-02,6.997051471336954265e+00,3.443537695911229671e-03
1.800360081996399408e-02,6.996268393689301313e+00,3.436397619225609046e-03
2.000400089995999289e-02,6.995393251481514696e+00,3.429239217865354822e-03
2.200440097995599170e-02,6.994426065449965257e+00,3.422062483500673546e-03
2.400480105995199398e-02,6.993366858511643969e+00,3.414867408944817061e-03
2.600520113994799279e-02,6.992215655763518001e+00,3.407653988151392813e-03
2.800560121994399160e-02,6.990972484481819293e+00,3.400422216211628629e-03
3.000600129993999041e-02,6.989637374121275393e+00,3.393172089351634887e-03
3.200640137993598922e-02,6.988210356314279892e+00,3.385903604929632431e-03
3.400680145993199149e-02,6.986691464870002477e+00,3.378616761433170506e-03
3.600720153992798683e-02,6.985080735773429694e+00,3.371311558476314339e-03
3.800760161992398911e-02,6.983378207184354203e+00,3.363987996796827078e-03
4.000800169991998445e-02,6.981583919436295638e+00,3.356646078253304900e-03
4.200840177991598673e-02,6.979697915035369959e+00,3.349285805822327725e-03
4.400880185991198207e-02,6.977720238659075314e+00,3.341907183595557891e-03
4.600920193990798435e-02,6.975650937155051245e+00,3.334510216776838398e-03
4.800960201990398662e-02,6.973490059539742880e+00,3.327094911679257753e-03
5.001000209989998196e-02,6.971237656997023358e+00,3.319661275722206577e-03
5.201040217989598424e-02,6.968893782876750542e+00,3.312209317428399524e-03
5.401080225989197958e-02,6.966458492693264226e+00,3.304739046420900658e-03
5.601120233988798186e-02,6.963931844123818493e+00,3.297250473420098964e-03
5.801160241988397720e-02,6.961313897006949247e+00,3.289743610240681692e-03
6.001200249987997948e-02,6.958604713340799108e+00,3.282218469788590783e-03
6.201240257987597482e-02,6.955804357281359707e+00,3.274675066057954574e-03
6.401280265987197016e-02,6.952912895140665128e+00,3.267113414127985251e-03
6.601320273986796550e-02,6.949930395384922299e+00,3.259533530159882363e-03
6.801360281986397471e-02,6.946856928632579198e+00,3.251935431393701212e-03
7.001400289985997005e-02,6.943692567652337111e+00,3.244319136145198262e-03
7.201440297985596539e-02,6.940437387361092725e+00,3.236684663802667002e-03
7.401480305985196073e-02,6.937091464821832254e+00,3.229032034823753859e-03
7.601520313984796995e-02,6.933654879241451852e+00,3.221361270732240288e-03
7.801560321984396529e-02,6.930127711968532722e+00,3.213672394114825293e-03
8.001600329983996063e-02,6.926510046491038075e+00,3.205965428617871087e-03
8.201640337983596984e-02,6.922801968433970998e+00,3.198240398944141808e-03
8.401680345983196518e-02,6.919003565556946178e+00,3.190497330849518393e-03
8.601720353982796052e-02,6.915114927751727869e+00,3.182736251139688718e-03
8.801760361982395586e-02,6.911136147039692368e+00,3.174957187666823007e-03
9.001800369981996508e-02,6.907067317569232756e+00,3.167160169326240990e-03
9.201840377981596042e-02,6.902908535613102359e+00,3.159345226053037869e-03
9.401880385981195576e-02,6.898659899565708464e+00,3.151512388818703339e-03
9.601920393980796498e-02,6.894321509940333215e+00,3.143661689627728472e-03
9.801960401980396032e-02,6.889893469366302980e+00,3.135793161514180936e-03
1.000200040997999557e-01,6.885375882586095564e+00,3.127906838538264175e-03
1.020204041797959510e-01,6.880768856452387894e+00,3.120002755782864002e-03
1.040208042597919602e-01,6.876072499925044212e+00,3.112080949350069618e-03
1.060212043397879556e-01,6.871286924068046531e+00,3.104141456357679442e-03
1.080216044197839509e-01,6.866412242046365577e+00,3.096184314935688728e-03
1.100220044997799462e-01,6.861448569122773122e+00,3.088209564222753334e-03
1.120224045797759554e-01,6.856396022654590361e+00,3.080217244362643946e-03
1.140228046597719508e-01,6.851254722090384774e+00,3.072207396500667344e-03
1.160232047397679461e-01,6.846024788966601271e+00,3.064180062780092872e-03
1.180236048197639553e-01,6.840706346904144475e+00,3.056135286338532066e-03
1.200240048997599507e-01,6.835299521604890849e+00,3.048073111304322631e-03
1.220244049797559460e-01,6.829804440848150193e+00,3.039993582792879876e-03
1.240248050597519414e-01,6.824221234487061416e+00,3.031896746903045992e-03
1.260252051397479645e-01,6.818550034444945673e+00,3.023782650713394225e-03
1.280256052197439598e-01,6.812790974711579572e+00,3.015651342278546487e-03
1.300260052997399551e-01,6.806944191339427519e+00,3.007502870625455415e-03
1.320264053797359505e-01,6.801009822439809227e+00,2.999337285749666040e-03
1.340268054597319458e-01,6.794988008179008609e+00,2.991154638611568349e-03
1.360272055397279689e-01,6.788878890774331154e+00,2.982954981132630336e-03
1.380276056197239642e-01,6.782682614490093798e+00,2.974738366191609362e-03
1.400280056997199596e-01,6.776399325633566839e+00,2.966504847620750514e-03
1.420284057797159549e-01,6.770029172550851904e+00,2.958254480201964135e-03
1.440288058597119503e-01,6.763572305622711944e+00,2.949987319662987755e-03
1.460292059397079456e-01,6.757028877260330191e+00,2.941703422673527194e-03
1.480296060197039409e-01,6.750399041901022912e+00,2.933402846841392467e-03
1.500300060996999640e-01,6.743682956003892670e+00,2.925085650708598994e-03
1.520304061796959594e-01,6.736880778045425622e+00,2.916751893747455797e-03
1.540308062596919547e-01,6.729992668515030196e+00,2.908401636356655433e-03
1.560312063396879501e-01,6.723018789910522486e+00,2.900034939857317959e-03
1.580316064196839454e-01,6.715959306733548573e+00,2.891651866489045736e-03
1.600320064996799407e-01,6.708814385484961562e+00,2.883252479405934432e-03
1.620324065796759361e-01,6.701584194660131999e+00,2.874836842672592267e-03
1.640328066596719592e-01,6.694268904744211213e+00,2.866405021260125426e-03
1.660332067396679545e-01,6.686868688207334266e+00,2.857957081042113070e-03
1.680336068196639498e-01,6.679383719499766059e+00,2.849493088790574103e-03
1.700340068996599452e-01,6.671814175046996809e+00,2.841013112171891439e-03
1.720344069796559405e-01,6.664160233244776244e+00,2.832517219742758385e-03
1.740348070596519359e-01,6.656422074454103388e+00,2.824005480946074290e-03
1.760352071396479312e-01,6.648599880996147071e+00,2.815477966106841919e-03
1.780356072196439543e-01,6.640693837147122025e+00,2.806934746428046620e-03
1.800360072996399496e-01,6.632704129133104587e+00,2.798375893986513804e-03
1.820364073796359450e-01,6.624630945124803105e+00,2.789801481728759486e-03
1.840368074596319403e-01,6.616474475232263508e+00,2.781211583466815674e-03
1.860372075396279357e-01,6.608234911499522468e+00,2.772606273874046647e-03
1.880376076196239310e-01,6.599912447899215273e+00,2.763985628480948326e-03
1.900380076996199263e-01,6.591507280327117080e+00,2.755349723670925954e-03
1.920384077796159494e-01,6.583019606596643314e+00,2.746698636676069612e-03
1.940388078596119448e-01,6.574449626433287008e+00,2.738032445572902412e-03
1.960392079396079401e-01,6.565797541469006404e+00,2.729351229278114375e-03
1.980396080196039355e-01,6.557063555236564589e+00,2.720655067544290682e-03
