# Time, Target, Prediction
1.867526739138864755e+01,-1.009980572556552943e-02,-4.466306418180465698e-04
2.226787351318141717e+01,1.870338827295631862e-02,1.891994848847389221e-03
1.004463344282525838e+01,-1.850793441862761540e-02,-1.651836745440959930e-02
2.152945155520360387e+01,1.324954341085570961e-02,6.406251341104507446e-04
7.703678724980698611e+00,7.002368351551270000e-03,8.812831714749336243e-03
4.865205666654632388e+00,-3.272772778904815133e-02,-2.035088650882244110e-02
1.003415937249933165e+01,-1.899252619574128692e-02,-1.689550094306468964e-02
2.092195547629987118e+01,4.668814413080212586e-04,-1.523254439234733582e-03
5.917849734410239648e+00,5.358271194925234154e-02,7.251771539449691772e-02
9.023411586047430433e+00,-4.581881377236935587e-02,-3.998135030269622803e-02
1.248509182876611945e+01,2.088537814968499315e-02,1.477755792438983917e-02
2.199554768470733279e+01,1.834454063490960699e-02,1.624876633286476135e-03
4.608590946025629131e-01,4.708389917924956092e-01,4.729866385459899902e-01
9.311448520010408458e+00,-4.355440110279597266e-02,-3.749045729637145996e-02
7.478486212973280089e+00,2.166987764716583539e-02,2.370813675224781036e-02
1.660140146921140758e+00,2.182343726669305484e-01,2.360004186630249023e-01
1.456943182362548228e+01,-2.770187672167599008e-02,-1.298570446670055389e-02
1.390956539309211770e+01,-2.575312741012474732e-02,-1.075766049325466156e-02
5.058975967684271602e+00,-1.319690417541408319e-02,1.834081485867500305e-03
1.088779610406233722e+01,1.997040356666865760e-02,1.168009825050830841e-02
1.832962309655121469e-01,5.005975488641969395e-01,5.903298854827880859e-01
3.514050594610121259e+00,-1.061839704772308407e-01,-1.177316308021545410e-01
1.252175107490686123e+01,1.966218929677043814e-02,1.409159786999225616e-02
8.562552491706666657e+00,-3.809065819004944786e-02,-3.375315666198730469e-02
1.976457070528499926e+01,-2.067203342348456624e-02,-4.618963226675987244e-03
8.248330381928873578e+00,-2.521933999656258626e-02,-2.211186848580837250e-02
1.164716620269200398e+01,3.556159105199187265e-02,2.277933247387409210e-02
2.948450797010093716e+00,-6.059631752033747126e-02,-7.101026177406311035e-02
4.912338983121300906e+00,-2.795948756778304442e-02,-1.491187326610088348e-02
7.436589931669574938e+00,2.435183247688383137e-02,2.650800533592700958e-02
1.319732861092911769e+01,-5.618475645718141662e-03,2.125147730112075806e-04
5.608864659795409047e+00,3.535841122166091810e-02,5.497165024280548096e-02
1.471606880818845298e+01,-2.575421583996257563e-02,-1.239616237580776215e-02
1.859147482878123725e+01,-8.084225909526544795e-03,1.333970576524734497e-04
3.864931950528657012e+00,-1.070104105164379482e-01,-1.120485663414001465e-01
