# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,3.500000000000000073e-03
2.000400179995999277e-03,6.999953923503721143e+00,1.986723953440628666e-03
4.000800259991998085e-03,6.999815695115944258e+00,1.781963273485057423e-03
6.001200339987997762e-03,6.999585318112191423e+00,1.754200135814024120e-03
8.001600419983996570e-03,6.999262797951558035e+00,1.750361510386192485e-03
1.000200049997999538e-02,6.998848142276561823e+00,1.749739503759213319e-03
1.200240057997599592e-02,6.998341360912925246e+00,1.749532730746103208e-03
1.400280065997199473e-02,6.997742465869308148e+00,1.749362219645375204e-03
1.600320073996799528e-02,6.997051471336954265e+00,1.749176706107302475e-03
1.800360081996399408e-02,6.996268393689301313e+00,1.748969258880971088e-03
2.000400089995999289e-02,6.995393251481514696e+00,1.748738944619594683e-03
2.200440097995599170e-02,6.994426065449965257e+00,1.748485641851212080e-03
2.400480105995199398e-02,6.993366858511643969e+00,1.748209339406537948e-03
2.600520113994799279e-02,6.992215655763518001e+00,1.747910041509335988e-03
2.800560121994399160e-02,6.990972484481819293e+00,1.747587754936769664e-03
3.000600129993999041e-02,6.989637374121275393e+00,1.747242487282266599e-03
3.200640137993598922e-02,6.988210356314279892e+00,1.746874246720326717e-03
3.400680145993199149e-02,6.986691464870002477e+00,1.746483041974506616e-03
3.600720153992798683e-02,6.985080735773429694e+00,1.746068882312868959e-03
3.800760161992398911e-02,6.983378207184354203e+00,1.745631777547145469e-03
4.000800169991998445e-02,6.981583919436295638e+00,1.745171738032372634e-03
4.200840177991598673e-02,6.979697915035369959e+00,1.744688774666596160e-03
4.400880185991198207e-02,6.977720238659075314e+00,1.744182898890558279e-03
4.600920193990798435e-02,6.975650937155051245e+00,1.743654122687376181e-03
4.800960201990398662e-02,6.973490059539742880e+00,1.743102458582265540e-03
5.001000209989998196e-02,6.971237656997023358e+00,1.742527919641988004e-03
5.201040217989598424e-02,6.968893782876750542e+00,1.741930519474731934e-03
5.401080225989197958e-02,6.966458492693264226e+00,1.741310272229588084e-03
5.601120233988798186e-02,6.963931844123818493e+00,1.740667192596178801e-03
5.801160241988397720e-02,6.961313897006949247e+00,1.740001295804245165e-03
6.001200249987997948e-02,6.958604713340799108e+00,1.739312597623218727e-03
6.201240257987597482e-02,6.955804357281359707e+00,1.738601114361772648e-03
6.401280265987197016e-02,6.952912895140665128e+00,1.737866862867367421e-03
6.601320273986796550e-02,6.949930395384922299e+00,1.737109860525771435e-03
6.801360281986397471e-02,6.946856928632579198e+00,1.736330125260572435e-03
7.001400289985997005e-02,6.943692567652337111e+00,1.735527675532672499e-03
7.201440297985596539e-02,6.940437387361092725e+00,1.734702530339766102e-03
7.401480305985196073e-02,6.937091464821832254e+00,1.733854709215807777e-03
7.601520313984796995e-02,6.933654879241451852e+00,1.732984232230454615e-03
7.801560321984396529e-02,6.930127711968532722e+00,1.732091119988507901e-03
8.001600329983996063e-02,6.926510046491038075e+00,1.731175393629328513e-03
8.201640337983596984e-02,6.922801968433970998e+00,1.730237074826240177e-03
8.401680345983196518e-02,6.919003565556946178e+00,1.729276185785921230e-03
8.601720353982796052e-02,6.915114927751727869e+00,1.728292749247775564e-03
8.801760361982395586e-02,6.911136147039692368e+00,1.727286788483294033e-03
9.001800369981996508e-02,6.907067317569232756e+00,1.726258327295432772e-03
9.201840377981596042e-02,6.902908535613102359e+00,1.725207390017818041e-03
9.401880385981195576e-02,6.898659899565708464e+00,1.724134001514225157e-03
9.601920393980796498e-02,6.894321509940333215e+00,1.723038187177781608e-03
9.801960401980396032e-02,6.889893469366302980e+00,1.721919972930271211e-03
