# Time, Target, Prediction
1.867526739138864755e+01,-9.081312880987433417e-03,-6.727166473865509033e-04
2.226787351318141717e+01,1.870855574773537533e-02,1.925658434629440308e-03
1.004463344282525838e+01,-2.035136572680671524e-02,-1.664384081959724426e-02
2.152945155520360387e+01,1.250635994639571862e-02,8.724592626094818115e-04
7.703678724980698611e+00,9.531985233563878071e-03,1.163877174258232117e-02
4.865205666654632388e+00,-3.659797592928605570e-02,-2.523236349225044250e-02
1.003415937249933165e+01,-2.082577271556042275e-02,-1.700060442090034485e-02
2.092195547629987118e+01,-5.253462934981349697e-04,-1.380223780870437622e-03
5.917849734410239648e+00,5.152303205192670932e-02,7.073599100112915039e-02
9.023411586047430433e+00,-4.553024058061350826e-02,-3.776613250374794006e-02
1.248509182876611945e+01,2.215213881837307594e-02,1.442490145564079285e-02
2.199554768470733279e+01,1.804677783573442260e-02,1.739185303449630737e-03
4.608590946025629131e-01,4.746206835658243195e-01,4.785884320735931396e-01
9.311448520010408458e+00,-4.403914405809580823e-02,-3.597747907042503357e-02
7.478486212973280089e+00,2.409815559552826517e-02,2.614754065871238708e-02
1.660140146921140758e+00,2.283454661810619124e-01,2.422249764204025269e-01
1.456943182362548228e+01,-2.800242510504652796e-02,-1.239212229847908020e-02
1.390956539309211770e+01,-2.493640079885828253e-02,-1.003392413258552551e-02
5.058975967684271602e+00,-1.710154513730077416e-02,-3.036368638277053833e-03
1.088779610406233722e+01,1.831339939464411704e-02,1.033501699566841125e-02
1.832962309655121469e-01,4.958650501521921772e-01,5.170625448226928711e-01
3.514050594610121259e+00,-1.044101361718551974e-01,-1.227698177099227905e-01
1.252175107490686123e+01,2.097142739570106995e-02,1.378903910517692566e-02
8.562552491706666657e+00,-3.665768206476654328e-02,-3.064213320612907410e-02
1.976457070528499926e+01,-2.082692915612891285e-02,-4.846114665269851685e-03
8.248330381928873578e+00,-2.315677231266830352e-02,-1.877841725945472717e-02
1.164716620269200398e+01,3.531393093735391703e-02,2.143568918108940125e-02
2.948450797010093716e+00,-5.494410885210420509e-02,-6.896589696407318115e-02
4.912338983121300906e+00,-3.185678755676762952e-02,-1.980862393975257874e-02
7.436589931669574938e+00,2.674091124573039699e-02,2.887442335486412048e-02
1.319732861092911769e+01,-4.056269188378854550e-03,6.781928241252899170e-04
5.608864659795409047e+00,3.233773177839913138e-02,5.162864550948143005e-02
1.471606880818845298e+01,-2.628844975513844676e-02,-1.185687258839607239e-02
1.859147482878123725e+01,-7.021253667095673709e-03,-8.562579751014709473e-05
3.864931950528657012e+00,-1.074615567368728541e-01,-1.174759566783905029e-01
1.176761801144015784e+01,3.540335154535242251e-02,2.156556770205497742e-02
2.875132304728607924e+00,-4.440627587457596920e-02,-5.551799014210700989e-02
2.248259195486290807e+01,1.783356670359051432e-02,1.946907490491867065e-03
1.384148393597359572e+01,-2.361427830002593362e-02,-9.334105998277664185e-03
5.367961042299101315e+00,1.247654297265447972e-02,3.010305389761924744e-02
1.925134125931460005e+01,-1.939071439072145159e-02,-3.803748637437820435e-03
6.294916266143591344e+00,6.326887431383779181e-02,7.882171869277954102e-02
2.518490209895193033e+01,-1.538394277116199478e-02,-4.734434187412261963e-04
2.222074019671474687e+01,1.873725164121983755e-02,1.907449215650558472e-03
4.184391095469413457e+00,-9.471021120263514725e-02,-9.619008004665374756e-02
2.380756185109260414e+01,-5.084090488184533907e-03,9.133033454418182373e-04
1.993739286566278324e+01,-1.953730927728572833e-02,-4.775259643793106079e-03
2.374471742913704730e+01,-3.817991859887334694e-03,9.800903499126434326e-04
2.535248722416675804e+01,-1.376648640801828027e-02,-6.205625832080841064e-04
9.740885405729586832e-01,3.931372115892625141e-01,3.607974946498870850e-01
6.336812549803492178e-01,4.528136589155957736e-01,4.373684227466583252e-01
