# Time, Target, Prediction
1.675851252242988476e+00,1.026458061819729012e-01,9.360098093748092651e-02
1.616149051309800555e+01,2.963160384292357064e-02,3.348588943481445312e-02
2.165514039908387289e+01,2.639706465968299706e-02,2.491957694292068481e-02
7.509908423823786983e+00,-3.687792034860433617e-03,1.200009789317846298e-02
2.550436124463808074e+00,-1.624157212823777174e-01,-1.681699156761169434e-01
7.227108525021845864e+00,2.354389052585843453e-02,3.748157620429992676e-02
3.927776372332524968e+00,-1.867077813254003904e-01,-1.785686910152435303e-01
1.946605970095032490e+01,-3.107290007361655781e-02,-3.504222631454467773e-02
1.658569036130091945e+01,3.635205080678758499e-02,4.194194823503494263e-02
1.801540096079962439e+01,4.720579942027061746e-04,3.794036107137799263e-03
1.983788919752324631e+01,-2.546470933756979707e-02,-3.005862981081008911e-02
1.937703011142934417e-01,8.379490908924662751e-01,8.204313516616821289e-01
1.619291272407599891e+01,3.043642025278172833e-02,3.444744646549224854e-02
1.793160839819163854e+01,3.893402511407990842e-03,7.654464803636074066e-03
5.729316468404154428e+00,7.262014234622528319e-02,7.518279552459716797e-02
1.382577283040048499e+01,-4.231765232444898578e-02,-4.686961323022842407e-02
1.843960080900253473e+01,-1.575642137684549887e-02,-1.488099340349435806e-02
1.798921578498462992e+01,1.539977961730062440e-03,5.001536570489406586e-03
2.528440576704212717e+01,-1.594057096163035633e-02,-8.975208736956119537e-03
1.515597976180221096e+01,-1.223796562407348382e-02,-1.409983728080987930e-02
1.665900885358290040e+01,3.656525974556674996e-02,4.235684126615524292e-02
1.135912926862799566e+01,5.237456492751799836e-02,5.215151607990264893e-02
2.159753301229088507e+01,2.571264322416817044e-02,2.413097769021987915e-02
1.224418821117481393e+01,2.969489400692371106e-02,2.854627370834350586e-02
2.563528712296305301e+01,-7.028946871274246652e-03,9.326853323727846146e-04
2.505397621987017232e+01,-2.048026578500599174e-02,-1.453571114689111710e-02
1.607769795124002199e+00,1.295951726465581211e-01,1.217374578118324280e-01
1.298261016915765964e+01,-1.140021042915895753e-02,-1.414286438375711441e-02
1.914136352084438997e+01,-3.110185687228971679e-02,-3.395187109708786011e-02
1.424473564419040050e+00,2.052512497913789868e-01,2.019158303737640381e-01
3.414546926358630330e+00,-2.308099420010521763e-01,-2.245508283376693726e-01
2.416368024216035693e+01,-2.226903780475685685e-02,-2.079262584447860718e-02
2.019400758860717460e+01,-1.568085528248613567e-02,-2.022854238748550415e-02
1.743409005770674014e+01,2.288691091259778890e-02,2.863076329231262207e-02
2.126236276185895591e+01,1.933539528090498852e-02,1.702792197465896606e-02
2.490733923530620331e+01,-2.261506489973283407e-02,-1.741283386945724487e-02
1.490983910914126298e+01,-2.333784659097545150e-02,-2.634486556053161621e-02
1.682659397879886853e+01,3.599157696739536255e-02,4.211653023958206177e-02
9.520929926415373501e+00,-4.786939751783972352e-02,-3.997312113642692566e-02
2.454598380905927613e+01,-2.488129766245798791e-02,-2.159833908081054688e-02
1.115488489802103800e+00,3.410722491760154185e-01,3.490858376026153564e-01
7.038575259153884822e+00,4.103481988359099220e-02,5.348217114806175232e-02
9.463322539622385676e+00,-5.131726234526307051e-02,-4.294750094413757324e-02
7.845078674255717921e+00,-3.369661217412336235e-02,-1.692033559083938599e-02
1.917802276698538222e+01,-3.133888118687642999e-02,-3.433980047702789307e-02
1.187235871460188896e+01,4.514943683504858696e-02,4.447433352470397949e-02
1.988502251399023990e+01,-2.438183654161069774e-02,-2.900379151105880737e-02
2.958924867177723961e+00,-2.199747120811731682e-01,-2.191999554634094238e-01
1.501457981240124084e+01,-1.876120675404149146e-02,-2.131044119596481323e-02
8.222145206741641177e-01,4.784668874132813055e-01,4.979902207851409912e-01
2.002118542822821112e+01,-2.086052165947380188e-02,-2.550277113914489746e-02
2.146137009805291385e+01,2.359675997348546772e-02,2.174229919910430908e-02
2.538390943513910614e+01,-1.361024873977597673e-02,-6.283053196966648102e-03
2.403799139824838349e+01,-2.032136101814316018e-02,-1.933225244283676147e-02
1.277836579780070281e+01,2.233916632062478774e-05,-2.211198909208178520e-03
1.068878876776413200e+01,3.206733926751859087e-02,3.307563066482543945e-02
9.850863141684305546e+00,-2.540817055877225839e-02,-2.006268501281738281e-02
1.958651150969929944e+01,-2.986874375496718567e-02,-3.411978483200073242e-02
2.277062888880264424e+01,1.502739221074226098e-02,1.424001064151525497e-02
1.884808955171645195e+01,-2.704955196059541378e-02,-2.850227802991867065e-02
2.366092486651245963e+01,-1.178523191293106773e-02,-1.187700126320123672e-02
1.217086971889282765e+01,3.325066575079171222e-02,3.221335262060165405e-02
4.791887174227346335e+00,-4.527478848171369308e-02,-4.094339162111282349e-02
1.232274373861979733e+01,2.567353466465310471e-02,2.439491450786590576e-02
2.456693194971127525e+01,-2.487422989082345437e-02,-2.148197591304779053e-02
5.933560839761112149e+00,8.272825236107765601e-02,8.612659573554992676e-02
1.539164634413716470e+01,-9.712581404978051390e-04,-1.547292573377490044e-03
2.016258537762918124e+01,-1.667266847409856062e-02,-2.124682813882827759e-02
4.461953958958415178e+00,-1.025864259174988496e-01,-9.637006372213363647e-02
8.651582089357551908e+00,-7.311567797971839366e-02,-5.844418704509735107e-02
2.080150366751504976e+01,5.397191143038773502e-03,1.950263278558850288e-03
1.175714394101591331e+01,4.838216866795432697e-02,4.781566560268402100e-02
8.379256261631609082e-01,4.708627119841002351e-01,4.898792207241058350e-01
1.077258133037211607e+01,3.633190652378531088e-02,3.709768503904342651e-02
1.555399443494013045e+00,1.507722027142000820e-01,1.440101861953735352e-01
7.829367568766722130e+00,-3.240786379790290550e-02,-1.565615087747573853e-02
6.624849481276969598e+00,7.231728263459001604e-02,8.103260397911071777e-02
9.060070832071467350e+00,-6.925698431995150339e-02,-5.754300579428672791e-02
6.808145720231931208e-02,9.379461288612939152e-01,8.816251158714294434e-01
2.005784467436920337e+01,-1.982199424042029381e-02,-2.445496618747711182e-02
2.442029496514730624e+01,-2.459331777007299838e-02,-2.194866538047790527e-02
1.408762458855043143e+01,-4.379619487825745644e-02,-4.850746691226959229e-02
1.225466228150080994e+01,2.917058853097585780e-02,2.800519764423370361e-02
2.278633999429164092e+01,1.459550332036697005e-02,1.380778010934591293e-02
2.322101391282055260e+01,1.418827869216030641e-03,7.390298414975404739e-04
1.349583961513155295e+01,-3.446229601790218311e-02,-3.845962882041931152e-02
1.022269263825722874e+01,2.049688921983364252e-03,5.036986432969570160e-03
1.283073615018069269e+00,2.662554565836577347e-01,2.676422894001007080e-01
1.663282367776790593e+01,3.652180104083210116e-02,4.224514961242675781e-02
6.232071844052050835e+00,8.619383587513379519e-02,9.152707457542419434e-02
1.547020187158214810e+01,2.765423212480553911e-03,2.645424799993634224e-03
1.517692790245420831e+01,-1.124809750952606054e-02,-1.300213579088449478e-02
1.225989931666380883e+01,2.890699801628228427e-02,2.773322910070419312e-02
5.540783202536192498e+00,5.770123953874446709e-02,5.990459024906158447e-02
1.543877966060415297e+01,1.276620497478712316e-03,9.730823803693056107e-04
2.458788009036327082e+01,-2.485148004013263551e-02,-2.134928107261657715e-02
1.750217151482572930e+01,2.056467788826280702e-02,2.611456066370010376e-02
1.135389223346499499e+01,5.234733284114902879e-02,5.212943255901336670e-02
1.305592866143964592e+01,-1.529078793391484836e-02,-1.822121441364288330e-02
1.880095623599946419e+00,2.625714920120553186e-02,1.520548667758703232e-02
8.630633948705556335e+00,-7.287053999463777298e-02,-5.807197466492652893e-02
9.306211484732418882e+00,-5.971108855954351119e-02,-5.003154650330543518e-02
1.978551884589325738e+01,-2.657823186272565211e-02,-3.112784028053283691e-02
1.638668302510695796e+01,3.434232131396420390e-02,3.922867774963378906e-02
3.775902352605555734e+00,-2.047947390940819679e-01,-1.967371404170989990e-01
2.553578345486607759e+01,-9.729032887712629404e-03,-1.966156763955950737e-03
2.068628889392907411e+01,1.372041433075016012e-03,-2.344623906537890434e-03
1.481033544104428223e+01,-2.740744588207958549e-02,-3.080385178327560425e-02
2.251925120172869832e+00,-9.170627093464660262e-02,-1.014328896999359131e-01
1.078829243586111275e+01,3.708286187234860476e-02,3.780674189329147339e-02
7.934108272026699993e+00,-4.070811803912854909e-02,-2.384296059608459473e-02
1.903138578242141321e+01,-3.002567519211379529e-02,-3.238917887210845947e-02
1.837675638704654801e+01,-1.355878609739381499e-02,-1.230972353368997574e-02
1.246938072318376634e+01,1.771145379973239342e-02,1.616118103265762329e-02
6.813382747144930640e+00,5.967925290570488123e-02,7.013384252786636353e-02
1.040075183379919110e+01,1.453018972363266138e-02,1.663045585155487061e-02
7.698441689691748024e+00,-2.114752547370521082e-02,-4.703455604612827301e-03
1.749693447966273041e+01,2.074774451670046566e-02,2.631355077028274536e-02
7.242819630510841655e+00,2.204191634963000371e-02,3.609354048967361450e-02
7.022864153664887255e+00,4.243100320393561331e-02,5.474541336297988892e-02
2.005784467511920521e+00,-1.694639032158748448e-02,-2.817681431770324707e-02
1.581584619234007505e+01,1.803331943351346722e-02,1.997163146734237671e-02
1.448040222577535197e+01,-3.820532856526276388e-02,-4.254013299942016602e-02
1.564302403196111158e+01,1.071692964707383032e-02,1.162478979676961899e-02
8.908196812344499449e+00,-7.256199052005195271e-02,-5.966025218367576599e-02
4.708094611619364045e+00,-5.964143450738428054e-02,-5.483877658843994141e-02
1.939274120866833684e+01,-3.149605213450746427e-02,-3.525726497173309326e-02
2.086958512463403537e+01,7.711219762545433107e-03,4.429905675351619720e-03
2.413225803118236357e+01,-2.182982596510251588e-02,-2.048090845346450806e-02
1.814632683987459671e+01,-4.807905797063455507e-03,-2.211116952821612358e-03
1.901043764176941764e+01,-2.975928849165631468e-02,-3.202473372220993042e-02
1.136960333895399344e+01,5.242262155868444157e-02,5.218945443630218506e-02
9.133389324353451855e+00,-6.692606189917232884e-02,-5.580889433622360229e-02
1.498315760142324748e+01,-2.016144850234193042e-02,-2.285297960042953491e-02
2.612756842828495252e+01,6.713989694060958947e-03,1.453323569148778915e-02
2.469262079362324869e+01,-2.450427820293477055e-02,-2.044518291950225830e-02
2.000547432348921628e+00,-1.520995817213021545e-02,-2.644731849431991577e-02
1.097158866656607401e+01,4.461902556094286820e-02,4.492788761854171753e-02
4.928050088465319334e+00,-2.266016697909014818e-02,-1.903755590319633484e-02
1.319732861159061743e+00,2.502422297738632340e-01,2.503128051757812500e-01
8.054560080775674535e+00,-4.931581913767493081e-02,-3.246616572141647339e-02
1.874858588436947304e+00,2.812414186885041703e-02,1.709634065628051758e-02
6.284442196432039607e-01,5.755191206533933901e-01,5.985133647918701172e-01
1.089303313912109061e+01,4.167332438293287061e-02,4.214391857385635376e-02
2.707547179353775757e+00,-1.900404251456899174e-01,-1.932729482650756836e-01
1.403001720175744360e+01,-4.384032251104477002e-02,-4.854232817888259888e-02
1.462180217517632208e+01,-3.415621827291973750e-02,-3.815772384405136108e-02
8.436863647674595512e+00,-6.850536783665793494e-02,-5.268602073192596436e-02
1.043741107994018513e+01,1.697196470036185442e-02,1.890996098518371582e-02
1.087732203363209393e+01,4.103207465127734627e-02,4.153778403997421265e-02
3.000821148481715550e+00,-2.232601680734944694e-01,-2.218605726957321167e-01
4.037754110755502168e+00,-1.715564959527308420e-01,-1.635714918375015259e-01
2.553054641970307514e+01,-9.868216289931392229e-03,-2.117768628522753716e-03
2.048204452257211372e+01,-5.891043449724374381e-03,-1.003222260624170303e-02
1.118107007308603151e+01,5.024771890739698071e-02,5.022412538528442383e-02
1.001844826690027013e+01,-1.301838615426928469e-02,-8.815788663923740387e-03
6.525345813179989740e+00,7.757884583411864265e-02,8.538600802421569824e-02
1.675851252167988292e+01,3.640098930051804266e-02,4.241250455379486084e-02
4.194865165645469851e+00,-1.475479922981327296e-01,-1.400404572486877441e-01
3.639739438367584068e+00,-2.176841531609102764e-01,-2.100266069173812866e-01
1.234892891443479179e+01,2.429081155578802914e-02,2.296642959117889404e-02
1.180951429264590224e+01,4.701813488798241292e-02,4.640386253595352173e-02
1.947653377127632268e+01,-3.099305383824757856e-02,-3.498986363410949707e-02
3.697346825160572337e+00,-2.126485855281320114e-01,-2.047820985317230225e-01
6.980967872360896109e+00,4.609372750347403430e-02,5.804815143346786499e-02
1.290405464171267624e+01,-7.089782806024336019e-03,-9.633244015276432037e-03
1.563254996163511379e+01,1.024994557306576660e-02,1.109505351632833481e-02
1.528166860571418617e+01,-6.248150827301758407e-03,-7.442452944815158844e-03
2.204268100114579454e+01,2.757954683665416601e-02,2.660781145095825195e-02
2.416891727732335582e+01,-2.233907051729431409e-02,-2.084107697010040283e-02
8.206434100502644213e+00,-5.852119882419692942e-02,-4.190885648131370544e-02
2.161324411777988175e+01,2.591199743767129762e-02,2.435942739248275757e-02
2.189604401658182553e+01,2.783918505498542834e-02,2.671711891889572144e-02
2.084339994881904090e+01,6.828262647163185761e-03,3.482817905023694038e-03
2.235166607576272924e+01,2.432993637567045300e-02,2.352310717105865479e-02
1.831391196509056130e+01,-1.126897720849767866e-02,-9.647228755056858063e-03
8.243093346643636465e+00,-6.044267859963389777e-02,-4.392287880182266235e-02
