# Time, Target, Prediction
1.822488236745336110e+01,-8.862580305227362593e-03,-7.116138935089111328e-03
2.206362914186701829e+01,3.031104942763822307e-02,2.872521430253982544e-02
5.153242600827876885e+00,-4.745312116570588046e-02,-4.890468716621398926e-02
1.071497394383920110e+01,1.221250990997326674e-02,1.277980208396911621e-02
1.697846799868057843e+01,3.820317795947343609e-02,3.733234852552413940e-02
2.911791551102032027e+00,-2.240020125125997685e-01,-2.253682613372802734e-01
1.605151277484536010e+01,1.535145382622673388e-02,1.241528242826461792e-02
1.052644067797440997e+01,-4.492485852522048670e-03,-4.010610282421112061e-03
1.578442398153690363e+01,1.565364270693489132e-04,-2.824120223522186279e-03
1.780591955442049468e+01,1.293505432527062259e-02,1.435218006372451782e-02
2.508539843557896720e+00,-1.002127822856712508e-01,-1.021249219775199890e-01
1.239606223113358396e+01,2.783999521356649715e-02,3.098412603139877319e-02
1.595724614191296453e+01,1.027516743284518849e-02,7.294017821550369263e-03
5.074687073384214209e+00,-6.376432606836981987e-02,-6.515838950872421265e-02
2.309008803379754227e+01,9.205835088945997155e-03,9.400703012943267822e-03
2.457740602006422392e+01,-3.763539331439991198e-02,-3.789002448320388794e-02
1.227037338722372262e+01,3.518168355099141054e-02,3.821525722742080688e-02
2.327338426449941977e+01,1.900923440202751313e-03,2.315022051334381104e-03
1.794731950381908803e+01,5.814218911105989603e-03,7.417760789394378662e-03
2.213694763414776645e+01,3.042318872020922937e-02,2.897430211305618286e-02
5.483175816091260479e+00,1.409690194255635784e-02,1.237414777278900146e-02
2.262399190429847451e+01,2.421878267632303003e-02,2.366819232702255249e-02
1.818298608615007694e+01,-6.635910071133584338e-03,-4.892595112323760986e-03
7.939345307496449067e+00,-5.171729232732823894e-02,-4.984024167060852051e-02
2.533677611868629853e+01,-3.002596791378867383e-02,-3.133571892976760864e-02
1.759643814790405969e+01,2.246141136062176566e-02,2.346429973840713501e-02
1.810443055870641516e+01,-2.452523911419458424e-03,-7.325336337089538574e-04
2.363473969074027181e+01,-1.290524547162663106e-02,-1.226698607206344604e-02
2.144565899264353703e+01,1.842430872791503763e-02,1.578738540410995483e-02
1.154242549957911557e+01,5.325992545470446121e-02,5.484922975301742554e-02
1.041646293955328240e+01,-1.492593240700276248e-02,-1.448563486337661743e-02
2.068105185885855235e+01,-1.479382159543593013e-02,-1.776961237192153931e-02
2.407988767958769571e+01,-2.846590010748767038e-02,-2.802438288927078247e-02
1.131199595712342854e+00,5.907063329959327813e-01,5.885507464408874512e-01
2.547293903292197825e+01,-2.622880584190819681e-02,-2.768798917531967163e-02
1.466369845667398231e+01,-6.250230605281130447e-02,-6.353937089443206787e-02
2.208457728251866214e+01,3.037227774322948451e-02,2.882546931505203247e-02
1.870145256727824901e+01,-3.214702665771677209e-02,-3.076022118330001831e-02
2.046633341717920729e+01,-2.471992483706790880e-02,-2.745632082223892212e-02
2.477117632109192513e+01,-3.817023159096261109e-02,-3.873107582330703735e-02
1.134865519855141436e+01,4.944595680258093151e-02,5.065130442380905151e-02
1.163145509734859928e+01,5.372140494387505488e-02,5.551072210073471069e-02
6.137805211455115817e+00,8.480471125471354676e-02,8.329947292804718018e-02
2.454598380908675992e+01,-3.738117461521351520e-02,-3.758565336465835571e-02
7.478486213160294938e+00,4.333438911287720852e-03,5.586802959442138672e-03
1.109727751073169166e+01,3.888900650570607104e-02,3.973902761936187744e-02
1.022792967368849126e+01,-3.342426892450944820e-02,-3.303075581789016724e-02
1.538640930915567928e+01,-2.508655947719779997e-02,-2.771215513348579407e-02
2.522679838026517274e+01,-3.263851337963997318e-02,-3.382093459367752075e-02
2.436792461354779249e+01,-3.507800808267286241e-02,-3.500529378652572632e-02
2.160277004753086061e+01,2.318261461141116545e-02,2.078122645616531372e-02
1.051596660764858804e+01,-5.468407969838701317e-03,-4.990987479686737061e-03
2.352476195231914247e+01,-8.461862434920164669e-03,-7.857866585254669189e-03
1.758072704241532591e+01,2.311123482284452996e-02,2.407688647508621216e-02
1.054215178346314374e+01,-3.036664019971353681e-03,-2.548538148403167725e-03
4.844257526216136256e+00,-1.135436569933593876e-01,-1.148078292608261108e-01
2.238308828680457907e+01,2.874029712397467920e-02,2.775109559297561646e-02
