# Time, Target, Prediction
1.822488236731958011e+01,-4.244683302698274395e-03,-3.580553457140922546e-03
2.206362914179779011e+01,1.580241561574186396e-02,1.633674465119838715e-02
5.153242600474271740e+00,1.918764541334393517e-02,1.686240918934345245e-02
1.071497394357912825e+01,1.965439674178987017e-02,1.806067861616611481e-02
1.697846799852583644e+01,1.973295138744493929e-02,2.013204433023929596e-02
2.911791550710733922e+00,-8.762452726083132248e-02,-8.853878825902938843e-02
1.605151277467502524e+01,1.501084559865422871e-02,1.497923023998737335e-02
1.052644067771116632e+01,1.356220354670338579e-02,1.182218827307224274e-02
1.578442398136208169e+01,9.413157693685241315e-03,9.319545701146125793e-03
1.780591955427966866e+01,5.441167888846271984e-03,6.139555945992469788e-03
2.508539843159816929e+00,-5.069749841724551648e-02,-5.143874883651733398e-02
1.239606223090178183e+01,1.307803213835197556e-02,1.334444619715213776e-02
1.595724614174104872e+01,1.320421080041965164e-02,1.314991153776645660e-02
5.074687073029288342e+00,1.328229586365542100e-02,1.092409528791904449e-02
2.309008803374558028e+01,3.401490429311000881e-03,4.360852763056755066e-03
2.457740602003727304e+01,-1.428297770953528001e-02,-1.359895430505275726e-02
1.227037338698980840e+01,1.685346977649082589e-02,1.703671552240848541e-02
2.327338426445054154e+01,8.772683499145388899e-05,1.061039045453071594e-03
1.794731950368063522e+01,2.152604529841048876e-03,2.847796306014060974e-03
2.213694763407977462e+01,1.553113908903025475e-02,1.610675640404224396e-02
5.483175815743204673e+00,3.990755957816101429e-02,3.780556470155715942e-02
2.262399190423867523e+01,1.096222975433734474e-02,1.179223321378231049e-02
1.818298608601558897e+01,-3.304427672301567254e-03,-2.634307369589805603e-03
7.939345307189697998e+00,-1.979389197179829557e-02,-2.030262909829616547e-02
2.533677611867211610e+01,-8.630044385898861387e-03,-8.143266662955284119e-03
1.759643814775970938e+01,1.009259245623518250e-02,1.076947338879108429e-02
1.810443055857060202e+01,-1.509115005769651793e-03,-8.288007229566574097e-04
2.363473969069746516e+01,-6.159297216017886080e-03,-5.204452201724052429e-03
2.144565899256391717e+01,1.324708302909525723e-02,1.348492689430713654e-02
1.154242549933295692e+01,3.024026532804524950e-02,2.958952076733112335e-02
1.041646293928818956e+01,9.563560902594369501e-03,7.752375677227973938e-03
2.068105185876607166e+01,4.486284784104182296e-04,4.463326185941696167e-04
2.407988767955237464e+01,-1.195567301917393674e-02,-1.109368167817592621e-02
1.131199595291100479e+00,2.170211929536293161e-01,2.154119014739990234e-01
2.547293903291008732e+01,-6.716152157486427084e-03,-6.249269470572471619e-03
1.466369845648031323e+01,-1.879645462536968029e-02,-1.893342100083827972e-02
2.208457728244978568e+01,1.573711896710728100e-02,1.628316380083560944e-02
1.870145256715248294e+01,-1.337288234428627223e-02,-1.279374770820140839e-02
2.046633341708311704e+01,-3.925919562906866021e-03,-3.957567736506462097e-03
2.477117632106823208e+01,-1.383101020559586100e-02,-1.321693323552608490e-02
1.134865519830199609e+01,3.040017971546036743e-02,2.949277497828006744e-02
1.163145509710393810e+01,2.962687977112087728e-02,2.909588254988193512e-02
6.137805211118069870e+00,5.637987635032537526e-02,5.497044324874877930e-02
2.454598380905927613e+01,-1.428435717968633972e-02,-1.358828507363796234e-02
7.478486212845793624e+00,3.881762832117443933e-03,3.457332029938697815e-03
1.109727751047804922e+01,2.814623665424352897e-02,2.693271078169345856e-02
1.022792967342022763e+01,2.160322809133395378e-03,2.562347799539566040e-04
1.538640930897416403e+01,-8.947973424619635368e-04,-1.075228676199913025e-03
2.522679838024913934e+01,-1.002462628877069661e-02,-9.521258994936943054e-03
2.436792461351731731e+01,-1.390850273619216766e-02,-1.314433477818965912e-02
2.160277004745388396e+01,1.470431488025681840e-02,1.500684954226016998e-02
1.051596660738516853e+01,1.319398662497077955e-02,1.144675351679325104e-02
2.352476195227448841e+01,-4.348293024574834825e-03,-3.382189199328422546e-03
1.758072704227071270e+01,1.042370245073342971e-02,1.109745539724826813e-02
1.054215178320016300e+01,1.410915781882965576e-02,1.238028146326541901e-02
4.844257525857336155e+00,-5.607471720790029382e-03,-8.009223267436027527e-03
2.238308828674072615e+01,1.378171486141208622e-02,1.449454762041568756e-02
2.599664254920998019e+01,1.607289094059124014e-03,1.972692087292671204e-03
8.693478370661543053e+00,-3.934460951967133635e-02,-4.038209468126296997e-02
1.259506956709573977e+01,6.691675679994624204e-03,7.045516744256019592e-03
1.929323754057136142e+01,-1.813891900594170187e-02,-1.776300556957721710e-02
1.164716620259293656e+01,2.948452268002681523e-02,2.897464670240879059e-02
2.446219124645129739e+01,-1.418866730833535580e-02,-1.346039585769176483e-02
2.317388059635356257e+01,1.890912835193433962e-03,2.858953550457954407e-03
2.472928003976424094e+01,-1.399253230265791285e-02,-1.336417905986309052e-02
1.841341563318754027e+01,-8.258457180339674047e-03,-7.624248042702674866e-03
2.487591702507821356e+00,-4.814099488604679788e-02,-4.888064414262771606e-02
1.895806729088942877e+00,4.694732755176073830e-02,4.601776599884033203e-02
6.326338476986030912e+00,5.470522739027491865e-02,5.351835489273071289e-02
2.460882823101526640e+01,-1.426133773420695458e-02,-1.358920894563198090e-02
6.745301290025944141e+00,4.227402713646548349e-02,4.150618612766265869e-02
2.105288135608899935e+00,8.626250393693928389e-03,7.805461063981056213e-03
2.188033291109282885e+01,1.594834370407153049e-02,1.638332195580005646e-02
7.881737920396711061e+00,-1.717186083285491757e-02,-1.765522919595241547e-02
2.117857019925097006e+01,9.668937064712796597e-03,9.809477254748344421e-03
2.325767315896154130e+01,3.721596402545572155e-04,1.344965770840644836e-03
2.075960738621105861e+01,2.034370725033958407e-03,2.049429342150688171e-03
1.824059347280857679e+01,-4.593539556335372517e-03,-3.931691870093345642e-03
2.607519807665496359e+01,2.853460119203219281e-03,3.209108486771583557e-03
2.227834758348074473e+01,1.467841206714976671e-02,1.533382199704647064e-02
9.232892992450432601e+00,-3.417650014695111649e-02,-3.571590036153793335e-02
9.107204148538457389e+00,-3.671743175582507096e-02,-3.813553601503372192e-02
9.164811536081446386e-01,2.722484718810314064e-01,2.702771127223968506e-01
1.348012850964255627e+01,-1.894464503687174478e-02,-1.859517954289913177e-02
5.603627625242179056e-01,3.785490934478244474e-01,3.759410977363586426e-01
2.169703668038786759e+01,1.532251587790219895e-02,1.566727645695209503e-02
3.859694915213538469e+00,-8.537170569066350467e-02,-8.723188936710357666e-02
2.397514697629239677e+01,-1.086321962798428818e-02,-9.972518309950828552e-03
1.564302403196111158e+01,5.939008542426819567e-03,5.813548341393470764e-03
1.143244776090998016e+01,3.053208240004835414e-02,2.973433770239353180e-02
1.942940045555933137e+00,3.793669895415912457e-02,3.703431040048599243e-02
1.969648924812227619e+01,-1.628720416541180882e-02,-1.612039096653461456e-02
1.224418821117481393e+01,1.760418462717252761e-02,1.776727475225925446e-02
6.897175309752913819e+00,3.543970017915998999e-02,3.478293865919113159e-02
3.047954464948705589e+00,-9.470338828818079813e-02,-9.572630375623703003e-02
2.164990336392087400e+01,1.503810932615270296e-02,1.536143384873867035e-02
2.423176169927934254e+01,-1.318624302205781418e-02,-1.237290166318416595e-02
1.481557247620728290e+01,-1.565524584672871658e-02,-1.583894155919551849e-02
8.080745256590669001e+00,-2.565731584719376304e-02,-2.624215744435787201e-02
1.874858588436947304e+00,5.101961834379193511e-02,5.007754266262054443e-02
9.086256007886461816e+00,-3.706794317289823643e-02,-3.846571594476699829e-02
1.393051353441046691e+00,1.543575612870731473e-01,1.530628651380538940e-01
8.117404502731663030e+00,-2.703240222291837525e-02,-2.763970755040645599e-02
2.367663597200145631e+01,-6.818360667052785276e-03,-5.869014188647270203e-03
9.751359473587324800e+00,-1.740537830021953933e-02,-1.931924186646938324e-02
9.814203895543313294e+00,-1.490704094582514551e-02,-1.684099994599819183e-02
1.344346926350156401e+01,-1.819512093578784170e-02,-1.783870719373226166e-02
1.979599291696925611e+00,3.107869651821345419e-02,3.019652701914310455e-02
1.493078724979325855e+01,-1.296625982584580228e-02,-1.317124627530574799e-02
2.324719908863554707e+01,5.619270315060799059e-04,1.534299924969673157e-03
2.340954717943851460e+00,-2.857320052809756566e-02,-2.932105027139186859e-02
1.239082519573878294e+01,1.324032806063025168e-02,1.350368000566959381e-02
2.402228029275938681e+01,-1.137829223631345830e-02,-1.049996726214885712e-02
2.201125879016780118e+01,1.592239702304273918e-02,1.642759330570697784e-02
5.257983303734250491e+00,2.652888372653750340e-02,2.426088787615299225e-02
1.714081608857880212e+01,1.801367213551825081e-02,1.851042546331882477e-02
8.672530230009547481e+00,-3.922422109345216623e-02,-4.024405032396316528e-02
1.551209815288613925e+01,2.510637905095065760e-03,2.355957403779029846e-03
2.193794029788581668e+01,1.598544094031997126e-02,1.645082421600818634e-02
2.094814065207901876e+01,5.692659025897280935e-03,5.759028717875480652e-03
8.971041234300487943e+00,-3.859958900358303330e-02,-3.988655656576156616e-02
2.377613964084843712e+00,-3.373460102753070289e-02,-3.447736054658889771e-02
9.065307867234468020e+00,-3.739672869636398445e-02,-3.877421468496322632e-02
1.848149709030652588e+01,-9.595140995510863247e-03,-8.972728624939918518e-03
1.992168176013123215e+01,-1.361973021593048880e-02,-1.355724222958087921e-02
1.960745965035129501e+01,-1.703886744039654136e-02,-1.682559214532375336e-02
1.707273463145981651e+01,1.881783781477498405e-02,1.927476562559604645e-02
2.215789577473177019e+01,1.543183606893137015e-02,1.601930148899555206e-02
1.871192663747848073e+01,-1.352940644711426825e-02,-1.295256428420543671e-02
3.189354414349676592e+00,-9.920512212932189322e-02,-1.003589853644371033e-01
7.331849228281823727e+00,1.215479012506644023e-02,1.170151866972446442e-02
2.520585023959714377e+01,-1.027254003186480781e-02,-9.765749797224998474e-03
2.534725018974811395e+00,-5.380709716315119212e-02,-5.455148220062255859e-02
7.797945357788726994e+00,-1.314667279193882342e-02,-1.360035501420497894e-02
3.393598785706634757e+00,-1.007887868497023415e-01,-1.021530255675315857e-01
2.217360688022076687e+01,1.535108964391850711e-02,1.594747789204120636e-02
8.693478371411543781e-01,2.850157070149446081e-01,2.829540371894836426e-01
1.797874171465863213e+01,1.417106230481809427e-03,2.110065892338752747e-03
1.662234960744191170e+01,2.091379614672472798e-02,2.109810896217823029e-02
2.284918441624762764e+01,7.560820265827959685e-03,8.471103385090827942e-03
1.633954970863996792e+01,1.914972178752255214e-02,1.920496113598346710e-02
2.392277662466240784e+01,-1.024781984883505435e-02,-9.344300255179405212e-03
1.350631368545755073e+01,-1.945529272417263408e-02,-1.911107264459133148e-02
1.165240323775593545e+01,2.943483365898401372e-02,2.893195487558841705e-02
2.462977637166726197e+01,-1.423569462795402051e-02,-1.357140950858592987e-02
2.404322843341138238e+01,-1.159500388528998324e-02,-1.072249375283718109e-02
1.309258790833063735e+00,1.739352741395400470e-01,1.725544035434722900e-01
1.155813660482195360e+01,3.015619623867345570e-02,2.952652610838413239e-02
6.593427270298976239e+00,4.800418768476830828e-02,4.710240662097930908e-02
1.044788515026618114e+01,1.073457518776204343e-02,8.942546322941780090e-03
1.287786946589768178e+01,-2.596366136371866615e-03,-2.194350585341453552e-03
6.095908929814077837e+00,5.637611672422240122e-02,5.491682142019271851e-02
4.069176321733495527e+00,-7.169209281428952363e-02,-7.374631613492965698e-02
1.979599291621925516e+01,-1.523708158250602906e-02,-1.511942408978939056e-02
2.109477763664299133e+01,8.303067891219864313e-03,8.415589109063148499e-03
6.698167973558954102e+00,4.418206635022025458e-02,4.337514936923980713e-02
4.268183657927454355e+00,-5.611483753292237364e-02,-5.831881612539291382e-02
3.299332152772653792e+00,-1.007590123085421174e-01,-1.020238921046257019e-01
1.256888439128074531e+01,7.550053618134692016e-03,7.895270362496376038e-03
1.322875082181860940e+01,-1.306106352488500301e-02,-1.267326436936855316e-02
1.177809208166790889e+01,2.791557341243559170e-02,2.757828123867511749e-02
1.771165292134568503e+01,7.581072676095972941e-03,8.274214342236518860e-03
1.556970553967912529e+01,4.038855449945680590e-03,3.896871581673622131e-03
6.431079180246008775e+00,5.264265868972846374e-02,5.157376825809478760e-02
1.838199342295955052e+00,5.824293481838873493e-02,5.727841705083847046e-02
1.588392764945906244e+01,1.166598035480151223e-02,1.159481145441532135e-02
3.367413609891640291e+00,-1.008979848991431449e-01,-1.022343412041664124e-01
6.965256767621900158e-01,3.347515222614018682e-01,3.323522806167602539e-01
6.174464457259062122e+00,5.626874315429695322e-02,5.490296334028244019e-02
1.498839463658624638e+01,-1.154168683805820682e-02,-1.175253652036190033e-02
2.434173943770232285e+01,-1.379849558036434082e-02,-1.302457414567470551e-02
1.632383860315097124e+01,1.898244617056819503e-02,1.903190650045871735e-02
6.640560586765966278e+00,4.635877454598587993e-02,4.550101608037948608e-02
1.039551479863619221e+01,8.771348742270458632e-03,6.947906687855720520e-03
1.346441740415355959e+01,-1.862831006499199304e-02,-1.827578805387020111e-02
2.384945813238041978e+01,-9.314207831506705199e-03,-8.394604548811912537e-03
2.143518492223791938e+01,1.313178097206777958e-02,1.336556114256381989e-02
2.315293245570156344e+01,2.269922911726420228e-03,3.236157819628715515e-03
2.031969643251914803e+01,-6.833612376300117128e-03,-6.865495815873146057e-03
2.581334631850501893e+01,-1.366086693658875428e-03,-9.635221213102340698e-04
1.629765342733597677e+01,1.868798357208559940e-02,1.872818358242511749e-02
1.398812092045345068e+01,-2.477515031286144781e-02,-2.458580397069454193e-02
2.448837642226629185e+01,-1.423410698275082154e-02,-1.351593993604183197e-02
8.489233999304584444e+00,-3.709336570004546224e-02,-3.796564787626266479e-02
2.438887275416930933e+01,-1.398647376899661565e-02,-1.323020271956920624e-02
1.527643157055118550e+01,-3.906159258521626175e-03,-4.104873165488243103e-03
1.758596407743371159e+01,1.031367236836003114e-02,1.098848320543766022e-02
2.267636225661866511e+00,-1.772988574304502560e-02,-1.849350892007350922e-02
2.577145003720102778e+01,-2.047564976824355759e-03,-1.635817810893058777e-03
2.012592613148818899e+01,-1.040027822732993330e-02,-1.040338911116123199e-02
1.715129015890480346e+01,1.787974321491248020e-02,1.838240958750247955e-02
1.028553706021321723e+01,4.480447206042268565e-03,2.600425854325294495e-03
