# Time, Strain, Stress
1.000000000000000036e-10,3.500000000000000000e+00,7.000000000000000000e+00
6.284442295598705562e-03,3.504373298204143783e+00,6.999953923506860853e+00
1.256888449119741152e-02,3.508694940346758440e+00,6.999815695122223680e+00
1.885332668679612009e-02,3.512964877199748148e+00,6.999585318121607891e+00
2.513776888239482518e-02,3.517183060693450880e+00,6.999262797964107996e+00
3.142221107799353375e-02,3.521349443917823674e+00,6.998848142292245278e+00
3.770665327359223884e-02,3.525463981123650559e+00,6.998341360931742194e+00
4.399109546919094393e-02,3.529526627723665211e+00,6.997742465891256813e+00
5.027553766478964903e-02,3.533537340293675832e+00,6.997051471362031094e+00
5.655997986038835412e-02,3.537496076573642068e+00,6.996268393717505418e+00
6.284442205598705922e-02,3.541402795468723497e+00,6.995393251512843413e+00
6.912886425158576431e-02,3.545257457050285055e+00,6.994426065484416810e+00
7.541330644718446941e-02,3.549060022556906890e+00,6.993366858549217469e+00
8.169774864278317450e-02,3.552810454395294304e+00,6.992215655804209007e+00
8.798219083838187959e-02,3.556508716141229876e+00,6.990972484525627806e+00
9.426663303398058469e-02,3.560154772540434998e+00,6.989637374168196970e+00
1.005510752295792898e-01,3.563748589509431408e+00,6.988210356364314535e+00
1.068355174251779949e-01,3.567290134136358315e+00,6.986691464923146633e+00
1.131199596207767000e-01,3.570779374681756657e+00,6.985080735829680698e+00
1.194044018163754051e-01,3.574216280579319616e+00,6.983378207243709390e+00
1.256888440119741379e-01,3.577600822436613370e+00,6.981583919498754121e+00
1.319732862075728430e-01,3.580932972035768547e+00,6.979697915100925520e+00
1.382577284031715481e-01,3.584212702334124589e+00,6.977720238727727953e+00
1.445421705987702532e-01,3.587439987464859925e+00,6.975650937226797410e+00
1.508266127943689583e-01,3.590614802737579936e+00,6.973490059614578129e+00
1.571110549899676634e-01,3.593737124638856084e+00,6.971237657074946803e+00
1.633954971855663685e-01,3.596806930832774363e+00,6.968893782957758631e+00
1.696799393811650736e-01,3.599824200161394927e+00,6.966458492777354294e+00
1.759643815767637787e-01,3.602788912645235708e+00,6.963931844210985211e+00
1.822488237723624838e-01,3.605701049483674758e+00,6.961313897097190839e+00
1.885332659679611889e-01,3.608560593055341492e+00,6.958604713434112909e+00
1.948177081635598940e-01,3.611367526918493720e+00,6.955804357377740388e+00
2.011021503591585990e-01,3.614121835811314298e+00,6.952912895240110913e+00
2.073865925547573041e-01,3.616823505652218440e+00,6.949930395487427859e+00
2.136710347503560092e-01,3.619472523540106401e+00,6.946856928738141868e+00
2.199554769459547143e-01,3.622068877754589078e+00,6.943692567760954226e+00
2.262399191415534194e-01,3.624612557756174525e+00,6.940437387472758957e+00
2.325243613371521245e-01,3.627103554186432710e+00,6.937091464936543161e+00
2.388088035327508296e-01,3.629541858868120308e+00,6.933654879359204770e+00
2.450932457283495347e-01,3.631927464805263739e+00,6.930127712089322323e+00
2.513776879239482676e-01,3.634260366183230673e+00,6.926510046614862581e+00
2.576621301195469727e-01,3.636540558368743348e+00,6.922801968560824193e+00
2.639465723151456777e-01,3.638768037909885233e+00,6.919003565686824508e+00
2.702310145107443828e-01,3.640942802536047296e+00,6.915114927884627782e+00
2.765154567063430879e-01,3.643064851157863604e+00,6.911136147175608535e+00
2.827998989019417930e-01,3.645134183867095423e+00,6.907067317708159848e+00
2.890843410975404981e-01,3.647150801936502873e+00,6.902908535755036823e+00
2.953687832931392032e-01,3.649114707819670844e+00,6.898659899710646748e+00
3.016532254887379083e-01,3.651025905150788287e+00,6.894321510088269100e+00
3.079376676843366134e-01,3.652884398744431049e+00,6.889893469517232916e+00
3.142221098799353185e-01,3.654690194595272335e+00,6.885375882740015108e+00
3.205065520755340236e-01,3.656443299877787823e+00,6.880768856609289941e+00
3.267909942711327287e-01,3.658143722945918164e+00,6.876072500084924322e+00
3.330754364667314338e-01,3.659791473332690170e+00,6.871286924230901150e+00
3.393598786623301389e-01,3.661386561749815360e+00,6.866412242212190264e+00
3.456443208579288440e-01,3.662929000087263631e+00,6.861448569291562549e+00
3.519287630535275491e-01,3.664418801412779203e+00,6.856396022826336534e+00
3.582132052491262542e-01,3.665855979971383682e+00,6.851254722265084141e+00
3.644976474447249593e-01,3.667240551184846264e+00,6.846024789144247613e+00
3.707820896403236643e-01,3.668572531651104196e+00,6.840706347084735128e+00
3.770665318359223694e-01,3.669851939143670361e+00,6.835299521788418708e+00
3.833509740315210745e-01,3.671078792610989350e+00,6.829804441034608153e+00
3.896354162271197796e-01,3.672253112175781542e+00,6.824221234676445036e+00
3.959198584227184847e-01,3.673374919134337446e+00,6.818550034637249624e+00
4.022043006183171898e-01,3.674444235955783622e+00,6.812790974906797636e+00
4.084887428139158949e-01,3.675461086281318845e+00,6.806944191537555255e+00
4.147731850095146000e-01,3.676425494923417414e+00,6.801009822640839531e+00
4.210576272051133051e-01,3.677337487864998256e+00,6.794988008382936151e+00
4.273420694007120102e-01,3.678197092258553180e+00,6.788878890981149716e+00
4.336265115963107153e-01,3.679004336425262700e+00,6.782682614699797163e+00
4.399109537919094204e-01,3.679759249854060332e+00,6.776399325846147903e+00
4.461953959875081255e-01,3.680461863200672035e+00,6.770029172766307113e+00
4.524798381831068306e-01,3.681112208286623222e+00,6.763572305841032417e+00
4.587642803787055357e-01,3.681710318098205370e+00,6.757028877481509710e+00
4.650487225743042408e-01,3.682256226785433295e+00,6.750399042125055260e+00
4.713331647699029459e-01,3.682749969660929157e+00,6.743682956230772518e+00
4.776176069655016510e-01,3.683191583198828667e+00,6.736880778275146753e+00
4.839020491611003560e-01,3.683581105033592262e+00,6.729992668747586393e+00
4.901864913566990611e-01,3.683918573958839815e+00,6.723018790145905754e+00
4.964709335522977662e-01,3.684204029926127610e+00,6.715959306971752696e+00
5.027553757478965268e-01,3.684437514043680473e+00,6.708814385725977658e+00
5.090398179434951764e-01,3.684619068575119893e+00,6.701584194903955627e+00
5.153242601390939370e-01,3.684748736938138425e+00,6.694268904990834379e+00
5.216087023346925866e-01,3.684826563703156754e+00,6.686868688456750753e+00
5.278931445302913472e-01,3.684852594591940367e+00,6.679383719751967874e+00
5.341775867258899968e-01,3.684826876476169133e+00,6.671814175301978622e+00
5.404620289214887574e-01,3.684749457376030879e+00,6.664160233502529174e+00
5.467464711170874070e-01,3.684620386458690611e+00,6.656422074714621218e+00
5.530309133126861676e-01,3.684439714036826352e+00,6.648599881259422695e+00
5.593153555082848172e-01,3.684207491567062398e+00,6.640693837413145673e+00
5.655997977038835778e-01,3.683923771648402568e+00,6.632704129401871818e+00
5.718842398994822274e-01,3.683588608020622601e+00,6.624630945396305925e+00
5.781686820950809880e-01,3.683202055562638133e+00,6.616474475506493924e+00
5.844531242906796376e-01,3.682764170290837136e+00,6.608234911776472487e+00
5.907375664862783982e-01,3.682275009357366624e+00,6.599912448178876900e+00
5.970220086818770477e-01,3.681734631048414030e+00,6.591507280609482322e+00
6.033064508774758083e-01,3.681143094782441061e+00,6.583019606881705954e+00
6.095908930730744579e-01,3.680500461108382915e+00,6.574449626721038165e+00
6.158753352686732185e-01,3.679806791703827962e+00,6.565797541759440747e+00
6.221597774642718681e-01,3.679062149373162782e+00,6.557063555529669685e+00
6.284442196598706287e-01,3.678266598045676350e+00,6.548247873459569490e+00
6.347286618554692783e-01,3.677420202773642455e+00,6.539350702866296494e+00
6.410131040510680389e-01,3.676523029730370595e+00,6.530372252950486178e+00
6.472975462466666885e-01,3.675575146208220456e+00,6.521312734790392973e+00
6.535819884422654491e-01,3.674576620616591072e+00,6.512172361335955451e+00
6.598664306378640987e-01,3.673527522479881124e+00,6.502951347402809112e+00
6.661508728334628593e-01,3.672427922435404835e+00,6.493649909666263653e+00
6.724353150290615089e-01,3.671277892231289641e+00,6.484268266655214497e+00
6.787197572246602695e-01,3.670077504724344131e+00,6.474806638746009035e+00
6.850041994202589191e-01,3.668826833877881999e+00,6.465265248156260469e+00
6.912886416158576797e-01,3.667525954759536244e+00,6.455644318938605686e+00
6.975730838114563293e-01,3.666174943539018738e+00,6.445944076974425840e+00
7.038575260070550899e-01,3.664773877485866471e+00,6.436164749967494991e+00
7.101419682026537394e-01,3.663322834967154051e+00,6.426306567437600314e+00
7.164264103982525000e-01,3.661821895445170227e+00,6.416369760714098369e+00
7.227108525938511496e-01,3.660271139475070434e+00,6.406354562929420737e+00
7.289952947894499102e-01,3.658670648702496919e+00,6.396261209012542359e+00
7.352797369850485598e-01,3.657020505861172666e+00,6.386089935682385921e+00
7.415641791806473204e-01,3.655320794770442472e+00,6.375840981441178279e+00
7.478486213762459700e-01,3.653571600332829128e+00,6.365514586567773136e+00
7.541330635718447306e-01,3.651773008531519427e+00,6.355110993110904438e+00
7.604175057674433802e-01,3.649925106427829746e+00,6.344630444882398024e+00
7.667019479630421408e-01,3.648027982158658755e+00,6.334073187450345088e+00
7.729863901586407904e-01,3.646081724933887713e+00,6.323439468132209917e+00
7.792708323542395510e-01,3.644086425033769228e+00,6.312729535987896767e+00
7.855552745498382006e-01,3.642042173806276928e+00,6.301943641812782104e+00
7.918397167454369612e-01,3.639949063664416062e+00,6.291082038130668685e+00
7.981241589410356108e-01,3.637807188083543419e+00,6.280144979186720988e+00
8.044086011366343714e-01,3.635616641598602428e+00,6.269132720940338466e+00
8.106930433322331320e-01,3.633377519801380906e+00,6.258045521057987948e+00
8.169774855278317816e-01,3.631089919337695981e+00,6.246883638905980973e+00
8.232619277234305422e-01,3.628753937904586557e+00,6.235647335543212044e+00
8.295463699190291917e-01,3.626369674247456487e+00,6.224336873713851581e+00
8.358308121146279523e-01,3.623937228157192436e+00,6.212952517839975819e+00
8.421152543102266019e-01,3.621456700467255096e+00,6.201494534014183380e+00
8.483996965058253625e-01,3.618928193050741093e+00,6.189963189992127468e+00
8.546841387014240121e-01,3.616351808817412916e+00,6.178358755185033857e+00
8.609685808970227727e-01,3.613727651710711086e+00,6.166681500652149595e+00
8.672530230926214223e-01,3.611055826704726357e+00,6.154931699093170394e+00
8.735374652882201829e-01,3.608336439801142603e+00,6.143109624840598748e+00
8.798219074838188325e-01,3.605569598026173939e+00,6.131215553852074507e+00
8.861063496794175931e-01,3.602755409427435662e+00,6.119249763702652167e+00
8.923907918750162427e-01,3.599893983070817871e+00,6.107212533577044411e+00
8.986752340706150033e-01,3.596985429037335091e+00,6.095104144261803469e+00
9.049596762662136529e-01,3.594029858419909740e+00,6.082924878137475844e+00
9.112441184618124135e-01,3.591027383320168020e+00,6.070675019170707287e+00
9.175285606574110631e-01,3.587978116845200294e+00,6.058354852906302490e+00
9.238130028530098237e-01,3.584882173104264602e+00,6.045964666459243908e+00
9.300974450486084733e-01,3.581739667205512845e+00,6.033504748506667958e+00
9.363818872442072339e-01,3.578550715252642789e+00,6.020975389279794143e+00
9.426663294398058834e-01,3.575315434341540310e+00,6.008376880555826638e+00
9.489507716354046440e-01,3.572033942556918085e+00,5.995709515649787491e+00
9.552352138310032936e-01,3.568706358968882775e+00,5.982973589406337389e+00
9.615196560266020542e-01,3.565332803629518210e+00,5.970169398191534249e+00
9.678040982222007038e-01,3.561913397569397510e+00,5.957297239884553619e+00
9.740885404177994644e-01,3.558448262794132511e+00,5.944357413869382434e+00
9.803729826133981140e-01,3.554937522280808615e+00,5.931350221026450598e+00
9.866574248089968746e-01,3.551381299974480044e+00,5.918275963724240363e+00
9.929418670045955242e-01,3.547779720784590918e+00,5.905134945810838865e+00
9.992263092001942848e-01,3.544132910581372364e+00,5.891927472605466676e+00
1.005510751395793045e+00,3.540440996192227185e+00,5.878653850889958399e+00
1.011795193591391584e+00,3.536704105398087439e+00,5.865314388900202403e+00
1.018079635786990345e+00,3.532922366929735603e+00,5.851909396317539702e+00
1.024364077982589105e+00,3.529095910464104424e+00,5.838439184260137083e+00
1.030648520178187866e+00,3.525224866620561670e+00,5.824904065274303377e+00
1.036932962373786404e+00,3.521309366957149578e+00,5.811304353325784433e+00
1.043217404569385165e+00,3.517349543966826531e+00,5.797640363790996787e+00
1.049501846764983926e+00,3.513345531073643002e+00,5.783912413448255130e+00
1.055786288960582686e+00,3.509297462628937492e+00,5.770120820468934042e+00
1.062070731156181225e+00,3.505205473907478719e+00,5.756265904408604861e+00
1.068355173351779985e+00,3.501069701103590504e+00,5.742347986198134357e+00
1.074639615547378746e+00,3.496890281327245109e+00,5.728367388134747884e+00
1.080924057742977507e+00,3.492667352600159703e+00,5.714324433873054332e+00
1.087208499938576045e+00,3.488401053851823974e+00,5.700219448416027568e+00
1.093492942134174806e+00,3.484091524915534421e+00,5.686052758105963889e+00
1.099777384329773566e+00,3.479738906524400655e+00,5.671824690615403064e+00
1.106061826525372327e+00,3.475343340307330386e+00,5.657535574937997858e+00
1.112346268720970865e+00,3.470904968784962907e+00,5.643185741379367570e+00
1.118630710916569626e+00,3.466423935365618547e+00,5.628775521547911609e+00
1.124915153112168387e+00,3.461900384341196180e+00,5.614305248345573318e+00
1.131199595307767147e+00,3.457334460883056071e+00,5.599775255958595821e+00
1.137484037503365686e+00,3.452726311037887186e+00,5.585185879848221902e+00
1.143768479698964446e+00,3.448076081723529640e+00,5.570537456741367244e+00
1.150052921894563207e+00,3.443383920724800262e+00,5.555830324621265248e+00
1.156337364090161968e+00,3.438649976689282628e+00,5.541064822718070992e+00
1.162621806285760506e+00,3.433874399123073573e+00,5.526241291499434105e+00
1.168906248481359267e+00,3.429057338386548803e+00,5.511360072661044995e+00
1.175190690676958027e+00,3.424198945690088980e+00,5.496421509117138449e+00
1.181475132872556788e+00,3.419299373089743632e+00,5.481425944990975019e+00
1.187759575068155327e+00,3.414358773482947029e+00,5.466373725605283340e+00
1.194044017263754087e+00,3.409377300604145677e+00,5.451265197472674018e+00
1.200328459459352848e+00,3.404355109020441805e+00,5.436100708286025096e+00
1.206612901654951608e+00,3.399292354127195104e+00,5.420880606908828447e+00
1.212897343850550369e+00,3.394189192143619138e+00,5.405605243365514845e+00
1.219181786046148908e+00,3.389045780108340900e+00,5.390274968831743507e+00
1.225466228241747668e+00,3.383862275874943037e+00,5.374890135624659671e+00
1.231750670437346429e+00,3.378638838107492326e+00,5.359451097193130842e+00
1.238035112632945189e+00,3.373375626276035710e+00,5.343958208107942198e+00
1.244319554828543728e+00,3.368072800652083920e+00,5.328411824051972445e+00
1.250603997024142489e+00,3.362730522304063108e+00,5.312812301810335924e+00
1.256888439219741249e+00,3.357348953092763821e+00,5.297159999260498076e+00
1.263172881415340010e+00,3.351928255666752676e+00,5.281455275362361590e+00
1.269457323610938548e+00,3.346468593457759599e+00,5.265698490148321476e+00
1.275741765806537309e+00,3.340970130676073069e+00,5.249890004713299696e+00
1.282026208002136070e+00,3.335433032305870960e+00,5.234030181204751386e+00
1.288310650197734830e+00,3.329857464100576259e+00,5.218119382812632878e+00
1.294595092393333369e+00,3.324243592578171036e+00,5.202157973759359066e+00
1.300879534588932129e+00,3.318591585016467338e+00,5.186146319289723472e+00
1.307163976784530890e+00,3.312901609448418050e+00,5.170084785660795212e+00
1.313448418980129651e+00,3.307173834657339384e+00,5.153973740131788439e+00
1.319732861175728189e+00,3.301408430172170227e+00,5.137813550953914010e+00
1.326017303371326950e+00,3.295605566262678643e+00,5.121604587360192973e+00
1.332301745566925710e+00,3.289765413934657268e+00,5.105347219555256721e+00
1.338586187762524471e+00,3.283888144925109387e+00,5.089041818705117848e+00
1.344870629958123009e+00,3.277973931697397703e+00,5.072688756926914344e+00
1.351155072153721770e+00,3.272022947436394880e+00,5.056288407278633379e+00
1.357439514349320531e+00,3.266035366043602561e+00,5.039841143748811980e+00
