# Time, Target, Prediction
1.822488236731958011e+01,1.805088842032140720e-02,1.512642763555049896e-02
2.206362914179779011e+01,3.616626332559714357e-02,3.567799180746078491e-02
5.153242600474271740e+00,5.233890395357093661e-02,5.227675288915634155e-02
1.071497394357912825e+01,3.354804220945827725e-02,3.474405407905578613e-02
1.697846799852583644e+01,5.322533123240996006e-02,5.183506011962890625e-02
2.911791550710733922e+00,1.221960570862199308e-01,1.238989010453224182e-01
1.605151277467502524e+01,1.863843159800156538e-02,1.841871440410614014e-02
1.052644067771116632e+01,1.717936352152134305e-02,1.835377328097820282e-02
1.578442398136208169e+01,2.579364587733864404e-03,2.596473321318626404e-03
1.780591955427966866e+01,3.846432349594806899e-02,3.593234717845916748e-02
2.508539843159816929e+00,2.825253619229736723e-01,2.842039167881011963e-01
1.239606223090178183e+01,7.401096630816386690e-02,7.347235828638076782e-02
1.595724614174104872e+01,1.307841725746630539e-02,1.299674436450004578e-02
5.074687073029288342e+00,3.927808592246222197e-02,3.920522332191467285e-02
2.309008803374558028e+01,2.591956325301109781e-02,2.486944012343883514e-02
2.457740602003727304e+01,-2.812078506857702137e-02,-2.923181839287281036e-02
1.227037338698980840e+01,7.974745472667443824e-02,7.932460308074951172e-02
2.327338426445054154e+01,1.939393576677738568e-02,1.814552955329418182e-02
1.794731950368063522e+01,3.218621713159718067e-02,2.944700978696346283e-02
2.213694763407977462e+01,3.721630083715125881e-02,3.662466257810592651e-02
5.483175815743204673e+00,1.057311217733579584e-01,1.058100908994674683e-01
2.262399190423867523e+01,3.698001430130261336e-02,3.609543293714523315e-02
1.818298608601558897e+01,2.029312944622559123e-02,1.737455837428569794e-02
7.939345307189697998e+00,5.903491354187108409e-02,5.976534634828567505e-02
2.533677611867211610e+01,-2.979638288829521489e-02,-2.897323854267597198e-02
1.759643814775970938e+01,4.610581107236851744e-02,4.395171999931335449e-02
1.810443055857060202e+01,2.441187081214223759e-02,2.152611874043941498e-02
2.363473969069746516e+01,4.629095583396965891e-03,2.835636958479881287e-03
2.144565899256391717e+01,1.758900099262816763e-02,1.826119981706142426e-02
1.154242549933295692e+01,8.467653710518215082e-02,8.467121422290802002e-02
1.041646293928818956e+01,7.539120026745875329e-03,8.624477311968803406e-03
2.068105185876607166e+01,-1.698135752625000786e-02,-1.658753491938114166e-02
2.407988767955237464e+01,-1.351942734684737253e-02,-1.559712179005146027e-02
1.131199595291100479e+00,8.863408459912308635e-01,8.871244192123413086e-01
2.547293903291008732e+01,-2.731869878835297902e-02,-2.643352933228015900e-02
1.466369845648031323e+01,-4.605178631362254887e-02,-4.704599082469940186e-02
2.208457728244978568e+01,3.649459126075302318e-02,3.597509115934371948e-02
1.870145256715248294e+01,-7.787401693869938288e-03,-1.026084460318088531e-02
2.046633341708311704e+01,-2.547811821629327247e-02,-2.552180178463459015e-02
2.477117632106823208e+01,-3.112759114861196261e-02,-3.161913901567459106e-02
1.134865519830199609e+01,7.733754215631682971e-02,7.761918008327484131e-02
1.163145509710393810e+01,8.685490886983897318e-02,8.675309270620346069e-02
6.137805211118069870e+00,1.804831552469192968e-01,1.808931827545166016e-01
2.454598380905927613e+01,-2.747528821178047212e-02,-2.868105657398700714e-02
7.478486212845793624e+00,1.213946581515374934e-01,1.224429979920387268e-01
1.109727751047804922e+01,6.302031176211908559e-02,6.375771015882492065e-02
1.022792967342022763e+01,-8.529362658046225551e-03,-7.680119946599006653e-03
1.538640930897416403e+01,-2.085370608745655552e-02,-2.130055613815784454e-02
2.522679838024913934e+01,-3.122177628067339394e-02,-3.053101338446140289e-02
2.436792461351731731e+01,-2.304874860190190070e-02,-2.472317405045032501e-02
2.160277004745388396e+01,2.372355739009829323e-02,2.412172220647335052e-02
1.051596660738516853e+01,1.625956020654463832e-02,1.742771081626415253e-02
2.352476195227448841e+01,9.272995243089492134e-03,7.648048922419548035e-03
1.758072704227071270e+01,4.658646493548870837e-02,4.446160793304443359e-02
1.054215178320016300e+01,1.855857432102241827e-02,1.974153332412242889e-02
4.844257525857336155e+00,2.154547274117240337e-03,2.120105549693107605e-03
2.238308828674072615e+01,3.866713838795518554e-02,3.785341233015060425e-02
2.599664254920998019e+01,-1.197857839067496648e-02,-1.152073033154010773e-02
8.693478370661543053e+00,-2.731363078447159726e-02,-2.678100205957889557e-02
1.259506956709573977e+01,6.262064012559712123e-02,6.179508566856384277e-02
1.929323754057136142e+01,-3.230911461500596271e-02,-3.376342356204986572e-02
1.164716620259293656e+01,8.715870739001661816e-02,8.704230934381484985e-02
2.446219124645129739e+01,-2.555040916827073724e-02,-2.699305303394794464e-02
2.317388059635356257e+01,2.305294775567612309e-02,2.192308567464351654e-02
2.472928003976424094e+01,-3.062326412476780446e-02,-3.125093132257461548e-02
1.841341563318754027e+01,7.741101960821970829e-03,4.890566691756248474e-03
2.487591702507821356e+00,2.917757253576349075e-01,2.934416234493255615e-01
1.895806729088942877e+00,5.704995943637336531e-01,5.716170668601989746e-01
6.326338476986030912e+00,1.897180586933408519e-01,1.901710331439971924e-01
2.460882823101526640e+01,-2.872336562460840043e-02,-2.973730303347110748e-02
6.745301290025944141e+00,1.877261089859933174e-01,1.883609294891357422e-01
2.105288135608899935e+00,4.699990557303286298e-01,4.713224470615386963e-01
2.188033291109282885e+01,3.236056097664954945e-02,3.219512850046157837e-02
7.881737920396711061e+00,6.694365710798873270e-02,6.773903220891952515e-02
2.117857019925097006e+01,5.801298771855339063e-03,6.709856912493705750e-03
2.325767315896154130e+01,1.998809791849943951e-02,1.875999383628368378e-02
2.075960738621105861e+01,-1.356575563206615861e-02,-1.302601583302021027e-02
1.824059347280857679e+01,1.720344914606134618e-02,1.427890174090862274e-02
2.607519807665496359e+01,-9.138600346115688389e-03,-8.731627836823463440e-03
2.227834758348074473e+01,3.844453550627176253e-02,3.770226240158081055e-02
9.232892992450432601e+00,-5.203691230834223830e-02,-5.143122375011444092e-02
9.107204148538457389e+00,-4.966363317810453676e-02,-4.901048541069030762e-02
9.164811536081446386e-01,9.443359855510707890e-01,9.450505971908569336e-01
1.348012850964255627e+01,-3.746423710185452140e-03,-5.801538005471229553e-03
5.603627625242179056e-01,9.963160799483339325e-01,9.970380067825317383e-01
2.169703668038786759e+01,2.700590101914825472e-02,2.721462957561016083e-02
3.859694915213538469e+00,-6.808087444693888823e-02,-6.713867187500000000e-02
2.397514697629239677e+01,-9.499272514640262274e-03,-1.159793324768543243e-02
1.564302403196111158e+01,-6.036498534191493508e-03,-6.098950281739234924e-03
1.143244776090998016e+01,8.093596722204260407e-02,8.108182996511459351e-02
1.942940045555933137e+00,5.479853787795592179e-01,5.491460561752319336e-01
1.969648924812227619e+01,-3.890924060563127895e-02,-3.996545821428298950e-02
1.224418821117481393e+01,8.078292202524442467e-02,8.037832379341125488e-02
6.897175309752913819e+00,1.797002802189819337e-01,1.804379224777221680e-01
3.047954464948705589e+00,7.740361756198689547e-02,7.903592288494110107e-02
2.164990336392087400e+01,2.540586560136749369e-02,2.571067027747631073e-02
