# Time, Target, Prediction
1.271028434068171720e+01,3.938228605874322281e-03,4.520729184150695801e-03
3.409309891195630993e+00,-2.309814403286083173e-01,-2.305981069803237915e-01
1.340681001736057354e+01,-3.128990917778266129e-02,-3.065013885498046875e-02
2.323148798314654684e+01,1.088007092981259404e-03,1.209430396556854248e-03
9.494744750600377259e+00,-4.945887197485272779e-02,-4.856207966804504395e-02
2.395419883564039765e+01,-1.875110912725149251e-02,-1.862195879220962524e-02
1.131199595291100479e+00,3.339491613756308541e-01,3.342574834823608398e-01
2.228882165380674607e+01,2.527189133441668650e-02,2.551956474781036377e-02
2.562481305263705522e+01,-7.317559435496019844e-03,-7.135070860385894775e-03
2.495447255177319335e+01,-2.199955115850809814e-02,-2.190318703651428223e-02
2.827998988102751188e+00,-2.065798946119104251e-01,-2.063054293394088745e-01
1.516121679696521163e+01,-1.199092862870585439e-02,-1.126328110694885254e-02
1.769594181585668835e+01,1.336255664365777057e-02,1.389508694410324097e-02
1.232274373861979733e+01,2.567353466465314635e-02,2.628003060817718506e-02
1.008129268885625862e+01,-8.343131858136587989e-03,-7.389217615127563477e-03
1.764880849938969831e+01,1.518156959840647781e-02,1.571692526340484619e-02
2.580810928334201648e+01,-2.175583149660587339e-03,-2.009652554988861084e-03
9.976551985596280758e+00,-1.613600284133579268e-02,-1.519313454627990723e-02
1.720889754569778773e+01,2.952027921449027967e-02,3.005605936050415039e-02
1.199281052335086351e+01,4.090835013858025448e-02,4.156328737735748291e-02
1.045312218542918181e+01,1.800229613543087581e-02,1.895226538181304932e-02
1.796826764433263435e+01,2.395484322744796842e-03,2.897523343563079834e-03
2.601759068986197576e+01,3.724657773386930160e-03,3.836214542388916016e-03
1.963888186207929154e+00,-2.896243400578717500e-03,-2.637438476085662842e-03
1.541259448478915850e+01,2.962050649739433338e-05,7.481276988983154297e-04
1.293547685269067138e+01,-8.829369070243738016e-03,-8.227482438087463379e-03
9.065307867234468020e+00,-6.910585462554716396e-02,-6.825919449329376221e-02
2.068105185876607166e+01,1.186792882777914235e-03,1.658424735069274902e-03
3.116035922067692088e+00,-2.298326324668217013e-01,-2.295095771551132202e-01
1.116012193243403594e+01,4.983519405658478479e-02,5.058020353317260742e-02
1.857576372324050595e+01,-2.014663004471910213e-02,-1.970235258340835571e-02
1.757025297194471491e+01,1.812358589942288795e-02,1.866187900304794312e-02
6.389182898942017630e+00,8.294114908996146063e-02,8.355627954006195068e-02
2.505921325503317121e+01,-2.039236896751361883e-02,-2.029071003198623657e-02
2.552007234937707736e+01,-1.014558067463295493e-02,-9.969890117645263672e-03
1.153195142900695913e+01,5.208523230397468090e-02,5.277208983898162842e-02
2.436792461351731731e+01,-2.430640074796940400e-02,-2.415728569030761719e-02
4.032517076342503337e-01,7.001922966133488080e-01,7.002758383750915527e-01
1.202946976949185753e+01,3.945821194162279361e-02,4.010868072509765625e-02
4.729042752271359618e+00,-5.602590150856645579e-02,-5.527286231517791748e-02
2.400133215210739124e+01,-1.966008109403038009e-02,-1.952507346868515015e-02
2.608567214698096137e+01,5.589159822172979665e-03,5.683168768882751465e-03
2.241451049771871595e+01,2.325542149062214195e-02,2.349995821714401245e-02
5.341775867092234398e-01,6.256752460222676504e-01,6.258144378662109375e-01
1.073068504906812315e+01,3.425326731571079475e-02,3.513711690902709961e-02
1.039027776347319509e+01,1.382329622142425968e-02,1.478055119514465332e-02
7.174738173391856044e+00,2.851283483505700697e-02,2.899388968944549561e-02
2.554625752519207182e+01,-9.449691752235554743e-03,-9.271323680877685547e-03
1.715652719406779880e+01,3.079343005749689971e-02,3.132925182580947876e-02
1.891617100883543756e+01,-2.832283075327659411e-02,-2.784562855958938599e-02
1.277312876263770391e+01,3.225550349191543507e-04,9.085685014724731445e-04
6.651034657091964064e+00,7.076008937241509700e-02,7.130046188831329346e-02
2.204791803630878988e+01,2.755450123488479772e-02,2.781321108341217041e-02
2.546770199774708843e+01,-1.151090451604607802e-02,-1.134213060140609741e-02
1.675851252992988372e-01,8.574563101201375659e-01,8.575298786163330078e-01
5.813109031762135892e-01,6.002950732930820710e-01,6.004561781883239746e-01
6.352523652801025378e+00,8.399267768339709062e-02,8.461736142635345459e-02
3.398835820869634095e+00,-2.313052014765661357e-01,-2.309248596429824829e-01
7.913160131374703532e+00,-3.910489346750643802e-02,-3.861826658248901367e-02
1.273123248133371277e+01,2.730882054360191276e-03,3.314226865768432617e-03
2.586571667013500786e+01,-5.412583206330724749e-04,-3.878548741340637207e-04
2.272873260749865310e+01,1.615546972898081537e-02,1.637529581785202026e-02
2.293297697885561348e+01,1.036527574839141153e-02,1.054894179105758667e-02
2.100574803887200659e+01,1.212553553675140353e-02,1.259303092956542969e-02
1.319732861084061604e+01,-2.232736892010958943e-02,-2.169734239578247070e-02
4.048228181081499955e+00,-1.700357019070590781e-01,-1.694534569978713989e-01
7.279478876651834796e+00,1.852186968406207765e-02,1.900745928287506104e-02
1.640763116575895353e+01,3.465139374617623447e-02,3.529721498489379883e-02
6.682456868069958311e+00,6.880216489716205197e-02,6.933434307575225830e-02
9.264315203428425960e+00,-6.166883694659297532e-02,-6.078982353210449219e-02
8.902959777931500618e-01,4.457428526391470358e-01,4.460145831108093262e-01
1.406143941273543696e+01,-4.384193351633808994e-02,-4.317083954811096191e-02
1.128581077634600938e+01,5.179855702060614381e-02,5.251541733741760254e-02
1.091398127977308619e+01,4.250160701853259587e-02,4.332353174686431885e-02
4.681909435804369579e+00,-6.417878565973246519e-02,-6.343936920166015625e-02
9.039122691419471778e+00,-6.983735709549138138e-02,-6.899686157703399658e-02
9.107204148538457389e+00,-6.781119617444283931e-02,-6.695568561553955078e-02
2.381279888623943108e+01,-1.565397297573276753e-02,-1.554320007562637329e-02
7.122367821761867113e+00,3.340797012057424714e-02,3.388778865337371826e-02
2.543104275160609618e+01,-1.244323411524633424e-02,-1.228024065494537354e-02
1.996357804143522330e+01,-2.241786702378042312e-02,-2.195283770561218262e-02
8.703952440987540840e+00,-7.353477899339888602e-02,-7.281520962715148926e-02
1.317114343502562157e+01,-2.107707265914931030e-02,-2.044928073883056641e-02
2.369234707749045299e+01,-1.262625418750911929e-02,-1.252831518650054932e-02
9.662329875816343616e+00,-3.872070935141906645e-02,-3.781183063983917236e-02
6.949545661382902750e+00,4.877821029973589823e-02,4.926334321498870850e-02
3.330754363750647595e+00,-2.327742873836716464e-01,-2.324113696813583374e-01
4.137257778852481138e+00,-1.566300336681700767e-01,-1.560302525758743286e-01
7.148552997576861578e+00,3.097092689638646090e-02,3.145124018192291260e-02
2.322101391282055260e+01,1.418827869216072925e-03,1.542150974273681641e-03
1.239082519573878294e+01,2.204007417659066201e-02,2.263727784156799316e-02
2.259256969326068187e+01,1.955337728592489860e-02,1.978830248117446899e-02
2.502779104405517785e+01,-2.090810030976560444e-02,-2.080878615379333496e-02
1.459037996419832695e+01,-3.513755986822141714e-02,-3.439415991306304932e-02
1.913612648568139463e+01,-3.106300197510046199e-02,-3.055778890848159790e-02
6.190175562748058802e+00,8.649140919889616863e-02,8.715048432350158691e-02
1.186188464427589118e+01,4.547795034520454860e-02,4.614569246768951416e-02
8.138352643383658602e+00,-5.463632871803303370e-02,-5.412998795509338379e-02
1.318685454051461825e+01,-2.183036094555068987e-02,-2.120123803615570068e-02
2.317911763151655791e+01,2.742338736141655860e-03,2.873651683330535889e-03
1.062594434580814529e+01,2.859727036587310020e-02,2.951169013977050781e-02
1.110251454564104812e+01,4.852645825935179152e-02,4.928740859031677246e-02
1.567968327810210383e+01,1.233246602540653825e-02,1.305221021175384521e-02
2.246164381418570954e+01,2.236661728943718438e-02,2.260947227478027344e-02
3.461680242825620812e+00,-2.289816183704339314e-01,-2.285827249288558960e-01
1.000273716216127484e+00,3.940006021807768710e-01,3.942952752113342285e-01
2.298534733048560241e+01,8.783258018600935413e-03,8.955910801887512207e-03
1.279407690328969949e+01,-8.769291626520926740e-04,-2.893954515457153320e-04
9.678040981305340296e+00,-3.765272611153415439e-02,-3.674249351024627686e-02
1.155289956965895470e+01,5.189575754104265581e-02,5.258116126060485840e-02
1.243795851220577298e+01,1.945808034942373560e-02,2.004984021186828613e-02
1.007081861853026084e+01,-9.121351746034962737e-03,-8.168414235115051270e-03
1.629765342733597677e+01,3.277889306699922206e-02,3.344853222370147705e-02
7.955056412678695565e+00,-4.228116525030052586e-02,-4.179348051548004150e-02
2.450932456366828660e+00,-1.414378981004052738e-01,-1.411997079849243164e-01
1.761214925324870606e+01,1.656966921679870960e-02,1.710663735866546631e-02
2.000547432273921444e+01,-2.129454087030767037e-02,-2.083344757556915283e-02
9.882285352662298905e+00,-2.310852794387369818e-02,-2.217671275138854980e-02
